,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B 25/F TOWER 3 PHASE 6 BEL-AIR NO. 8 RESIDENCE BEL-AIR,12,11/12/2020,18.5,698,908,26504,20374,4202,108
1,FLAT B 49/F TOWER 1 PHASE 2 SOUTH TOWERS RESIDENCE BEL-AIR,16,10/12/2020,25,938,1136,26652,22007,2397,48
2,HOUSE 1 BEL-AIR RISE HOUSE 1 BEL-AIR RISE HOUSE RESIDENCE BEL-AIR,15,12/11/2020,180,3308,4654,54414,38676,1602,14
3,FLAT C 9/F TOWER 6 PHASE 6 BEL-AIR NO. 8 RESIDENCE BEL-AIR,12,11/11/2020,29,1042,1473,27831,19688,4122,60
4,FLAT A 36/F TOWER 6 PHASE 1 RESIDENCE BEL-AIR,16,10/11/2020,42,1383,1687,30369,24896,5205,203
5,FLAT C 27/F TOWER 2 PHASE 6 BEL-AIR NO. 8 RESIDENCE BEL-AIR,12,4/11/2020,28,1029,1469,27211,19061,1836,19
6,FLAT B 38/F TOWER 5 PHASE 2 SOUTH TOWERS RESIDENCE BEL-AIR,16,3/11/2020,41.8,1376,1690,30378,24734,1088,19
7,FLAT C 20/F TOWER 7 PHASE 4 BEL-AIR ON THE PEAK RESIDENCE BEL-AIR,15,2/11/2020,27.75,1047,1415,26504,19611,5847,129
8,FLAT B 37/F TOWER 8 PHASE 1 RESIDENCE BEL-AIR,16,29/10/2020,43,1592,1950,27010,22051,3738,48
9,FLAT A 33/F TOWER 8 PHASE 2 SOUTH TOWERS RESIDENCE BEL-AIR,16,27/10/2020,41,1376,1697,29797,24160,6204,356
10,FLAT B 9/F TOWER 7 PHASE 6 BEL-AIR NO. 8 RESIDENCE BEL-AIR,12,22/10/2020,17.38,679,856,25596,20304,3955,67
11,FLAT C 30/F TOWER 9 PHASE 4 BEL-AIR ON THE PEAK RESIDENCE BEL-AIR,15,21/10/2020,26,1103,1497,23572,17368,3840,69
12,FLAT B 25/F TOWER 5 PHASE 4 BEL-AIR ON THE PEAK RESIDENCE BEL-AIR,15,16/10/2020,52,1886,2463,27572,21112,3241,21
13,FLAT B 39/F TOWER 5 PHASE 2 SOUTH TOWERS RESIDENCE BEL-AIR,16,15/10/2020,37,1376,1690,26890,21893,6189,289
14,FLAT A 26/F TOWER 1 PHASE 1 RESIDENCE BEL-AIR,16,7/10/2020,22.4,844,1016,26540,22047,6034,239
15,FLAT B 36/F TOWER 7 PHASE 4 BEL-AIR ON THE PEAK RESIDENCE BEL-AIR,15,29/9/2020,18.68,707,895,26421,20872,3908,87
