,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT C 10/F MALIBU GARDEN  ,29,21/12/2020,9.8,524,683,18702,14348,1507,16
1,FLAT F 10/F EIGHT KWAI FONG Happy Valley  ,5,21/12/2020,13.58,-,-,-,-,-,-
2,FLAT 2 4 BLOCK A VILLAGE COURT  (with roof),35,18/12/2020,11.95,-,-,-,-,1139,14
3,FLAT 12 5/F BLOCK D (VICWOOD COURT) VILLA LOTTO ,33,16/12/2020,28.04,1103,1211,25420,23153,3613,65
4,FLAT F 2/F BLOCK 1 ILLUMINATION TERRACE ,27,15/12/2020,10.5,568,696,18486,15086,2909,56
5,FLAT 7 G/F BLOCK B VILLAGE COURT ,35,15/12/2020,10,616,659,16234,15175,3774,72
6,FLAT A 14/F THE VALLEY VIEW  ,28,15/12/2020,7.8,426,673,18310,11590,7876,191
7,FLAT A 22/F TOWER 5 THE LEIGHTON HILL ,18,15/12/2020,91.8,1724,2238,53248,41019,2815,44
8,FLAT A 10/F ARTS MANSION  ,41,15/12/2020,25,1051,1222,23787,20458,-,
9,FLAT A 8/F EIGHT KWAI FONG Happy Valley  ,5,14/12/2020,13.29,-,-,-,-,-,-
10,FLAT B 23/F TOWER 5 THE LEGEND ,14,14/12/2020,20,871,1168,22962,17123,5629,41
11,FLAT B 6/F BLOCK 1 GREENWAY TERRACE ,28,11/12/2020,10.28,532,769,19323,13368,2123,16
12,FLAT A 10/F HOC TAM GARDEN  ,36,11/12/2020,19.58,1069,1250,18316,15664,9041,230
13,FLAT B 25/F CELESTE COURT  ,28,11/12/2020,24.78,935,1103,26503,22466,5735,172
14,FLAT C 14/F BLOCK 1 ILLUMINATION TERRACE ,27,9/12/2020,16.9,800,989,21125,17088,-,
15,FLAT A 19/F LE VILLAGE  ,18,9/12/2020,8,379,555,21108,14414,3404,39
16,FLAT A 9/F HORACE COURT  ,41,8/12/2020,7.95,417,504,19065,15774,1230,6
17,MANOR A 5/F ALPEX I PHASE 1 CENTRAL PEAK,2,8/12/2020,172.6,-,-,-,-,-,-
18,MANOR B 5/F ALPEX I PHASE 1 CENTRAL PEAK,2,7/12/2020,163.8,-,-,-,-,-,-
19,NO. 4C 3/F 4A-4D WANG FUNG TERRACE  ,60,7/12/2020,24.75,1445,1750,17128,14143,3868,76
20,FLAT A 52/F TOWER 5 THE LEGEND ,14,7/12/2020,22.68,867,1170,26159,19385,4840,-8
21,FLAT D 12/F GOLD KING MANSION  ,53,4/12/2020,10.5,567,700,18519,15000,-,
22,FLAT E 15/F BLOCK 1 RONSDALE GARDEN ,34,4/12/2020,14.88,694,886,21441,16795,7550,272
23,FLAT G 10/F GOLD NING MANSION  ,53,4/12/2020,10,555,750,18018,13333,4140,92
24,FLAT B 15/F JADE TERRACE  ,31,4/12/2020,9.6,468,590,20513,16271,3133,60
25,FLAT B 19/F BLOCK 5 CAVENDISH HEIGHTS ,34,3/12/2020,48,1439,1819,33356,26388,8665,129
26,FLAT A 13/F CHEERFUL COURT  ,36,3/12/2020,5.9,319,450,18495,13111,1499,19
27,FLAT D 1/F BLOCK 1 ILLUMINATION TERRACE ,27,3/12/2020,13.2,731,903,18057,14618,4761,156
28,FLAT B 16/F SILVER STAR COURT  ,39,3/12/2020,19.4,940,1088,20638,17831,5339,146
29,FLAT C 8/F BLOCK 1 FLORA GARDEN ,33,3/12/2020,27.3,1011,1302,27003,20968,4041,91
30,FLAT F 5/F EIGHT KWAI FONG Happy Valley  ,5,2/12/2020,12.06,-,-,-,-,-,-
31,FLAT C 16/F 1 TAI HANG ROAD  ,30,2/12/2020,12.8,575,738,22261,17344,2111,25
32,NO. 27 4/F 27-29 VILLAGE TERRACE   (with roof),64,1/12/2020,19.8,1065,1521,18592,13018,3131,29
33,FLAT D 4/F VILLAGE TOWER  ,48,1/12/2020,13,-,-,-,-,1167,2
34,FLAT B 11/F MARLBOROUGH HOUSE  ,60,30/11/2020,33.38,1385,1465,24101,22785,-,
35,FLAT A 4/F MOON FAIR MANSION  ,46,30/11/2020,17.1,1129,1347,15146,12695,2822,7
36,FLAT B 1/F GREENCLIFF  ,31,27/11/2020,16.38,790,942,20734,17389,3760,77
37,FLAT B 18/F HOC TAM GARDEN  ,36,26/11/2020,21.32,1069,1250,19944,17056,5489,179
38,NO. 74 5/F WING ON LODGE   (with roof),36,26/11/2020,37.25,1170,1308,31838,28479,6017,239
39,FLAT A 11/F EIGHT KWAI FONG Happy Valley  ,5,26/11/2020,13.9,-,-,-,-,-,-
