,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 6 19/F BLOCK 34 HENG FA CHUEN ,32,21/12/2020,8.73,653,764,13369,11427,3100,34
1,FLAT 3 7/F BLOCK 39 HENG FA CHUEN ,32,21/12/2020,8.2,499,598,16433,13712,7919,179
2,FLAT 7 18/F BLOCK 30 HENG FA CHUEN ,32,18/12/2020,8.6,499,604,17234,14238,2420,46
3,FLAT 4 6/F BLOCK 40 HENG FA CHUEN ,31,18/12/2020,8.24,547,648,15060,12713,-,
4,FLAT 6 6/F BLOCK 34 HENG FA CHUEN ,32,16/12/2020,9.6,619,751,15509,12783,9069,167
5,FLAT 2 3/F BLOCK 47 HENG FA CHUEN ,31,16/12/2020,10,659,779,15175,12837,3307,50
6,FLAT 5 12/F BLOCK 21 HENG FA CHUEN ,33,15/12/2020,7.9,474,578,16667,13668,6363,490
7,FLAT 2 16/F BLOCK 48 HENG FA CHUEN ,31,11/12/2020,11.8,659,779,17906,15148,2978,52
8,FLAT 7 15/F BLOCK 13 HENG FA CHUEN ,33,10/12/2020,7.6,453,556,16777,13669,7671,233
9,FLAT 2 15/F BLOCK 37 HENG FA CHUEN ,32,8/12/2020,8.63,499,598,17291,14428,5131,206
10,FLAT 3 18/F BLOCK 26 HENG FA CHUEN ,32,7/12/2020,8.84,499,603,17711,14657,1187,13
11,FLAT 1 1/F BLOCK 28 HENG FA CHUEN ,32,7/12/2020,9.96,614,722,16221,13795,-449,327
12,FLAT 4 13/F BLOCK 3 HENG FA CHUEN ,34,4/12/2020,8,471,583,16985,13722,1191,9
13,FLAT 7 10/F BLOCK 25 HENG FA CHUEN ,32,3/12/2020,8.38,499,597,16794,14037,4038,142
14,FLAT 1 18/F BLOCK 34 HENG FA CHUEN ,32,2/12/2020,9.93,614,722,16173,13753,1702,36
15,FLAT 1 15/F BLOCK 13 HENG FA CHUEN ,33,2/12/2020,7.78,475,583,16379,13345,3468,84
16,FLAT 8 6/F BLOCK 1 HENG FA CHUEN ,34,1/12/2020,7.88,473,577,16660,13657,1298,16
17,FLAT 2 17/F BLOCK 3 HENG FA CHUEN ,34,1/12/2020,9.88,595,732,16605,13497,5403,192
18,FLAT 6 1/F BLOCK 33 HENG FA CHUEN ,32,30/11/2020,7.68,499,597,15391,12864,4119,162
19,FLAT 8 15/F BLOCK 34 HENG FA CHUEN ,32,25/11/2020,9.98,614,722,16254,13823,5810,224
20,FLAT 6 2/F BLOCK 39 HENG FA CHUEN ,32,24/11/2020,7.78,499,609,15591,12775,1629,31
21,FLAT 3 12/F BLOCK 49 HENG FA CHUEN ,31,23/11/2020,9.93,645,776,15395,12796,4243,155
22,FLAT 1 6/F BLOCK 5 HENG FA CHUEN ,34,20/11/2020,7.88,475,583,16589,13516,3013,72
23,FLAT 5 8/F BLOCK 49 HENG FA CHUEN ,31,20/11/2020,8.03,547,647,14680,12411,3670,111
24,FLAT 4 8/F BLOCK 17 HENG FA CHUEN ,33,19/11/2020,8.5,508,631,16732,13471,1395,14
25,FLAT 2 15/F BLOCK 2 HENG FA CHUEN ,34,19/11/2020,10.1,595,732,16975,13798,8108,231
26,FLAT 7 18/F BLOCK 39 HENG FA CHUEN ,32,18/11/2020,8.65,499,609,17335,14204,7335,234
27,FLAT 4 13/F BLOCK 47 HENG FA CHUEN ,31,18/11/2020,8.4,547,648,15353,12960,8637,76
28,FLAT 1 9/F BLOCK 32 HENG FA CHUEN ,32,18/11/2020,9.85,614,727,16042,13549,-,
29,FLAT 6 19/F BLOCK 10 HENG FA CHUEN ,33,13/11/2020,15.8,839,1061,18832,14892,1525,48
30,FLAT 5 15/F BLOCK 50 HENG FA CHUEN ,31,12/11/2020,8.5,547,647,15539,13138,1331,16
31,FLAT 5 16/F BLOCK 20 HENG FA CHUEN ,33,11/11/2020,8,474,584,16878,13699,1752,33
32,FLAT 2 19/F BLOCK 4 HENG FA CHUEN ,34,10/11/2020,17.25,955,1356,18063,12721,2824,32
33,FLAT 1 16/F BLOCK 18 HENG FA CHUEN ,33,9/11/2020,7,475,583,14737,12007,8060,221
34,FLAT 7 6/F BLOCK 22 HENG FA CHUEN ,31,9/11/2020,12.88,713,834,18065,15444,2228,34
35,FLAT 6 18/F BLOCK 19 HENG FA CHUEN ,33,9/11/2020,8.06,474,574,17004,14042,5715,263
36,FLAT 5 6/F BLOCK 10 HENG FA CHUEN ,33,6/11/2020,8,508,631,15748,12678,5280,204
37,FLAT 2 9/F BLOCK 24 HENG FA CHUEN ,32,4/11/2020,8.2,499,593,16433,13828,4157,156
38,FLAT 2 6/F BLOCK 28 HENG FA CHUEN ,32,4/11/2020,8.7,499,593,17435,14671,-,
39,FLAT 8 6/F BLOCK 23 HENG FA CHUEN ,31,3/11/2020,15.18,819,970,18535,15649,3563,77
40,FLAT 2 18/F BLOCK 20 HENG FA CHUEN ,33,3/11/2020,8.1,474,580,17089,13966,2238,28
41,FLAT 1 7/F BLOCK 27 HENG FA CHUEN ,32,3/11/2020,12.15,722,856,16828,14194,1513,22
42,FLAT 5 6/F BLOCK 18 HENG FA CHUEN ,33,29/10/2020,7.9,475,583,16632,13551,4025,144
43,FLAT 5 1/F BLOCK 37 HENG FA CHUEN ,32,28/10/2020,8.12,560,680,14500,11941,4756,175
44,FLAT 6 11/F BLOCK 11 HENG FA CHUEN ,33,28/10/2020,7.8,453,556,17219,14029,8415,243
45,FLAT 8 19/F BLOCK 21 HENG FA CHUEN ,33,28/10/2020,17,971,1273,17508,13354,7183,227
46,FLAT 6 18/F BLOCK 24 HENG FA CHUEN ,32,23/10/2020,10,620,751,16129,13316,4693,100
47,FLAT 4 7/F BLOCK 32 HENG FA CHUEN ,32,23/10/2020,8.96,560,681,16000,13157,8450,65
48,FLAT 1 7/F BLOCK 21 HENG FA CHUEN ,33,22/10/2020,8.7,547,664,15905,13102,4025,129
49,FLAT 3 3/F BLOCK 31 HENG FA CHUEN ,32,21/10/2020,8.05,499,608,16132,13240,3779,125
50,FLAT 7 11/F BLOCK 7 HENG FA CHUEN ,34,20/10/2020,7.55,454,559,16630,13506,-,
51,FLAT 3 17/F BLOCK 34 HENG FA CHUEN ,32,20/10/2020,7.5,499,593,15030,12648,3562,78
52,FLAT 3 18/F BLOCK 36 HENG FA CHUEN ,32,19/10/2020,8.3,499,598,16633,13880,3543,77
53,FLAT 2 11/F BLOCK 47 HENG FA CHUEN ,31,16/10/2020,12,659,779,18209,15404,8587,84
54,FLAT 6 13/F BLOCK 39 HENG FA CHUEN ,32,15/10/2020,8.6,499,609,17234,14122,8422,76
55,FLAT 2 3/F BLOCK 40 HENG FA CHUEN ,31,14/10/2020,11.64,713,838,16323,13888,1579,25
56,FLAT 1 5/F BLOCK 26 HENG FA CHUEN ,32,12/10/2020,10.08,614,723,16417,13942,-,
57,FLAT 5 6/F BLOCK 27 HENG FA CHUEN ,32,12/10/2020,8.25,497,579,16600,14249,3142,97
58,FLAT 3 10/F BLOCK 46 HENG FA CHUEN ,31,12/10/2020,9.8,645,776,15194,12629,8167,121
59,FLAT 7 8/F BLOCK 24 HENG FA CHUEN ,32,9/10/2020,9.4,620,751,15161,12517,9002,135
60,FLAT 5 4/F BLOCK 48 HENG FA CHUEN ,31,8/10/2020,8.06,547,647,14735,12457,5626,204
61,FLAT 5 15/F BLOCK 7 HENG FA CHUEN ,34,7/10/2020,8.08,508,631,15906,12805,2093,22
62,FLAT 2 8/F BLOCK 26 HENG FA CHUEN ,32,7/10/2020,8.6,499,603,17234,14262,1937,17
63,FLAT 6 19/F BLOCK 4 HENG FA CHUEN ,34,6/10/2020,14,840,1059,16667,13220,4182,122
64,FLAT 3 6/F BLOCK 26 HENG FA CHUEN ,32,6/10/2020,8.1,499,603,16232,13433,5036,218
65,FLAT 3 12/F BLOCK 47 HENG FA CHUEN ,31,6/10/2020,10.1,645,766,15659,13185,3766,117
66,FLAT 2 4/F BLOCK 28 HENG FA CHUEN ,32,6/10/2020,8.87,499,593,17772,14954,3719,125
67,FLAT 3 9/F BLOCK 10 HENG FA CHUEN ,33,25/9/2020,7.85,454,559,17291,14043,2954,68
68,FLAT 5 10/F BLOCK 32 HENG FA CHUEN ,32,25/9/2020,9.39,560,681,16768,13789,-,
69,FLAT 5 5/F BLOCK 8 HENG FA CHUEN ,34,25/9/2020,7.8,475,583,16421,13379,3710,140
70,FLAT 8 9/F BLOCK 22 HENG FA CHUEN ,31,24/9/2020,15.2,819,970,18559,15670,6186,273
71,FLAT 2 4/F BLOCK 34 HENG FA CHUEN ,32,23/9/2020,8.08,499,593,16192,13626,2827,48
72,FLAT 3 13/F BLOCK 42 HENG FA CHUEN ,31,22/9/2020,9.88,645,766,15318,12898,4815,169
73,FLAT 3 18/F BLOCK 46 HENG FA CHUEN ,31,21/9/2020,10,645,776,15504,12887,8915,150
74,FLAT 3 13/F BLOCK 22 HENG FA CHUEN ,31,16/9/2020,9.55,656,767,14558,12451,-,
75,FLAT 1 18/F BLOCK 26 HENG FA CHUEN ,32,11/9/2020,10,614,723,16283,13828,3882,107
76,FLAT 7 16/F BLOCK 23 HENG FA CHUEN ,31,10/9/2020,11.19,661,775,16926,14436,-,
77,FLAT 5 11/F BLOCK 7 HENG FA CHUEN ,34,10/9/2020,8.4,508,631,16535,13312,4821,231
78,FLAT 7 8/F BLOCK 26 HENG FA CHUEN ,32,9/9/2020,9.98,620,751,16097,13289,2028,15
79,FLAT 3 7/F BLOCK 5 HENG FA CHUEN ,34,8/9/2020,9.64,596,732,16171,13167,4495,115
80,FLAT 6 5/F BLOCK 49 HENG FA CHUEN ,31,4/9/2020,9.6,645,765,14884,12549,4893,202
81,FLAT 7 12/F BLOCK 43 HENG FA CHUEN ,31,3/9/2020,11.1,659,779,16844,14249,-,
82,FLAT 4 13/F BLOCK 10 HENG FA CHUEN ,33,3/9/2020,8,508,631,15748,12678,7767,167
83,FLAT 4 16/F BLOCK 48 HENG FA CHUEN ,31,28/8/2020,8.95,547,647,16362,13833,3664,110
84,FLAT 8 15/F BLOCK 20 HENG FA CHUEN ,33,27/8/2020,9.53,547,671,17422,14203,2907,62
85,FLAT 8 18/F BLOCK 19 HENG FA CHUEN ,33,26/8/2020,9.5,547,664,17367,14307,1291,21
86,FLAT 8 7/F BLOCK 7 HENG FA CHUEN ,34,26/8/2020,8.26,508,631,16260,13090,8470,75
87,FLAT 4 7/F BLOCK 2 HENG FA CHUEN ,34,26/8/2020,5.7,471,583,12102,9777,4786,123
88,FLAT 1 5/F BLOCK 10 HENG FA CHUEN ,33,20/8/2020,7.9,508,631,15551,12520,3787,121
89,FLAT 6 20/F BLOCK 48 HENG FA CHUEN ,31,20/8/2020,10,645,776,15504,12887,8726,139
90,FLAT 1 17/F BLOCK 45 HENG FA CHUEN ,31,18/8/2020,15.25,826,974,18462,15657,5634,178
91,FLAT 6 10/F BLOCK 19 HENG FA CHUEN ,33,17/8/2020,8,474,574,16878,13937,5425,223
92,FLAT 7 10/F BLOCK 18 HENG FA CHUEN ,33,17/8/2020,7.68,453,556,16954,13813,7052,280
93,FLAT 5 17/F BLOCK 27 HENG FA CHUEN ,32,10/8/2020,8.44,497,579,16978,14573,1418,29
94,FLAT 7 9/F BLOCK 23 HENG FA CHUEN ,31,7/8/2020,11.1,661,775,16793,14323,-,
95,FLAT 6 18/F BLOCK 23 HENG FA CHUEN ,31,7/8/2020,10,656,767,15244,13038,4811,178
96,FLAT 5 6/F BLOCK 11 HENG FA CHUEN ,33,5/8/2020,7.92,475,583,16674,13585,8456,91
97,FLAT 4 11/F BLOCK 30 HENG FA CHUEN ,32,4/8/2020,9.5,560,676,16964,14053,-,
98,FLAT 6 7/F BLOCK 42 HENG FA CHUEN ,31,4/8/2020,10,645,777,15504,12870,8361,61
99,FLAT 1 15/F BLOCK 34 HENG FA CHUEN ,32,31/7/2020,9.65,614,722,15717,13366,9095,188
100,FLAT 5 2/F BLOCK 24 HENG FA CHUEN ,32,31/7/2020,9.18,560,676,16393,13580,-,
101,FLAT 6 11/F BLOCK 30 HENG FA CHUEN ,32,30/7/2020,8.45,499,604,16934,13990,3961,135
102,FLAT 1 5/F BLOCK 47 HENG FA CHUEN ,31,29/7/2020,14.36,826,975,17379,14723,5698,205
103,FLAT 3 9/F BLOCK 4 HENG FA CHUEN ,34,24/7/2020,9.85,595,732,16555,13456,5448,186
104,FLAT 2 19/F BLOCK 30 HENG FA CHUEN ,32,24/7/2020,19.35,1119,1383,17292,13991,-,
105,FLAT 3 4/F BLOCK 48 HENG FA CHUEN ,31,24/7/2020,8.6,645,765,13333,11242,3438,63
106,FLAT 1 6/F BLOCK 32 HENG FA CHUEN ,32,23/7/2020,9.97,614,727,16238,13714,-,
107,FLAT 8 22/F BLOCK 48 HENG FA CHUEN ,31,23/7/2020,14.98,858,989,17459,15147,8789,134
108,FLAT 7 7/F BLOCK 38 HENG FA CHUEN ,32,22/7/2020,8,499,598,16032,13378,3221,72
109,FLAT 8 3/F BLOCK 39 HENG FA CHUEN ,32,22/7/2020,10.39,615,744,16891,13962,2625,41
110,FLAT 1 16/F BLOCK 13 HENG FA CHUEN ,33,20/7/2020,7.8,475,583,16421,13379,3993,158
111,FLAT 4 2/F BLOCK 23 HENG FA CHUEN ,31,20/7/2020,9.55,600,716,15917,13338,-,
112,FLAT 4 12/F BLOCK 19 HENG FA CHUEN ,33,20/7/2020,7.8,474,578,16456,13495,1456,34
113,FLAT 4 15/F BLOCK 43 HENG FA CHUEN ,31,20/7/2020,9,547,648,16453,13889,1838,22
114,FLAT 7 19/F BLOCK 15 HENG FA CHUEN ,33,15/7/2020,16.23,959,1353,16924,11996,-,
115,FLAT 5 8/F BLOCK 9 HENG FA CHUEN ,33,14/7/2020,7.83,471,583,16624,13431,4602,157
116,FLAT 5 10/F BLOCK 5 HENG FA CHUEN ,34,10/7/2020,8.35,475,583,17579,14322,1800,22
117,FLAT 7 3/F BLOCK 39 HENG FA CHUEN ,32,8/7/2020,8.38,499,609,16794,13760,3024,75
118,FLAT 6 20/F BLOCK 28 HENG FA CHUEN ,32,6/7/2020,10,653,736,15314,13587,-,
119,FLAT 4 20/F BLOCK 41 HENG FA CHUEN ,31,3/7/2020,9.47,593,687,15966,13782,4532,110
120,FLAT 1 16/F BLOCK 20 HENG FA CHUEN ,33,2/7/2020,9.44,547,671,17258,14069,8896,186
121,FLAT 3 11/F BLOCK 19 HENG FA CHUEN ,33,2/7/2020,8.35,595,726,14034,11501,4795,164
122,FLAT 3 15/F BLOCK 15 HENG FA CHUEN ,33,30/6/2020,9,592,709,15203,12694,4050,115
123,FLAT 7 8/F BLOCK 39 HENG FA CHUEN ,32,23/6/2020,8.88,499,609,17796,14581,-,
124,FLAT 7 15/F BLOCK 35 HENG FA CHUEN ,32,23/6/2020,9.25,499,593,18537,15599,3700,116
125,FLAT 4 1/F BLOCK 41 HENG FA CHUEN ,31,23/6/2020,8.22,547,648,15027,12685,1095,13
126,FLAT 5 18/F BLOCK 16 HENG FA CHUEN ,33,22/6/2020,8.15,475,583,17158,13979,2017,28
127,FLAT 2 6/F BLOCK 22 HENG FA CHUEN ,31,19/6/2020,10,661,775,15129,12903,6732,217
128,FLAT 3 3/F BLOCK 48 HENG FA CHUEN ,31,18/6/2020,9.68,645,765,15008,12654,3577,110
129,FLAT 3 8/F BLOCK 39 HENG FA CHUEN ,32,17/6/2020,8.52,499,598,17074,14247,7665,205
130,FLAT 4 15/F BLOCK 47 HENG FA CHUEN ,31,17/6/2020,8.2,547,648,14991,12654,2707,37
131,FLAT 4 17/F BLOCK 33 HENG FA CHUEN ,32,16/6/2020,9.3,560,682,16607,13636,3419,87
132,FLAT 3 17/F BLOCK 21 HENG FA CHUEN ,33,11/6/2020,9.83,595,726,16521,13540,4029,125
133,FLAT 7 11/F BLOCK 26 HENG FA CHUEN ,32,11/6/2020,10.28,620,751,16581,13688,3501,98
134,FLAT 1 2/F BLOCK 33 HENG FA CHUEN ,32,11/6/2020,9.68,614,745,15765,12993,4748,200
135,FLAT 2 18/F BLOCK 39 HENG FA CHUEN ,32,11/6/2020,9.08,499,598,18196,15184,5501,219
136,FLAT 8 6/F BLOCK 50 HENG FA CHUEN ,31,11/6/2020,14.43,826,974,17470,14815,-,
137,FLAT 3 11/F BLOCK 34 HENG FA CHUEN ,32,10/6/2020,8.75,499,593,17535,14755,4106,198
138,FLAT 6 2/F BLOCK 32 HENG FA CHUEN ,32,9/6/2020,8.15,499,607,16333,13427,1404,30
139,FLAT 1 12/F BLOCK 39 HENG FA CHUEN ,32,9/6/2020,11.25,615,744,18293,15121,2138,45
140,FLAT 8 22/F BLOCK 49 HENG FA CHUEN ,31,8/6/2020,15.9,858,989,18531,16077,4170,155
141,FLAT 7 18/F BLOCK 2 HENG FA CHUEN ,34,8/6/2020,8.08,453,556,17837,14532,7909,248
142,FLAT 2 2/F BLOCK 30 HENG FA CHUEN ,32,5/6/2020,8.86,620,752,14284,11777,5524,160
143,FLAT 3 18/F BLOCK 15 HENG FA CHUEN ,33,4/6/2020,9.22,592,709,15566,12997,4050,130
144,FLAT 1 19/F BLOCK 40 HENG FA CHUEN ,31,3/6/2020,15.5,858,990,18065,15657,-,
145,FLAT 3 13/F BLOCK 4 HENG FA CHUEN ,34,3/6/2020,10,595,732,16807,13661,2205,54
146,FLAT 5 19/F BLOCK 49 HENG FA CHUEN ,31,3/6/2020,8.7,547,647,15905,13447,-,
147,FLAT 5 8/F BLOCK 35 HENG FA CHUEN ,32,2/6/2020,8.85,561,660,15775,13409,4059,170
148,FLAT 8 11/F BLOCK 1 HENG FA CHUEN ,34,2/6/2020,7.6,473,577,16068,13172,3404,97
149,FLAT 5 4/F BLOCK 24 HENG FA CHUEN ,32,2/6/2020,9.2,560,676,16429,13609,-,
150,FLAT 4 19/F BLOCK 10 HENG FA CHUEN ,33,1/6/2020,14.7,904,1174,16261,12521,6589,279
151,FLAT 8 2/F BLOCK 38 HENG FA CHUEN ,32,1/6/2020,9.68,614,744,15765,13011,7884,248
152,FLAT 1 11/F BLOCK 37 HENG FA CHUEN ,32,1/6/2020,10,614,727,16287,13755,8028,113
153,FLAT 7 18/F BLOCK 23 HENG FA CHUEN ,31,29/5/2020,11.8,661,775,17852,15226,4930,180
154,FLAT 3 9/F BLOCK 42 HENG FA CHUEN ,31,28/5/2020,10.68,645,766,16558,13943,3953,148
155,FLAT 3 1/F BLOCK 29 HENG FA CHUEN ,32,27/5/2020,9.49,643,772,14759,12293,5520,200
156,FLAT 3 15/F BLOCK 36 HENG FA CHUEN ,32,26/5/2020,8.5,499,598,17034,14214,7097,279
