,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT A 24/F ST. LOUIS MANSION  ,27,22/12/2020,6.9,314,431,21975,16009,5066,138
1,FLAT B 22/F TOWER 1 HILLSBOROUGH COURT ,27,21/12/2020,21.5,761,931,28252,23093,-,
2,FLAT C 11/F TOWER 1 HILLSBOROUGH COURT ,27,16/12/2020,19.75,738,938,26762,21055,2853,24
3,FLAT D 28/F ROYAL COURT  ,25,11/12/2020,15.8,636,840,24843,18810,3960,86
4,FLAT E 15/F ST. LOUIS MANSION  ,27,9/12/2020,9.8,452,613,21681,15987,2040,-3
5,FLAT E 19/F TOWER 2 STAR CREST ,21,7/12/2020,17,573,730,29668,23288,7925,227
6,FLAT 1 29/F BLOCK B GRANDVIEW TOWER ,42,7/12/2020,18,800,910,22500,19780,8470,132
7,FLAT A 42/F TAVISTOCK II  ,21,4/12/2020,64.2,1520,2030,42237,31626,5570,138
8,FLAT 1 46/F CONVENTION PLAZA APARTMENTS  ,31,30/11/2020,56.5,1607,2171,35159,26025,6554,256
9,FLAT A 1/F TOWER 3 HILLSBOROUGH COURT ,27,30/11/2020,16.5,657,841,25114,19620,2846,29
10,FLAT D 28/F TOWER 3 HILLSBOROUGH COURT ,27,30/11/2020,19,673,821,28232,23143,7368,160
11,FLAT A 13/F ST. LOUIS MANSION  ,27,27/11/2020,7.68,314,431,24459,17819,3006,26
12,FLAT A 36/F BIRCHWOOD PLACE  ,31,27/11/2020,54,1596,2018,33835,26759,8780,211
13,FLAT E 21/F TOWER 1 STAR CREST ,21,27/11/2020,22.68,730,931,31068,24361,7557,219
14,FLAT A 27/F ROYAL COURT  ,25,20/11/2020,12.6,493,651,25558,19355,-,
15,NO. 34A 9/F KENNEDY APARTMENT  ,58,20/11/2020,46.5,2123,2500,21903,18600,-,
16,FLAT F 12/F MONTICELLO  ,51,20/11/2020,23.88,1075,1261,22214,18937,8507,144
17,FLAT C 17/F PO GARDEN  ,30,18/11/2020,62,1942,2586,31926,23975,8992,343
18,FLAT 5 21/F CONVENTION PLAZA APARTMENTS  ,31,17/11/2020,19.8,922,1272,21475,15566,1440,7
19,FLAT A 10/F MONMOUTH PLACE  ,26,13/11/2020,18,962,1483,18711,12138,-,-
20,FLAT 2 19/F CONVENTION PLAZA APARTMENTS  ,31,12/11/2020,26.38,1115,1543,23659,17097,4868,63
21,FLAT D 7/F TOWER 3 HILLSBOROUGH COURT ,27,9/11/2020,18.8,646,821,29102,22899,8757,128
22,BLOCK C 6/F 68 MACDONNELL ROAD BEST VIEW COURT ,61,9/11/2020,21.3,1250,1500,17040,14200,-,
23,FLAT A 17/F VALVERDE  ,22,6/11/2020,26.2,721,998,36338,26253,2914,20
24,FLAT A 30/F TOWER 2 DYNASTY COURT ,29,4/11/2020,101.9,2141,2680,47595,38022,-,-
25,FLAT B 33/F TOWER 2 DYNASTY COURT ,29,4/11/2020,85.4,1794,2266,47603,37688,-,-
26,FLAT B 39/F TOWER 2 DYNASTY COURT ,29,4/11/2020,88.1,1794,2256,49108,39051,-,-
27,FLAT A 12/F TOWER 2 DYNASTY COURT ,29,4/11/2020,93.4,2153,2691,43381,34708,-,-
28,FLAT B 24/F TOWER 2 DYNASTY COURT ,29,4/11/2020,81.5,1794,2266,45429,35966,-,-
29,FLAT A 3/F TOWER 2 DYNASTY COURT ,29,4/11/2020,89.2,2153,2691,41431,33148,-,-
30,FLAT B 30/F TOWER 2 DYNASTY COURT ,29,4/11/2020,84.1,1794,2256,46878,37278,-,-
31,FLAT A 39/F TOWER 2 DYNASTY COURT ,29,4/11/2020,106.7,2141,2680,49837,39813,-,-
32,FLAT D 8/F EWAN COURT  ,42,29/10/2020,30,1197,1468,25063,20436,-,
33,FLAT C 8/F EWAN COURT  ,42,29/10/2020,30,1213,1485,24732,20202,-,
34,FLAT B 14/F TOWER 1 HILLSBOROUGH COURT ,27,28/10/2020,21,761,931,27595,22556,1850,28
35,FLAT F 27/F TOWER 1 STAR CREST ,21,27/10/2020,20,898,1130,22272,17699,7876,112
36,FLAT 2 29/F BLOCK B GRANDVIEW TOWER ,42,22/10/2020,20,817,935,24480,21390,2040,38
37,FLAT 18 30/F CONVENTION PLAZA APARTMENTS  ,31,20/10/2020,16.28,623,829,26132,19638,1480,16
38,FLAT B 3/F MONTICELLO  ,51,20/10/2020,24,1232,1453,19481,16518,1402,23
39,BLOCK A (EAST BLOCK 52A) 7/F MAN YUEN GARDEN  ,56,16/10/2020,36,1669,2000,21570,18000,5788,267
40,FLAT 16 21/F CONVENTION PLAZA APARTMENTS  ,31,16/10/2020,25.5,978,1272,26074,20047,5996,98
41,FLAT C 6/F BLOCK 2 PHOENIX COURT ,43,15/10/2020,14.8,915,1007,16175,14697,3707,72
42,FLAT 2 7/F BLOCK B GRANDVIEW TOWER ,42,15/10/2020,17.1,817,935,20930,18289,2102,32
43,FLAT B 14/F TOWER 3 HILLSBOROUGH COURT ,27,12/10/2020,14.4,625,783,23040,18391,8769,112
44,FLAT D 14/F BLOCK 5 PHOENIX COURT ,43,12/10/2020,16.65,890,983,18708,16938,2700,7
45,NO. 106 10/F GLORY MANSION  ,59,12/10/2020,41.88,1880,2200,22277,19036,1818,9
46,FLAT A 10/F BLOCK 4 PHOENIX COURT ,43,8/10/2020,16.6,1119,1234,14835,13452,-,
47,FLAT A 5/F HOLLYWOOD HEIGHTS  ,43,6/10/2020,68,2272,2466,29930,27575,1943,18
48,FLAT A 5/F BLOCK 1 ESTORIL COURT ,37,30/9/2020,81,2888,3347,28047,24201,1820,34
49,BLOCK A 9/F 68 MACDONNELL ROAD BEST VIEW COURT ,61,30/9/2020,23.3,1415,1795,16466,12981,-,
50,FLAT A 32/F TOWER 3 HILLSBOROUGH COURT ,27,29/9/2020,18.9,677,841,27917,22473,8636,45
51,FLAT E 4/F ST. LOUIS MANSION  ,27,25/9/2020,9.93,452,613,21965,16196,8690,81
52,FLAT A 10/F TOWER 2 HILLSBOROUGH COURT ,27,23/9/2020,18.55,657,841,28234,22057,2067,28
53,FLAT A 14/F WEALTHY HEIGHTS  ,33,22/9/2020,37.2,1584,1760,23485,21136,-,
54,FLAT A 22/F TOWER 1 STAR CREST ,21,16/9/2020,26,919,1158,28292,22453,4901,77
55,FLAT 13 32/F CONVENTION PLAZA APARTMENTS  ,31,15/9/2020,9.6,409,543,23472,17680,2555,28
56,FLAT A 4/F ST. LOUIS MANSION  ,27,15/9/2020,6.5,314,431,20701,15081,2790,1
57,FLAT D 16/F TOWER 2 HILLSBOROUGH COURT ,27,11/9/2020,16.2,646,821,25077,19732,1160,-4
58,NO. 50 5/F DONNELL COURT  ,64,11/9/2020,29,1610,1700,18012,17059,5278,169
59,FLAT B 12/F BIRCHWOOD PLACE  ,31,10/9/2020,49.5,1596,2018,31015,24529,4373,102
60,FLAT C 1/F BEAU CLOUD MANSION  ,55,10/9/2020,29.8,1437,1700,20738,17529,3979,80
61,FLAT C 36/F ROYAL COURT   (with roof),25,9/9/2020,19,636,840,29874,22619,3811,83
62,FLAT B 2/F TOWER 3 HILLSBOROUGH COURT ,27,8/9/2020,14.5,625,783,23200,18519,1897,23
63,FLAT B 39/F TAVISTOCK II  ,21,7/9/2020,50,1236,1655,40453,30211,7958,297
64,FLAT D 4/F KAM YUEN MANSION  ,57,2/9/2020,46.5,2400,2600,19375,17885,-,
65,FLAT B 5/F MAN TUNG BUILDING   (with roof),41,31/8/2020,10.4,535,650,19439,16000,2481,30
66,FLAT A 29/F TOWER 1 DYNASTY COURT ,29,24/8/2020,100.8,2141,2680,47081,37612,8639,119
67,FLAT B (NO. 22) 3/F CHENYU COURT  ,55,24/8/2020,23,1133,1200,20300,19167,-,
68,FLAT B 9/F HOLLYWOOD HEIGHTS  ,43,21/8/2020,64.28,2270,2466,28317,26067,6724,334
69,FLAT A 14/F BOWEN PLACE  ,31,21/8/2020,49.98,1445,1927,34588,25937,4858,137
70,FLAT C 17/F TOWER 2 HILLSBOROUGH COURT ,27,20/8/2020,20.5,771,976,26589,21004,4202,112
71,FLAT A 13/F BLOCK 1 PHOENIX COURT ,43,20/8/2020,20.5,1119,1234,18320,16613,6054,450
72,FLAT B 11/F BLOCK 2 CLOVELLY COURT ,26,14/8/2020,51,1562,1881,32650,27113,7967,410
73,FLAT C 29/F BIRCHWOOD PLACE  ,31,13/8/2020,54,1539,2018,35088,26759,5064,173
74,FLAT A 8/F CAMELOT HEIGHT  ,41,13/8/2020,24.5,1198,1520,20451,16118,1436,29
75,FLAT C 16/F MONTICELLO  ,51,12/8/2020,23.18,1090,1293,21266,17927,4389,55
