,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 8 9/F BLOCK C VIKING VILLAS ,44,23/12/2020,11,700,795,15714,13836,5267,164
1,FLAT 6 13/F BLOCK C VIKING VILLAS ,44,22/12/2020,14,700,795,20000,17610,7975,270
2,FLAT A 25/F BLOCK 11 BRAEMAR HILL MANSIONS ,42,21/12/2020,33.8,1124,1260,30071,26825,6812,375
3,FLAT A 10/F BLOCK 3 BEVERLEY HEIGHTS ,41,18/12/2020,10.9,718,870,15181,12529,9096,203
4,FLAT A 20/F BLOCK 1 BRAEMAR HILL MANSIONS ,42,18/12/2020,29,1124,1260,25801,23016,1282,18
5,FLAT 3 17/F BLOCK C DRAGON COURT ,40,15/12/2020,14.5,857,962,16919,15073,-,
6,FLAT D 11/F TOWER 5 THE PAVILIA HILL ,5,10/12/2020,15.5,596,-,26007,-,2242,3
7,FLAT D 19/F HILLTOP MANSION  ,55,8/12/2020,37.8,1647,2079,22951,18182,1398,37
8,FLAT 2 10/F BLOCK C DRAGON COURT ,40,7/12/2020,15,857,962,17503,15593,4155,111
9,FLAT A 11/F BLOCK 9 BRAEMAR HILL MANSIONS ,42,7/12/2020,32.88,1297,1490,25351,22067,7617,257
10,FLAT A 10/F BLOCK 8 BRAEMAR HILL MANSIONS ,42,2/12/2020,27,1124,1260,24021,21429,1827,29
11,FLAT 2 12/F BLOCK B DRAGON COURT ,40,2/12/2020,14.1,857,962,16453,14657,4513,94
12,FLAT A 4/F BLOCK 5 BRAEMAR HILL MANSIONS ,42,30/11/2020,28.3,1297,1490,21820,18993,7609,246
13,FLAT D 16/F SEAVIEW GARDEN  ,43,27/11/2020,15.75,730,1037,21575,15188,2104,24
14,FLAT 1 1/F BLOCK D KINGSFORD GARDENS ,50,25/11/2020,21.5,958,1450,22443,14828,-,
15,FLAT 3 1/F BLOCK A MAIDEN COURT ,40,25/11/2020,15.28,992,1221,15403,12514,3171,63
16,FLAT C 3/F DRAGON VIEW GARDEN  ,33,24/11/2020,11.4,693,886,16450,12867,4046,138
17,FLAT J 13/F BLOCK J-K EVELYN TOWERS ,45,24/11/2020,22.1,1065,1196,20751,18478,-,
18,FLAT B 28/F TOWER 1 SKY HORIZON ,18,24/11/2020,30,935,1365,32086,21978,5930,154
19,BLOCK N 9/F BLOCK M-P BRAEMAR TERRACE ,46,18/11/2020,13.03,728,850,17898,15329,3683,86
20,FLAT 6 13/F BLOCK B MAIDEN COURT ,40,17/11/2020,12.8,663,819,19306,15629,7861,237
21,FLAT B 25/F TOWER 1 SKY HORIZON ,18,16/11/2020,29.3,935,1365,31337,21465,3147,17
22,FLAT C 6/F TOWER 9 PHASE 2 PACIFIC PALISADES,29,16/11/2020,11,588,740,18707,14865,2111,28
23,FLAT B (NO. 30) 14/F FLY DRAGON TERRACE  ,46,13/11/2020,24.38,1270,1550,19197,15729,-,
24,FLAT 4 5/F BLOCK D VIKING VILLAS ,44,13/11/2020,13.28,700,800,18971,16600,-,
25,FLAT D 10/F SEAVIEW GARDEN  ,43,9/11/2020,14.55,730,1037,19932,14031,3823,88
26,FLAT 2 6/F BLOCK B2 SUMMIT COURT ,54,30/10/2020,30,1650,1850,18182,16216,-,
27,FLAT E 3/F BLOCK B TEMPO COURT ,49,28/10/2020,21.6,1119,1280,19303,16875,7746,223
28,FLAT 3 20/F BLOCK C DRAGON COURT ,40,28/10/2020,15,857,962,17503,15593,3623,114
