,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT C 3/F CORDIAL MANSION  ,47,23/12/2020,7.43,480,585,15475,12697,-,
1,FLAT G 43/F TOWER 1 (ONE ROBINSON PLACE ) ROBINSON PLACE ,26,22/12/2020,25.4,1062,1308,23917,19419,4259,115
2,FLAT D 17/F TOWER 1 UNIVERSITY HEIGHTS ,24,22/12/2020,9.45,464,627,20366,15072,3878,100
3,FLAT A 23/F KA YEE COURT  ,28,22/12/2020,7.3,341,491,21408,14868,-,
4,FLAT A 3/F PHASE 2 BLESSINGS GARDEN ,25,21/12/2020,18.88,849,1070,22238,17645,9132,223
5,FLAT D 16/F HONG KONG GARDEN  ,45,21/12/2020,46.68,1991,2202,23446,21199,1123,23
6,FLAT B 41/F TOWER 1 UNIVERSITY HEIGHTS ,24,21/12/2020,18.52,790,1048,23443,17672,4657,110
7,FLAT A 15/F TOWER 2 UNIVERSITY HEIGHTS ,24,18/12/2020,7.95,401,529,19825,15028,9230,250
8,FLAT A 17/F TOWER 2 EUSTON COURT ,31,18/12/2020,16.5,786,931,20992,17723,4913,187
9,FLAT B 21/F HONOR VILLA  ,21,17/12/2020,10,485,745,20619,13423,7826,177
10,FLAT 3 3/F BLOCK A TYCOON COURT ,26,17/12/2020,8.85,413,517,21429,17118,7917,195
11,FLAT A 5/F NO. 2 PARK ROAD  ,16,16/12/2020,14.88,580,827,25655,17993,1499,10
12,NO. 5 7/F BONHAM VILLE  ,34,16/12/2020,8.6,478,677,17992,12703,5237,231
13,NO. 25 25/F BLOCK C-E CLIFFVIEW MANSIONS ,46,16/12/2020,65,2872,-,22632,-,8444,37
14,FLAT B (NO. 135) 16/F GOLDEN VALLEY MANSION  ,47,15/12/2020,9.7,611,750,15876,12933,-,
15,FLAT B 44/F TOWER 1 (ONE ROBINSON PLACE ) ROBINSON PLACE ,26,15/12/2020,26.28,1060,1300,24792,20215,8706,55
16,FLAT A 19/F PHASE 2 BLESSINGS GARDEN ,25,14/12/2020,20.8,849,1070,24499,19439,3994,100
17,FLAT A 19/F TOWER 2 THE SUMMA ,7,14/12/2020,18.6,769,-,24187,-,2452,7
18,FLAT A 7/F BLOCK 1 VANTAGE PARK ,26,14/12/2020,13.8,636,824,21698,16748,7936,160
19,FLAT D 17/F CAINE MANSION  ,40,14/12/2020,12.92,698,783,18510,16501,-,
20,FLAT B 20/F THE RICHMOND  ,0,14/12/2020,7.23,219,-,33017,-,-,-
21,FLAT C 36/F NO. 2 PARK ROAD  ,16,14/12/2020,16.7,650,898,25692,18597,4716,80
