,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT G 11/F NOVUM POINT  ,0,23/12/2020,7.39,288,-,25644,-,-,-
1,FLAT A 21/F SIU WAH BUILDING   (with roof),35,23/12/2020,5.39,271,350,19889,15400,1508,23
2,FLAT G 6/F NOVUM POINT  ,0,23/12/2020,7.02,288,-,24387,-,-,-
3,FLAT B 25/F MOUNT EAST  ,9,23/12/2020,11,549,718,20036,15320,1714,33
4,FLAT 1 22/F BLOCK B CARSON MANSION ,41,23/12/2020,8.08,435,498,18575,16225,2374,62
5,FLAT 41 12/F METROPOLE BUILDING  ,48,22/12/2020,4,450,-,8889,-,3763,68
6,FLAT D 26/F LA PLACE DE VICTORIA  ,15,21/12/2020,9.88,443,586,22302,16860,1649,36
7,FLAT B 12/F BLOCK 4 PROVIDENT CENTRE ,38,21/12/2020,18.48,1073,1246,17223,14831,5046,180
8,FLAT B 7/F TOWER 5 HARBOUR GLORY ,1,21/12/2020,25.5,-,-,-,-,1330,-16
9,FLAT 4 7/F BLOCK B FORTUNA BUILDING ,59,21/12/2020,5.5,553,-,9946,-,1307,4
10,FLAT A 19/F PHASE 2 MAPLE GARDENS ,30,21/12/2020,9.6,608,778,15789,12339,-,
11,FLAT A 3/F AROMA COURT  ,53,18/12/2020,8.9,605,755,14711,11788,-,
12,FLAT E 6/F BLOCK 4 (GOLDEN PEACH COURT) FULL WEALTH GARDENS ,35,18/12/2020,7.29,450,533,16196,13674,3775,139
13,FLAT H 23/F BLOCK 4 TANNER GARDEN ,29,17/12/2020,12.63,674,815,18736,15494,9086,201
14,FLAT C 15/F ONE PRESTIGE  ,2,17/12/2020,4.1,170,-,24118,-,1375,0
15,FLAT C 9/F YEN PO COURT  ,37,17/12/2020,5.32,305,397,17443,13401,1691,35
16,FLAT F 25/F BLOCK 3 TANNER GARDEN ,29,17/12/2020,14.42,734,893,19646,16148,-,
17,FLAT C 21/F JADE MANSION  ,45,16/12/2020,8.1,577,661,14038,12254,2832,36
18,FLAT H 16/F THE CONSONANCE  ,0,16/12/2020,5.89,200,-,29441,-,-,-
19,FLAT D 19/F NOVUM POINT  ,0,16/12/2020,5.79,205,-,28257,-,-,-
20,FLAT F 8/F (BLOCK K) TAK FOOK COURT BEDFORD GARDENS ,39,15/12/2020,6.72,410,495,16390,13576,1182,17
21,FLAT C 28/F CHUANG'S-ON-THE-PARK  ,28,15/12/2020,9.48,413,544,22954,17426,3171,55
22,FLAT D 7/F HONG WANG COURT (BLOCK 4) PHASE 1 HEALTHY VILLAGE,27,15/12/2020,6,452,525,13274,11429,-,
23,FLAT 6 15/F BLOCK A KIU KWAN MANSION ,54,15/12/2020,6.8,760,-,8947,-,-,
24,FLAT A 24/F BLOCK 2 TANNER GARDEN ,29,14/12/2020,11.59,658,779,17614,14878,3638,97
25,FLAT E 34/F BLOCK 1 VICTORIA CENTRE ,39,14/12/2020,8.7,461,530,18872,16415,6458,521
26,FLAT F 26/F BLOCK 13 PHASE 2 CITY GARDEN,34,14/12/2020,14.02,775,869,18090,16133,1543,23
27,FLAT F 7/F TOWER 5A PHASE 1B VICTORIA HARBOUR,2,14/12/2020,10.53,286,-,36835,-,-,-
28,FLAT A 7/F YUE YICK BUILDING  ,31,14/12/2020,5.38,377,553,14271,9729,4620,189
29,FLAT A 15/F MAYSON GARDEN BUILDING  ,47,14/12/2020,12.58,634,850,19842,14800,4236,154
30,FLAT 3 15/F BLOCK A HEALTHY GARDENS ,41,14/12/2020,7.7,456,534,16886,14419,-,
31,FLAT A 22/F GLORY RISE  ,17,14/12/2020,5.93,316,479,18766,12380,3161,89
32,FLAT 3 14/F BLOCK A KWONG CHIU TERRACE ,42,14/12/2020,13,811,1037,16030,12536,-,
33,FLAT D 2/F KIN YIP MANSION  ,34,11/12/2020,4.45,229,302,19432,14735,1281,24
34,FLAT A 21/F BLOCK 6 PROVIDENT CENTRE ,38,11/12/2020,27.5,1308,1537,21024,17892,4677,112
35,FLAT B 21/F BLOCK 6 PROVIDENT CENTRE ,38,11/12/2020,27.5,1308,1537,21024,17892,3089,26
36,FLAT D 18/F (BLOCK G) PAK TAK COURT BEDFORD GARDENS ,39,10/12/2020,12,769,975,15605,12308,3886,132
37,FLAT E 16/F TOWER 1 DRAGON CENTRE ,31,10/12/2020,8.3,515,620,16117,13387,-,
38,FLAT D 6/F BLOCK 1 (GOLDEN PINE COURT) FULL WEALTH GARDENS ,36,10/12/2020,7.3,446,532,16368,13722,2420,50
39,FLAT E 18/F KING'S CENTRE  ,42,10/12/2020,4.6,292,359,15753,12813,9016,293
40,FLAT 14 16/F BLOCK A KIU KWAN MANSION ,54,10/12/2020,4.55,401,-,11347,-,1422,8
41,FLAT 6 5/F BLOCK F HEALTHY GARDENS ,41,10/12/2020,7.2,456,514,15789,14008,2867,68
42,FLAT C 4/F PO FUNG BUILDING  ,29,10/12/2020,6.2,413,498,15012,12450,7689,198
43,FLAT C 7/F WUNSHA COURT  ,28,9/12/2020,6.65,325,503,20462,13221,-,
44,FLAT A 32/F LA PLACE DE VICTORIA  ,15,9/12/2020,16.3,744,980,21909,16633,4666,68
45,FLAT F 21/F THE CONSONANCE  ,0,9/12/2020,7.77,277,-,28038,-,-,-
46,FLAT B 1/F KING'S WAY MANSION  ,46,9/12/2020,9.68,620,749,15613,12924,3118,57
47,FLAT B 19/F THE HEMISPHERES  ,5,9/12/2020,6.88,280,-,24571,-,2558,2
48,FLAT A 10/F BLOCK 1 PROVIDENT CENTRE ,38,8/12/2020,23.9,1249,1431,19135,16702,4898,162
