,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 41 11/F TOWER 5 PARKVIEW CLUB & SUITES HONG KONG PARKVIEW,31,23/12/2020,27.1,1042,1308,26008,20719,-,
1,HOUSE 5 NO. 28 HOUSE 5 NO. 28 BARKER ROAD ,7,18/12/2020,530,4270,-,124122,-,1851,-2
2,FLAT B 9/F TOWER 6 SITE A (PHASE IV) REDHILL PENINSULA,28,14/12/2020,24.75,1013,1391,24432,17793,1512,14
3,BLOCK 9 (NO. 24) 6/F BLOCK 9-10 REPULSE BAY GARDEN ,47,10/12/2020,60.3,2049,2288,29429,26355,6269,364
4,HOUSE 5 NO. 48 HOUSE 5 MANDERLY GARDEN ,34,4/12/2020,168,3160,3504,53165,47945,7885,489
5,FLAT 10 7/F CHI TAK HOUSE (BLOCK C) LUNG TAK COURT ,20,2/12/2020,3.28,214,283,15327,11590,-,
6,HOUSE B NO. 37 HOUSE B 37 TUNG TAU WAN ROAD ,42,2/12/2020,85,2491,-,34123,-,-,
7,FLAT C 4/F BLOCK C-D RIDGE COURT ,58,2/12/2020,50.8,1780,2300,28539,22087,5824,145
8,FLAT D G/F BLOCK D PARISIAN ,31,1/12/2020,30.8,1372,1700,22449,18118,-,
9,FLAT A 7/F SOUTH BAY TOWERS  ,36,30/11/2020,28.2,1112,1433,25360,19679,-,
10,HOUSE 142 SITE B (CEDAR DRIVE) HOUSE 142 (HOUSE T4) SITE B THE REDHILL PENINSULA,29,27/11/2020,100,3136,3339,31888,29949,-,-
11,FLAT D 7/F TOWER 2 NO. 8 DEEP WATER BAY DRIVE ,2,27/11/2020,180.5,2764,-,65302,-,-,-
12,FLAT B 16/F PINE CREST  ,38,25/11/2020,75.5,1917,2250,39384,33556,-,
13,FLAT 41 23/F TOWER 5 PARKVIEW CLUB & SUITES HONG KONG PARKVIEW,31,24/11/2020,28.18,1042,1308,27044,21544,4947,134
14,FLAT A 2/F TOWER 4 SITE A (PHASE IV) REDHILL PENINSULA,28,24/11/2020,34.8,1567,2143,22208,16239,8739,85
15,FLAT B 4/F DONMARK MANSION   (with roof),33,23/11/2020,5.5,375,526,14667,10456,-,
16,FLAT A 2/F BLOCK 6 STANFORD VILLA  (with roof),25,19/11/2020,22,855,1052,25731,20913,2398,25
17,FLAT A 5/F TOWER II SOUTH BAY PALACE ,20,19/11/2020,45.58,1947,2636,23410,17291,3929,34
18,FLAT D 5/F YAU WING LAU  ,42,17/11/2020,4.05,235,-,17234,-,1204,18
19,FLAT A 23/F BLOCK 3 PACIFIC VIEW ,29,16/11/2020,39.15,1674,2054,23387,19060,4462,22
20,FLAT D 5/F TOWER 2 NO. 8 DEEP WATER BAY DRIVE ,2,16/11/2020,174.77,2764,-,63229,-,-,-
21,FLAT 2 1/F BLOCK B SOUTH BAY GARDEN ,35,13/11/2020,32,1296,1542,24691,20752,1988,31
22,FLAT B 18/F BLOCK 2 GRAND GARDEN ,34,11/11/2020,31.5,1089,1463,28926,21531,9108,247
23,FLAT 73 9/F TOWER 13 PARKVIEW HEIGHTS HONG KONG PARKVIEW,32,11/11/2020,61.38,2308,2787,26594,22024,8936,185
24,FLAT B 6/F TOWER 2 RUBY COURT ,33,10/11/2020,36.9,1390,1780,26547,20730,8754,125
25,NO. 25 1/F U-C COURT  ,39,6/11/2020,31.5,955,1250,32984,25200,8634,363
26,FLAT A 10/F TOWER 3 SITE A (PHASE IV) REDHILL PENINSULA,28,4/11/2020,24.7,1013,1401,24383,17630,-,
27,FLAT 31 2/F SHING TAK HOUSE (BLOCK B) LUNG TAK COURT ,20,2/11/2020,4.15,421,559,9857,7424,-,
28,FLAT 1 4/F CHUN TAK HOUSE (BLOCK A) LUNG TAK COURT ,20,2/11/2020,3.2,214,283,14953,11307,-,
29,FLAT 8 7/F LUNG CHUN HOUSE (BLOCK A) LUNG YAN COURT ,27,19/10/2020,5.48,431,631,12715,8685,-,
30,FLAT 34 1/F SHING TAK HOUSE (BLOCK B) LUNG TAK COURT ,20,16/10/2020,3.3,214,283,15421,11661,-,
31,HOUSE 19 NO. 8 HOUSE 19 SEVERN 8 ,15,15/10/2020,175,2363,3330,74058,52553,4872,74
32,FLAT A 16/F TOWER 2 RUBY COURT ,33,15/10/2020,43,1390,1780,30935,24157,8956,205
33,FLAT 67 9/F TOWER 11 PARKVIEW TERRACE HONG KONG PARKVIEW,32,14/10/2020,60.5,2049,2541,29527,23810,6809,317
34,NO. 37 NO. 37 37 SHOUSON HILL ROAD  ,0,30/9/2020,2566,-,-,-,-,-,-
35,FLAT 1 3/F CHI TAK HOUSE (BLOCK C) LUNG TAK COURT ,20,30/9/2020,3.6,214,283,16822,12721,-,
36,HOUSE 68 SITE D (CEDAR DRIVE) HOUSE 68 SITE D THE REDHILL PENINSULA,30,28/9/2020,206,-,-,-,-,7948,368
37,FLAT A 4/F YU HOI HOUSE  ,36,25/9/2020,4.2,351,500,11966,8400,5692,276
38,FLAT D1 NO. 11 NO. 11 9-11 HORIZON DRIVE ,45,25/9/2020,45,1290,1700,34884,26471,-,
39,NO. 19/21 1/F 19-21 STANLEY MAIN STREET  ,49,23/9/2020,3.08,286,-,10769,-,-,
40,FLAT 2 NO. 52 52 STANLEY VILLAGE ROAD  ,61,18/9/2020,54,1738,1800,31070,30000,-,
41,HOUSE F NO. 33 HOUSE F NO. 33 CAPE ROAD ,15,17/9/2020,53,2340,3140,22650,16879,3585,-3
42,FLAT D 8/F TOWER 2 NO. 8 DEEP WATER BAY DRIVE ,2,8/9/2020,179.6,2764,-,64978,-,-,-
43,HOUSE B NO. 40 HOUSE B ISLAND GROVE ,16,8/9/2020,285,3148,-,90534,-,-,
44,HOUSE B11 NO. 88 HOUSE B11 (TYPE II) PHASE 1 REGALIA BAY,17,7/9/2020,70.8,2790,4053,25376,17469,6052,84
45,FLAT B 9/F TOWER 1 SITE A (PHASE IV) REDHILL PENINSULA,28,7/9/2020,38,1567,2143,24250,17732,2017,3
46,NO. 24 7/F BLOCK B CAROLINA GARDEN (MANSIONS)  (with roof),56,7/9/2020,143,2448,2800,58415,51071,-,
47,FLAT A 8/F PINE CREST  ,38,28/8/2020,75,1917,2250,39124,33333,8453,105
48,FLAT B 10/F TOWER 5 SITE A (PHASE IV) REDHILL PENINSULA,28,25/8/2020,30,1567,2143,19145,13999,-,
49,FLAT 51 6/F TOWER 7 PARKVIEW RISE HONG KONG PARKVIEW,32,21/8/2020,41,1505,1924,27243,21310,2791,29
50,HOUSE A17 NO. 88 HOUSE A17 (TYPE III) PHASE 1 REGALIA BAY,17,20/8/2020,70,3034,4212,23072,16619,2507,-11
51,FLAT C 5/F 18-20B STANLEY MAIN STREET   (with roof),46,13/8/2020,5.15,374,-,13770,-,-,
52,BLOCK 3 (NO. 36) 6/F BLOCK 3-4 REPULSE BAY GARDEN ,47,7/8/2020,81.3,2576,2800,31561,29036,-,
53,FLAT F 1/F THE BEACHSIDE  ,27,7/8/2020,21.5,692,950,31069,22632,3969,109
54,NO. 17 7/F FABER VILLA  ,45,7/8/2020,86,2631,3100,32687,27742,3599,91
55,HOUSE 44 SITE D (PALM DRIVE) HOUSE 44 SITE D THE REDHILL PENINSULA,30,31/7/2020,62.5,2583,2588,24197,24150,2918,-11
56,FLAT C 5/F TOWER 1 SOUTH BAY PALACE ,20,31/7/2020,27,1367,1780,19751,15169,1858,11
57,FLAT A 12/F TOWER 1 SITE A (PHASE IV) REDHILL PENINSULA,28,31/7/2020,42.8,1575,2153,27175,19879,-,
