,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT A 26/F TOWER 4 LING PAK MANSION PARKVALE ,31,23/12/2020,12.55,659,788,19044,15926,-,
1,FLAT H 2/F TAI KUT HOUSE  ,54,23/12/2020,4.3,380,-,11316,-,-,
2,FLAT 1 12/F BLOCK A MOUNT PARKER LODGE ,31,22/12/2020,13.98,872,1005,16032,13910,4881,207
3,FLAT A 9/F TOWER 2 KORNVILLE ,25,22/12/2020,10.13,604,777,16772,13037,1721,53
4,FLAT 10 27/F BLOCK C (FLAT 9 - 16) KORNHILL ,34,21/12/2020,9.04,505,621,17897,14554,4344,200
5,FLAT G 25/F BLOCK 9 NAN FUNG SUN CHUEN ,42,21/12/2020,6,391,474,15345,12658,2632,21
6,FLAT C 15/F BLOCK 5 NAN FUNG SUN CHUEN ,42,18/12/2020,7.1,391,474,18159,14979,7664,318
7,FLAT F 5/F TOWER 2 SHUI PAK MANSION PARKVALE ,31,18/12/2020,8.37,550,686,15215,12198,2873,39
8,FLAT 10 14/F BLOCK G (FLAT 9 - 16) KORNHILL ,34,18/12/2020,7.15,529,642,13516,11137,2069,0
9,FLAT C 20/F TAK FAT BUILDING  ,35,17/12/2020,4.95,259,374,19112,13235,1729,18
10,FLAT H 25/F BLOCK 7 NAN FUNG SUN CHUEN ,42,17/12/2020,8.88,570,692,15579,12832,1592,31
11,FLAT H 2/F TAI LUNG HOUSE  ,60,17/12/2020,3.95,360,450,10972,8778,4987,354
12,FLAT P 5/F TAI KUT HOUSE  ,54,15/12/2020,4.8,380,-,12632,-,-,
13,FLAT 2 15/F BLOCK D WESTLANDS GARDENS ,45,15/12/2020,12,848,980,14151,12245,5920,314
14,FLAT 7 11/F BLOCK G (FLAT 1 - 8) KORNHILL ,34,14/12/2020,8.99,529,642,16994,14003,-,
15,FLAT 13 23/F BLOCK F (FLAT 9 - 16) KORNHILL ,34,14/12/2020,11.2,596,748,18792,14973,4526,106
16,FLAT N 3/F TAI CHOW HOUSE  ,60,14/12/2020,3.8,312,-,12179,-,-,
17,FLAT 3 11/F BLOCK A BO FUNG GARDENS ,48,14/12/2020,8,626,800,12780,10000,-,
18,FLAT A 26/F BLOCK 4 KORNHILL GARDEN ,33,10/12/2020,6.2,484,587,12810,10562,-,
19,FLAT 22 2/F MONTANE MANSION  ,48,10/12/2020,3,360,-,8333,-,-,
20,FLAT C 19/F CASA 880  ,12,9/12/2020,15,792,1066,18939,14071,5110,107
21,FLAT E 23/F OCEANIC BUILDING  ,31,9/12/2020,8.28,493,603,16795,13731,8599,118
22,FLAT C 15/F BLOCK 9 NAN FUNG SUN CHUEN ,42,9/12/2020,7.08,391,474,18107,14937,3647,116
23,FLAT 14 23/F BLOCK F (FLAT 9 - 16) KORNHILL ,34,9/12/2020,9.53,524,642,18183,14841,4526,125
24,FLAT 2 28/F BLOCK Q (FLAT 1 - 8) KORNHILL ,33,8/12/2020,8.6,466,583,18455,14751,1960,19
25,FLAT C 25/F BLOCK 5 NAN FUNG SUN CHUEN ,42,8/12/2020,7.3,391,474,18670,15401,4165,173
26,FLAT 16 12/F BLOCK R (FLAT 9 - 16) KORNHILL ,33,8/12/2020,10.45,616,756,16964,13823,-,
27,FLAT 7 15/F BLOCK C (FLAT 1 - 8) KORNHILL ,34,8/12/2020,8.7,505,621,17228,14010,8401,99
28,FLAT F 12/F BLOCK 1 NAN FUNG SUN CHUEN ,43,7/12/2020,6.8,391,474,17391,14346,3654,115
29,FLAT C 5/F BLOCK 2 NAN FUNG SUN CHUEN ,43,7/12/2020,6.59,391,474,16854,13903,5653,264
30,FLAT D 16/F GRANDVIEW COURT  ,33,7/12/2020,6.72,339,476,19823,14118,1526,25
31,FLAT B 30/F BLOCK 1 KORNHILL GARDEN ,33,4/12/2020,7.03,592,717,11875,9805,-,
32,FLAT 5 27/F BLOCK E (FLAT 1 - 8) KORNHILL ,34,3/12/2020,10.38,596,748,17416,13877,3668,85
33,FLAT B 7/F KA WING BUILDING  ,38,2/12/2020,5.5,325,388,16923,14175,5433,340
34,FLAT C 12/F FORTWEST  ,38,1/12/2020,7.04,439,575,16032,12240,4696,169
35,FLAT D 17/F TOWER 2 THE FLORIDIAN ,23,1/12/2020,15.15,731,910,20725,16648,1941,19
36,FLAT 5 7/F BLOCK N (FLAT 1 - 8) KORNHILL ,33,1/12/2020,10,616,762,16234,13123,4724,158
37,FLAT 13 18/F BLOCK Q (FLAT 9 - 16) KORNHILL ,33,30/11/2020,10,616,756,16234,13228,3262,72
38,FLAT 6 15/F BLOCK P (FLAT 1 - 8) KORNHILL ,33,30/11/2020,8.5,461,582,18438,14605,-,
