,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B 15/F MILLENNIUM COURT  ,20,23/12/2020,5.16,253,439,20395,11754,1144,27
1,FLAT D 20/F MONTI  ,1,23/12/2020,6.24,286,-,21824,-,-,-
2,FLAT B 10/F TAK FOOK HOUSE (BLOCK 1) WALTON ESTATE ,38,23/12/2020,5.75,434,522,13249,11015,-,
3,FLAT B 24/F BLOCK 1 FELICITY GARDEN ,30,22/12/2020,10,652,773,15337,12937,2356,39
4,FLAT B 28/F MONTI  ,1,22/12/2020,6.81,286,-,23795,-,-,-
5,FLAT C 11/F TUNG HING BUILDING  ,45,22/12/2020,5.5,434,-,12673,-,3816,511
6,FLAT A 22/F MONTI  ,1,22/12/2020,8.46,386,-,21920,-,-,-
7,FLAT E 4/F BLOCK 1 SHAUKIWAN CENTRE ,38,22/12/2020,3.97,307,378,12932,10503,3776,129
8,FLAT 8 19/F LEE GA BUILDING  ,39,22/12/2020,5.59,358,448,15615,12478,4039,233
9,FLAT G 39/F TOWER 5 ISLAND RESORT ,19,22/12/2020,8.1,457,650,17724,12462,2710,47
10,FLAT A 14/F WAH TONG BUILDING  ,43,21/12/2020,4,267,-,14981,-,-,
11,FLAT A 23/F I•UNIQ RESIDENCE  ,7,21/12/2020,8,446,581,17937,13769,2337,17
12,FLAT E 31/F PARKER33  ,3,21/12/2020,4.88,209,-,23349,-,1592,8
13,FLAT 5 10/F BIK TSUI HOUSE (BLOCK B) HIU TSUI COURT ,30,21/12/2020,4.8,401,514,11970,9339,-,
14,FLAT 3 22/F BLOCK C SUN SING CENTRE  (with roof),37,18/12/2020,5.88,350,421,16800,13967,5052,342
15,FLAT G 36/F TOWER 7 ISLAND RESORT ,19,18/12/2020,8,455,650,17582,12308,3949,137
16,FLAT G 46/F TOWER 6 ISLAND RESORT ,19,18/12/2020,8.6,493,710,17444,12113,3070,66
17,FLAT H 26/F TOWER 5 GRAND PROMENADE ,15,18/12/2020,7.1,314,438,22611,16210,1537,17
18,FLAT 7 16/F BLOCK C WINNER CENTRE ,38,18/12/2020,4.43,254,371,17441,11941,7535,339
19,FLAT V 14/F BLOCK B YEN LOK BUILDING ,47,17/12/2020,3.88,285,-,13614,-,2439,64
20,FLAT 14 7/F TAI ON BUILDING  ,52,17/12/2020,3.63,352,465,10313,7806,3615,82
21,FLAT G 18/F TOWER 7 GREENWOOD TERRACE ,35,17/12/2020,6.28,504,582,12460,10790,-,
22,FLAT D 13/F PO MAN BUILDING  ,44,17/12/2020,6.48,489,590,13252,10983,2801,41
23,FLAT A 31/F TOWER 2 ISLAND RESORT ,19,16/12/2020,10.38,597,878,17387,11822,3027,64
24,FLAT H 3/F BLOCK 4 FULLVIEW GARDEN ,27,16/12/2020,4.5,592,707,7601,6365,-,
25,FLAT R 11/F HUNG LEE BUILDING  ,47,16/12/2020,3.93,274,420,14343,9357,3063,82
26,FLAT A 15/F L HIVER (TOWER 4) LES SAISONS ,19,16/12/2020,11.52,551,739,20907,15589,4375,192
27,FLAT A 15/F BLOCK 11 YEE HOI MANSION SITES C LEI KING WAN,31,16/12/2020,13.5,808,896,16708,15067,-,
28,FLAT 13 34/F SAU FUNG HOUSE (BLOCK 3) FUNG WAH ESTATE ,29,16/12/2020,2.46,443,-,5553,-,-,
29,FLAT E 11/F WAH TAI MANSION  ,44,16/12/2020,4.62,357,-,12941,-,-,
30,FLAT D 26/F BLOCK 3 FELICITY GARDEN ,30,15/12/2020,10.5,767,907,13690,11577,4771,164
31,FLAT A 3/F THE EASTBORNE  ,21,15/12/2020,6.16,407,579,15135,10639,4575,187
32,FLAT A 4/F HUNG YAN BUILDING  ,30,15/12/2020,5.6,343,498,16327,11245,3733,137
33,FLAT G 7/F TOWER 2 LIME GALA ,2,15/12/2020,9.8,470,-,20851,-,1503,8
34,FLAT C 20/F LE RIVIERA  ,6,14/12/2020,6.2,276,-,22464,-,2299,19
35,FLAT 9 28/F TSUI NING HOUSE (BLOCK D) TSUI WAN ESTATE ,32,11/12/2020,2.8,385,-,7273,-,-,
36,FLAT E 6/F BLOCK 10 YEE QUN MANSION SITES C LEI KING WAN,31,11/12/2020,9.68,539,630,17959,15365,5333,250
37,NO. 21 6/F 21 KAM WA STREET  ,54,11/12/2020,5.17,659,900,7838,5739,-,
38,FLAT B 5/F THE OAKRIDGE  ,17,11/12/2020,6.93,399,567,17368,12222,2386,54
