,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT G 9/F TOWER 2 QUEEN'S TERRACE ,17,23/12/2020,11,516,757,21318,14531,2175,33
1,FLAT A 7/F WINSING BUILDING  ,47,23/12/2020,4,386,-,10363,-,-,
2,FLAT B 27/F TOWER 2 CENTRE STAGE ,14,23/12/2020,11,400,540,27500,20370,-,
3,FLAT C 2/F 19 GOUGH STREET  ,53,23/12/2020,6.95,-,-,-,-,-,
4,FLAT B 19/F CENTRE PLACE  ,14,22/12/2020,15,579,795,25907,18868,5109,123
5,NO. 15 5/F 15 BURD STREET  ,51,22/12/2020,4.5,340,-,13235,-,-,
6,FLAT C 17/F PRINCETON TOWER  ,17,21/12/2020,9.28,488,677,19016,13708,1943,25
7,FLAT A 7/F TALON TOWER  ,18,21/12/2020,8.55,488,722,17520,11842,3034,43
8,NO. 4 2/F 4 SHIN HING STREET  ,50,18/12/2020,8,386,-,20725,-,2000,41
9,FLAT D 28/F BLOCK A HOLLYWOOD TERRACE ,21,18/12/2020,15.02,764,938,19660,16013,-,
10,FLAT C 14/F WO ON BUILDING  ,48,18/12/2020,5.3,308,-,17208,-,-,
11,NO. 50 2/F 46-50 ELGIN STREET  ,52,18/12/2020,9,455,-,19780,-,807,6
12,FLAT 2 10/F MANHATTAN AVENUE  ,16,17/12/2020,8.18,403,553,20298,14792,4250,152
13,FLAT B 1/F CARBO MANSION  ,32,16/12/2020,6.3,343,488,18367,12910,-,
14,FLAT A 25/F MEDAL COURT  ,16,15/12/2020,7.32,372,601,19677,12180,2994,50
15,FLAT A 18/F LAI YAN LAU  ,40,11/12/2020,5.5,320,401,17188,13716,2045,10
16,FLAT C 10/F CARBO MANSION  ,32,11/12/2020,5.25,281,420,18683,12500,5065,279
17,FLAT C 19/F ARBUTHNOT HOUSE  ,41,11/12/2020,10,533,698,18762,14327,4781,111
18,FLAT B 2/F BLOCK A HOLLYWOOD TERRACE ,21,11/12/2020,10,615,755,16260,13245,-,
19,FLAT D 8/F CENTRE POINT  ,9,10/12/2020,8.4,339,486,24779,17284,1283,10
20,FLAT B 43/F PRINCETON TOWER  ,17,10/12/2020,10,489,716,20450,13966,2342,19
21,NO. 22 2/F 22-24 EASTERN STREET  ,47,10/12/2020,5.15,321,-,16044,-,-,
22,FLAT F 7/F GARLEY BUILDING  ,35,9/12/2020,5.23,296,375,17669,13947,-,
23,FLAT E 25/F TOWER 3 QUEEN'S TERRACE ,17,9/12/2020,10.6,478,687,22176,15429,1446,33
24,FLAT H 8/F TOWER 2 QUEEN'S TERRACE ,17,8/12/2020,7,322,468,21739,14957,1657,43
25,FLAT C 37/F TOWER 3 QUEEN'S TERRACE ,17,8/12/2020,11.2,490,695,22857,16115,5522,200
26,FLAT G 3/F TOWER 2 QUEEN'S TERRACE ,17,8/12/2020,10.3,516,757,19961,13606,6563,379
27,NO. 58 5/F 58-60 QUEEN'S ROAD WEST   (with roof),50,8/12/2020,5.08,307,-,16547,-,-,
28,NO. 60 5/F 58-60 QUEEN'S ROAD WEST   (with roof),50,8/12/2020,4.6,321,-,14330,-,-,
29,FLAT B 37/F TOWER 3 QUEEN'S TERRACE ,17,8/12/2020,13.3,612,871,21732,15270,718,0
30,FLAT C 3/F 7-11 SQUARE STREET  ,47,4/12/2020,4.5,297,-,15152,-,1367,27
31,FLAT D 26/F PRINCETON TOWER  ,17,2/12/2020,9.68,488,677,19836,14298,3075,50
32,FLAT A 16/F MACRO GARDEN (KA LOK GARDEN)  ,25,1/12/2020,5.8,298,493,19463,11765,5651,320
33,FLAT B 9/F SUNWISE BUILDING  ,45,1/12/2020,5.2,302,400,17219,13000,2486,49
34,NO. 126 9/F ON SHUN MANSION  ,43,30/11/2020,5.5,307,-,17915,-,2188,49
