,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT H 24/F MEI CHUN COURT (BLOCK 21) PHASE 3 SOUTH HORIZONS,27,23/12/2020,16.2,879,1107,18430,14634,4997,168
1,FLAT F 11/F HOI SING COURT (BLOCK 1) PHASE 1 SOUTH HORIZONS,29,21/12/2020,8.7,532,636,16353,13679,5226,295
2,FLAT H 20/F HOI SING COURT (BLOCK 1) PHASE 1 SOUTH HORIZONS,29,18/12/2020,9,529,652,17013,13804,3083,68
3,FLAT H 27/F MEI CHUN COURT (BLOCK 21) PHASE 3 SOUTH HORIZONS,27,18/12/2020,16.68,879,1107,18976,15068,4897,166
4,FLAT G 4/F PAK KING COURT (BLOCK 31) PHASE 4 THE OASIS SOUTH HORIZONS,26,18/12/2020,10,686,855,14577,11696,3931,122
5,FLAT G 28/F MEI CHUN COURT (BLOCK 21) PHASE 3 SOUTH HORIZONS,27,17/12/2020,16.6,886,1100,18736,15091,4543,102
6,FLAT A 15/F FUNG KING COURT (BLOCK 29) PHASE 4 THE OASIS SOUTH HORIZONS,26,17/12/2020,8.4,545,679,15413,12371,2103,24
7,FLAT F 27/F HOI NING COURT (BLOCK 5) PHASE 1 SOUTH HORIZONS,29,16/12/2020,10,610,748,16393,13369,8518,86
8,FLAT A 14/F YEE MOON COURT (BLOCK 12) PHASE 2 SOUTH HORIZONS,28,16/12/2020,10.3,633,798,16272,12907,6230,348
9,FLAT B 27/F HOI SING COURT (BLOCK 1) PHASE 1 SOUTH HORIZONS,29,16/12/2020,11,629,776,17488,14175,4007,135
10,FLAT C 21/F HOI SING COURT (BLOCK 1) PHASE 1 SOUTH HORIZONS,29,15/12/2020,10,629,776,15898,12887,6542,405
11,FLAT A 19/F HOI SING COURT (BLOCK 1) PHASE 1 SOUTH HORIZONS,29,15/12/2020,10.95,631,787,17353,13914,2265,36
12,FLAT G 29/F MEI KA COURT (BLOCK 23A) PHASE 3 SOUTH HORIZONS,26,15/12/2020,14.6,771,982,18936,14868,-,
13,FLAT D 26/F FENTON COURT (BLOCK 27) PHASE 4 THE OASIS SOUTH HORIZONS,25,11/12/2020,8.7,519,654,16763,13303,3699,118
14,FLAT B 25/F YEE LOK COURT (BLOCK 13) PHASE 2 SOUTH HORIZONS,28,10/12/2020,10.6,630,769,16825,13784,4801,201
15,FLAT D 26/F HOI YAT COURT (BLOCK 6) PHASE 1 SOUTH HORIZONS,28,10/12/2020,11.2,721,866,15534,12933,-,
16,FLAT B 29/F EATON COURT (BLOCK 26) PHASE 4 THE OASIS SOUTH HORIZONS,25,10/12/2020,8.76,516,667,16977,13133,7322,258
17,FLAT A 26/F YEE WAN COURT (BLOCK 15) PHASE 2 SOUTH HORIZONS,27,10/12/2020,10.34,623,776,16594,13322,4203,173
18,FLAT C 28/F CAMBRIDGE COURT (BLOCK 33A) PHASE 4 THE OASIS SOUTH HORIZONS,25,10/12/2020,7.5,543,679,13812,11046,7742,141
19,FLAT E 32/F YEE LOK COURT (BLOCK 13) PHASE 2 SOUTH HORIZONS,28,9/12/2020,9.8,633,798,15482,12281,4721,136
