,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT E 26/F (T-24)  HAN KUNG MANSION KAM DIN TERRACE TAIKOO SHING,41,23/12/2020,12.9,702,800,18376,16125,7620,272
1,FLAT E 13/F (T-48)  HOI SING MANSION SING FAI TERRACE TAIKOO SHING,39,22/12/2020,9.88,503,600,19642,16467,2996,52
2,FLAT H 21/F (T-15)  FOONG SHAN MANSION KAO SHAN TERRACE TAIKOO SHING,42,21/12/2020,9.3,530,629,17547,14785,3631,75
3,FLAT A 21/F (T-52)  KAM SING MANSION SING FAI TERRACE TAIKOO SHING,38,17/12/2020,11.88,582,675,20412,17600,8973,202
4,FLAT A 29/F (T-30)  HING ON MANSION ON SHING TERRACE TAIKOO SHING,40,17/12/2020,11.5,583,675,19726,17037,-,
5,FLAT H 28/F (T-28)  PO ON MANSION ON SHING TERRACE TAIKOO SHING,40,16/12/2020,14,706,800,19830,17500,2001,19
6,FLAT E 13/F (T-47)  TIEN SING MANSION SING FAI TERRACE TAIKOO SHING,39,14/12/2020,11.35,580,675,19569,16815,4178,125
7,FLAT B 22/F (T-47)  TIEN SING MANSION SING FAI TERRACE TAIKOO SHING,39,14/12/2020,11.1,707,800,15700,13875,-,
8,FLAT E 12/F (T-48)  HOI SING MANSION SING FAI TERRACE TAIKOO SHING,39,11/12/2020,9,503,600,17893,15000,1987,9
9,FLAT A 23/F (T-38)  JUNIPER MANSION HARBOUR VIEW GARDENS (WEST) TAIKOO SHING,37,11/12/2020,24.6,1114,1237,22083,19887,5895,280
10,FLAT A 11/F (T-34)  BANYAN MANSION HARBOUR VIEW GARDENS (WEST) TAIKOO SHING,39,11/12/2020,24.5,1114,1232,21993,19886,7567,240
11,FLAT H 7/F (T-23)  HSIA KUNG MANSION KAM DIN TERRACE TAIKOO SHING,41,10/12/2020,12.3,702,800,17519,15373,4704,112
12,FLAT B 25/F (T-55)  KAI TIEN MANSION HORIZON GARDENS TAIKOO SHING,34,10/12/2020,13.5,800,903,16875,14950,2852,24
13,FLAT E 9/F (T-18)  FU SHAN MANSION KAO SHAN TERRACE TAIKOO SHING,42,9/12/2020,10.33,593,691,17420,14949,1305,17
14,FLAT G 27/F (T-40)  BEGONIA MANSION HARBOUR VIEW GARDENS (EAST) TAIKOO SHING,35,8/12/2020,23.65,1015,1137,23300,20800,7612,230
15,FLAT B 20/F (T-12)  HENG SHAN MANSION KAO SHAN TERRACE TAIKOO SHING,42,8/12/2020,12,684,779,17544,15404,-,
16,FLAT E 9/F (T-17)  KAM SHAN MANSION KAO SHAN TERRACE TAIKOO SHING,42,7/12/2020,9.8,593,691,16526,14182,3311,70
17,FLAT H 21/F (T-30)  HING ON MANSION ON SHING TERRACE TAIKOO SHING,40,4/12/2020,10.5,583,675,18010,15556,-,
18,FLAT H 16/F (T-45)  TUNG HOI MANSION KWUN HOI TERRACE TAIKOO SHING,36,2/12/2020,14.5,708,825,20480,17576,2544,58
19,FLAT H 20/F (T-07)  TIEN SHAN MANSION KAO SHAN TERRACE TAIKOO SHING,43,30/11/2020,10.7,582,675,18385,15852,3985,107
20,FLAT G 15/F (T-30)  HING ON MANSION ON SHING TERRACE TAIKOO SHING,40,30/11/2020,10,506,600,19763,16667,1085,14
21,FLAT F 20/F (T-30)  HING ON MANSION ON SHING TERRACE TAIKOO SHING,40,30/11/2020,9.5,506,600,18775,15833,-,
22,FLAT B 18/F (T-28)  PO ON MANSION ON SHING TERRACE TAIKOO SHING,40,26/11/2020,13.68,714,800,19160,17100,3442,75
23,FLAT G 22/F (T-09)  LU SHAN MANSION KAO SHAN TERRACE TAIKOO SHING,43,26/11/2020,10.7,589,675,18166,15852,2966,41
24,FLAT H 25/F (T-01)  TUNG TING MANSION TSUI WOO TERRACE TAIKOO SHING,44,26/11/2020,9.64,545,641,17684,15036,1978,12
25,FLAT E 7/F (T-44)  PAK HOI MANSION KWUN HOI TERRACE TAIKOO SHING,35,26/11/2020,12.5,708,825,17655,15152,1269,-3
26,FLAT B 26/F (T-26)  TSUI KUNG MANSION KAM DIN TERRACE TAIKOO SHING,41,25/11/2020,17.5,785,883,22293,19819,4032,148
27,FLAT C 4/F (T-62)  NAM TIEN MANSION HORIZON GARDENS TAIKOO SHING,34,24/11/2020,11.38,680,786,16735,14478,4181,130
28,FLAT B 3/F (T-26)  TSUI KUNG MANSION KAM DIN TERRACE TAIKOO SHING,41,20/11/2020,12.3,785,883,15669,13930,-,
29,FLAT H 10/F (T-28)  PO ON MANSION ON SHING TERRACE TAIKOO SHING,40,19/11/2020,10.38,706,800,14703,12975,3849,60
30,FLAT G 25/F (T-01)  TUNG TING MANSION TSUI WOO TERRACE TAIKOO SHING,44,17/11/2020,10,580,678,17241,14749,1975,11
31,FLAT C 8/F (T-32)  KO ON MANSION ON SHING TERRACE TAIKOO SHING,40,17/11/2020,13.38,701,800,19087,16725,3824,116
32,FLAT C 7/F (T-47)  TIEN SING MANSION SING FAI TERRACE TAIKOO SHING,39,13/11/2020,13.65,707,800,19307,17063,4602,125
33,FLAT D 6/F (T-30)  HING ON MANSION ON SHING TERRACE TAIKOO SHING,40,13/11/2020,11.18,583,675,19177,16563,-,
34,FLAT F 23/F (T-10)  NAN SHAN MANSION KAO SHAN TERRACE TAIKOO SHING,43,12/11/2020,10.6,582,675,18213,15704,4874,203
