,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT A 11/F 229-231 LOCKHART ROAD  ,51,23/12/2020,4.25,286,-,14860,-,-,
1,FLAT A 9/F OI KWAN COURT  ,40,23/12/2020,6.08,384,498,15833,12209,3178,27
2,FLAT C 7/F TOWER 1 PHASE 2 THE AVENUE,5,21/12/2020,10.5,431,-,24362,-,2561,32
3,FLAT B 5/F MOONSTAR COURT  ,38,21/12/2020,5.86,250,330,23440,17758,2251,29
4,FLAT A 6/F CLEVELAND MANSION  ,58,21/12/2020,18.2,1206,1600,15091,11375,5561,250
5,FLAT G 17/F OI KWAN COURT  ,40,21/12/2020,5.95,342,444,17398,13401,4141,148
6,FLAT A7 8/F BLOCK A PEARL CITY MANSION ,50,21/12/2020,7.5,563,730,13321,10274,5046,160
7,FLAT B 53/F THE OAKHILL  ,9,18/12/2020,39.5,1185,1551,33333,25467,3544,35
8,FLAT 5 6/F SOUTHORN GARDEN  ,32,18/12/2020,7.91,516,667,15326,11856,4394,182
9,FLAT D 12/F THE GLOUCESTER  ,8,18/12/2020,8.8,368,520,23913,16923,3532,-15
10,FLAT E 11/F CAPITAL BUILDING  ,43,18/12/2020,5.35,329,391,16261,13683,2844,34
11,NO. 217 11/F HENNESSY ROAD COURT  ,52,18/12/2020,5.43,369,-,14715,-,2518,48
12,NO. 5 13/F 5 STAR STREET  ,10,18/12/2020,9.59,408,676,23500,14183,3942,-19
13,FLAT A 5/F FLEMING MANSION  ,52,18/12/2020,5.8,427,-,13583,-,2433,26
14,FLAT C 9/F CHIU HIN MANSION  ,43,17/12/2020,5.26,314,425,16752,12376,-,
15,FLAT A 28/F MANRICH COURT  ,30,17/12/2020,9.53,415,568,22964,16778,2085,7
16,FLAT B 22/F ABLE BUILDING  ,24,17/12/2020,7.6,324,608,23457,12500,5724,219
17,FLAT C 12/F THE GLOUCESTER  ,8,17/12/2020,9.6,368,520,26087,18462,3525,-8
18,FLAT D 9/F LI CHIT GARDEN  ,26,17/12/2020,8,451,584,17738,13699,9115,213
19,FLAT C4 7/F BLOCK C PATERSON BUILDING ,61,16/12/2020,8.6,688,800,12500,10750,5395,202
20,FLAT B 4/F HOI KUNG COURT  ,54,16/12/2020,12.9,717,900,17992,14333,942,3
21,FLAT 2 5/F BLOCK A WING TAK BUILDING ,48,15/12/2020,5.15,374,400,13770,12875,3049,62
22,FLAT 6 16/F BLOCK C ELIZABETH HOUSE ,42,14/12/2020,7.9,536,623,14739,12681,8600,96
23,FLAT A 21/F BRILLIANT COURT  ,20,14/12/2020,8.18,385,522,21247,15670,5739,182
24,FLAT C 6/F TOWER 1 PHASE 1 THE ZENITH,14,14/12/2020,9.84,488,660,20164,14909,4722,101
25,FLAT P 6/F BLOCK D KWONG SANG HONG BUILDING ,40,11/12/2020,6.4,401,520,15960,12308,-,
26,FLAT C 22/F THE GLOUCESTER  ,8,10/12/2020,10.3,372,525,27688,19619,1522,11
27,FLAT 3 3/F BLOCK A KINGSTON BUILDING ,55,10/12/2020,7.5,661,900,11346,8333,-,
28,FLAT D 4/F HENNING HOUSE  ,49,10/12/2020,6.5,501,-,12974,-,3316,30
29,FLAT C 4/F PO MING BUILDING  ,56,10/12/2020,6.35,499,-,12725,-,-,
30,FLAT D 2/F WEALTHY MANSION  ,46,9/12/2020,4.4,245,300,17959,14667,1998,19
31,FLAT B 19/F WING SHING BUILDING (MANSION)  ,33,9/12/2020,4.77,254,432,18780,11042,3716,91
32,FLAT D 12/F HING BONG MANSION  ,35,9/12/2020,4.5,294,417,15306,10791,-,
33,FLAT 4 11/F SOUTHORN GARDEN  ,32,9/12/2020,9,591,790,15228,11392,3767,77
34,FLAT C 9/F KIU HONG MANSION  ,52,9/12/2020,6.89,517,800,13327,8613,5834,313
35,NO. 350A 8/F CHEONG IP BUILDING  ,54,3/12/2020,4.2,369,-,11382,-,-,
36,FLAT 7 24/F SOUTHORN GARDEN  ,32,3/12/2020,9.98,517,670,19304,14896,1562,34
37,FLAT G 5/F EVERWIN MANSION  ,55,3/12/2020,5.3,-,420,-,12619,5850,575
38,FLAT A 36/F YORK PLACE  ,11,3/12/2020,20,684,981,29240,20387,3858,24
39,FLAT F 10/F LI CHIT GARDEN  ,26,2/12/2020,7.2,397,508,18136,14173,-,
40,FLAT G 9/F TOWER 3 PHASE 2 THE AVENUE,5,2/12/2020,7.8,346,-,22543,-,2548,21
41,FLAT C 8/F FOOK WO BUILDING  ,33,2/12/2020,7,461,620,15184,11290,8743,135
42,FLAT A 25/F TOWER 1 HOOVER TOWERS ,31,2/12/2020,8.83,355,485,24873,18206,1939,18
43,FLAT L 4/F MALAHON APARTMENTS  ,54,2/12/2020,4.5,351,490,12821,9184,-,
44,FLAT D 29/F PARK HAVEN  ,6,2/12/2020,15.5,584,806,26541,19231,3144,-20
