,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT E 8/F TOWER 3 AQUA MARINE ,17,23/12/2020,8.69,502,679,17311,12798,3583,95
1,FLAT B 35/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,23/12/2020,30.65,1047,-,29274,-,-,-
2,FLAT B 20/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,23/12/2020,28.61,1047,-,27324,-,-,-
3,FLAT C 7/F TOWER 7 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,23/12/2020,8.76,352,-,24898,-,-,-
4,FLAT C 32/F TOWER 8 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,23/12/2020,12.63,416,-,30359,-,-,-
5,FLAT B 55/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,23/12/2020,33.2,1047,-,31705,-,-,-
6,FLAT D 8/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,23/12/2020,9.5,393,-,24165,-,-,-
7,FLAT B 36/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,23/12/2020,30.66,1047,-,29281,-,-,-
8,FLAT D 37/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,23/12/2020,11.27,393,-,28676,-,-,-
9,FLAT F 43/F BLOCK 6 LIBERTE ,17,23/12/2020,9.14,513,684,17813,13360,6495,381
10,FLAT C 12/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,7.06,279,-,25310,-,-,-
11,FLAT C 10/F TOWER 3B PHASE 3 CULLINAN WEST II CULLINAN WEST,3,22/12/2020,8.15,363,-,22452,-,1099,8
12,FLAT C 12/F TOWER 7 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,9.2,352,-,26125,-,-,-
13,FLAT C 7/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,6.83,279,-,24493,-,-,-
14,FLAT E 9/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,9.19,381,-,24111,-,-,-
15,FLAT E 23/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,9.48,381,-,24873,-,-,-
16,FLAT B 23/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,29.28,1047,-,27961,-,-,-
17,FLAT C 28/F TOWER 7 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,10.39,352,-,29520,-,-,-
18,FLAT D 19/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,10.29,393,-,26187,-,-,-
19,FLAT D 52/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,11.82,393,-,30072,-,-,-
20,FLAT B 33/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,30.44,1047,-,29076,-,-,-
21,FLAT C 20/F TOWER 7 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,9.89,352,-,28084,-,-,-
22,FLAT F 37/F TOWER 5 PHASE 1 THE PACIFICA,15,22/12/2020,8.8,484,645,18182,13643,3800,135
23,FLAT C 20/F TOWER 8 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,12.01,416,-,28870,-,-,-
24,FLAT E 41/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,10.16,381,-,26675,-,-,-
25,FLAT C 28/F TOWER 8 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,22/12/2020,12.5,416,-,30048,-,-,-
26,FLAT C 6/F TOWER 2A PHASE 2A CULLINAN WEST,3,22/12/2020,11,534,-,20599,-,210,-15
27,FLAT F 36/F TOWER 5 PHASE 3 BANYAN GARDEN,16,21/12/2020,11.7,658,906,17781,12914,3015,61
28,FLAT C 21/F TOWER 7 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,21/12/2020,9.97,352,-,28332,-,-,-
29,FLAT D 11/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,21/12/2020,9.66,393,-,24582,-,-,-
30,FLAT C 40/F TOWER 8 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,21/12/2020,12.74,416,-,30630,-,-,-
31,FLAT A 17/F TOWER 3 AQUA MARINE ,17,21/12/2020,10,577,783,17331,12771,4798,183
32,FLAT C 17/F TOWER 7 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,21/12/2020,9.53,352,-,27086,-,-,-
33,FLAT H 20/F TOWER 1 PHASE 2 THE PACIFICA,15,21/12/2020,8,485,680,16495,11765,133,0
34,FLAT A 46/F BLOCK 7 LIBERTE ,17,18/12/2020,8.79,491,643,17902,13670,6123,287
35,FLAT D 18/F TOWER 2 PHASE 1 BANYAN GARDEN,17,18/12/2020,8.2,447,645,18345,12713,1603,44
36,FLAT B 28/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,18/12/2020,30.44,1047,-,29073,-,-,-
37,FLAT B 38/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,18/12/2020,31.76,1047,-,30332,-,-,-
38,FLAT B 51/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,18/12/2020,33.37,1047,-,31872,-,-,-
39,FLAT F 33/F TOWER 7 PHASE 2 THE PACIFICA,15,18/12/2020,8.2,445,635,18427,12913,3034,71
40,FLAT C 9/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,18/12/2020,6.85,279,-,24553,-,-,-
41,FLAT C 38/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,18/12/2020,8.24,279,-,29520,-,-,-
42,FLAT C 37/F TOWER 8 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,18/12/2020,12.63,416,-,30363,-,-,-
43,FLAT G 16/F TOWER 5 PHASE 1 THE PACIFICA,15,18/12/2020,7.89,447,631,17647,12501,4208,163
44,FLAT E 12/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,9.21,381,-,24185,-,-,-
45,FLAT C 6/F TOWER 7 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,8.63,352,-,24513,-,-,-
46,FLAT C 10/F TOWER 8 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,10.77,416,-,25887,-,-,-
47,FLAT C 25/F TOWER 8 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,12.31,416,-,29598,-,-,-
48,FLAT D 12/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,9.69,393,-,24650,-,-,-
49,FLAT E 38/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,9.95,381,-,26121,-,-,-
50,FLAT E 17/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,9.21,381,-,24180,-,-,-
51,FLAT C 20/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,7.59,279,-,27211,-,-,-
52,FLAT C 17/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,7.29,279,-,26135,-,-,-
53,FLAT C 37/F TOWER 3A PHASE 3 CULLINAN WEST II CULLINAN WEST,3,17/12/2020,15,-,-,-,-,1093,-8
54,FLAT B 6/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,25.52,1047,-,24377,-,-,-
55,FLAT D 40/F TOWER 6 PHASE 5 CULLINAN WEST III CULLINAN WEST,1,17/12/2020,11.51,393,-,29290,-,-,-
