,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT A3 8/F BLOCK A GREENFIELD TERRACE ,42,23/12/2020,11.4,689,769,16546,14824,-,
1,FLAT 2 8/F BLOCK C FAIR WAY GARDEN ,36,23/12/2020,5.5,-,453,-,12141,-,
2,FLAT B 19/F BLOCK 1 DRAGON VIEW ,22,23/12/2020,10,604,761,16556,13141,915,14
3,NO. 18 33/F 18 CELESTIAL AVENUE PHASE 2 CELESTIAL HEIGHTS,11,22/12/2020,30.8,1567,2035,19655,15135,3843,21
4,FLAT C 10/F CARMEL ON THE HILL  ,17,22/12/2020,7,482,656,14523,10671,4515,107
5,FLAT A 1/F TOWER 5 THE REGALIA ,25,18/12/2020,14,1028,1288,13619,10870,8185,98
6,FLAT C 15/F TOWER 7 MANTIN HEIGHTS ,3,16/12/2020,14,679,-,20619,-,1111,-11
7,FLAT A 18/F BLOCK 1 KING'S PARK VILLA ,24,16/12/2020,25.08,1122,1332,22353,18829,8752,49
8,FLAT B 11-12/F LOMOND COURT  ,39,15/12/2020,15.65,2220,2616,7050,5982,-,
9,FLAT 7 4/F MAN PAN HOUSE (BLOCK B) CHUN MAN COURT ,40,14/12/2020,6.15,485,582,12680,10567,-,
10,FLAT 2 12/F MIAMI MANSION  ,45,14/12/2020,17.33,1037,1202,16712,14418,5755,254
11,FLAT B 5/F BLOCK VI HARRISON COURT ,48,11/12/2020,20.6,1324,1650,15559,12485,8885,199
12,FLAT A3 8/F KINGSLAND VILLA (BLOCK A-B)  ,54,11/12/2020,10,741,-,13495,-,1041,-5
13,FLAT D 18/F PEACE TOWER  ,22,11/12/2020,6.38,320,466,19938,13691,3203,96
14,FLAT E 6/F SEVEN VICTORY AVENUE  ,2,11/12/2020,6,267,-,22472,-,1334,9
15,FLAT B 7/F TOWER 5 MANTIN HEIGHTS ,3,11/12/2020,14.5,698,-,20774,-,1095,-25
16,FLAT D 1/F 4A-4D LIBERTY AVENUE  ,62,11/12/2020,7,540,-,12963,-,-,
17,FLAT B (NO. 17) 11/F HAPPY COURT  ,54,9/12/2020,13.2,1067,-,12371,-,5849,247
18,FLAT C 7/F PRINCESS TERRACE  ,53,9/12/2020,16.2,1073,-,15098,-,4453,108
19,FLAT 2 15/F KWUN HEI COURT  ,20,9/12/2020,6.7,426,573,15728,11693,-,
20,FLAT 7 1/F MAN CHUNG HOUSE (BLOCK E) CHUN MAN COURT ,39,8/12/2020,5.92,485,582,12206,10172,-,
21,FLAT B 7/F TOWER 3 ONE HOMANTIN ,3,8/12/2020,10,501,-,19960,-,1520,12
22,FLAT D 12/F CARRIE COURT  ,54,8/12/2020,9.88,606,-,16304,-,1830,16
23,FLAT F 10/F TOWER 9 MANTIN HEIGHTS ,3,7/12/2020,11.74,581,-,20203,-,1398,-7
24,FLAT C4 12/F BLOCK C YEE ON COURT ,44,7/12/2020,9,707,831,12730,10830,-,
25,FLAT A 15/F PEACE MANSION  ,29,4/12/2020,6.88,429,642,16037,10717,7030,305
26,FLAT D 5/F YEE YUEN MANSION  ,56,4/12/2020,12,1006,-,11928,-,-,
27,FLAT 2 13/F MAN LAN HOUSE (BLOCK C) CHUN MAN COURT ,40,4/12/2020,6.2,485,582,12784,10653,-,
28,FLAT B 18/F BLOCK 1 KING'S PARK VILLA ,24,4/12/2020,25,1177,1391,21240,17973,4704,117
29,FLAT C 5/F GRANDCO MANSION  ,25,3/12/2020,9.7,543,673,17864,14413,5731,203
30,FLAT J 14/F BLOCK 4 CASCADES ,22,3/12/2020,7.35,485,604,15155,12169,-,
31,FLAT B 17/F TOWER 2 THE ASTRID ,25,3/12/2020,34.5,1830,2322,18852,14858,3007,34
32,FLAT B4 14/F BLOCK B YEE ON COURT ,44,2/12/2020,10,771,908,12970,11013,4370,187
33,FLAT B 1/F THE COLONNADES  ,31,1/12/2020,9.85,612,740,16095,13311,6270,393
34,NO. 11 5/F BELFRAN COURT  ,44,1/12/2020,10,654,870,15291,11494,1095,-8
35,FLAT B 10/F CHAK FUNG HOUSE  ,54,1/12/2020,6.28,535,800,11738,7850,2512,37
36,FLAT A 12/F TOWER 3 ONE HOMANTIN ,3,1/12/2020,18,752,-,23936,-,1676,16
37,FLAT C 7/F YEE FU BUILDING  ,35,30/11/2020,4.28,244,372,17541,11505,8446,153
38,FLAT 3 15/F MAN FUK HOUSE (BLOCK A) CHUN MAN COURT ,40,30/11/2020,6.55,525,629,12476,10413,-,
39,NO. 32 58/F 32 CELESTIAL AVENUE PHASE 1 CELESTIAL HEIGHTS,11,30/11/2020,30,1252,1636,23962,18337,4557,-17
40,FLAT B 3/F TOWER 6 (NO. 78) KING'S PARK HILL ,20,30/11/2020,27,1215,1841,22222,14666,7268,85
41,FLAT C 21/F KADOORIE LOOKOUT  ,6,30/11/2020,9.98,533,-,18724,-,1561,-13
42,FLAT H 10/F BLOCK 2 DRAGON VIEW ,22,27/11/2020,9.7,574,717,16899,13529,4385,223
43,FLAT A 9/F ONE VICTORY  ,9,27/11/2020,8.83,556,883,15881,10000,3080,-2
44,FLAT H 16/F BLOCK 2 DRAGON VIEW ,22,27/11/2020,9.8,574,717,17073,13668,3166,67
45,FLAT C 17/F MAN KEE MANSION  ,54,26/11/2020,10.6,823,-,12880,-,8272,193
