,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B 17/F THE MET. FOCUS  ,7,15/12/2020,4,221,340,18100,11765,3183,25
1,FLAT A 19/F TOWER 2 CHATHAM GATE ,8,9/12/2020,25.65,1570,2050,16338,12512,2321,-2
2,FLAT B 11/F KELLET COURT  ,12,9/12/2020,4.4,296,518,14865,8494,3457,77
3,FLAT F 7/F TOWER 2 HOMANTIN HILLSIDE ,4,8/12/2020,7.08,347,-,20403,-,1844,3
4,FLAT D 19/F THE MET. FOCUS  ,7,4/12/2020,4.48,241,367,18589,12207,1097,10
5,FLAT D 11/F TOWER 1 CHATHAM GATE ,8,2/12/2020,12.25,708,941,17302,13018,3205,28
6,FLAT 18 3/F YIN ON COURT UNITED BUILDING ,48,1/12/2020,4.48,370,-,12108,-,-,
7,FLAT B 7/F WUHU RESIDENCE  ,9,26/11/2020,4.05,246,355,16463,11408,1933,9
8,FLAT C 12/F TOWER 2 CHATHAM GATE ,8,24/11/2020,7.4,389,514,19023,14397,2391,41
9,FLAT 12 14/F BLOCK B WHAMPOA BUILDING ,53,24/11/2020,3.5,321,-,10903,-,3222,85
10,FLAT C 7/F LA LUMIERE  ,4,23/11/2020,7.38,423,-,17447,-,2077,18
11,FLAT D 16/F THE MET. FOCUS  ,7,18/11/2020,4.45,-,367,-,12125,1970,8
12,FLAT H 26/F LA LUMIERE  ,4,17/11/2020,8.15,429,-,18998,-,2020,6
13,FLAT F 12/F LA LUMIERE  ,4,13/11/2020,7.8,429,-,18182,-,2058,13
14,FLAT F 6/F YEE FAI BUILDING  ,35,10/11/2020,3.9,237,340,16456,11471,8947,264
15,NO. 2B 2/F 2B WHAMPOA STREET  ,63,10/11/2020,11.04,593,-,18622,-,-,
16,FLAT B 18/F STAR RUBY  ,6,6/11/2020,6.86,381,546,18005,12564,3155,25
17,FLAT G 6/F TOWER 2 HOMANTIN HILLSIDE ,4,5/11/2020,7.68,381,-,20157,-,1493,-2
18,FLAT 18 13/F HUNG WAN COURT UNITED BUILDING ,48,2/11/2020,4.38,293,-,14949,-,1266,24
19,FLAT E 10/F TOWER 2 CHATHAM GATE ,8,2/11/2020,6.6,364,483,18132,13665,1960,9
20,FLAT D 25/F LA LUMIERE  ,4,30/10/2020,8.26,429,-,19254,-,2047,9
21,FLAT 18 12/F HUNG WAN COURT UNITED BUILDING ,48,29/10/2020,4.12,293,-,14061,-,-,
