,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B 8/F OCEAN WAVES TOWER 3 VICTORIA SKYE ,2,23/12/2020,5.95,266,-,22361,-,1268,9
1,FLAT F 31/F OCEAN WAVES TOWER 3 VICTORIA SKYE ,2,23/12/2020,9.8,438,-,22374,-,1289,24
2,FLAT E 31/F TOWER 1B K•SUMMIT ,0,22/12/2020,7.86,289,-,27187,-,-,-
3,FLAT D 17/F TOWER 2A K•SUMMIT ,0,22/12/2020,12.4,514,-,24121,-,-,-
4,FLAT E 12/F TOWER 8 K. CITY ,2,21/12/2020,8,349,-,22923,-,1369,15
5,FLAT M 3/F OCEAN WAVES TOWER 3 VICTORIA SKYE ,2,21/12/2020,9.3,466,-,19957,-,1267,8
6,FLAT E 3/F TOWER 1B K•SUMMIT ,0,18/12/2020,7.06,289,-,24412,-,-,-
7,FLAT G 31/F TOWER 1A K•SUMMIT ,0,18/12/2020,11.13,459,-,24240,-,-,-
8,FLAT A 31/F TOWER 2 I ONE KAI TAK,3,18/12/2020,13,584,-,22260,-,1544,32
9,FLAT B 10/F TOWER 2 I ONE KAI TAK,3,18/12/2020,10,516,-,19380,-,1533,36
10,FLAT E 31/F TOWER 3 OASIS KAI TAK ,2,17/12/2020,8.2,-,-,-,-,1146,1
11,FLAT E 36/F TOWER 1B K•SUMMIT ,0,17/12/2020,7.65,289,-,26481,-,-,-
12,FLAT B 25/F TOWER 2B K•SUMMIT ,0,17/12/2020,21.3,766,-,27803,-,-,-
13,FLAT G 29/F TOWER 1A VIBE CENTRO ,2,17/12/2020,8,351,-,22792,-,1272,10
14,FLAT G 5/F URBAN VILLA 1 K•SUMMIT ,0,17/12/2020,17.15,724,-,23691,-,-,-
15,FLAT D 10/F TOWER 2A K•SUMMIT ,0,17/12/2020,12.22,514,-,23768,-,-,-
16,FLAT C 12/F TOWER 1B K•SUMMIT ,0,17/12/2020,18.82,778,-,24193,-,-,-
17,FLAT D 28/F TOWER 2A K•SUMMIT ,0,17/12/2020,12.97,514,-,25228,-,-,-
18,FLAT C 19/F TOWER 1B VIBE CENTRO ,2,17/12/2020,5.38,228,-,23596,-,1335,15
19,FLAT A 26/F TOWER 2B K•SUMMIT ,0,16/12/2020,11.25,459,-,24516,-,-,-
20,FLAT E 32/F TOWER 1B K•SUMMIT ,0,16/12/2020,7.63,289,-,26401,-,-,-
21,FLAT D 8/F TOWER 2A K•SUMMIT ,0,16/12/2020,12.35,514,-,24023,-,-,-
22,FLAT A 2/F URBAN VILLA 2 K•SUMMIT ,0,16/12/2020,8.38,324,-,25849,-,-,-
23,FLAT D 32/F TOWER 2A K•SUMMIT ,0,16/12/2020,13.11,514,-,25502,-,-,-
24,FLAT C 5/F URBAN VILLA 1 K•SUMMIT ,0,15/12/2020,13.18,518,-,25444,-,-,-
25,FLAT C 12/F TOWER H1 DE NOVO ,5,15/12/2020,9,568,-,15845,-,-,
26,FLAT C 1/F TOWER 6 K. CITY ,2,14/12/2020,9,334,-,26946,-,1161,15
27,FLAT A 3/F TOWER 2B K•SUMMIT ,0,14/12/2020,10.47,468,-,22370,-,-,-
28,FLAT E 5/F TOWER 1B K•SUMMIT ,0,14/12/2020,7.41,289,-,25637,-,-,-
29,FLAT C 23/F TOWER 2A K•SUMMIT ,0,14/12/2020,10.67,460,-,23202,-,-,-
30,FLAT A 33/F TOWER 8 K. CITY ,2,11/12/2020,8.15,371,-,21968,-,1361,14
31,FLAT E 30/F TOWER 1B K•SUMMIT ,0,11/12/2020,7.82,289,-,27052,-,-,-
32,FLAT D 33/F OCEAN WAVES TOWER 3 VICTORIA SKYE ,2,11/12/2020,7.9,343,-,23032,-,1245,11
33,FLAT D 5/F TOWER 2 UPPER RIVERBANK ,0,10/12/2020,13.63,558,-,24426,-,-,-
34,FLAT D 11/F TOWER 1 UPPER RIVERBANK ,0,10/12/2020,16.63,658,-,25272,-,-,-
35,FLAT C 16/F TOWER 1 UPPER RIVERBANK ,0,10/12/2020,20.69,760,-,27220,-,-,-
36,FLAT A 1/F TOWER 2 K. CITY ,2,10/12/2020,9.8,-,-,-,-,-,
37,FLAT C 9/F TOWER 2A K•SUMMIT ,0,10/12/2020,10.17,460,-,22107,-,-,-
38,FLAT H 26/F TOWER 2 I ONE KAI TAK,3,10/12/2020,8.1,376,-,21543,-,1523,27
39,FLAT G 28/F TOWER 1 I ONE KAI TAK,3,10/12/2020,13.5,606,-,22277,-,1527,24
40,FLAT E 38/F TOWER 1B K•SUMMIT ,0,10/12/2020,7.73,289,-,26744,-,-,-
41,FLAT E 26/F TOWER 1B K•SUMMIT ,0,9/12/2020,7.39,289,-,25557,-,-,-
42,FLAT F 2/F URBAN VILLA 1 K•SUMMIT ,0,9/12/2020,18.8,718,-,26184,-,-,-
43,FLAT C 35/F TOWER 1B K•SUMMIT ,0,9/12/2020,20.29,778,-,26084,-,-,-
44,FLAT B 25/F TOWER 1B K•SUMMIT ,0,9/12/2020,10.77,453,-,23775,-,-,-
45,FLAT B 12/F OCEAN WAVES TOWER 2 VICTORIA SKYE ,2,9/12/2020,10,504,-,19841,-,1267,8
