,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 5 18/F BLOCK T TELFORD GARDENS ,38,23/12/2020,7.8,545,629,14312,12401,4770,186
1,FLAT B 12/F BLOCK 16 RICHLAND GARDENS ,35,23/12/2020,5.17,407,474,12693,10899,-,
2,FLAT 2 17/F BLOCK Q PHASE 3B AMOY GARDENS,33,22/12/2020,7.25,460,572,15761,12675,2888,49
3,FLAT C 19/F BLOCK 14 RICHLAND GARDENS ,35,22/12/2020,5,407,474,12285,10549,-,
4,FLAT 7 11/F BLOCK A PHASE 1 AMOY GARDENS,39,18/12/2020,6.25,375,482,16667,12967,1655,56
5,FLAT B3 23/F BLOCK B TAK BO GARDEN ,36,18/12/2020,4.92,282,397,17447,12393,3808,197
6,FLAT 9 31/F CHOI YUET HOUSE (BLOCK B) CHOI HA ESTATE ,31,18/12/2020,2.7,385,-,7013,-,-,
7,FLAT 2 18/F BLOCK K PHASE 2A AMOY GARDENS,36,18/12/2020,6,391,501,15345,11976,1422,27
8,FLAT 3 3/F BLOCK A TELFORD GARDENS ,40,18/12/2020,7.12,538,603,13234,11808,4850,192
9,FLAT D1 29/F BLOCK D TAK BO GARDEN ,36,18/12/2020,6,398,530,15075,11321,1551,37
10,FLAT G 18/F BLOCK 22 RICHLAND GARDENS ,35,17/12/2020,5.6,407,470,13759,11915,-,
11,FLAT 2 6/F BLOCK E TELFORD GARDENS ,40,17/12/2020,7.38,538,603,13717,12239,2289,32
12,FLAT 1 1/F BLOCK R TELFORD GARDENS ,38,16/12/2020,5.3,357,470,14846,11277,4150,203
13,FLAT 3 20/F BLOCK D PHASE 1 AMOY GARDENS,39,16/12/2020,6.1,375,482,16267,12656,-,
14,FLAT C8 33/F BLOCK C TAK BO GARDEN ,36,15/12/2020,4.57,253,343,18063,13324,1603,41
15,FLAT H 25/F BLOCK 1 BAY VIEW GARDEN ,31,15/12/2020,9.74,637,780,15287,12485,3640,129
16,FLAT 2 11/F SHUN FUNG HOUSE (BLOCK A) SHUN CHI COURT ,40,15/12/2020,5.3,560,663,9464,7994,-,
17,FLAT 11 2/F BLOCK A TELFORD GARDENS ,40,15/12/2020,7.4,538,603,13755,12272,3711,121
18,FLAT 3 4/F BLOCK N TELFORD GARDENS ,39,15/12/2020,5.81,494,562,11769,10345,8099,230
19,FLAT 2 7/F BLOCK G PHASE 1 AMOY GARDENS,39,15/12/2020,6.05,390,462,15513,13095,4235,267
20,FLAT C2 36/F BLOCK C TAK BO GARDEN ,36,14/12/2020,5.16,282,397,18298,12997,1168,17
21,FLAT 2 9/F BLOCK K PHASE 2A AMOY GARDENS,36,14/12/2020,6.2,391,501,15857,12375,4269,265
22,FLAT 8 29/F BLOCK A PHASE 1 AMOY GARDENS,39,14/12/2020,6.2,375,482,16533,12863,4123,188
23,FLAT H 15/F BLOCK 12 RICHLAND GARDENS ,35,11/12/2020,5.68,447,516,12707,11008,-,
24,FLAT E 28/F BLOCK 16 RICHLAND GARDENS ,35,11/12/2020,5.85,452,527,12942,11101,-,
25,FLAT E2 26/F BLOCK E TAK BO GARDEN ,36,11/12/2020,4.7,282,384,16667,12240,1955,18
26,FLAT 5 12/F KING YING HOUSE (BLOCK D) KING SHAN COURT ,37,11/12/2020,5.6,548,655,10219,8550,-,
27,FLAT 9 11/F BLOCK F TELFORD GARDENS ,40,10/12/2020,7.24,513,571,14109,12676,3802,157
28,FLAT 3 16/F CHOI SING HOUSE (BLOCK C) CHOI HA ESTATE ,30,10/12/2020,2.85,443,-,6433,-,-,
29,FLAT 7 3/F BLOCK O TELFORD GARDENS ,39,10/12/2020,7,538,603,13011,11609,1164,17
30,FLAT D7 29/F BLOCK D TAK BO GARDEN ,36,9/12/2020,4.7,282,395,16667,11899,3214,124
31,FLAT F 14/F BLOCK 3 RICHLAND GARDENS ,35,9/12/2020,5.43,407,470,13342,11553,-,
