,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT F 13/F BLOCK 6 PHASE 1 SORRENTO,18,17/12/2020,20,849,1131,23557,17683,5245,194
1,FLAT C 20/F BLOCK 3 PHASE 1 SORRENTO,18,16/12/2020,17,802,1076,21197,15799,6950,266
2,FLAT B 12/F TOWER 3A THE AUSTIN ,6,16/12/2020,9.5,419,-,22673,-,1173,0
3,FLAT D 22/F STAR TOWER (TOWER 2) THE ARCH ,15,14/12/2020,19.2,546,747,35165,25703,3937,86
4,FLAT F 33/F STAR TOWER (TOWER 2) THE ARCH ,15,14/12/2020,13.98,420,562,33286,24875,4075,69
5,FLAT B 28/F TOWER 3A GRAND AUSTIN ,6,11/12/2020,15.08,580,-,26000,-,2346,27
6,FLAT C 19/F TOWER 6 THE CORONATION ,8,11/12/2020,7.7,400,510,19250,15098,3250,19
7,FLAT B 22/F TOWER 2 PHASE 1 THE WATERFRONT,20,9/12/2020,20.73,931,1168,22266,17748,7874,186
8,FLAT C 20/F TOWER 5A THE AUSTIN ,6,9/12/2020,11.4,520,-,21923,-,2564,20
9,FLAT A 60/F BLOCK 6 PHASE 1 SORRENTO,18,8/12/2020,19.3,632,846,30538,22813,3903,52
10,FLAT H 12/F BLOCK 2 PHASE 2 SORRENTO,17,8/12/2020,22.28,870,1156,25609,19273,1700,49
11,FLAT E 16/F BLOCK 3 PHASE 1 SORRENTO,18,7/12/2020,23.8,961,1274,24766,18681,2849,28
12,FLAT B 1/F TOWER 2A GRAND AUSTIN ,6,4/12/2020,12.88,633,-,20348,-,2325,15
13,FLAT B 20/F TOWER 5A THE AUSTIN ,6,4/12/2020,11.6,529,-,21928,-,2564,20
14,FLAT C 18/F TOWER 21 - ZONE 2 (LUNA SKY) THE CULLINAN ,13,3/12/2020,35,997,1370,35105,25547,3681,31
15,FLAT D 21/F BLOCK 5 PHASE 1 SORRENTO,18,2/12/2020,20,748,998,26738,20040,4757,117
16,FLAT A 32/F THE MASTERPIECE  ,11,1/12/2020,25.3,1133,1568,22330,16135,3362,14
17,FLAT C 13/F BLOCK 3 PHASE 1 SORRENTO,18,24/11/2020,20.75,802,1076,25873,19284,3965,70
18,FLAT G 23/F TOWER 6 THE CORONATION ,8,23/11/2020,8.7,471,611,18471,14239,3234,16
19,FLAT C 27/F BLOCK 2 PHASE 2 SORRENTO,17,20/11/2020,28.18,1054,1394,26736,20215,5714,216
20,FLAT D 20/F TOWER 7 THE CORONATION ,8,19/11/2020,8.9,453,587,19647,15162,1352,6
21,FLAT A 50/F BLOCK 3 PHASE 1 SORRENTO,18,19/11/2020,17.88,632,836,28291,21388,3675,61
22,FLAT E 19/F TOWER 6 THE CORONATION ,8,17/11/2020,8.88,469,607,18934,14629,3234,20
23,FLAT E 20/F TOWER 7 THE CORONATION ,8,16/11/2020,9,469,607,19190,14827,3230,21
24,FLAT C 36/F BLOCK 6 PHASE 1 SORRENTO,18,16/11/2020,20.38,775,1032,26297,19748,5052,195
25,FLAT D 70/F TOWER 21 - ZONE 3 (ROYAL SKY) THE CULLINAN ,13,16/11/2020,40.6,1020,1454,39804,27923,3845,15
26,FLAT A 56/F BLOCK 6 PHASE 1 SORRENTO,18,13/11/2020,20.2,632,846,31962,23877,4652,82
27,FLAT F 51/F BLOCK 1 PHASE 2 SORRENTO,17,13/11/2020,29.5,1087,1440,27139,20486,2222,27
28,FLAT F 29/F TOWER 2 PHASE 1 THE WATERFRONT,20,13/11/2020,15.5,794,983,19521,15768,4864,154
29,FLAT D 62/F TOWER 1 THE HARBOURSIDE ,17,11/11/2020,25,804,1068,31095,23408,3146,34
30,FLAT D 17/F TOWER 6 PHASE 2 THE WATERFRONT,20,9/11/2020,21.38,934,1168,22891,18305,3650,71
31,FLAT A 38/F TOWER 5 PHASE 2 THE WATERFRONT,20,6/11/2020,49.8,1642,2111,30329,23591,1612,34
32,FLAT J 51/F TOWER 21 - ZONE 5 (STAR SKY) THE CULLINAN ,13,6/11/2020,19.1,530,698,36038,27364,2527,3
33,FLAT C 32/F TOWER 6 THE CORONATION ,8,5/11/2020,8.6,400,510,21500,16863,3205,11
34,FLAT E 25/F TOWER 2 PHASE 1 THE WATERFRONT,20,4/11/2020,17.3,794,983,21788,17599,7832,207
35,FLAT E 28/F THE MASTERPIECE  ,11,4/11/2020,26.68,1016,1410,26260,18922,-,
36,FLAT B 5/F TOWER 3A THE AUSTIN ,6,4/11/2020,9.6,419,-,22912,-,2527,28
37,FLAT C 9/F TOWER 3A THE AUSTIN ,6,3/11/2020,10.97,457,-,24000,-,2534,32
38,FLAT C 66/F BLOCK 2 PHASE 2 SORRENTO,17,28/10/2020,33.5,1087,1403,30819,23877,2865,36
39,FLAT D 20/F TOWER 5A THE AUSTIN ,6,22/10/2020,9.98,417,-,23933,-,2526,31
40,FLAT F 68/F TOWER 2 THE HARBOURSIDE ,17,21/10/2020,35,1060,1372,33019,25510,2205,40
41,FLAT F 69/F BLOCK 1 PHASE 2 SORRENTO,17,21/10/2020,30.28,1124,1445,26940,20955,6080,235
42,FLAT H 43/F BLOCK 6 PHASE 1 SORRENTO,18,20/10/2020,20.4,757,1006,26948,20278,6851,333
43,FLAT A 37/F TOWER 6 THE CORONATION ,8,20/10/2020,31,1449,1833,21394,16912,1949,7
44,FLAT F 66/F BLOCK 6 PHASE 1 SORRENTO,18,19/10/2020,23.8,853,1131,27902,21043,6859,356
