,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT C 1/F SERENE COURT  ,47,23/12/2020,19.55,1105,-,17692,-,-,
1,FLAT F 4/F MAN YUEN MANSION (BUILDING)  ,48,22/12/2020,7.98,533,-,14972,-,-,
2,FLAT A 3/F BLOCK D1 TANG COURT ,33,22/12/2020,18.38,1009,1140,18216,16123,1591,28
3,FLAT E G/F PHASE II BOLAND COURT ,45,17/12/2020,8.2,440,-,18636,-,8442,134
4,FLAT D 12/F TOWER 5 PHASE 2 ONE BEACON HILL,16,16/12/2020,28.2,1084,1468,26015,19210,3360,17
5,FLAT F2 1/F BLOCK F PHOENIX COURT ,43,14/12/2020,8.78,487,571,18029,15377,2898,55
6,FLAT B 10/F TOWER 8 PHASE 3 ONE BEACON HILL,16,11/12/2020,28,1161,1505,24117,18605,3140,17
7,FLAT 6 9/F BLOCK B PENINSULA HEIGHTS ,20,8/12/2020,18.3,1121,1431,16325,12788,3877,97
8,FLAT C2 3/F BLOCK C MANVAR HOUSE (HEIGHTS) ,48,3/12/2020,11.28,715,-,15776,-,3714,80
9,FLAT D 4/F FOOK HONG COURT  ,45,2/12/2020,8.38,533,550,15722,15236,1604,29
10,FLAT D3 6/F BLOCK D FABER GARDEN ,43,2/12/2020,7.2,445,-,16180,-,3015,58
11,FLAT B 10/F BLOCK 2 KENT COURT ,40,2/12/2020,25.03,1394,1613,17956,15518,-,
12,FLAT D 2/F COMFORT COURT  ,43,1/12/2020,15.45,1149,1550,13446,9968,5639,153
13,FLAT D 3/F GALA GARDEN  ,57,25/11/2020,14.38,1119,-,12851,-,-,
14,FLAT B 3/F TOWER 8 PHASE 3 ONE BEACON HILL,16,25/11/2020,28,1114,1505,25135,18605,6260,289
15,FLAT B1 2/F BLOCK B TWILIGHT COURT ,45,25/11/2020,9.85,638,781,15439,12612,8822,183
16,FLAT A 8/F BLOCK 2 BEVERLY VILLA ,40,23/11/2020,33.9,1609,1742,21069,19460,-,
17,FLAT A3 8/F BLOCK A COLLEGE CREST ,42,19/11/2020,15.5,769,-,20156,-,3713,107
18,FLAT A 3/F BLOCK D3 TANG COURT  (with roof),33,18/11/2020,18,1004,1140,17928,15789,-,
19,FLAT B 1/F TOWER 10 PHASE 1 ONE BEACON HILL,16,17/11/2020,28.5,1086,1469,26243,19401,3130,39
20,FLAT G 1/F PHASE I BOLAND COURT ,46,16/11/2020,11,658,-,16717,-,4104,144
21,FLAT A 6/F TOWER 1 AYTON ,1,13/11/2020,44.08,1188,-,37104,-,-,-
22,FLAT E 7/F TOWER 2 AYTON ,1,10/11/2020,8.57,283,-,30279,-,-,-
23,FLAT E 6/F TOWER 2 AYTON ,1,9/11/2020,8.41,283,-,29710,-,-,-
24,FLAT E 2/F TOWER 2 AYTON ,1,6/11/2020,7.84,283,-,27700,-,-,-
25,FLAT B 4/F 15 GRAMPIAN ROAD  ,54,5/11/2020,10,610,-,16393,-,2114,20
26,FLAT B 39/F THE PALACE  ,18,4/11/2020,42,1764,2300,23810,18261,6268,180
27,FLAT E 5/F LA SALLE RESIDENCE  ,2,4/11/2020,7.68,297,-,25845,-,-,-
28,FLAT A3 5/F BLOCK A FABER GARDEN ,43,4/11/2020,7.6,445,-,17079,-,1282,9
29,FLAT D 5/F DEVON COURT  ,45,4/11/2020,21.5,1228,-,17508,-,-,
30,FLAT B 3/F BELMONT HEIGHTS  ,43,3/11/2020,16.38,944,1085,17352,15097,-,
31,FLAT C1 4/F BLOCK C JADE COURT ,43,29/10/2020,12.28,735,-,16707,-,5079,232
32,FLAT B1 7-8/F BLOCK B FABER GARDEN ,43,23/10/2020,17.68,950,-,18611,-,1261,36
33,FLAT E 3/F TOWER 2 AYTON ,1,23/10/2020,8,283,-,28265,-,-,-
34,FLAT C 7/F TOWER 2 AYTON ,1,23/10/2020,8.21,265,-,30962,-,-,-
35,HOUSE 2 NO. 1 HOUSE 2 NO. 1 OXFORD ROAD ,11,22/10/2020,196,4908,7292,39935,26879,1180,3
36,FLAT E 5/F TOWER 2 AYTON ,1,22/10/2020,8.25,283,-,29145,-,-,-
37,FLAT G 9/F WELCOME GARDENS (BLOCK 1-2)  ,49,22/10/2020,10,698,-,14327,-,4639,149
38,FLAT D 7/F BLOCK 10 BEVERLY VILLA ,40,22/10/2020,16,1212,1308,13201,12232,6317,240
39,FLAT D 6/F TOWER 2 AYTON ,1,21/10/2020,8.48,278,-,30507,-,-,-
40,FLAT B 9/F BLOCK 5 KENT COURT  (with roof),40,21/10/2020,15.8,882,1021,17914,15475,-,
41,FLAT C 6/F TOWER 2 AYTON ,1,19/10/2020,8.05,265,-,30366,-,-,-
42,FLAT D 5/F TOWER 1 AYTON ,1,19/10/2020,21.18,651,-,32527,-,-,-
43,FLAT C 5/F TOWER 2 AYTON ,1,19/10/2020,7.9,265,-,29800,-,-,-
44,FLAT B2 7/F BLOCK B BEVERLEY HEIGHTS ,50,16/10/2020,13,1090,-,11927,-,-,
45,FLAT H3 1/F BLOCK H PHOENIX COURT ,43,16/10/2020,9.82,623,762,15762,12887,4495,152
46,FLAT B 1/F TOWER 6 ONE MAYFAIR ,9,14/10/2020,37.5,1267,1645,29597,22796,3091,40
47,FLAT A 9/F LA SALLE RESIDENCE  ,2,12/10/2020,11.91,420,-,28348,-,-,-
48,FLAT B3 5/F BLOCK B HAPPY GARDEN ,44,12/10/2020,11.3,598,696,18896,16236,2114,35
49,FLAT B 6/F LA SALLE RESIDENCE  ,2,8/10/2020,11.07,414,-,26742,-,-,-
50,FLAT B 8/F LA SALLE RESIDENCE  ,2,8/10/2020,11.5,414,-,27766,-,-,-
51,FLAT A 4/F MARPLE COURT  ,48,5/10/2020,14.68,900,-,16311,-,5526,186
52,HOUSE 30 NO. 1 HOUSE 30 SUNDERLAND ESTATE ,37,30/9/2020,56.98,2375,2419,23992,23555,4101,125
53,FLAT E 4/F ALICE COURT (BLOCK A-B)  ,49,29/9/2020,9.9,654,-,15138,-,2869,36
54,FLAT D2 1/F BLOCK D FABER GARDEN ,43,29/9/2020,7.1,496,550,14315,12909,3088,68
55,FLAT C 10/F TOWER 3 PARC INVERNESS ,4,28/9/2020,21.42,883,-,24264,-,-,-
56,FLAT D3 2/F BLOCK D JADE COURT ,43,25/9/2020,6.86,385,431,17818,15916,5486,261
57,FLAT B 2/F MAYFAIR GARDENS  ,56,24/9/2020,18.28,1082,-,16895,-,2110,26
58,FLAT B6 6/F BLOCK B PHOENIX COURT ,43,22/9/2020,13.3,784,886,16964,15011,-,
59,FLAT C2 1/F BLOCK C JADE COURT ,43,22/9/2020,11,661,738,16641,14905,3493,96
60,FLAT D 7/F MANHATTAN COURT  ,45,21/9/2020,15,934,-,16060,-,-,
61,FLAT B3 6/F BLOCK B HAPPY GARDEN ,44,21/9/2020,10.68,598,696,17860,15345,1931,34
62,FLAT 5 16/F BLOCK B PENINSULA HEIGHTS ,20,17/9/2020,20,1137,1450,17590,13793,3109,67
63,FLAT D 6/F TOWER 1 AYTON ,1,14/9/2020,22.02,651,-,33825,-,-,-
64,FLAT B 1/F HILLSEA COURT  ,57,9/9/2020,17.6,1239,-,14205,-,-,
65,FLAT C 8/F FESSENDEN COURT  ,44,8/9/2020,9.63,631,746,15261,12909,-,
66,FLAT A1 11/F BLOCK A CHERMAIN HEIGHTS ,51,7/9/2020,11.95,761,1050,15703,11381,2198,23
67,FLAT B 5/F TOWER 12 PHASE 3 ONE BEACON HILL,16,7/9/2020,30.28,1086,1469,27882,20613,2328,38
68,FLAT D 5/F CLIFFORD MANSION  ,42,2/9/2020,12.8,728,800,17582,16000,4114,151
69,HOUSE E NO. 28 HOUSE E NO. 28 LA SALLE ROAD ,16,2/9/2020,177,5230,-,33843,-,5722,194
