,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 6 26/F TSUI YUNG HOUSE TSUI PING (NORTH) ESTATE ,34,23/12/2020,2.88,-,-,-,-,-,
1,FLAT 6 14/F HIU KWONG COURT  ,41,18/12/2020,3.98,453,643,8786,6190,-,
2,FLAT C 25/F GOLDEN DRAGON GARDEN   (with roof),44,18/12/2020,7.74,614,760,12603,10182,3602,105
3,FLAT A 4/F WING FAI BUILDING  ,55,18/12/2020,2.78,300,-,9267,-,-,
4,FLAT C 12/F MORNING STAR MANSION  ,50,18/12/2020,4,350,-,11429,-,-,
5,FLAT 6 3/F WAH FAT BUILDING  ,56,17/12/2020,3.98,480,-,8292,-,2614,69
6,FLAT A 5/F TSUT HEI BUILDING   (with roof),50,17/12/2020,2.55,310,-,8226,-,-,
7,FLAT 2 28/F WO SHING HOUSE (BLOCK C) CHEUNG WO COURT ,36,17/12/2020,5.68,431,518,13179,10965,-,
8,FLAT B 5/F HONG WAH BUILDING   (with roof),53,17/12/2020,2.57,230,-,11174,-,-,
9,FLAT D 8/F YUET YIU BUILDING   (with roof),54,17/12/2020,2,225,-,8889,-,13,1
10,FLAT A4 20/F BLOCK A CONNIE TOWERS ,47,16/12/2020,5,451,531,11086,9416,-,
11,FLAT 21 12/F TSUI ON HOUSE TSUI PING (NORTH) ESTATE ,30,16/12/2020,2.05,355,-,5775,-,-,
12,FLAT C 1/F SAN HEI BUILDING  ,51,15/12/2020,2.68,242,-,11074,-,2217,35
13,FLAT C15 3/F BLOCK C SHUI NING HOUSE ,51,14/12/2020,2.29,276,-,8293,-,-,
14,FLAT A1 16/F BLOCK A HYDE TOWERS ,43,14/12/2020,6,587,703,10221,8535,8826,175
15,FLAT 3 19/F WO KWAN HOUSE (BLOCK A) CHEUNG WO COURT ,36,14/12/2020,5.12,414,498,12367,10281,-,
16,FLAT 2 6/F HIU CHING HOUSE (BLOCK C) HIU LAI COURT ,23,11/12/2020,4.75,604,832,7864,5709,-,
17,FLAT A6 20/F BLOCK A HIPWAY TOWERS ,47,11/12/2020,5,614,700,8143,7143,8012,150
18,FLAT 8 11/F BLOCK B KWUN TONG THEATRE BUILDING ,49,8/12/2020,4.3,390,-,11026,-,-,
19,FLAT D1 18/F BLOCK D CONNIE TOWERS ,47,7/12/2020,5.05,456,518,11075,9749,3115,93
20,FLAT C 16/F BO YAN BUILDING  ,29,7/12/2020,5.9,412,609,14320,9688,3573,122
21,FLAT F 8/F PARK METROPOLITAN  ,6,7/12/2020,7.83,457,-,17133,-,2566,38
22,FLAT D 8/F YUET YIU BUILDING   (with roof),54,7/12/2020,1.98,225,-,8800,-,54,0
23,FLAT H 2/F NAM TAI MANSION  ,55,4/12/2020,2.48,250,-,9920,-,1095,3
24,FLAT B 4/F TSAP KING MANSION  ,54,4/12/2020,6.58,565,-,11642,-,1100,-3
25,FLAT B 10/F SZE HING BUILDING  ,55,4/12/2020,6.5,550,-,11818,-,-,
26,FLAT G 9/F KUNG LOK BUILDING  ,46,4/12/2020,7.88,684,800,11520,9850,5707,298
27,FLAT H 9/F SZE HING BUILDING  ,55,3/12/2020,7.29,610,-,11948,-,-,
28,FLAT B6 5/F BLOCK B HIPWAY TOWERS ,47,2/12/2020,6.23,-,-,-,-,-,
29,FLAT 16 7/F CAMBRIDGE BUILDING  ,54,2/12/2020,4.6,410,-,11220,-,2348,61
30,FLAT 14 18/F HIU TIN HOUSE (BLOCK A) HIU LAI COURT ,23,2/12/2020,5.85,433,596,13510,9815,-,
31,FLAT D3 5/F BLOCK D CONNIE TOWERS ,47,2/12/2020,4.2,435,518,9655,8108,-,
32,FLAT A 9/F PANORAMA COURT  ,46,1/12/2020,11.34,858,1100,13217,10309,2796,26
33,FLAT B 10/F FUNG KING BUILDING  ,56,30/11/2020,6.48,570,700,11368,9257,9167,260
34,FLAT 17 26/F TSUI YUNG HOUSE TSUI PING (NORTH) ESTATE ,34,30/11/2020,3.08,381,-,8084,-,-,
35,NO. 27 (FLAT C) 2/F KWONG SEN MANSION  ,55,30/11/2020,4.13,429,-,9627,-,-,
36,FLAT 9 32/F TSUI YUNG HOUSE TSUI PING (NORTH) ESTATE ,34,30/11/2020,4.1,381,-,10761,-,-,
37,FLAT A3 17/F BLOCK A HYDE TOWERS ,43,27/11/2020,6.55,547,650,11974,10077,3493,118
38,FLAT 14 9/F HIU FAI HOUSE (BLOCK D) HIU LAI COURT ,23,26/11/2020,3.75,436,600,8601,6250,-,
39,FLAT N 3/F YUET MING BUILDING  ,46,26/11/2020,5.4,520,-,10385,-,-,
40,FLAT 2 11/F KWUN TONG MANSION  ,55,26/11/2020,4.5,397,-,11335,-,2348,55
41,FLAT H 2/F LOK CHEONG BUILDING  ,51,26/11/2020,2.9,295,-,9831,-,1801,-3
42,FLAT A 6/F DOR HEI BUILDING  ,48,25/11/2020,2.98,399,-,7469,-,-,
