,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT D 5/F TOWER 5 MONTEGO BAY ,0,23/12/2020,9.49,-,-,-,-,-,-
1,FLAT 7 16/F YUE HONG HOUSE (BLOCK A) HONG TIN COURT ,38,23/12/2020,6,420,488,14286,12295,-,
2,FLAT D 16/F TOWER 5 MONTEGO BAY ,0,23/12/2020,9.77,-,-,-,-,-,-
3,FLAT H 16/F BLOCK 5 SCENEWAY GARDEN ,29,23/12/2020,9.43,614,783,15358,12043,4551,162
4,FLAT E 10/F TOWER 3 MONTEGO BAY ,0,23/12/2020,5.89,-,-,-,-,-,-
5,FLAT H 12/F TOWER 5 MONTEGO BAY ,0,23/12/2020,5.16,-,-,-,-,-,-
6,FLAT K 20/F TOWER 5 MONTEGO BAY ,0,23/12/2020,7.17,-,-,-,-,-,-
7,FLAT K 27/F TOWER 5 MONTEGO BAY ,0,23/12/2020,7.61,-,-,-,-,-,-
8,FLAT H 16/F TOWER 5 MONTEGO BAY ,0,23/12/2020,5.27,-,-,-,-,-,-
9,FLAT B 18/F TOWER 3 MONTEGO BAY ,0,23/12/2020,9.89,-,-,-,-,-,-
10,FLAT H 11/F TOWER 5 MONTEGO BAY ,0,23/12/2020,5.11,-,-,-,-,-,-
11,FLAT E 12/F TOWER 3 MONTEGO BAY ,0,23/12/2020,5.95,-,-,-,-,-,-
12,FLAT D 8/F BLOCK 7 SCENEWAY GARDEN ,29,23/12/2020,6.8,537,680,12663,10000,6813,289
13,FLAT C 16/F TOWER 5 MONTEGO BAY ,0,23/12/2020,9.45,-,-,-,-,-,-
14,FLAT F 11/F TOWER 5 MONTEGO BAY ,0,23/12/2020,6.66,-,-,-,-,-,-
15,FLAT L 28/F TOWER 5 MONTEGO BAY ,0,23/12/2020,9.62,-,-,-,-,-,-
16,FLAT K 11/F TOWER 5 MONTEGO BAY ,0,23/12/2020,6.7,-,-,-,-,-,-
17,FLAT J 23/F TOWER 3 MONTEGO BAY ,0,23/12/2020,6.04,-,-,-,-,-,-
18,FLAT G 15/F TOWER 3 MONTEGO BAY ,0,23/12/2020,9.12,-,-,-,-,-,-
19,FLAT H 18/F TOWER 3 MONTEGO BAY ,0,23/12/2020,7.05,-,-,-,-,-,-
20,FLAT B 17/F TOWER 5 MONTEGO BAY ,0,23/12/2020,9.77,-,-,-,-,-,-
21,FLAT J 28/F TOWER 5 MONTEGO BAY ,0,23/12/2020,7.83,-,-,-,-,-,-
22,FLAT C 26/F TOWER 3 MONTEGO BAY ,0,23/12/2020,7.47,-,-,-,-,-,-
23,FLAT J 16/F TOWER 3 MONTEGO BAY ,0,23/12/2020,5.35,-,-,-,-,-,-
24,FLAT L 26/F TOWER 5 MONTEGO BAY ,0,23/12/2020,9.34,-,-,-,-,-,-
25,FLAT H 15/F TOWER 3 MONTEGO BAY ,0,23/12/2020,6.7,-,-,-,-,-,-
26,FLAT C 10/F TOWER 3 MONTEGO BAY ,0,23/12/2020,6.43,-,-,-,-,-,-
27,FLAT F 5/F TOWER 5 MONTEGO BAY ,0,23/12/2020,8.48,-,-,-,-,-,-
28,FLAT G 12/F TOWER 3 MONTEGO BAY ,0,23/12/2020,9.03,-,-,-,-,-,-
29,FLAT J 19/F TOWER 3 MONTEGO BAY ,0,23/12/2020,5.52,-,-,-,-,-,-
30,FLAT E 7/F TOWER 5 MONTEGO BAY ,0,23/12/2020,9.81,-,-,-,-,-,-
31,FLAT G 16/F TOWER 3 MONTEGO BAY ,0,23/12/2020,9.21,-,-,-,-,-,-
32,FLAT C 15/F TOWER 5 MONTEGO BAY ,0,23/12/2020,9.82,-,-,-,-,-,-
33,FLAT H 21/F TOWER 3 MONTEGO BAY ,0,23/12/2020,7.2,-,-,-,-,-,-
34,FLAT D 9/F TOWER 3 MONTEGO BAY ,0,23/12/2020,5.78,-,-,-,-,-,-
35,FLAT H 9/F TOWER 3 MONTEGO BAY ,0,23/12/2020,6.13,-,-,-,-,-,-
36,FLAT L 17/F TOWER 5 MONTEGO BAY ,0,23/12/2020,8.52,-,-,-,-,-,-
37,FLAT L 12/F TOWER 5 MONTEGO BAY ,0,23/12/2020,8.27,-,-,-,-,-,-
38,FLAT G 9/F TOWER 5 MONTEGO BAY ,0,23/12/2020,7.85,-,-,-,-,-,-
39,FLAT A 27/F TOWER 5 MONTEGO BAY ,0,23/12/2020,16.38,-,-,-,-,-,-
40,FLAT 5 21/F YAT MEI HOUSE (BLOCK D) YAU CHUI COURT ,18,23/12/2020,5.08,400,531,12700,9567,-,
41,FLAT E 10/F BLOCK 13 PHASE 1 LAGUNA CITY,30,22/12/2020,8.38,687,857,12198,9778,3176,64
42,FLAT F 11/F TOWER 3 MONTEGO BAY ,0,22/12/2020,6.31,-,-,-,-,-,-
43,FLAT D 8/F TOWER 5 MONTEGO BAY ,0,22/12/2020,9.88,-,-,-,-,-,-
44,FLAT B 20/F TOWER 3 MONTEGO BAY ,0,22/12/2020,9.4,-,-,-,-,-,-
45,FLAT F 15/F TOWER 3 MONTEGO BAY ,0,22/12/2020,6.84,-,-,-,-,-,-
46,FLAT B 11/F TOWER 3 MONTEGO BAY ,0,22/12/2020,9.32,-,-,-,-,-,-
47,FLAT L 27/F TOWER 5 MONTEGO BAY ,0,22/12/2020,9.43,-,-,-,-,-,-
48,FLAT L 19/F TOWER 5 MONTEGO BAY ,0,22/12/2020,8.38,-,-,-,-,-,-
49,FLAT F 12/F TOWER 5 MONTEGO BAY ,0,22/12/2020,9.09,-,-,-,-,-,-
50,FLAT A 6/F TOWER 5 MONTEGO BAY ,0,22/12/2020,14.36,-,-,-,-,-,-
51,FLAT A 17/F TOWER 3 MONTEGO BAY ,0,22/12/2020,9.9,-,-,-,-,-,-
52,FLAT L 5/F TOWER 5 MONTEGO BAY ,0,22/12/2020,7.71,-,-,-,-,-,-
53,FLAT H 19/F TOWER 3 MONTEGO BAY ,0,22/12/2020,6.72,-,-,-,-,-,-
54,FLAT A 16/F TOWER 5 MONTEGO BAY ,0,22/12/2020,14.8,-,-,-,-,-,-
55,FLAT C 8/F TOWER 3 MONTEGO BAY ,0,22/12/2020,6.36,-,-,-,-,-,-
56,FLAT E 17/F TOWER 5 MONTEGO BAY ,0,22/12/2020,10.11,-,-,-,-,-,-
57,FLAT C 6/F TOWER 3 MONTEGO BAY ,0,22/12/2020,6.18,-,-,-,-,-,-
58,FLAT B 9/F TOWER 5 MONTEGO BAY ,0,22/12/2020,9.21,-,-,-,-,-,-
59,FLAT A 12/F TOWER 3 MONTEGO BAY ,0,22/12/2020,9.61,-,-,-,-,-,-
60,FLAT D 6/F TOWER 3 MONTEGO BAY ,0,22/12/2020,5.34,-,-,-,-,-,-
61,FLAT L 30/F TOWER 5 MONTEGO BAY ,0,22/12/2020,9.63,-,-,-,-,-,-
62,FLAT L 16/F TOWER 5 MONTEGO BAY ,0,22/12/2020,8.83,-,-,-,-,-,-
63,FLAT J 6/F TOWER 5 MONTEGO BAY ,0,22/12/2020,6.34,-,-,-,-,-,-
64,FLAT F 10/F TOWER 5 MONTEGO BAY ,0,22/12/2020,9.35,-,-,-,-,-,-
65,FLAT D 8/F TOWER 3 MONTEGO BAY ,0,22/12/2020,5.78,-,-,-,-,-,-
66,FLAT C 11/F TOWER 5 MONTEGO BAY ,0,22/12/2020,9.63,-,-,-,-,-,-
67,FLAT C 20/F TOWER 3 MONTEGO BAY ,0,22/12/2020,7.11,-,-,-,-,-,-
68,FLAT H 6/F TOWER 3 MONTEGO BAY ,0,22/12/2020,5.95,-,-,-,-,-,-
69,FLAT C 9/F TOWER 5 MONTEGO BAY ,0,22/12/2020,9.44,-,-,-,-,-,-
70,FLAT C 27/F TOWER 3 MONTEGO BAY ,0,22/12/2020,7.54,-,-,-,-,-,-
71,FLAT G 7/F TOWER 3 MONTEGO BAY ,0,22/12/2020,8.59,-,-,-,-,-,-
72,FLAT H 23/F TOWER 3 MONTEGO BAY ,0,22/12/2020,6.99,-,-,-,-,-,-
73,FLAT A 17/F TOWER 5 MONTEGO BAY ,0,22/12/2020,15.7,-,-,-,-,-,-
74,FLAT C 16/F TOWER 3 MONTEGO BAY ,0,22/12/2020,6.69,-,-,-,-,-,-
