,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B NO. 23 15/F 21-23 NASSAU STREET PHASE 6 MEI FOO SUN CHUEN,46,23/12/2020,9.45,705,941,13404,10043,1694,31
1,FLAT D NO. 15 13/F 15-17 HUMBERT STREET PHASE 6 MEI FOO SUN CHUEN,46,23/12/2020,7.65,518,690,14768,11087,3031,77
2,FLAT C NO. 42 9/F 40-42 BROADWAY PHASE 2 MEI FOO SUN CHUEN,49,23/12/2020,8.5,-,911,-,9330,9008,209
3,FLAT A NO. 42 10/F 42-44 NASSAU STREET PHASE 6 MEI FOO SUN CHUEN,44,22/12/2020,9.4,700,933,13429,10075,5191,238
4,FLAT C 19/F BLOCK 16 WONDERLAND VILLAS ,34,22/12/2020,6.8,567,744,11993,9140,8585,24
5,FLAT B NO. 7 18/F 5-7 HUMBERT STREET PHASE 5 MEI FOO SUN CHUEN,47,21/12/2020,9.75,715,957,13636,10188,-,
6,FLAT D NO. 18 4/F 18-20 NASSAU STREET PHASE 5 MEI FOO SUN CHUEN,48,21/12/2020,9.57,702,941,13632,10170,2373,36
7,FLAT A NO. 48 12/F 48-50 BROADWAY PHASE 2 MEI FOO SUN CHUEN,48,21/12/2020,15.7,968,1280,16219,12266,3738,115
8,FLAT C NO. 21 4/F 19-21 BROADWAY PHASE 1 MEI FOO SUN CHUEN,52,21/12/2020,7.08,639,857,11080,8261,3719,85
9,FLAT C NO. 6 8/F 6-8 HUMBERT STREET PHASE 6 MEI FOO SUN CHUEN,46,21/12/2020,9.48,666,893,14234,10616,3192,93
10,FLAT B NO. 8 19/F 6-8 GLEE PATH PHASE 3 MEI FOO SUN CHUEN,47,18/12/2020,7.58,509,676,14892,11213,2370,49
11,FLAT B NO. 62 15/F 60-62 BROADWAY PHASE 3 MEI FOO SUN CHUEN,48,17/12/2020,23.72,1370,1808,17314,13119,-,
12,FLAT B NO. 24 13/F 22-24 BROADWAY PHASE 1 MEI FOO SUN CHUEN,51,16/12/2020,22.7,1389,1849,16343,12277,-,
13,FLAT D NO. 14 20/F 14-16 NASSAU STREET PHASE 5 MEI FOO SUN CHUEN,48,16/12/2020,8.3,666,897,12462,9253,4698,156
14,FLAT A NO. 105 12/F 105-107 BROADWAY PHASE 4 MEI FOO SUN CHUEN,46,15/12/2020,7.1,496,663,14315,10709,2338,34
15,FLAT C NO. 27 19/F 25-27 BROADWAY PHASE 1 MEI FOO SUN CHUEN,51,14/12/2020,8.55,602,819,14203,10440,2201,28
16,FLAT D 15/F BLOCK 20 WONDERLAND VILLAS ,33,14/12/2020,8.72,774,910,11266,9582,2464,45
17,FLAT D NO. 4 16/F 2-4 GLEE PATH PHASE 2 MEI FOO SUN CHUEN,48,14/12/2020,8.13,636,848,12783,9587,5125,236
18,FLAT A NO. 20 20/F 18-20 BROADWAY PHASE 1 MEI FOO SUN CHUEN,51,14/12/2020,10,918,1230,10893,8130,4563,116
19,FLAT C NO. 20 15/F 18-20 NASSAU STREET PHASE 5 MEI FOO SUN CHUEN,48,10/12/2020,10.28,703,947,14623,10855,4183,135
20,FLAT 8 16/F LAI YING HOUSE (BLOCK A) LAI YAN COURT ,19,10/12/2020,6.88,645,-,10667,-,-,
21,FLAT D NO. 17 11/F 15-17 BROADWAY PHASE 1 MEI FOO SUN CHUEN,52,9/12/2020,8.49,702,961,12094,8835,3051,55
22,FLAT C NO. 74 20/F 72-74 BROADWAY PHASE 3 MEI FOO SUN CHUEN,48,8/12/2020,7.98,721,881,11068,9058,2135,25
23,FLAT D NO. 109 7/F 109-111 BROADWAY PHASE 4 MEI FOO SUN CHUEN,46,8/12/2020,8.5,656,877,12957,9692,-,
24,FLAT B3 5/F BLOCK B LAICHIKOK BAY GARDEN ,43,8/12/2020,4,426,477,9390,8386,-,
25,FLAT D 4/F TOWER 2 HIGHLAND PARK ,22,8/12/2020,7.85,655,813,11985,9656,-,
26,FLAT C NO. 12 14/F 10-12 LAI WAN ROAD PHASE 7 MEI FOO SUN CHUEN,43,8/12/2020,10,918,1223,10893,8177,-,
27,FLAT B NO. 28 19/F 26-28 BROADWAY PHASE 2 MEI FOO SUN CHUEN,49,8/12/2020,7.25,534,715,13577,10140,3010,66
28,FLAT 9 9/F LAI YUE HOUSE (BLOCK B) CHING LAI COURT ,39,7/12/2020,5.46,426,527,12817,10361,-,
29,FLAT B 16/F BLOCK 3 WONDERLAND VILLAS ,34,7/12/2020,7.24,546,732,13256,9888,9139,151
30,FLAT C NO. 117 18/F 117-119 BROADWAY PHASE 4 MEI FOO SUN CHUEN,46,7/12/2020,6.74,509,676,13242,9970,-,
31,FLAT 4 25/F YIN KWONG HOUSE (BLOCK A) YIN LAI COURT ,29,7/12/2020,5.35,493,613,10852,8728,-,
32,FLAT C NO. 1 16/F 1-3 HUMBERT STREET PHASE 5 MEI FOO SUN CHUEN,47,4/12/2020,7.9,509,676,15521,11686,2314,46
33,FLAT B NO. 7 2/F 5-7 HUMBERT STREET PHASE 5 MEI FOO SUN CHUEN,47,3/12/2020,9.5,805,957,11801,9927,2136,36
34,FLAT D 9/F 15 NASSAU STREET PHASE 5 MEI FOO SUN CHUEN,47,2/12/2020,9.6,665,896,14436,10714,1145,11
35,FLAT I 10/F 15 NASSAU STREET PHASE 5 MEI FOO SUN CHUEN,47,2/12/2020,8.26,578,761,14282,10848,2919,50
36,FLAT B NO. 24 20/F 22-24 NASSAU STREET PHASE 5 MEI FOO SUN CHUEN,48,1/12/2020,8.1,667,957,12144,8464,2026,13
37,FLAT E 52/F TOWER 3 MANHATTAN HILL ,14,1/12/2020,10.8,538,716,20074,15084,4694,118
38,FLAT C NO. 45 20/F 45-47 BROADWAY PHASE 3 MEI FOO SUN CHUEN,48,1/12/2020,6.1,481,717,12682,8508,3535,94
39,FLAT B NO. 16 11/F 14-16 BROADWAY PHASE 1 MEI FOO SUN CHUEN,51,1/12/2020,17.6,1329,1789,13243,9838,2368,28
40,FLAT 3 2/F BLOCK B PHASE 1 GREENWOOD VILLAS,25,30/11/2020,8.3,777,943,10682,8802,2155,22
41,FLAT A NO. 116 15/F 114-116 BROADWAY PHASE 8 MEI FOO SUN CHUEN,42,30/11/2020,8.65,670,898,12910,9633,-,
42,FLAT B NO. 7 7/F 5-7 HUMBERT STREET PHASE 5 MEI FOO SUN CHUEN,47,30/11/2020,9.85,715,957,13776,10293,-,
43,FLAT 10 15/F TSUI YIU COURT  ,39,27/11/2020,3.96,410,482,9659,8216,-,
44,FLAT B NO. 42 9/F 40-42 BROADWAY PHASE 2 MEI FOO SUN CHUEN,49,27/11/2020,7.18,532,715,13496,10042,7888,268
45,FLAT B 15/F BLOCK 13 WONDERLAND VILLAS ,34,26/11/2020,15.5,1172,1606,13225,9651,2987,50
46,FLAT G 12/F TOWER 5 HIGHLAND PARK ,22,26/11/2020,7.15,642,793,11137,9016,-,
47,FLAT B NO. 105 12/F 105-107 BROADWAY PHASE 4 MEI FOO SUN CHUEN,46,25/11/2020,7.58,588,786,12891,9644,9263,275
48,FLAT A NO. 21 8/F 21-23 NASSAU STREET PHASE 6 MEI FOO SUN CHUEN,46,25/11/2020,9.62,701,941,13723,10223,2290,38
49,FLAT H 23/F TOWER 2 NOB HILL ,18,25/11/2020,7.47,438,620,17055,12048,6315,353
50,FLAT 3 19/F TSUI YIU COURT  ,39,25/11/2020,4.45,466,547,9549,8135,-,
51,FLAT D 3/F BLOCK 20 WONDERLAND VILLAS ,33,25/11/2020,8,774,910,10336,8791,8460,23
52,FLAT F 14/F TOWER 5 HIGHLAND PARK ,22,24/11/2020,7.55,581,735,12995,10272,-,
53,FLAT 10 31/F LAI LAM HOUSE (BLOCK C) LAI YAN COURT ,19,24/11/2020,6.8,595,797,11429,8532,-,
54,FLAT B NO. 5 16/F 5-7 NASSAU STREET PHASE 5 MEI FOO SUN CHUEN,47,23/11/2020,7.68,509,676,15088,11361,2194,38
55,FLAT C 26/F TOWER 3 MANHATTAN HILL ,14,23/11/2020,10.52,558,758,18853,13879,3999,106
56,FLAT G 15/F TOWER 6 MANHATTAN HILL ,14,20/11/2020,13.55,674,881,20104,15380,1998,23
57,FLAT C NO. 3 3/F 1-3 NASSAU STREET PHASE 5 MEI FOO SUN CHUEN,47,20/11/2020,7.58,564,758,13440,10000,5412,223
58,FLAT D 31/F TOWER 3 HIGHLAND PARK ,22,19/11/2020,6.09,511,634,11918,9606,-,
59,FLAT H 6/F TOWER 1 HIGHLAND PARK ,22,18/11/2020,5.8,481,596,12058,9732,-,
60,FLAT 8 7/F LAI HONG HOUSE (BLOCK E) CHING LAI COURT ,39,18/11/2020,4.8,411,509,11679,9430,-,
61,FLAT D NO. 2 1/F 2-4 BROADWAY PHASE 1 MEI FOO SUN CHUEN,52,17/11/2020,10,885,1216,11299,8224,3783,104
62,FLAT 4 28/F LAI LAM HOUSE (BLOCK C) LAI YAN COURT ,19,17/11/2020,5.9,531,705,11111,8369,-,
63,FLAT B 37/F TOWER 2 NOB HILL ,18,17/11/2020,8.5,480,673,17708,12630,1301,20
