,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT A 2/F MINK TACK COURT  ,28,23/12/2020,4.2,-,420,-,10000,-,
1,FLAT A5 17/F SKYPARK  ,4,23/12/2020,7.78,407,-,19115,-,1582,17
2,FLAT 10 5/F CHUNG KIN BUILDING  ,54,23/12/2020,3.8,-,-,-,-,-,
3,FLAT J 7/F BLOCK 15 CHARMING GARDEN ,22,23/12/2020,5.64,484,568,11660,9935,-,
4,FLAT F 1/F FULLAND COURT  ,35,22/12/2020,3.65,246,323,14837,11300,-,
5,NO. 15 6/F KWONG AH BUILDING  ,31,22/12/2020,4.6,329,-,13982,-,1138,20
6,FLAT B 15/F MONG KOK BUILDING  ,58,22/12/2020,4.79,498,-,9618,-,1267,10
7,NO. 169 10/F ORCHID HOUSE  ,56,22/12/2020,10,985,-,10152,-,4475,102
8,FLAT F 15/F TOWER 1 AQUILA.SQUARE MILE ,0,22/12/2020,6.48,259,-,25025,-,-,-
9,FLAT A 5/F FULLAND COURT  ,35,22/12/2020,5.38,326,438,16503,12283,2965,62
10,FLAT A 9/F I-HOME  ,11,21/12/2020,7.9,519,705,15222,11206,2047,32
11,FLAT E 12/F CHEUNG (CHEONG) LING MANSION  ,55,21/12/2020,6.55,700,-,9357,-,4620,143
12,FLAT D3 15/F SKYPARK  ,4,21/12/2020,5.97,310,-,19242,-,1637,20
13,FLAT B 15/F TAK LEE BUILDING  ,42,21/12/2020,3.38,207,-,16329,-,2750,44
14,FLAT B7 9/F BLOCK B SHUN KING BUILDING ,42,21/12/2020,3.1,216,277,14352,11191,1168,17
15,FLAT 19 7/F CHUNG YEW BUILDING  ,50,21/12/2020,2.6,332,-,7831,-,-,
16,FLAT K 10/F TOWER 1 ELTANIN•SQUARE MILE ,3,21/12/2020,5.3,265,-,20000,-,1851,17
17,FLAT 6 9/F TAI SHING BUILDING (BLOCK H) COSMOPOLITAN ESTATES ,45,21/12/2020,3.7,344,450,10756,8222,3379,106
18,FLAT B 16/F TOWER 1B MACPHERSON PLACE ,8,18/12/2020,7.2,398,-,18090,-,2282,-1
19,FLAT C 7/F SUN KONG HOUSE  ,43,18/12/2020,5.78,415,511,13928,11311,1451,38
20,FLAT B 32/F PARADISE SQUARE  ,17,18/12/2020,7.57,423,593,17896,12766,4651,157
21,FLAT E 9/F TOWER 1B MACPHERSON PLACE ,8,18/12/2020,7.12,412,-,17282,-,2295,-9
22,FLAT B 26/F KWONG FAI MANSION  ,33,18/12/2020,6.9,480,592,14375,11655,8318,124
23,FLAT 2 9/F BOUNDARY BUILDING  ,54,18/12/2020,3.7,378,385,9788,9610,5353,351
24,NO. 163A 2/F HANG ON BUILDING  ,57,18/12/2020,7.25,855,-,8480,-,-,
25,FLAT C (REAR) 7/F NAM FUNG HOUSE  ,54,17/12/2020,3.15,223,-,14126,-,1286,33
26,FLAT A 22/F BEDFORD 28  ,12,17/12/2020,7.55,457,607,16521,12438,1098,11
27,FLAT B 10/F TAI WAH MANSION  ,54,17/12/2020,7.1,545,-,13028,-,1062,18
28,FLAT A 9/F KAM DO MANSION  ,42,17/12/2020,5.5,507,630,10848,8730,-,
29,FLAT 6 8/F TAI WAH BUILDING (BLOCK Q) COSMOPOLITAN ESTATES ,44,17/12/2020,3.67,260,330,14115,11121,1226,12
30,FLAT 4 8/F CHEUNG HING BUILDING  ,54,17/12/2020,4.4,435,-,10115,-,-,
31,FLAT C 6/F BLOCK 2 PROSPERITY COURT ,26,17/12/2020,6.29,442,550,14226,11433,-,
32,FLAT H 13/F PAK PO MANSIONS  ,57,17/12/2020,4.83,435,-,11092,-,3145,91
33,FLAT A 6/F YEN CHUN MANSION (BUILDING)  ,43,17/12/2020,4.5,446,-,10090,-,2689,56
34,FLAT H 20/F SHUN HING BUILDING  ,40,16/12/2020,3.82,268,329,14254,11611,-,
35,FLAT C2 (NO. 34 FRONT) 1/F 30-34 TUNG CHOI STREET PAK CHEUNG BUILDING ,60,16/12/2020,3.2,699,-,4578,-,-,
36,FLAT C 3/F KAY PONT BUILDING  ,39,16/12/2020,4.05,280,402,14464,10075,216,6
37,FLAT E 5/F BLOCK 12 CHARMING GARDEN ,22,16/12/2020,5.02,431,505,11647,9941,-,
38,FLAT A 9/F YUE KING BUILDING  ,42,16/12/2020,4.35,318,450,13679,9667,2995,81
39,FLAT 7 2/F BLOCK I TSUI YUEN MANSION ,56,16/12/2020,5.82,-,-,-,-,1754,27
40,NO. 11A 11/F 11A FA YUEN STREET  ,58,15/12/2020,7.08,691,-,10246,-,7013,0
41,NO. 42 3/F RUBY MANSION  ,45,15/12/2020,3.53,314,-,11242,-,2793,55
42,FLAT A 12/F TOWER 1 AQUILA.SQUARE MILE ,0,15/12/2020,6.06,256,-,23684,-,-,-
43,FLAT A 8/F TOWER 1 AQUILA.SQUARE MILE ,0,15/12/2020,5.85,256,-,22847,-,-,-
44,FLAT B2 10/F BLOCK B PO HANG BUILDING ,37,15/12/2020,4,343,456,11662,8772,6409,545
45,FLAT E 21/F BLOCK 11 CHARMING GARDEN ,22,15/12/2020,7.76,431,505,18005,15366,-,
46,FLAT A 14/F KWONG HING BUILDING  ,35,14/12/2020,3.7,239,347,15481,10663,8038,271
47,FLAT 3 (NO. 21) 14/F MAN WAH BUILDING  ,55,14/12/2020,4.9,-,-,-,-,3122,49
48,FLAT F 3/F NOVI  ,1,14/12/2020,4.6,226,-,20354,-,1210,30
49,FLAT A 4/F KA NAM HOUSE  ,41,14/12/2020,8.75,342,-,25585,-,9094,0
50,NO. 12 4/F 12-14 ANCHOR STREET  ,55,14/12/2020,2.95,339,-,8702,-,8663,216
51,FLAT E 25/F PARADISE SQUARE  ,17,14/12/2020,8.58,434,591,19770,14518,6011,229
52,FLAT A3 9/F SKYPARK  ,4,14/12/2020,7.38,398,-,18543,-,1582,17
53,FLAT 12 (NO. 14) 5/F MAN WAI BUILDING  ,55,11/12/2020,5.45,-,-,-,-,6384,786
54,FLAT B6 9/F BLOCK B SHUN KING BUILDING ,42,11/12/2020,3,216,277,13889,10830,-,
55,NO. 180 4/F 180 FA YUEN STREET  ,58,11/12/2020,3.03,435,-,6966,-,-,
56,FLAT A 11/F TOWER 1 AQUILA.SQUARE MILE ,0,11/12/2020,5.96,256,-,23265,-,-,-
57,FLAT 45 11/F MAN CHEONG BUILDING  ,50,11/12/2020,4.9,-,-,-,-,-,
58,FLAT 3 17/F GOOD HOPE BUILDING  ,49,11/12/2020,6.65,580,677,11466,9823,4411,217
59,FLAT A 11/F KWONG FUNG BUILDING  ,54,11/12/2020,2.9,302,-,9603,-,-,
60,FLAT J 1/F TAI KOK TSUI BUILDING  ,58,10/12/2020,4.83,554,-,8718,-,2738,41
61,FLAT A 41/F FLOURISH MANSION  ,17,10/12/2020,6.5,427,629,15222,10334,3540,84
62,FLAT A 12/F KA HING COURT  ,39,10/12/2020,3.75,290,-,12931,-,-,
63,FLAT B 12/F YEN YIN BUILDING  ,41,9/12/2020,3.6,207,311,17391,11576,2374,53
64,FLAT C (NO. 187) 5/F SIU YIP HOUSE (BUILDING)  ,46,9/12/2020,3.58,286,-,12517,-,-,
65,FLAT 28 14/F MAN YIU BUILDING  ,51,9/12/2020,5,510,565,9804,8850,-,
66,NO. 156 3/F 154-158 SAI YEUNG CHOI STREET SOUTH  ,59,9/12/2020,3.3,380,-,8684,-,2113,-6
67,FLAT C 29/F BLOCK 1 NO. 8 WATERLOO ROAD ,16,9/12/2020,8.95,476,626,18803,14297,2706,48
68,FLAT B 14/F KAM MING COURT  ,40,9/12/2020,6.86,383,546,17911,12564,1089,17
69,FLAT A 33/F LIME STARDOM  ,9,8/12/2020,7.43,386,495,19249,15010,3793,99
70,FLAT F 8/F TOWER 1 AQUILA.SQUARE MILE ,0,8/12/2020,5.9,259,-,22762,-,-,-
71,FLAT B 3/F KAI YIN MANSION  ,31,8/12/2020,3.88,234,356,16581,10899,1946,23
72,FLAT B 41/F BLOCK 2 NO. 8 WATERLOO ROAD ,16,8/12/2020,8.97,441,586,20340,15307,1310,14
73,FLAT F 13/F FU LAI BUILDING (BLOCK 1) PHASE 2 FU TOR LOY SUN CHUEN,40,8/12/2020,4.08,268,334,15224,12216,-,
74,FLAT F 12/F LEE KWAN BUILDING  ,59,8/12/2020,5.37,527,-,10190,-,-,
75,FLAT B 11/F FA YUEN PLAZA  ,17,8/12/2020,4.3,214,347,20093,12392,6115,273
76,FLAT E 15/F TOWER 2 AQUILA.SQUARE MILE ,0,8/12/2020,6.43,257,-,25007,-,-,-
77,FLAT E (NO. 61) 7/F WING SHUN BUILDING  ,59,8/12/2020,7,780,-,8974,-,-,
78,NO. 2C 5/F 2C BOUNDARY STREET  ,65,8/12/2020,9.11,944,-,9653,-,-,
79,NO. 2C 4/F 2C BOUNDARY STREET  ,65,8/12/2020,9.55,989,-,9653,-,-,
80,NO. 2D 5/F 2D BOUNDARY STREET  ,65,8/12/2020,9.11,944,-,9653,-,2911,153
81,NO. 2D 4/F 2D BOUNDARY STREET  ,65,8/12/2020,9.55,989,-,9653,-,2523,218
82,NO. 2D 3/F 2D BOUNDARY STREET  ,65,8/12/2020,9.85,1020,-,9653,-,3102,141
83,NO. 2C 1/F 2C BOUNDARY STREET  ,65,8/12/2020,9.85,1020,-,9653,-,-,
84,NO. 2D 1/F 2D BOUNDARY STREET  ,65,8/12/2020,9.85,1020,-,9653,-,-,
85,FLAT E 20/F TOWER 2 CETUS•SQUARE MILE ,1,8/12/2020,7.5,-,-,-,-,868,-8
86,FLAT 14 (NO. 36) 10/F MAN FAI BUILDING  ,54,7/12/2020,5,565,-,8850,-,1604,14
87,FLAT D 2/F OSCAR COURT  ,48,7/12/2020,5.99,540,-,11093,-,2279,25
88,NO. 99 3/F 99 TUNG CHOI STREET  ,53,7/12/2020,5,654,-,7645,-,1197,25
89,FLAT R 2/F CHEONG FAI MANSION  ,52,7/12/2020,2,208,-,9615,-,1445,-5
90,FLAT B 1/F 83 LAI CHI KOK ROAD  ,28,7/12/2020,3.1,229,360,13537,8611,2127,55
91,FLAT E 10/F NEW MAN LEE BUILDING  ,36,7/12/2020,4.28,310,379,13806,11293,3440,119
92,NO. 370 8/F YIU CHUNG BUILDING  ,47,4/12/2020,4,321,-,12461,-,8514,125
93,FLAT C 5/F KENSINGTON PLAZA  ,21,4/12/2020,7,477,662,14675,10574,1903,22
94,FLAT B 10/F COMFORT MANSION  ,23,4/12/2020,3.9,236,335,16525,11642,3675,150
95,FLAT G 16/F BLOCK 1 NO. 8 WATERLOO ROAD ,16,4/12/2020,11.6,581,763,19966,15203,4531,164
96,FLAT C 5/F CHEUNG (CHEONG) LING MANSION  ,55,4/12/2020,7,780,-,8974,-,2942,35
97,NO. 28 6/F 26-28 MONG KOK ROAD  ,60,4/12/2020,4.8,815,-,5890,-,3469,60
98,FLAT D 5/F BLOCK 3 PROSPEROUS GARDEN ,25,4/12/2020,6.5,478,586,13598,11092,-,
99,FLAT B 8/F SHUI FUNG BUILDING  ,38,3/12/2020,3.5,237,343,14768,10204,-,
100,FLAT D3 10/F SKYPARK  ,4,3/12/2020,5.83,310,-,18806,-,1627,20
