,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT D 23/F TOWER 1 HAMPTON PLACE ,17,23/12/2020,8.8,464,625,18966,14080,3489,53
1,FLAT F 16/F TOWER 1 ISLAND HARBOURVIEW ,20,23/12/2020,12.98,602,816,21561,15907,1404,24
2,FLAT D 36/F TOWER 5 ISLAND HARBOURVIEW ,20,23/12/2020,13.9,709,932,19605,14914,4796,179
3,FLAT D 19/F TOWER 9 THE LONG BEACH ,16,22/12/2020,10.8,564,752,19149,14362,1673,42
4,FLAT C 48/F TOWER 7 THE LONG BEACH ,16,22/12/2020,10.78,567,753,19012,14316,1923,14
5,FLAT B 20/F TOWER 1 FLORIENT RISE ,12,22/12/2020,17.5,818,1110,21394,15766,3316,28
6,FLAT D 57/F TOWER 1 HAMPTON PLACE ,17,21/12/2020,11.5,450,613,25556,18760,3916,184
7,FLAT F 32/F TOWER 8 PHASE 2 METRO HARBOUR VIEW,17,18/12/2020,7.08,439,601,16128,11780,2891,43
8,FLAT D 50/F TOWER 1 HAMPTON PLACE ,17,18/12/2020,8.78,450,613,19511,14323,4311,165
9,FLAT F 22/F TOWER 2 PHASE 1 METRO HARBOUR VIEW,17,18/12/2020,7.25,383,566,18930,12809,1113,13
10,FLAT F 10/F TOWER 2 PARK SUMMIT ,8,18/12/2020,4.5,283,355,15901,12676,3142,42
11,FLAT G 39/F TOWER 6 PHASE 1 METRO HARBOUR VIEW,17,18/12/2020,7.1,386,560,18394,12679,4116,186
12,FLAT A 8/F TOWER 10 ISLAND HARBOURVIEW ,20,17/12/2020,11.14,520,690,21419,16142,3702,83
13,FLAT F 40/F TOWER 10 PHASE 2 METRO HARBOUR VIEW,17,17/12/2020,7.57,440,601,17200,12592,5370,187
14,FLAT B 36/F TOWER 1 THE LONG BEACH ,16,17/12/2020,12.1,558,742,21685,16307,1413,17
15,FLAT D 22/F TOWER 1 HAMPTON PLACE ,17,16/12/2020,8.2,464,625,17672,13120,2167,27
16,FLAT A 15/F TOWER 3 CENTRAL PARK PARK AVENUE,19,16/12/2020,12.08,673,907,17949,13319,2891,28
17,FLAT C 32/F TOWER 10 ISLAND HARBOURVIEW ,20,16/12/2020,18,786,1052,22901,17110,7858,220
18,FLAT A 22/F TOWER 3 PHASE 1 METRO HARBOUR VIEW,17,16/12/2020,6.4,322,477,19876,13417,4165,198
19,FLAT F 29/F TOWER 2 PARK SUMMIT ,8,16/12/2020,5.5,283,355,19435,15493,3145,60
