,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT E 29/F METROPOLITAN RISE  ,19,23/12/2020,7.56,409,583,18484,12967,7443,231
1,FLAT C 10/F PALATIAL STAND  ,19,23/12/2020,5.2,256,441,20313,11791,2138,31
2,FLAT B8 8/F BLOCK B HONOUR BUILDING ,47,23/12/2020,3.83,287,337,13345,11365,4273,312
3,NO. 14 1/F 14 PANG CHING STREET  ,61,23/12/2020,3.95,466,-,8476,-,1112,147
4,FLAT F 7/F THE ZUTTEN  ,3,23/12/2020,4.92,257,-,19144,-,1796,34
5,NO. 12 5/F 12 HING YIN STREET  ,60,22/12/2020,3.96,480,-,8250,-,1602,45
6,NO. 31 1/F 31 WINSLOW STREET  ,61,22/12/2020,3.98,539,-,7384,-,2860,40
7,FLAT D 1/F CAMBO MANSION   (with flat roof),35,22/12/2020,4,252,320,15873,12500,1189,33
8,NO. 21 5/F 21 TSUN FAT STREET  ,61,21/12/2020,4,594,-,6734,-,-,
9,FLAT A 4/F GOLDEN MANSION  ,38,21/12/2020,4.73,358,467,13212,10128,1570,37
10,FLAT H (T1b) 25/F UPPER EAST  ,2,21/12/2020,4.35,197,-,22081,-,-,
11,FLAT F1 9/F BLOCK F HONOUR BUILDING ,47,21/12/2020,6.18,461,650,13406,9508,1754,58
12,NO. 13 6/F 13 MEI KING STREET  ,62,21/12/2020,3.76,550,-,6836,-,-,
13,FLAT C 14/F PO SUN MANSION  ,28,21/12/2020,6.3,418,595,15072,10588,1542,21
14,FLAT E9 10/F BLOCK E HONOUR BUILDING ,47,18/12/2020,5,368,-,13587,-,1996,37
15,NO. 6 7/F 6 HING YIN STREET  ,60,18/12/2020,3.99,480,-,8308,-,3076,50
16,FLAT A6 11/F LUNG TECK TOWER (BLOCK A) PO TECK MANSION ,48,18/12/2020,4.15,367,470,11308,8830,-,
17,FLAT A (NO. 167) 2/F PO ON LAU  ,50,18/12/2020,2.78,353,-,7875,-,1271,26
18,FLAT C 39/F TOWER 3 GRAND WATERFRONT ,14,18/12/2020,6.3,427,585,14754,10769,5201,81
19,FLAT 5 2/F BLOCK A WEI CHIEN COURT WYLER GARDENS,41,17/12/2020,4.63,335,394,13815,11746,-,
20,NO. 21 1/F 21 COOKE STREET  ,61,17/12/2020,3.9,493,-,7911,-,3073,95
21,FLAT 4 14/F BLOCK H WEI CHIEN COURT WYLER GARDENS,41,17/12/2020,5,419,507,11933,9862,-,
22,NO. 13 3/F 13 TSUN FAT STREET  ,61,17/12/2020,5,464,-,10776,-,1110,25
23,NO. 17 7/F 17 SHEUNG HEUNG ROAD  ,62,17/12/2020,3.15,549,-,5738,-,-,
24,FLAT H 5/F CHEUNG WAN BUILDING  ,46,17/12/2020,5.08,440,-,11545,-,-,
25,FLAT A 58/F TOWER 2 GRAND WATERFRONT ,14,16/12/2020,7.28,367,504,19837,14444,2462,43
26,FLAT F 29/F METROPOLITAN RISE  ,19,16/12/2020,10,524,738,19084,13550,3629,104
27,FLAT B 21/F MING FAT BUILDING  ,43,16/12/2020,4.26,290,-,14690,-,6542,555
28,FLAT 6 3/F BLOCK D HANG CHIEN COURT WYLER GARDENS,41,15/12/2020,5.2,372,444,13978,11712,-,
29,FLAT 42 7/F BLOCK 1 PHASE 1 MEI KING MANSION,56,15/12/2020,4.2,526,-,7985,-,-,
30,FLAT A (T1b) 27/F UPPER EAST  ,2,15/12/2020,4.36,228,-,19123,-,1904,11
31,FLAT H 28/F DOWNTOWN 38  ,1,14/12/2020,8.88,291,-,30502,-,-,-
32,FLAT D 7/F OCEAN MANSION  ,31,14/12/2020,5.5,346,479,15896,11482,1284,15
33,FLAT J (T1b) 29/F UPPER EAST  ,2,11/12/2020,6.46,322,-,20047,-,1914,12
34,FLAT C 7/F AXIS  ,3,11/12/2020,4.95,246,-,20122,-,2015,6
35,FLAT 4 13/F BLOCK F HANG CHIEN COURT WYLER GARDENS,41,11/12/2020,4.98,336,394,14821,12640,3027,94
36,FLAT C 26/F BLOCK 1 SKY TOWER ,16,11/12/2020,9,539,717,16698,12552,6207,313
37,FLAT A 11/F ON LUNG BUILDING ON WO GARDENS ,46,11/12/2020,7.38,614,-,12020,-,-,
38,FLAT H 47/F BLOCK 6 SKY TOWER ,16,10/12/2020,8.88,479,639,18539,13897,4980,240
39,NO. 13 (FLAT A) 5/F 13 TO KWA WAN ROAD  ,63,10/12/2020,3.2,330,-,9697,-,-,
40,FLAT E 13/F WAH LAI MANSION  ,42,9/12/2020,3.6,325,428,11077,8411,3494,128
41,NO. 1 3/F 1 SHIM LUEN STREET  ,59,9/12/2020,10.68,763,-,13997,-,-,
42,FLAT A 11/F AXIS  ,3,9/12/2020,4.9,246,-,19919,-,1326,-4
43,FLAT E 13/F ON NING BUILDING ON WO GARDENS ,47,9/12/2020,4,365,448,10959,8929,3721,162
44,FLAT B 8/F WAH LAI MANSION  ,42,8/12/2020,3.38,290,-,11655,-,2176,35
45,FLAT A 10/F BLOCK 2 HUNGHOM GARDENS ,30,8/12/2020,5.4,386,481,13990,11227,-,
46,FLAT E 8/F SANG ON BUILDING  ,47,7/12/2020,3.68,309,-,11909,-,-,
47,FLAT B 5/F FORTUNE BUILDING  ,38,7/12/2020,3.1,253,369,12253,8401,3650,165
48,FLAT 1 8/F BLOCK I HANG CHIEN COURT WYLER GARDENS,41,7/12/2020,6.37,421,500,15131,12740,-,
49,FLAT 2 13/F BLOCK F CHONG CHIEN COURT WYLER GARDENS,42,7/12/2020,6.89,456,543,15110,12689,-,
50,FLAT B 6/F KA WAI COURT  ,28,7/12/2020,4.15,286,415,14510,10000,6052,361
51,FLAT B 32/F TOWER 2 GRAND WATERFRONT ,14,7/12/2020,6.98,384,522,18177,13372,5196,182
52,NO. 46 (FRONT) 2/F 46 NGAN HON STREET  ,59,7/12/2020,6.25,612,-,10209,-,-,
53,NO. 10 7/F PAK TAI MANSION  ,58,7/12/2020,7.76,705,-,11000,-,4115,462
54,NO. 12 7/F PAK TAI MANSION  ,58,7/12/2020,5.67,515,-,11000,-,5291,788
55,FLAT H 18/F BLOCK 1 SKY TOWER ,16,7/12/2020,8.33,479,639,17390,13036,4299,219
56,FLAT B7 10/F PO TECK TOWER (BLOCK B) PO TECK MANSION ,48,4/12/2020,4.34,367,-,11820,-,3190,117
57,FLAT A 4/F MING WAH COURT  ,47,4/12/2020,5.35,445,-,12022,-,6718,654
58,FLAT A8 12/F BLOCK A LOONG KING MANSION ,46,4/12/2020,3.6,357,432,10084,8333,8575,113
59,NO. 12 8/F PAK TAI MANSION  ,58,4/12/2020,5.67,515,-,11000,-,-,
60,NO. 2B 6/F PAK TAI MANSION  ,58,4/12/2020,5.74,522,-,11000,-,3921,413
61,FLAT L 15/F THE ZUTTEN  ,3,4/12/2020,5.45,257,-,21206,-,1803,48
62,FLAT B 52/F BLOCK 6 SKY TOWER ,16,4/12/2020,9.7,521,687,18618,14119,2935,54
63,NO. 87 3/F 87 TAM KUNG ROAD  ,61,4/12/2020,10.03,590,-,16997,-,2233,167
64,NO. 87 2/F 87 TAM KUNG ROAD  ,61,4/12/2020,10.03,590,-,16997,-,-,
65,FLAT H 17/F BLOCK 5 SKY TOWER ,16,3/12/2020,8.4,479,639,17537,13146,5993,305
66,NO. 82 4/F 82 WING KWONG STREET  ,62,3/12/2020,7.83,722,-,10850,-,-,
67,NO. 10 5/F PAK TAI MANSION  ,58,3/12/2020,7.76,705,-,11000,-,-,
68,NO. 12 6/F PAK TAI MANSION  ,58,3/12/2020,5.67,515,-,11000,-,-,
69,FLAT D 14/F BLOCK 2 WING FAI MANSION ,26,2/12/2020,5.8,316,434,18354,13364,8682,186
70,FLAT B 20/F WING LAM MANSION  ,39,2/12/2020,4.5,270,355,16667,12676,1099,3
71,FLAT A 10/F SHUNG WAH COURT  ,28,2/12/2020,3.97,237,352,16751,11278,-,
72,FLAT 13 15/F TUNG SHUN HING BUILDING  ,47,2/12/2020,3.6,283,-,12721,-,1944,31
73,NO. 14 6/F PAK TAI MANSION  ,58,2/12/2020,5.15,515,-,10000,-,-,
74,NO. 12 4/F PAK TAI MANSION  ,58,2/12/2020,5.67,515,-,11000,-,6707,844
75,FLAT G 17/F NO. 93 PAU CHUNG STREET  ,2,2/12/2020,6.2,333,-,18619,-,1497,18
76,NO. 32B 6/F 32B KOWLOON CITY ROAD  ,60,1/12/2020,3,767,-,3911,-,-,
77,FLAT D 27/F MY PLACE   (with roof),5,1/12/2020,7.3,348,-,20977,-,2023,15
78,FLAT C 12/F BLOCK 1 WING FAI MANSION ,26,1/12/2020,4.5,316,427,14241,10539,2022,13
79,NO. 27 5/F 27 FUNG YI STREET  ,60,1/12/2020,5.87,735,-,7986,-,-,
80,NO. 16 4/F PAK TAI MANSION  ,58,1/12/2020,5.95,593,-,10034,-,-,
81,NO. 2A 8/F PAK TAI MANSION  ,58,1/12/2020,6.23,566,800,11000,7783,-,
82,FLAT B7 3/F BLOCK B HONOUR BUILDING ,47,1/12/2020,4,310,355,12903,11268,8017,400
83,FLAT D 3/F TUNG HOI BUILDING  ,52,30/11/2020,3.5,391,-,8951,-,4530,154
84,FLAT G 42/F TOWER 3 GRAND WATERFRONT ,14,30/11/2020,7.05,384,522,18359,13506,4214,182
85,FLAT E 6/F BLOCK B GRANDVIEW GARDEN ,27,30/11/2020,7.18,449,602,15991,11927,1626,44
86,NO. 5 2/F 5 CHUNG SUN STREET  ,60,30/11/2020,4,473,-,8457,-,-,
87,NO. 10 3/F 8A-10 PAK KUNG STREET  ,55,30/11/2020,5.35,648,-,8256,-,-,
88,FLAT B 17/F RICHES COURT  ,24,27/11/2020,5.65,388,606,14562,9323,2329,46
89,FLAT B 6/F SIU FUNG COURT  ,27,27/11/2020,4.9,297,429,16498,11422,1113,13
90,FLAT H8 6/F BLOCK H HONOUR BUILDING ,47,27/11/2020,4.03,310,355,12984,11338,4228,328
91,FLAT 11 6/F TUNG SHUN HING BUILDING  ,47,27/11/2020,3.8,270,-,14074,-,3238,147
92,FLAT E 8/F WAN TUNG BUILDING  ,40,27/11/2020,5.43,385,455,14099,11930,2263,82
93,FLAT E 11/F TOWER 1 GRAND WATERFRONT ,14,27/11/2020,9,546,757,16484,11889,3436,64
94,FLAT A 10/F SUN CHEONG BUILDING  ,31,27/11/2020,4.2,281,420,14947,10000,3987,342
95,NO. 25 6/F 25 MING LUN STREET  ,61,26/11/2020,4.83,570,-,8474,-,3187,93
96,FLAT G1 6/F BLOCK G HONOUR BUILDING ,47,26/11/2020,4.38,340,402,12882,10896,3500,149
