,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT A 25/F TOWER 2B THE LATITUDE ,10,22/12/2020,7.8,454,580,17181,13448,3979,112
1,FLAT B 41/F TOWER 1B THE LATITUDE ,10,18/12/2020,10.8,534,695,20225,15540,3843,119
2,FLAT B 29/F TOWER 1B THE LATITUDE ,10,14/12/2020,10,534,695,18727,14388,3838,117
3,FLAT F 7/F TOWER 4 JUBILANT PLACE ,22,11/12/2020,10,781,955,12804,10471,-,
4,FLAT B 7/F TOWER 2 JUBILANT PLACE ,22,11/12/2020,9.66,778,951,12416,10158,-,
5,FLAT D 7/F TOWER 8 THE LATITUDE ,10,9/12/2020,9.18,532,691,17256,13285,4240,138
6,FLAT A 23/F BLOCK 3 MAJESTIC PARK ,22,9/12/2020,24,1457,1840,16472,13043,7939,90
7,FLAT C 7/F TOWER 7 JUBILANT PLACE ,22,7/12/2020,11.05,839,1024,13170,10791,-,
8,FLAT D 19/F TOWER 7 THE LATITUDE ,10,7/12/2020,10,626,823,15974,12151,4223,116
9,FLAT E 18/F TOWER 7 THE LATITUDE ,10,1/12/2020,9.4,533,691,17636,13603,4206,149
10,FLAT D 42/F TOWER 7 THE LATITUDE ,10,27/11/2020,11.68,626,823,18658,14192,3685,86
11,FLAT E 30/F TOWER 8 THE LATITUDE ,10,25/11/2020,9.78,525,680,18629,14382,4224,124
12,FLAT D 21/F TOWER 8 THE LATITUDE ,10,25/11/2020,9.75,532,691,18327,14110,2017,25
13,FLAT F 37/F NO. 18 FARM ROAD  ,16,24/11/2020,17,763,1002,22280,16966,4176,154
14,FLAT A 9/F TOWER 3 JUBILANT PLACE ,22,23/11/2020,8.3,607,741,13674,11201,-,
15,FLAT E 15/F BLOCK 2 MAJESTIC PARK ,22,20/11/2020,8.75,510,645,17157,13566,2194,37
16,FLAT A 47/F TOWER 8 THE LATITUDE ,10,20/11/2020,19.9,1035,1335,19227,14906,4212,73
17,FLAT B 17/F TOWER 6 JUBILANT PLACE ,22,12/11/2020,10.2,773,893,13195,11422,-,
18,FLAT D 21/F TOWER 6 THE LATITUDE ,10,11/11/2020,9.5,549,713,17301,13321,4202,117
19,FLAT D 5/F TOWER 3 JUBILANT PLACE ,22,5/11/2020,8.28,566,691,14629,11983,-,
20,FLAT G 9/F BLOCK 5 MAJESTIC PARK ,22,3/11/2020,14.45,813,1025,17774,14098,7144,254
21,FLAT G 7/F TOWER 5 JUBILANT PLACE ,22,2/11/2020,9.98,781,955,12778,10450,-,
22,FLAT A 17/F TOWER 6 JUBILANT PLACE ,22,21/10/2020,9.53,731,893,13037,10672,-,
23,FLAT E 38/F TOWER 7 THE LATITUDE ,10,20/10/2020,9.82,533,691,18424,14211,3913,124
24,FLAT H 17/F NO. 18 FARM ROAD  ,16,15/10/2020,9.15,478,646,19142,14164,1495,24
25,FLAT C 11/F TOWER 2B THE LATITUDE ,10,15/10/2020,7.99,446,571,17915,13993,4104,140
26,FLAT F 43/F TOWER 6 THE LATITUDE ,10,15/10/2020,10.28,545,707,18862,14540,3891,121
27,FLAT C 18/F TOWER 2B THE LATITUDE ,10,15/10/2020,8,446,571,17937,14011,2269,39
28,FLAT C 25/F TOWER 2B THE LATITUDE ,10,14/10/2020,7,446,571,15695,12259,1470,4
29,FLAT F 9/F TOWER 8 THE LATITUDE ,10,12/10/2020,9.33,530,686,17604,13601,3781,133
30,FLAT E 29/F TOWER 8 THE LATITUDE ,10,9/10/2020,9.68,525,680,18438,14235,3617,102
