,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B 31/F TOWER 4 BAUHINIA GARDEN ,19,23/12/2020,5.8,484,-,11983,-,-,
1,FLAT 4 31/F WO FAI HOUSE (BLOCK B) WO MING COURT ,21,23/12/2020,4.93,530,-,9302,-,-,
2,FLAT C 33/F TOWER 7 THE WINGS THE WINGS,9,23/12/2020,14.3,725,918,19724,15577,3304,50
3,FLAT RC 66/F TOWER 10 PHASE 2C LA SPLENDEUR LOHAS PARK,8,23/12/2020,9.3,-,-,-,-,3322,51
4,FLAT B 17/F TOWER 3 THE PARKSIDE ,5,23/12/2020,9.5,521,-,18234,-,2212,59
5,FLAT B 32/F TOWER 2A IIIA THE WINGS,4,23/12/2020,12.23,673,-,18172,-,2275,36
6,FLAT D 30/F TOWER 3 RESIDENCE OASIS ,16,23/12/2020,9.2,567,755,16226,12185,6232,301
7,FLAT C 41/F BLOCK 7 PHASE 2 OSCAR BY THE SEA,18,23/12/2020,7.8,525,695,14857,11223,2080,37
8,FLAT G 5/F TOWER 2 PHASE 2 PARK CENTRAL,17,23/12/2020,9.86,684,908,14415,10859,832,-1
9,FLAT F 37/F BLOCK 3 LA CITE NOBLE ,21,23/12/2020,8.45,561,774,15062,10917,1176,10
10,FLAT D 30/F TOWER 10 PHASE 2 PARK CENTRAL,17,23/12/2020,8,384,527,20833,15180,3804,188
11,FLAT D 31/F TOWER 3 THE WINGS THE WINGS,9,23/12/2020,9.9,536,693,18470,14286,3286,108
12,FLAT C 67/F TOWER 1 (1B) PHASE 9C OCEAN MARINI LOHAS PARK,0,23/12/2020,14.69,794,-,18497,-,-,-
13,FLAT 3 13/F TONG WONG HOUSE (BLOCK B) TONG MING COURT ,21,22/12/2020,5.7,601,-,9484,-,-,
14,FLAT A 57/F TOWER 5 RESIDENCE OASIS ,16,22/12/2020,12,735,989,16327,12133,4561,102
15,FLAT LA 41/F EMERALD (TOWER 2) PHASE 3A HEMERA LOHAS PARK,6,22/12/2020,11.28,803,-,14047,-,2068,46
16,FLAT 7 19/F CHOI PAK HOUSE (BLOCK D) CHOI MING COURT ,19,22/12/2020,5.45,506,-,10771,-,-,
17,FLAT B 66/F FOUR SEASONS (TOWER 3 - L WING) PHASE 2A LE PRESTIGE LOHAS PARK,10,22/12/2020,9.5,686,907,13848,10474,1169,15
18,FLAT H 51/F TOWER 7 PHASE 2 TSEUNG KWAN O PLAZA,17,22/12/2020,7.7,414,569,18599,13533,4938,267
19,FLAT D 16/F TOWER 3 PHASE 8 SEA TO SKY LOHAS PARK,0,22/12/2020,12.41,-,-,-,-,-,-
20,FLAT G 27/F TOWER 2 RADIANT TOWERS ,22,22/12/2020,7.5,611,788,12275,9518,-,
21,FLAT A 5/F TOWER 3 THE WINGS THE WINGS,9,22/12/2020,18.48,848,1080,21792,17111,1123,13
