,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B1 9/F ARBOUR  ,0,23/12/2020,8.25,-,-,-,-,-,-
1,FLAT B3 8/F ARBOUR  ,0,23/12/2020,6.25,-,-,-,-,-,-
2,FLAT B1 8/F ARBOUR  ,0,23/12/2020,8.2,-,-,-,-,-,-
3,FLAT A5 9/F ARBOUR  ,0,23/12/2020,12.13,-,-,-,-,-,-
4,FLAT C 2/F WING FAT MANSION   (with flat roof),40,23/12/2020,7.3,410,487,17805,14990,-,
5,FLAT A2 6/F ARBOUR  ,0,23/12/2020,12.11,-,-,-,-,-,-
6,FLAT B3 3/F ARBOUR  ,0,23/12/2020,5.75,-,-,-,-,-,-
7,FLAT A6 7/F ARBOUR  ,0,23/12/2020,8.12,-,-,-,-,-,-
8,FLAT A5 11/F ARBOUR  ,0,23/12/2020,11.87,-,-,-,-,-,-
9,FLAT B3 9/F ARBOUR  ,0,23/12/2020,6.06,-,-,-,-,-,-
10,FLAT A3 17/F ARBOUR  ,0,23/12/2020,12.54,-,-,-,-,-,-
11,FLAT A6 10/F ARBOUR  ,0,23/12/2020,8.29,-,-,-,-,-,-
12,FLAT D 47/F TOWER 2 THE VICTORIA TOWERS ,18,23/12/2020,11,535,769,20561,14304,6754,186
13,FLAT B5 11/F ARBOUR  ,0,22/12/2020,9.02,-,-,-,-,-,-
14,FLAT F 67/F TOWER 2 THE VICTORIA TOWERS ,18,22/12/2020,25.98,885,1216,29356,21365,3813,61
15,FLAT B1 6/F ARBOUR  ,0,22/12/2020,7.97,-,-,-,-,-,-
16,FLAT A3 10/F ARBOUR  ,0,22/12/2020,6.84,-,-,-,-,-,-
17,FLAT B1 7/F ARBOUR  ,0,22/12/2020,8.14,-,-,-,-,-,-
18,FLAT B2 9/F ARBOUR  ,0,22/12/2020,9.08,-,-,-,-,-,-
19,FLAT A2 7/F ARBOUR  ,0,22/12/2020,12.31,-,-,-,-,-,-
20,FLAT B2 7/F ARBOUR  ,0,22/12/2020,8.95,-,-,-,-,-,-
21,FLAT A5 20/F ARBOUR  ,0,22/12/2020,9.7,-,-,-,-,-,-
22,FLAT A6 11/F ARBOUR  ,0,22/12/2020,8.6,-,-,-,-,-,-
23,FLAT B1 15/F ARBOUR  ,0,22/12/2020,6.47,-,-,-,-,-,-
24,FLAT A1 18/F ARBOUR  ,0,22/12/2020,9.62,-,-,-,-,-,-
25,FLAT A3 8/F ARBOUR  ,0,22/12/2020,6.68,-,-,-,-,-,-
26,FLAT A5 6/F ARBOUR  ,0,22/12/2020,11.37,-,-,-,-,-,-
27,FLAT A5 3/F ARBOUR  ,0,22/12/2020,11.12,-,-,-,-,-,-
28,FLAT A3 15/F ARBOUR  ,0,22/12/2020,12.04,-,-,-,-,-,-
29,FLAT A6 8/F ARBOUR  ,0,22/12/2020,8.18,-,-,-,-,-,-
30,FLAT B2 18/F ARBOUR  ,0,22/12/2020,19.43,-,-,-,-,-,-
31,FLAT B2 8/F ARBOUR  ,0,22/12/2020,8.67,-,-,-,-,-,-
32,FLAT A2 9/F ARBOUR  ,0,22/12/2020,12.37,-,-,-,-,-,-
