,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT A 7/F VIVA  ,4,23/12/2020,5.6,-,-,-,-,1992,20
1,FLAT C 6/F VIVA  ,4,23/12/2020,5.68,339,-,16755,-,1995,12
2,FLAT A 31/F BLOCK 3 ROYAL PENINSULA ,20,23/12/2020,13.38,780,1024,17154,13066,4852,160
3,FLAT F 10/F BLOCK 7 PHASE 9 LILY MANSIONS WHAMPOA GARDEN,31,23/12/2020,17.6,891,1002,19753,17565,-,
4,FLAT 16 15/F TOWER 1 THE METROPOLIS RESIDENCE ,18,22/12/2020,8.6,473,626,18182,13738,1519,25
5,FLAT 2 12/F LOK WAH BUILDING (BLOCK I) WHAMPOA ESTATE ,43,22/12/2020,4.88,380,520,12842,9385,4746,135
6,FLAT D 11/F BLOCK 5 PHASE 2 CHERRY MANSIONS WHAMPOA GARDEN,34,22/12/2020,7.1,389,469,18252,15139,-,
7,FLAT C 18/F TOWER 17 PHASE 4(4A) LAGUNA GRANDE LAGUNA VERDE,19,22/12/2020,23.5,1100,1472,21364,15965,7223,142
8,FLAT 7 28/F TOWER 2 THE METROPOLIS RESIDENCE ,18,21/12/2020,8.53,478,634,17845,13454,2218,36
9,FLAT K 11/F BLOCK 2 ROYAL PENINSULA ,20,21/12/2020,17.76,1043,1365,17028,13011,6733,267
10,FLAT B 15/F BLOCK 17 PHASE 2 CHERRY MANSIONS WHAMPOA GARDEN,33,21/12/2020,7.3,389,469,18766,15565,7390,301
11,FLAT 4 10/F YUEN WAH BUILDING (BLOCK G) WHAMPOA ESTATE ,44,21/12/2020,7.08,490,620,14449,11419,3635,109
12,FLAT H 13/F BLOCK 4 PHASE 9 LILY MANSIONS WHAMPOA GARDEN,31,21/12/2020,10,617,692,16207,14451,6125,277
13,FLAT D 9/F BLOCK 1 PHASE 10 BANYAN MANSIONS WHAMPOA GARDEN,32,21/12/2020,14.83,833,935,17803,15861,6976,352
14,FLAT 6 25/F TOWER 1 THE METROPOLIS RESIDENCE ,18,21/12/2020,8.5,489,650,17382,13077,4153,134
15,FLAT 2 11/F YUEN FU BUILDING (BLOCK S) WHAMPOA ESTATE ,42,18/12/2020,5.85,321,450,18224,13000,4777,290
16,FLAT D 34/F TOWER 7 HARBOUR PLACE ,18,18/12/2020,11,589,770,18676,14286,1585,39
17,FLAT A 26/F TOWER 3 PHASE 1 GREEN WOOD LAGUNA VERDE,22,17/12/2020,8.75,527,664,16603,13178,5399,173
18,FLAT D 23/F BLOCK 2 ROYAL PENINSULA ,20,16/12/2020,8.9,520,680,17115,13088,1140,11
19,FLAT E 12/F BLOCK 9 PHASE 9 LILY MANSIONS WHAMPOA GARDEN,31,15/12/2020,17.48,860,969,20326,18039,4381,196
20,FLAT D 9/F BLOCK 1 PHASE 5 OAK MANSIONS WHAMPOA GARDEN,32,15/12/2020,8,503,577,15905,13865,3651,102
21,FLAT F 38/F BLOCK 3 ROYAL PENINSULA ,20,15/12/2020,8.9,464,618,19181,14401,1008,-8
22,FLAT G 2/F BLOCK 3 PHASE 9 LILY MANSIONS WHAMPOA GARDEN,31,14/12/2020,8.6,614,688,14007,12500,3605,82
23,FLAT D 7/F TOWER 6 HARBOUR PLACE ,18,14/12/2020,9.81,589,770,16655,12740,2265,35
24,FLAT 2 7/F KAI FU BUILDING (BLOCK V) WHAMPOA ESTATE ,42,14/12/2020,5.33,321,450,16604,11844,1543,33
25,FLAT F 11/F BLOCK 9 PHASE 9 LILY MANSIONS WHAMPOA GARDEN,31,11/12/2020,18.18,891,1002,20404,18144,4830,157
26,FLAT B 3/F BLOCK 8 PHASE 5 OAK MANSIONS WHAMPOA GARDEN,32,11/12/2020,10,680,788,14706,12690,9089,189
27,FLAT B 65/F TOWER 3 HARBOURFRONT LANDMARK ,19,11/12/2020,50.2,1580,2156,31772,23284,5272,98
28,FLAT D 16/F BLOCK 10 PHASE 11 BAUHINIA MANSIONS WHAMPOA GARDEN,31,11/12/2020,7.9,505,597,15644,13233,5145,239
29,FLAT H 5/F BLOCK 2 PHASE 11 BAUHINIA MANSIONS WHAMPOA GARDEN,31,10/12/2020,8.12,505,597,16079,13601,3643,114
30,FLAT B 31/F TOWER 16 PHASE 4(4A) LAGUNA GRANDE LAGUNA VERDE,19,10/12/2020,27,1100,1472,24545,18342,7120,245
31,FLAT A 3/F TOWER 12 PHASE 3 COSTA DEL SOL LAGUNA VERDE,20,10/12/2020,9.6,546,683,17582,14056,3893,123
32,FLAT A 17/F TOWER 2 HARBOUR PLACE ,18,10/12/2020,8.28,432,559,19167,14812,3739,113
33,FLAT E 23/F TOWER 6 HARBOUR PLACE ,18,9/12/2020,8.88,481,630,18462,14095,4288,187
34,FLAT F 16/F BLOCK 14 PHASE 2 CHERRY MANSIONS WHAMPOA GARDEN,34,9/12/2020,7.78,466,558,16695,13943,3863,137
35,FLAT H 2/F BLOCK 8 PHASE 9 LILY MANSIONS WHAMPOA GARDEN,31,9/12/2020,13,860,969,15116,13416,4364,190
36,FLAT A 11/F TOWER 4 PHASE 1 GREEN WOOD LAGUNA VERDE,22,9/12/2020,9.38,540,685,17370,13693,1354,2
37,FLAT G 15/F BLOCK 2 PHASE 2 CHERRY MANSIONS WHAMPOA GARDEN,34,9/12/2020,7,389,469,17995,14925,-,
38,FLAT G 5/F TOWER 8 PHASE 3 COSTA DEL SOL LAGUNA VERDE,20,9/12/2020,8.8,545,682,16147,12903,7899,192
39,FLAT A 32/F BLOCK 3 ROYAL PENINSULA ,20,9/12/2020,13.6,784,1028,17347,13230,3528,62
40,FLAT G 5/F TOWER 10 PHASE 2 VILLA VERDE LAGUNA VERDE,21,9/12/2020,9.68,592,744,16351,13011,3182,53
41,FLAT 5 5/F KAI FU BUILDING (BLOCK V) WHAMPOA ESTATE ,42,8/12/2020,5.28,321,450,16449,11733,6578,487
42,FLAT A 16/F BLOCK 8 PHASE 5 OAK MANSIONS WHAMPOA GARDEN,32,8/12/2020,7.5,503,577,14911,12998,6563,407
43,FLAT B 11/F BLOCK 6 PHASE 2 CHERRY MANSIONS WHAMPOA GARDEN,34,7/12/2020,8.11,466,558,17399,14530,2451,64
44,FLAT E 33/F TOWER 6 HARBOUR PLACE ,18,7/12/2020,8.89,481,630,18482,14111,2124,48
45,FLAT D 21/F TOWER 5 PHASE 1 GREEN WOOD LAGUNA VERDE,22,7/12/2020,7.7,404,510,19059,15098,3192,90
46,FLAT E 13/F BLOCK 12 PHASE 11 BAUHINIA MANSIONS WHAMPOA GARDEN,31,7/12/2020,8.1,470,551,17234,14701,2653,54
47,FLAT B 7/F BLOCK 3 PHASE 9 LILY MANSIONS WHAMPOA GARDEN,31,7/12/2020,9.85,614,688,16042,14317,8998,194
48,FLAT F 11/F TOWER 15A PHASE 3 COSTA DEL SOL LAGUNA VERDE,20,7/12/2020,10,561,702,17825,14245,4235,145
49,FLAT H 32/F TOWER 5 HARBOUR PLACE ,18,7/12/2020,10.7,590,770,18136,13896,4227,144
50,FLAT B 16/F BLOCK 1 PHASE 10 BANYAN MANSIONS WHAMPOA GARDEN,32,4/12/2020,8.68,607,686,14300,12653,3349,93
51,FLAT D 9/F BLOCK 6 PHASE 2 CHERRY MANSIONS WHAMPOA GARDEN,34,4/12/2020,6.8,389,469,17481,14499,-,
52,FLAT F 15/F TAK MAN BUILDING  ,36,4/12/2020,5.2,314,412,16561,12621,6294,550
53,FLAT C 11/F BLOCK 2 PHASE 1 JUNIPER MANSIONS WHAMPOA GARDEN,35,4/12/2020,11.3,777,859,14543,13155,-,
54,FLAT 16 12/F TOWER 2 THE METROPOLIS RESIDENCE ,18,4/12/2020,8.5,474,628,17932,13535,3995,123
55,FLAT 2 1/F LOK WING BUILDING (BLOCK M) WHAMPOA ESTATE ,43,4/12/2020,5,398,550,12563,9091,1764,4
56,FLAT H 38/F TOWER 18 PHASE 4(4A) LAGUNA GRANDE LAGUNA VERDE,19,3/12/2020,16.75,913,1212,18346,13820,6384,299
57,FLAT N 11/F BLOCK 2 ROYAL PENINSULA ,20,3/12/2020,8.4,481,658,17464,12766,4629,127
58,FLAT F 21/F TOWER 8 PHASE 3 COSTA DEL SOL LAGUNA VERDE,20,3/12/2020,9.48,545,682,17394,13900,3169,65
59,FLAT F 5/F TOWER 8 PHASE 3 COSTA DEL SOL LAGUNA VERDE,20,3/12/2020,8.8,545,682,16147,12903,7899,192
60,FLAT F 28/F BLOCK 4 ROYAL PENINSULA ,20,3/12/2020,11,564,738,19504,14905,3518,50
61,FLAT 4 8/F LOK KWAI BUILDING (BLOCK D) WHAMPOA ESTATE ,44,2/12/2020,6.5,442,620,14706,10484,7748,228
62,FLAT B 2/F BLOCK 4 PHASE 9 LILY MANSIONS WHAMPOA GARDEN,31,2/12/2020,9,614,688,14658,13081,1680,38
63,FLAT F 4/F BLOCK 3 PHASE 3 WILLOW MANSIONS WHAMPOA GARDEN,34,2/12/2020,10,755,855,13245,11696,4839,163
