,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT C 14/F BLOCK 6 BEACON HEIGHTS ,33,22/12/2020,12.5,844,1022,14810,12231,8948,108
1,FLAT B 1/F BLOCK 1 VILLA CARLTON ,20,21/12/2020,15.1,1337,1735,11294,8703,5377,187
2,FLAT B 7/F BLOCK 2 CALDECOTT HILL ,16,16/12/2020,7.88,538,698,14647,11289,4771,96
3,FLAT F 4/F TOWER 28 (33 GRANDEUR RD) PARC OASIS ,25,14/12/2020,10,560,706,17857,14164,9198,161
4,FLAT A 3/F TAT CHEE COURT  ,35,14/12/2020,13.83,718,816,19262,16949,5583,148
5,FLAT F 1/F TROPICANA 6 (BLOCK 21) TROPICANA DYNASTY HEIGHTS (with garden),22,11/12/2020,11.95,588,762,20323,15682,4120,106
6,FLAT H 6/F AMPLE BUILDING  ,40,9/12/2020,4.65,396,482,11742,9647,8434,133
7,FLAT E 4/F TOWER 6 (6 GRANDEUR RD) PARC OASIS ,28,9/12/2020,13.5,657,815,20548,16564,6755,264
8,FLAT B 5/F TOWER 15 (19 PARC OASIS RD) PARC OASIS ,28,4/12/2020,14.2,681,842,20852,16865,7402,192
9,FLAT C 1/F FARMING VILLA  ,50,2/12/2020,9.68,718,-,13482,-,-,
10,FLAT A 2/F BLOCK B8 (NO. 49) PHASE 1 VILLAGE GARDENS,34,1/12/2020,35.6,1498,1783,23765,19966,1503,17
11,FLAT A 7/F SKY LODGE 6 (BLOCK 6) SKY LODGE DYNASTY HEIGHTS,21,1/12/2020,30.88,1197,1556,25798,19846,3547,54
12,FLAT A 11/F BLOCK 6 BEACON HEIGHTS ,33,30/11/2020,13.8,845,1002,16331,13772,6811,254
13,FLAT B1 (NO.24) 2/F (NO. 22-24 1/F) LAI YUEN  ,55,27/11/2020,13.4,854,-,15691,-,-,
14,FLAT E 7/F BLOCK 1 CALDECOTT HILL ,16,27/11/2020,11,955,1282,11518,8580,2020,-14
15,FLAT B 6/F TOWER 1 MONT ROUGE ,2,20/11/2020,87,1699,-,51207,-,-,-
16,FLAT C 10/F SKY LODGE 1 (BLOCK 1) SKY LODGE DYNASTY HEIGHTS,21,19/11/2020,12,619,833,19386,14406,2913,53
17,FLAT 11 5/F NAM CHEONG COMMERCIAL BUILDING  ,46,18/11/2020,4.18,439,-,9522,-,9053,423
18,FLAT 4 5/F NAM CHEONG COMMERCIAL BUILDING  ,46,17/11/2020,3.8,375,-,10133,-,-,
19,FLAT G 8/F TOWER 11 (11 PARC OASIS RD) PARC OASIS ,28,13/11/2020,9.23,439,547,21025,16874,8417,41
20,FLAT 9 5/F NAM CHEONG COMMERCIAL BUILDING  ,46,12/11/2020,4.1,445,-,9213,-,-,
21,FLAT A 2/F SUPER TOWER  ,42,11/11/2020,15.38,811,-,18964,-,4186,134
22,FLAT B 7/F BLOCK 8 VILLA CARLTON ,20,4/11/2020,13.9,1175,1546,11830,8991,-,
23,FLAT E 6/F KAM YUCK BUILDING  ,39,2/11/2020,3.3,233,250,14163,13200,2975,120
24,FLAT B 8/F SKY LODGE 5 (BLOCK 5) SKY LODGE DYNASTY HEIGHTS,21,2/11/2020,29.68,1202,1556,24692,19075,7894,153
25,FLAT C 3/F BLOCK 1 CALDECOTT HILL ,16,2/11/2020,11,755,987,14570,11145,5700,69
26,FLAT B 3/F TAT CHEE COURT  ,35,30/10/2020,13.43,698,790,19241,17000,5197,180
