,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B 5/F BLOCK 10 VILLA CONCERTO SYMPHONY BAY,22,23/12/2020,10,1031,1180,9699,8475,1097,-9
1,FLAT G 2/F TOWER 10 LAKESIDE GARDEN ,23,22/12/2020,3.4,432,-,7870,-,-,
2,FLAT D 1/F BLOCK 8 VILLA CONCERTO SYMPHONY BAY,22,21/12/2020,12.5,1151,1317,10860,9491,3911,76
3,HOUSE 12 CLEAR WATER BAY KNOLL HOUSE 12 CLEAR WATER BAY KNOLL ,17,16/12/2020,15.88,1250,1680,12704,9452,3147,22
4,FLAT C 3/F BLOCK 6 VILLA RHAPSODY SYMPHONY BAY,22,15/12/2020,13.9,1140,-,12193,-,2975,65
5,HOUSE 8 NO. 1128 HOUSE 8 RUBY CHALET ,38,14/12/2020,22.8,1294,1323,17620,17234,-,
6,FLAT G5 LG/F BLOCK B MOUNT PAVILIA ,4,11/12/2020,80.61,3128,-,25769,-,-,
7,FLAT A G/F BLOCK 12 CASA BELLA ,27,10/12/2020,11.38,685,867,16613,13126,3170,28
8,FLAT C 5/F TOWER B PANORAMIC RISE PHASE 3 MARINA COVE,33,8/12/2020,7.95,533,650,14916,12231,2214,22
9,HOUSE E6 HOUSE E6 HOUSE E6 PHASE 2 MARINA COVE,35,8/12/2020,37,1561,2215,23703,16704,8576,90
10,FLAT B 1/F TOWER 2 NO. 133 PORTOFINO ,0,3/12/2020,21.35,1021,-,20908,-,-,-
11,"HOUSE 24 HOUSE 24 HOUSE 24 (HOUSE D,BLOCK 3) PHASE 1 MARINA COVE",35,2/12/2020,30.5,-,-,-,-,7559,303
12,BLOCK 2 1/F BLOCK 2 KAMBRIDGE GARDEN  (with roof),27,2/12/2020,11.8,1122,1387,10517,8508,2563,39
13,HOUSE 5 NO. 6A HOUSE 5 BURLINGAME GARDEN ,24,1/12/2020,17.68,1227,1869,14409,9460,3539,29
14,HOUSE A NO. 533 HOUSE A LITTLE PALM VILLA ,44,27/11/2020,35,1720,2352,20349,14881,4721,59
15,FLAT A 3/F TOWER 3 NO. 133 PORTOFINO ,0,27/11/2020,29.78,1238,-,24055,-,-,-
16,FLAT B4 5/F BLOCK B KO SHING BUILDING  (with roof),40,24/11/2020,3.6,302,342,11921,10526,-,
17,FLAT B 3/F TOWER 1 NO. 133 PORTOFINO ,0,24/11/2020,25.46,1164,-,21873,-,-,-
18,FLAT F 5/F TOWER 10 LAKESIDE GARDEN ,23,23/11/2020,3.35,432,578,7755,5796,-,
19,FLAT A 11/F BLOCK 5 VILLA RHAPSODY SYMPHONY BAY,22,19/11/2020,12.79,1096,1379,11670,9275,6373,253
20,FLAT B 3/F TOWER 2 NO. 133 PORTOFINO ,0,19/11/2020,23.28,1076,-,21636,-,-,-
21,FLAT A 5/F BLOCK 2 HILLVIEW COURT  (with roof),21,18/11/2020,14.7,1080,1216,13611,12089,3079,43
22,FLAT G3 LG/F BLOCK B MOUNT PAVILIA ,4,13/11/2020,71.25,3189,-,22343,-,-,-
23,FLAT B6 11/F BLOCK B SAI KUNG MANSION (BUILDING) ,36,13/11/2020,6.07,479,573,12672,10593,6672,382
24,NO. 104 3/F NO. 104 MAN NIN STREET  ,0,11/11/2020,6.5,691,-,9407,-,-,
25,FLAT A 5/F TOWER 1 NO. 133 PORTOFINO  (with roof),0,11/11/2020,39.69,1239,-,32031,-,-,-
26,FLAT L 6/F TOWER 2 THE MEDITERRANEAN ,3,10/11/2020,7,532,-,13158,-,1568,5
27,FLAT K G/F TOWER 1 THE MEDITERRANEAN ,3,6/11/2020,12,695,-,17266,-,-,-
28,FLAT G 3/F TOWER 9 LAKESIDE GARDEN ,23,5/11/2020,5.1,432,570,11806,8947,-,
29,FLAT P5 1/F BLOCK B MOUNT PAVILIA ,4,5/11/2020,81.45,2956,-,27554,-,-,-
30,FLAT E 11/F BLOCK 1 SAI KUNG GARDEN ,29,4/11/2020,6.5,570,776,11404,8376,3081,46
