,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B 24/F HOI NING BUILDING (BLOCK B) SHATIN CENTRE ,39,23/12/2020,5.55,297,371,18687,14960,2994,82
1,FLAT H 17/F BLOCK 4 RAVANA GARDEN ,32,23/12/2020,8.85,-,780,-,11346,-,
2,FLAT H 37/F BLOCK 8 JUBILEE GARDEN ,34,23/12/2020,7.05,506,644,13933,10947,1724,46
3,FLAT D 5/F ORCHID COURT (BLOCK 3) PHASE 3 NEW TOWN PLAZA,29,23/12/2020,9,645,758,13953,11873,4521,94
4,FLAT 4 9/F WING CHEUNG HOUSE (BLOCK H) SUI WO COURT ,40,22/12/2020,4.46,411,468,10852,9530,-,
5,FLAT C 8/F BLOCK 12 SITE 1 CITY ONE SHATIN,39,22/12/2020,7.58,484,570,15661,13298,4232,201
6,FLAT 1 16/F YU MAN HOUSE (BLOCK L) YU CHUI COURT ,19,22/12/2020,7.13,650,-,10969,-,-,
7,FLAT H 23/F BLOCK 1 SCENERY COURT ,31,22/12/2020,8,459,569,17429,14060,2747,67
8,FLAT F 12/F LAI SHING GARDEN  ,34,22/12/2020,6,426,585,14085,10256,8115,251
9,FLAT G 11/F BLOCK 2 SCENERY COURT ,31,22/12/2020,6.54,369,467,17718,14000,1095,9
10,FLAT H 13/F BLOCK 6 CASTELLO ,21,22/12/2020,8.15,547,718,14899,11351,3991,142
11,FLAT E 15/F BLOCK 31 SITE 3 CITY ONE SHATIN,37,22/12/2020,7.3,451,562,16186,12989,1453,22
12,FLAT 8 3/F FOOK LAM HOUSE (BLOCK C) KWONG LAM COURT ,30,22/12/2020,4.05,384,509,10547,7957,-,
13,FLAT C 26/F BLOCK 49 SITE 5 CITY ONE SHATIN,34,18/12/2020,4.43,304,410,14572,10805,2869,50
14,FLAT G 20/F BLOCK 43 SITE 4 CITY ONE SHATIN,35,18/12/2020,5.45,304,410,17928,13293,4760,295
15,FLAT 5 15/F BLOCK D GARDEN RIVERA ,36,18/12/2020,4.38,269,385,16283,11377,1594,36
16,FLAT 3 1/F SHING YAN HOUSE (BLOCK A) YUE SHING COURT ,40,18/12/2020,4.8,492,602,9756,7973,-,
17,FLAT E 3/F BLOCK 48 SITE 5 CITY ONE SHATIN,34,18/12/2020,5.4,284,395,19014,13671,677,13
18,FLAT H 22/F KWAI LAM COURT (BLOCK D2) LUCKY PLAZA ,37,18/12/2020,6,427,559,14052,10733,3351,108
19,FLAT B 15/F BLOCK 6 JUBILEE GARDEN ,35,17/12/2020,6.4,498,623,12851,10273,1449,24
20,FLAT 9 17/F POK WAH HOUSE (BLOCK 3) POK HONG ESTATE ,0,17/12/2020,1.68,277,-,6065,-,-,
21,FLAT B 14/F BLOCK 24 SITE 6 CITY ONE SHATIN,34,17/12/2020,7.2,447,562,16107,12811,4210,202
22,FLAT 2 15/F YU KUI HOUSE (BLOCK J) YU CHUI COURT ,19,16/12/2020,7.17,650,824,11028,8699,-,
23,FLAT A 2/F BLOCK 6 CASTELLO ,21,16/12/2020,7.28,547,718,13309,10139,4392,200
24,FLAT B 7/F BLOCK 45 SITE 4 CITY ONE SHATIN,35,16/12/2020,5.16,284,395,18169,13063,1166,13
25,FLAT D 11/F BLOCK 9 SITE 1 CITY ONE SHATIN,39,16/12/2020,5.75,327,395,17584,14557,2132,34
26,FLAT 10 15/F HING ON HOUSE (BLOCK F) SUI WO COURT ,40,16/12/2020,4.37,411,468,10628,9333,-,
27,FLAT 2 10/F BLOCK B CHUEN FAI CENTRE ,35,16/12/2020,4.45,266,363,16729,12259,8976,268
28,FLAT 4 10/F BLOCK A GREENWOOD GARDEN ,36,16/12/2020,3.8,215,330,17674,11515,-,
29,FLAT A 26/F BLOCK 7 SITE 1 CITY ONE SHATIN,39,16/12/2020,8.2,515,605,15922,13554,3140,111
30,FLAT 5 6/F YU MOON HOUSE (BLOCK C) YU CHUI COURT ,19,16/12/2020,8.05,650,824,12385,9769,-,
31,FLAT C 21/F BLOCK 3 PRIMA VILLA ,19,15/12/2020,7.7,428,562,17991,13701,2062,29
32,FLAT D 1/F BLOCK 6 CASTELLO ,21,15/12/2020,7.15,547,718,13071,9958,2974,48
