,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 6 18/F CHOI YING HOUSE (BLOCK A) CHOI PO COURT ,36,23/12/2020,4.5,394,525,11421,8571,-,
1,FLAT H 11/F BLOCK 7 DAWNING VIEWS ,21,23/12/2020,5.35,384,532,13932,10056,4200,296
2,FLAT E 1/F BLOCK 3 PHASE 1 REGENTVILLE,20,23/12/2020,4.98,419,598,11885,8328,7301,274
3,FLAT F 13/F TOWER 2 NOBLE HILL ,14,23/12/2020,6.18,490,633,12612,9763,3459,90
4,FLAT J 10/F NO. 8 ROYAL GREEN  ,11,23/12/2020,7.38,661,891,11165,8283,4206,130
5,FLAT A 24/F BLOCK 11 DAWNING VIEWS ,21,23/12/2020,5.4,388,535,13918,10093,4189,260
6,FLAT 18 7/F LAI MING HOUSE (BLOCK 1) WAH MING ESTATE ,30,22/12/2020,2.2,443,-,4966,-,-,
7,FLAT B 17/F BLOCK 2 VENICE GARDEN ,27,22/12/2020,5,437,585,11442,8547,1719,43
8,FLAT 1 6/F BLOCK D PHASE 1 FANLING CENTRE,30,22/12/2020,5.62,476,602,11807,9336,3952,204
9,FLAT H 13/F BLOCK 3 FLORA PLAZA ,25,21/12/2020,5.3,392,551,13520,9619,1332,19
10,FLAT C 29/F BLOCK 9 DAWNING VIEWS ,21,21/12/2020,6,433,591,13857,10152,5879,341
11,FLAT D 4/F BLOCK 3 BELAIR MONTE ,22,18/12/2020,4.8,433,619,11085,7754,1712,37
12,FLAT B 5/F BLOCK 3 VIENNA GARDEN ,27,18/12/2020,5.9,677,903,8715,6534,8739,90
13,FLAT F 13/F BLOCK 5 DAWNING VIEWS ,21,18/12/2020,6.75,570,789,11842,8555,8253,167
14,FLAT C 7/F TOWER 1 GREEN CODE ,6,18/12/2020,7.85,637,864,12323,9086,2558,49
15,FLAT B 11/F BLOCK 3 VIENNA GARDEN ,27,17/12/2020,6.77,677,903,10000,7497,1160,13
16,FLAT F 31/F NO. 8 ROYAL GREEN  ,11,17/12/2020,6.18,461,620,13406,9968,2520,48
17,FLAT B 7/F BLOCK A GRAND TOWER ,28,17/12/2020,3.78,293,472,12901,8008,1098,10
18,FLAT 4 (NO. 36 FRONT) 2/F LUEN CHEONG (CHEUNG) BUILDING  ,46,16/12/2020,3.25,538,-,6041,-,-,
19,FLAT 11 16/F YAN KING HOUSE (BLOCK C) KING SHING COURT ,24,16/12/2020,4.94,606,829,8149,5957,-,
20,FLAT 1 9/F CHOI CHING HOUSE (BLOCK B) CHOI PO COURT ,36,16/12/2020,4.18,363,483,11501,8644,-,
21,FLAT 13 13/F KA MING HOUSE (BLOCK A) KA SHING COURT ,25,16/12/2020,5.5,546,748,10073,7353,-,
22,FLAT D 17/F TOWER 2 ROYAL JUBILEE ,19,16/12/2020,6.3,546,752,11538,8378,7670,146
23,HOUSE 9 CHUR AVENUE CHUR AVENUE HOUSE 9 VALAIS ,11,15/12/2020,28.08,2009,3568,13977,7870,3713,-14
24,FLAT A 2/F BLOCK 3 CHEERFUL PARK ,28,15/12/2020,6.56,674,797,9733,8231,4689,223
25,FLAT 5 30/F CHEONG SIU HOUSE (BLOCK B) CHEONG SHING COURT ,20,15/12/2020,5.24,650,-,8058,-,-,
26,FLAT B 23/F TOWER 9 EDEN MANOR ,1,15/12/2020,16.38,959,-,17085,-,-,-
27,FLAT H 12/F BERLIN COURT (BLOCK 1) SHEUNGSHUI TOWN CENTER ,28,15/12/2020,4.88,369,495,13225,9859,956,22
28,FLAT H 2/F BLOCK 1 WOODLAND CREST ,24,14/12/2020,9.2,1022,1172,9002,7850,2882,37
29,FLAT G 10/F CANARY COURT (BLOCK 3) FANLING TOWN CENTER ,27,14/12/2020,5.55,454,608,12225,9128,2129,30
30,FLAT B 19/F TOWER 8 EDEN MANOR ,1,14/12/2020,15.59,960,-,16237,-,-,-
31,FLAT H 27/F BLOCK 3 DAWNING VIEWS ,21,11/12/2020,5.6,393,533,14249,10507,3983,216
32,FLAT D 33/F BLOCK 8 GRAND REGENTVILLE REGENTVILLE,18,11/12/2020,5.9,424,605,13915,9752,6982,284
33,FLAT B 12/F BLOCK 8 AVON PARK ,26,10/12/2020,5.3,441,572,12018,9266,3927,219
34,FLAT C 37/F GLORIOUS PEAK  ,13,10/12/2020,6.8,511,703,13307,9673,2736,62
35,FLAT D 15/F BLOCK 10 DAWNING VIEWS ,21,10/12/2020,5.28,384,532,13750,9925,1113,16
36,FLAT E 22/F AMBER COURT (BLOCK 1) FANLING TOWN CENTER ,27,10/12/2020,5.28,399,533,13233,9906,5670,280
37,FLAT H 10/F DRAGON COURT (BLOCK 4) FANLING TOWN CENTER ,27,10/12/2020,4.85,376,502,12899,9661,2332,62
38,FLAT C 1/F WO FUNG HOUSE  ,38,10/12/2020,3,325,-,9231,-,1482,8
39,FLAT 1 11/F BLOCK F PHASE 1 FANLING CENTRE,30,10/12/2020,5.18,368,470,14076,11021,3583,166
40,FLAT D 23/F BLOCK 8 DAWNING VIEWS ,21,9/12/2020,5.44,384,530,14161,10260,2328,59
41,FLAT C 11/F BLOCK 4 DAWNING VIEWS ,21,9/12/2020,7.22,575,785,12557,9197,1466,81
42,FLAT C 3/F BLOCK 7 FLORA PLAZA ,25,9/12/2020,4.6,413,550,11138,8364,2807,50
43,FLAT 9 32/F CHOI CHING HOUSE (BLOCK B) CHOI PO COURT ,36,9/12/2020,4.3,363,483,11846,8903,-,
44,FLAT E 5/F BLOCK 3 PHASE 1 REGENTVILLE,20,9/12/2020,5.4,419,598,12888,9030,1571,29
45,FLAT D 20/F BLOCK 3 PHASE 1 REGENTVILLE,20,9/12/2020,5.7,419,598,13604,9532,3783,168
46,FLAT 6 22/F TIN CHEUNG HOUSE (BLOCK 2) TIN PING ESTATE ,34,8/12/2020,2.16,381,-,5669,-,-,
47,FLAT H 11/F PARIS COURT (BLOCK 3) SHEUNGSHUI TOWN CENTER ,28,8/12/2020,4.7,376,502,12500,9363,3015,82
48,FLAT G 9/F BLOCK 10 FLORA PLAZA ,25,8/12/2020,6.27,526,706,11916,8878,2964,78
49,FLAT F 3/F BLOCK 11 DAWNING VIEWS ,21,8/12/2020,6.25,401,582,15586,10739,1240,12
50,FLAT 2 15/F KA MING HOUSE (BLOCK A) KA SHING COURT ,25,8/12/2020,5.08,606,829,8383,6128,-,
51,FLAT A 4/F SAN KAN BUILDING  ,36,8/12/2020,3.05,388,-,7861,-,2249,28
52,FLAT F 1/F TUNG LOK HOUSE  ,47,8/12/2020,3.15,409,-,7702,-,-,
53,FLAT C 32/F BLOCK 5 FLORA PLAZA ,25,8/12/2020,6.5,526,707,12357,9194,8309,136
54,FLAT G 14/F BLOCK 12 DAWNING VIEWS ,21,8/12/2020,8.8,714,978,12325,8998,4716,220
55,FLAT 4 2/F CHOI NGAN HOUSE (BLOCK D) CHOI PO COURT ,35,7/12/2020,3.72,351,468,10598,7949,-,
56,FLAT H 15/F DRAGON COURT (BLOCK 4) FANLING TOWN CENTER ,27,7/12/2020,4.92,376,502,13085,9801,9016,179
57,NO. 1 2/F 1 FU HING STREET  ,62,7/12/2020,6.8,864,-,7870,-,5606,580
58,FLAT B 5/F BLOCK 2 FLORA PLAZA ,25,7/12/2020,6.14,526,710,11669,8645,9048,177
59,FLAT B 4/F MOON WAH BUILDING  ,39,4/12/2020,3.98,497,589,8008,6757,4977,398
60,HOUSE 21 GENEVA SOUTH AVENUE GENEVA SOUTH AVENUE HOUSE 21 VALAIS ,11,4/12/2020,22,1815,2882,12121,7634,1800,-4
61,FLAT 5 27/F CHUNG MING HOUSE (BLOCK 5) WAH MING ESTATE ,30,4/12/2020,3.6,385,502,9351,7171,-,
62,FLAT D 2/F BLOCK 2 CHEERFUL PARK ,28,4/12/2020,6.45,657,777,9817,8301,3599,130
63,FLAT F 11/F BLOCK 2 VIENNA GARDEN ,27,4/12/2020,6.34,732,976,8661,6496,-,
64,FLAT A 21/F BLOCK 4 DAWNING VIEWS ,21,3/12/2020,5.57,410,544,13580,10235,8199,200
65,FLAT G 12/F BLOCK 5 FLORA PLAZA ,25,3/12/2020,6.04,526,707,11479,8540,2853,69
66,FLAT H 22/F BLOCK 10 DAWNING VIEWS ,21,3/12/2020,5.6,386,535,14508,10467,1635,51
67,NO. 9 5/F 9 WO LUNG STREET  ,56,3/12/2020,3.5,564,-,6206,-,2979,92
68,FLAT 1 2/F YAN CHOI HOUSE (BLOCK F) YAN SHING COURT ,27,2/12/2020,3.6,554,710,6498,5070,-,
69,FLAT E 4/F BLOCK 2 METROPOLIS PLAZA ,29,2/12/2020,5.26,400,494,13150,10648,3752,166
70,FLAT 6 21/F YAN YIU HOUSE (BLOCK E) YAN SHING COURT ,27,2/12/2020,3.62,554,710,6534,5099,-,
71,HOUSE 1 NO. 8 OXFORD PATH HOUSE 1 THE ROYAL OAKS ,16,2/12/2020,42.5,3003,4230,14153,10047,5798,21
72,FLAT H 3/F BLOCK 7 BELAIR MONTE ,22,2/12/2020,5.1,445,630,11461,8095,7905,200
73,FLAT 7 22/F CHEONG TO HOUSE (BLOCK C) CHEONG SHING COURT ,20,2/12/2020,5.25,650,829,8077,6333,-,
74,FLAT A 22/F BLOCK 3 FLORA PLAZA ,25,2/12/2020,5.21,392,551,13291,9456,4355,334
75,FLAT D 28/F BLOCK 12 DAWNING VIEWS ,21,2/12/2020,5.43,385,532,14099,10203,4274,302
76,FLAT D 18/F BLOCK 2 SUNNINGDALE GARDEN ,28,1/12/2020,4.3,583,720,7376,5972,-,
77,FLAT B 40/F NO. 8 ROYAL GREEN  ,11,1/12/2020,6.43,464,623,13858,10321,3857,100
78,FLAT C 31/F TOWER 1 ROYAL GREEN ,14,1/12/2020,6.6,552,742,11957,8895,2219,44
79,FLAT 2 15/F BLOCK B PHASE 1 FANLING CENTRE,30,30/11/2020,5.9,513,647,11501,9119,3739,168
80,FLAT C 23/F BLOCK 9 FLORA PLAZA ,25,30/11/2020,5.24,413,550,12683,9524,9032,156
81,FLAT E 2/F FORUM COURT (BLOCK 6) FANLING TOWN CENTER ,27,30/11/2020,4.93,395,527,12481,9355,1454,24
82,FLAT 4 14/F BLOCK E PHASE 1 FANLING CENTRE,30,30/11/2020,5,368,470,13587,10638,2454,71
83,FLAT D 10/F BLOCK 4 TSUI LAI GARDEN ,31,30/11/2020,5.2,591,669,8799,7773,-,
84,FLAT C 19/F FORUM COURT (BLOCK 6) FANLING TOWN CENTER ,27,30/11/2020,5,454,608,11013,8224,1680,20
85,FLAT F 29/F TOWER 3 ROYAL GREEN ,14,27/11/2020,6.63,554,778,11964,8519,5137,128
86,FLAT E 11/F BLOCK 3 TSUI LAI GARDEN ,31,27/11/2020,4.4,481,545,9148,8073,-,
87,FLAT G 28/F BLOCK 6 FLORA PLAZA ,25,27/11/2020,6.45,526,706,12262,9136,5883,303
88,FLAT C 28/F BLOCK 1 BELAIR MONTE ,22,27/11/2020,7.18,629,878,11415,8178,7894,207
89,FLAT B 19/F BLOCK 3 SUNNINGDALE GARDEN ,28,27/11/2020,4,483,596,8282,6711,-,
90,FLAT 4 6/F ON SHING COURT  ,30,26/11/2020,3.78,404,536,9356,7052,-,
91,FLAT B 36/F BLOCK 7 GRAND REGENTVILLE REGENTVILLE,18,26/11/2020,5.96,463,659,12873,9044,6791,238
92,HOUSE 5 ZURICH AVENUE ZURICH AVENUE HOUSE 5 VALAIS ,11,25/11/2020,29,2017,3557,14378,8153,3671,-27
93,FLAT B 28/F TOWER 3 ROYAL GREEN ,14,25/11/2020,5.3,414,558,12802,9498,2522,59
94,FLAT G 24/F BLOCK 9 FLORA PLAZA ,25,25/11/2020,6.5,526,710,12357,9155,3112,115
95,FLAT C 27/F GLORIOUS PEAK  ,13,25/11/2020,6.5,507,703,12821,9246,4758,143
96,FLAT C 33/F GLORIOUS PEAK  ,13,25/11/2020,6.4,510,703,12549,9104,4782,183
97,HOUSE A12 NO. 88 HOUSE A12 EDEN MANOR  (with flat roof),1,24/11/2020,54.3,2627,-,20670,-,-,-
98,FLAT F 14/F CANARY COURT (BLOCK 3) FANLING TOWN CENTER ,27,24/11/2020,4.9,399,533,12281,9193,-,
99,FLAT L 7/F BLOCK 4 TSUI LAI GARDEN ,31,23/11/2020,4.05,427,484,9485,8368,-,
100,FLAT C 4/F PO HONG BUILDING  ,47,23/11/2020,3.69,505,-,7303,-,1294,16
101,FLAT A 17/F TOWER 2 UNION PLAZA ,26,23/11/2020,4.78,501,664,9541,7199,8798,117
