,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 7 2/F MING CHEONG HOUSE (BLOCK C) MING NGA COURT ,35,23/12/2020,4.86,438,593,11096,8196,-,
1,FLAT 2 27/F SUN WO HOUSE (BLOCK 3) TAI WO ESTATE ,0,22/12/2020,3.1,443,-,6998,-,-,
2,FLAT 3 11/F BLOCK B BEAUTIFUL GARDEN ,28,22/12/2020,4.68,296,379,15794,12335,2152,40
3,FLAT C 2/F BLOCK 12 PHASE 1 CLASSICAL GARDENS,26,22/12/2020,8.1,728,913,11126,8872,6564,239
4,FLAT 24 17/F SHIN NGA HOUSE BLOCK 3) FU SHIN ESTATE ,0,22/12/2020,2.65,381,-,6955,-,-,
5,FLAT H 22/F BLOCK 15 PHASE 1 SERENITY PARK,28,22/12/2020,7.93,523,718,15163,11045,1491,37
6,FLAT A 5/F LAI CHUN BUILDING  ,47,22/12/2020,3.75,405,-,9259,-,1190,24
7,FLAT D 15/F BLOCK 18 PHASE 5 TAI PO CENTRE,33,21/12/2020,6.18,453,575,13652,10756,4162,148
8,FLAT 6 29/F HING WO HOUSE (BLOCK B) PO NGA COURT ,31,21/12/2020,5.2,443,583,11738,8919,-,
9,FLAT D 5/F TOWER A LA FONTAINE ,22,18/12/2020,8.3,721,953,11512,8709,3584,84
10,FLAT D 8/F BLOCK 6 PHASE 4 TAI PO CENTRE,35,18/12/2020,6.66,451,609,14767,10936,1210,14
11,FLAT F 9/F HONG MAN COURT (BLOCK 5) SUN HING GARDEN ,34,17/12/2020,6.4,591,684,10829,9357,-,
12,FLAT H 10/F BLOCK 9 PHASE 4 TAI PO CENTRE,35,17/12/2020,6.46,451,609,14324,10608,8486,111
13,FLAT 7 11/F MING HOI HOUSE (BLOCK A) MING NGA COURT ,35,16/12/2020,5.2,438,593,11872,8769,-,
14,FLAT 1 3/F MING CHEONG HOUSE (BLOCK C) MING NGA COURT ,35,16/12/2020,4.15,363,492,11433,8435,-,
15,FLAT E 6/F BLOCK 6 GRAND PALISADES ,23,16/12/2020,9.45,756,946,12500,9989,1191,13
16,FLAT E 11/F BLOCK 2 FULL SCENE GARDEN ,30,16/12/2020,4.98,365,493,13644,10101,2073,33
17,FLAT A 5/F PO HONG BUILDING  ,28,16/12/2020,3.7,251,413,14741,8959,3983,330
18,FLAT H 22/F KWAI CHEONG COURT (BLOCK 2) FORTUNE PLAZA ,32,16/12/2020,5.49,342,454,16053,12093,1098,19
19,FLAT 7 27/F YEE LAI HOUSE (BLOCK A) YEE NGA COURT ,27,16/12/2020,7.38,645,826,11442,8935,-,
20,FLAT E 7/F BLOCK 8 GRAND PALISADES ,23,15/12/2020,9,750,946,12000,9514,1296,6
21,FLAT G 2/F BLOCK 1 PHASE 1 SERENITY PARK,28,14/12/2020,7.8,589,815,13243,9571,2516,62
22,FLAT 18 8/F YAT YAN HOUSE (BLOCK B) YAT NGA COURT ,29,14/12/2020,5.3,443,590,11964,8983,-,
23,FLAT 2 28/F CHUNG MEI HOUSE (BLOCK C) CHUNG NGA COURT ,29,14/12/2020,4.7,376,500,12500,9400,-,
24,FLAT 9 8/F HING WO HOUSE (BLOCK B) PO NGA COURT ,31,14/12/2020,3.68,485,638,7588,5768,-,
25,FLAT H 11/F BONG HING BUILDING  ,40,11/12/2020,5.02,421,487,11924,10308,3021,101
26,FLAT E 21/F BLOCK 20 PHASE 3 TAI PO CENTRE,35,11/12/2020,5.2,325,454,16000,11454,2265,46
27,FLAT A 1/F LEADER BUILDING  ,30,11/12/2020,4.2,325,495,12923,8485,8814,216
28,FLAT H 20/F HONG CHE COURT (BLOCK 1) SUN HING GARDEN ,34,11/12/2020,5.28,463,536,11404,9851,-,
29,FLAT A 5/F LEADER BUILDING  ,30,11/12/2020,3.9,325,495,12000,7879,1458,46
30,FLAT C 20/F BLOCK 2 TAI WO CENTRE ,33,10/12/2020,4.47,294,390,15204,11462,1539,49
31,FLAT 12 21/F LAI WO HOUSE (BLOCK 6) TAI WO ESTATE ,0,10/12/2020,3.58,531,-,6742,-,-,
32,FLAT 12 18/F LAI WO HOUSE (BLOCK 6) TAI WO ESTATE ,0,10/12/2020,3.75,531,-,7062,-,-,
33,FLAT A 5/F BLOCK 15 PHASE 1 SERENITY PARK,28,10/12/2020,8,590,810,13559,9877,8767,138
34,FLAT 7 17/F BLOCK B GREENERY PLAZA ,34,9/12/2020,4.63,321,403,14417,11484,3792,219
35,FLAT F 16/F HONG YAN COURT (BLOCK 2) SUN HING GARDEN ,34,8/12/2020,6.7,591,684,11337,9795,-,
36,FLAT 6 4/F BLOCK A BEAUTIFUL GARDEN ,28,8/12/2020,4.3,296,379,14527,11346,3762,187
37,FLAT A 18/F WING SHING BUILDING  ,43,7/12/2020,4.1,380,-,10789,-,1114,3
38,FLAT B 10/F BLOCK 6 PHASE 1 SERENITY PARK,28,7/12/2020,5.23,355,478,14732,10941,6159,434
39,FLAT G 25/F WING CHEONG COURT (BLOCK 3) FORTUNE PLAZA ,32,4/12/2020,5.45,339,451,16077,12084,2881,83
40,FLAT B 7/F YEE FAI COURT (BLOCK 2) TAI PO PLAZA ,36,4/12/2020,5.15,388,465,13273,11075,-,
41,FLAT C 19/F TONY COURT  ,35,4/12/2020,3.95,337,464,11721,8513,-,
