,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT C 10/F TOWER 6 DEERHILL TOWER DEERHILL BAY,22,23/12/2020,19,-,1754,-,10832,5942,103
1,FLAT A3 9/F TOWER 1 PHASE 1 ST MARTIN,1,23/12/2020,9,-,-,-,-,595,-26
2,FLAT B1 18/F TOWER 5 PHASE 1 ST MARTIN,1,22/12/2020,9.98,-,-,-,-,-,
3,FLAT D 18/F TOWER 8 SOLARIA ,1,22/12/2020,11.32,599,-,18905,-,-,-
4,FLAT A 10/F TOWER 6 THE REGENT ,0,22/12/2020,13,892,-,14576,-,-,-
5,FLAT B 10/F TOWER 3 PHASE 2 CENTRA HORIZON THE HORIZON,0,22/12/2020,9.47,615,-,15390,-,-,-
6,FLAT A 8/F TOWER 9 SOLARIA ,1,22/12/2020,6.84,339,-,20180,-,-,-
7,FLAT G 20/F TOWER 10 PHASE 2 CENTRA HORIZON THE HORIZON (with roof),0,22/12/2020,7.96,403,-,19754,-,-,-
8,FLAT C 10/F TOWER 9B ONTOLO ,1,21/12/2020,10.27,594,-,17296,-,-,-
9,HOUSE 95 BOULEVARD DE FONTAINE BOULEVARD DE FONTAINE HOUSE 95 PHASE 3 THE BEVERLY HILLS,12,21/12/2020,42,3167,5062,13262,8297,3080,6
10,NO. 60B TENTH ST 60B HONG LOK YUEN TENTH STREET (S S 561) TENTH STREET HONG LOK YUEN,32,18/12/2020,22.68,1166,1660,19451,13663,4925,127
11,FLAT B 4/F BLOCK 25 PHASE 2 PARC VERSAILLES,24,18/12/2020,10.4,1009,1173,10307,8866,8860,88
12,FLAT F 7/F TOWER 6 PHASE 1 MONT VERT,6,18/12/2020,8.1,844,-,9597,-,2326,35
13,FLAT B 10/F TOWER 17 THE REGENT ,0,18/12/2020,9.27,525,-,17665,-,-,-
14,FLAT B 2/F TOWER 2 THE REGENT ,0,18/12/2020,11.14,820,-,13587,-,-,-
15,FLAT B 3/F TOWER 2 THE REGENT ,0,18/12/2020,11.22,820,-,13678,-,-,-
16,FLAT G 2/F TOWER 10 SOLARIA ,1,18/12/2020,7.65,442,-,17303,-,-,-
17,FLAT C 2/F BLOCK 12 PHASE 1 PARC VERSAILLES,24,18/12/2020,9.98,1012,1193,9862,8365,3806,86
18,FLAT C 5/F BLOCK 12 THE PARAGON ,23,18/12/2020,9.5,914,1015,10394,9360,8376,57
19,HOUSE 19 NO. 4283 HOUSE 19 SAVANNA GARDEN  (with roof flat roof),32,18/12/2020,30,1987,2318,15098,12942,6182,137
20,FLAT D 11/F TOWER 2 THE REGENT ,0,18/12/2020,12.86,875,-,14697,-,-,-
21,FLAT 3 2/F BLOCK A TAI PO GARDEN ,31,17/12/2020,8.2,803,883,10212,9287,1534,18
22,FLAT C 12/F TOWER 9B ONTOLO ,1,17/12/2020,10.36,594,-,17436,-,-,-
23,FLAT G G/F TOWER 7 PHASE 2 CENTRA HORIZON THE HORIZON,0,17/12/2020,17.7,991,-,17865,-,-,-
24,FLAT A 18/F TOWER 3B MAYFAIR BY THE SEA 8 ,0,16/12/2020,11.8,699,-,16887,-,-,-
25,FLAT B6 G/F TOWER 9 PHASE 2 ST MARTIN,1,16/12/2020,8.25,446,-,18500,-,-,-
26,FLAT H 7/F TOWER 9 PHASE 2 CENTRA HORIZON THE HORIZON,0,16/12/2020,8.93,614,-,14544,-,-,-
27,FLAT B 17/F TOWER 9 PHASE 2 CENTRA HORIZON THE HORIZON,0,16/12/2020,9.6,620,-,15489,-,-,-
28,DUPLEX D 2/F BLOCK 6 THE PARAGON  (with roof),23,16/12/2020,10,1197,1289,8354,7758,2555,4
29,FLAT C 17/F TOWER 3 SOLARIA ,1,15/12/2020,8.23,456,-,18039,-,-,-
30,FLAT C 11/F TOWER 5 THE REGENT ,0,15/12/2020,12.82,868,-,14774,-,-,-
31,FLAT G 10/F TOWER 19 THE REGENT ,0,15/12/2020,9.42,528,-,17843,-,-,-
