,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT SB 18/F TOWER 3 PHASE 3 FESTIVAL CITY,9,23/12/2020,12.77,786,1030,16244,12396,3182,74
1,FLAT B 5/F BLOCK 3 GRANDEUR GARDEN ,35,23/12/2020,5.5,314,416,17516,13221,3969,181
2,FLAT B 58/F TOWER 7 (7B) PHASE 2 THE PAVILIA FARM,0,23/12/2020,13.97,-,-,-,-,-,-
3,FLAT C 7/F TOWER 6 (6B) PHASE 2 THE PAVILIA FARM,0,23/12/2020,11.68,-,-,-,-,-,-
4,FLAT A 45/F TOWER 5 (5A) PHASE 2 THE PAVILIA FARM,0,23/12/2020,14.91,-,-,-,-,-,-
5,FLAT C 32/F TOWER 5 (5A) PHASE 2 THE PAVILIA FARM,0,23/12/2020,10.28,-,-,-,-,-,-
6,FLAT F 12/F BLOCK 3 GRANDEUR GARDEN ,35,22/12/2020,6.18,328,434,18841,14240,-,
7,FLAT D 33/F TOWER 1 THE RIVERPARK ,8,22/12/2020,13.5,720,953,18750,14166,3100,81
8,FLAT B 7/F TOWER 5 THE RIVERPARK ,8,22/12/2020,16.6,936,1227,17735,13529,3088,83
9,FLAT A 47/F TOWER 5 (5A) PHASE 2 THE PAVILIA FARM,0,22/12/2020,15.65,-,-,-,-,-,-
10,FLAT C 50/F TOWER 5 (5A) PHASE 2 THE PAVILIA FARM,0,22/12/2020,10.88,-,-,-,-,-,-
11,FLAT E 36/F TOWER 6 (6B) PHASE 2 THE PAVILIA FARM,0,22/12/2020,8.41,-,-,-,-,-,-
12,FLAT E 23/F TOWER 6 (6B) PHASE 2 THE PAVILIA FARM,0,22/12/2020,7.65,-,-,-,-,-,-
13,FLAT D 62/F TOWER 5 (5B) PHASE 2 THE PAVILIA FARM (with roof),0,22/12/2020,13.4,-,-,-,-,-,-
14,FLAT D 59/F TOWER 7 (7B) PHASE 2 THE PAVILIA FARM,0,22/12/2020,16.94,-,-,-,-,-,-
15,FLAT B 7/F TOWER 6 (6A) PHASE 2 THE PAVILIA FARM,0,21/12/2020,13.62,-,-,-,-,-,-
