,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B 20/F BLOCK 3 HANLEY VILLA ,26,21/12/2020,6.2,485,725,12784,8552,3812,158
1,FLAT 5 22/F TOWER A SERENADE COVE ,20,21/12/2020,8.98,608,806,14770,11141,3871,134
2,FLAT E 23/F BLOCK 9 PHASE 2 BELVEDERE GARDEN,31,21/12/2020,8.35,668,786,12500,10623,1241,28
3,FLAT C 2/F BLOCK 3 PHASE 1 BELVEDERE GARDEN,33,21/12/2020,5.87,470,582,12485,10082,1789,59
4,FLAT B 23/F BLOCK 3 HANLEY VILLA ,26,18/12/2020,6.2,485,725,12784,8552,-,
5,FLAT H 6/F BLOCK 8 PHASE 2 BELVEDERE GARDEN,31,17/12/2020,7.05,668,786,10554,8969,8299,133
6,FLAT B 7/F BLOCK 5 HANLEY VILLA ,26,16/12/2020,8.8,671,970,13115,9072,4949,193
7,FLAT A 28/F BLOCK 1 PHASE 2 BELVEDERE GARDEN,31,15/12/2020,8.58,668,786,12844,10916,6858,560
8,FLAT F 27/F BLOCK 5 PHASE 3 BELVEDERE GARDEN,30,14/12/2020,9.5,742,896,12803,10603,4051,116
9,FLAT B 7/F BLOCK 6 PHASE 2 BELVEDERE GARDEN,31,11/12/2020,6.45,572,668,11276,9656,2075,33
10,FLAT 6 22/F TOWER B SERENADE COVE ,20,11/12/2020,6.49,445,589,14584,11019,2315,53
11,FLAT G 29/F BLOCK 2 BAYVIEW GARDEN ,28,11/12/2020,8,702,858,11396,9324,-,
12,FLAT G 23/F THE PANORAMA  ,22,10/12/2020,8.13,671,895,12116,9084,3689,149
13,FLAT B 16/F BLOCK 2 PHASE 2 BELVEDERE GARDEN,31,9/12/2020,7.65,572,668,13374,11452,2688,59
14,FLAT B 16/F BLOCK 7 HANLEY VILLA ,26,8/12/2020,8.65,680,989,12721,8746,-,
15,FLAT H 29/F BLOCK 6 PHASE 3 BELVEDERE GARDEN,30,8/12/2020,8.49,-,846,-,10033,7319,251
