,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,"HOUSE 56 SECTION M 1ST ST NO. 56 (S.M SS. 54) SECTION M, 1ST STREET FAIRVIEW PARK",43,22/12/2020,12.28,1035,1050,11865,11695,-,
1,"HOUSE 33 SECTION I 1ST ST NO. 33 (S.I SS.358) SECTION I, 1ST STREET FAIRVIEW PARK",39,22/12/2020,10.5,848,850,12382,12353,-,
2,"HOUSE 40 SECTION L 3RD ST NO. 40 (S.L SS.250) SECTION L, 3RD STREET FAIRVIEW PARK",39,21/12/2020,10.76,848,850,12689,12659,2341,47
3,HOUSE 64 HOUSE 64 NO. 64 (S.O SS.148) LYCHEE ROAD NORTH FAIRVIEW PARK,43,18/12/2020,15.34,1245,1500,12321,10227,3804,143
4,HOUSE 62 HOUSE 62 NO. 62 (S.O SS.147) LYCHEE ROAD NORTH FAIRVIEW PARK,43,18/12/2020,15.34,1245,1500,12321,10227,3804,147
5,HOUSE 34 HOUSE 34 NO. 34 (S.A SS.167) PINERY ROAD SOUTH FAIRVIEW PARK,36,17/12/2020,10.7,840,1138,12738,9402,2871,57
6,"HOUSE 32 SECTION C 5TH ST NO. 32 (S.C SS.226) SECTION C, 5TH STREET FAIRVIEW PARK",40,17/12/2020,11,915,1300,12022,8462,-,
7,HOUSE 54 HOUSE 54 NO. 54 (S.O SS.143) LYCHEE ROAD NORTH FAIRVIEW PARK,43,16/12/2020,10.95,848,850,12913,12882,4933,222
8,"HOUSE 37 SECTION K 3RD ST NO. 37 (S.K SS.184) SECTION K, 3RD STREET FAIRVIEW PARK",40,16/12/2020,10.75,848,850,12677,12647,2177,34
9,HOUSE 3 RIVER NORTH 10TH ST NO. 3 (S.O SS. 45) 10TH STREET RIVER NORTH FAIRVIEW PARK,38,10/12/2020,11.1,-,-,-,-,4130,178
10,"HOUSE 24 SECTION M 3RD ST NO. 24 (S.M SS.214) SECTION M, 3RD STREET FAIRVIEW PARK",43,9/12/2020,14.49,-,-,-,-,-,
11,HOUSE 141 HOUSE 141 NO. 141 (S.N SS. 4) LYCHEE ROAD NORTH FAIRVIEW PARK,43,7/12/2020,19.5,1395,1700,13978,11471,2546,52
12,HOUSE 2 RIVER NORTH LANE NO. 2 (S.O SS.276) RIVER NORTH LANE FAIRVIEW PARK,43,7/12/2020,10.76,891,1150,12076,9357,2235,58
13,"HOUSE 99 SECTION L 4TH ST NO. 99 (S.L SS.111) SECTION L, 4TH STREET FAIRVIEW PARK",39,7/12/2020,10,848,850,11792,11765,3197,82
14,"HOUSE 44 SECTION K 4TH ST NO. 44 (S.K SS.151) SECTION K, 4TH STREET FAIRVIEW PARK",40,3/12/2020,10.98,848,850,12948,12918,8778,262
15,HOUSE 2 FICUS PATH HOUSE 2 PHASE 1C WESTWOOD FICUS PALM SPRINGS,26,3/12/2020,15,1377,2021,10893,7422,9282,176
16,HOUSE 146 HOUSE 146 NO. 146 (S.N SS.166) LYCHEE ROAD SOUTH FAIRVIEW PARK,38,25/11/2020,10,891,1150,11223,8696,-,
17,"HOUSE 7 SECTION B 3RD ST NO. 7 (S.B SS. 78) SECTION B, 3RD STREET FAIRVIEW PARK",43,23/11/2020,11.45,846,1138,13534,10062,1621,69
18,HOUSE 41 PINACEAE DRIVE HOUSE 41 PHASE 1C WESTWOOD PINACEAE PALM SPRINGS,26,23/11/2020,12,1017,1442,11799,8322,2103,38
19,"HOUSE 96 SECTION H 3RD ST NO. 96 (S.H SS. 66) SECTION H, 3RD STREET FAIRVIEW PARK",41,19/11/2020,10.8,848,850,12736,12706,3282,91
