,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 8 2/F KWAI FUNG HOUSE (BLOCK C) KWAI CHUN COURT ,25,23/12/2020,3.5,-,514,-,6809,-,
1,FLAT 2 3/F TOWER A KWAI SING CENTRE ,39,22/12/2020,6.28,460,560,13652,11214,1116,18
2,FLAT J 41/F TOWER 2 THE APEX ,13,22/12/2020,7.1,484,677,14669,10487,3555,130
3,FLAT 6 10/F BLOCK C SUN KWAI HING GARDENS ,37,22/12/2020,7,570,703,12281,9957,1515,11
4,FLAT O 19/F KWAI CHUNG BUILDING  ,46,22/12/2020,4.48,438,-,10228,-,2061,37
5,FLAT 2 15/F KWAI HIM HOUSE (BLOCK B) KWAI YIN COURT ,27,18/12/2020,5.35,554,710,9657,7535,-,
6,FLAT B 12/F BLOCK 1 GREENKNOLL COURT ,28,18/12/2020,5.7,456,555,12500,10270,8918,261
7,FLAT 5 29/F KWAI YEE HOUSE (BLOCK A) KWAI YIN COURT ,27,18/12/2020,5.8,401,514,14464,11284,-,
8,FLAT 7 13/F TOWER A KWAI SING CENTRE ,39,17/12/2020,4.6,383,466,12010,9871,2350,75
9,FLAT C 10/F WEALTHY GARDEN  ,46,17/12/2020,6.89,-,-,-,-,-,-
10,FLAT B3 4/F BLOCK B SHUI KING BUILDING ,46,16/12/2020,3,363,407,8264,7371,1551,7
11,FLAT 6 9/F KWAI MING HOUSE (BLOCK A) KWAI HONG COURT ,27,15/12/2020,5.08,578,691,8789,7352,-,
12,FLAT C 8/F BLOCK 1 GREENKNOLL COURT ,28,15/12/2020,5.35,456,555,11732,9640,1628,38
13,FLAT 4 7/F MAI CHUNG MANSION  ,43,15/12/2020,3.84,342,480,11222,7996,2351,64
14,FLAT L 20/F TAK TAI BUILDING  ,49,14/12/2020,3.7,-,-,-,-,4073,257
15,FLAT K 6/F WANG WAH BUILDING (MANSION)  ,55,11/12/2020,4,594,-,6734,-,596,-23
16,FLAT B 18/F BLOCK 3 KWAI FONG TERRACE ,36,9/12/2020,5.98,473,590,12643,10136,2848,51
17,FLAT G 5/F TAK TAI BUILDING  ,49,9/12/2020,3.2,-,-,-,-,2324,45
18,FLAT H 16/F BLOCK 2 GREENKNOLL COURT ,28,7/12/2020,5.75,465,573,12366,10035,6079,400
19,FLAT G 3/F YI WO BUILDING  ,47,4/12/2020,2.2,287,-,7666,-,-,
20,FLAT C 11/F KWAI CHEUNG BUILDING  ,47,3/12/2020,5.4,393,560,13740,9643,-,
21,FLAT A 2/F CHEONG WANG MANSION  ,42,2/12/2020,3.6,357,-,10084,-,1174,-3
22,FLAT 7 11/F LONG FUNG HOUSE (BLOCK B) NING FUNG COURT ,19,2/12/2020,5.2,506,665,10277,7820,-,
23,FLAT D 13/F BLOCK 2 KWAI CHUNG PLAZA ,30,2/12/2020,5.9,318,437,18553,13501,3587,148
24,FLAT 6 13/F BLOCK A PO SING CENTRE ,35,30/11/2020,4.5,288,430,15625,10465,5707,476
25,FLAT C 5/F KWAI PO BUILDING  ,44,27/11/2020,4.1,421,551,9739,7441,-,
26,FLAT D 15/F BLOCK 3 KWAI CHUNG PLAZA ,30,27/11/2020,5.76,318,437,18113,13181,1377,24
27,FLAT D 13/F TAK CHEONG BUILDING  ,46,27/11/2020,3.8,372,463,10215,8207,4612,322
28,FLAT E 15/F KWAI CHEUNG BUILDING  ,47,27/11/2020,4.48,338,410,13254,10927,1974,37
29,FLAT E 12/F EDITION 178  ,2,24/11/2020,4.48,-,-,-,-,1183,34
30,FLAT A 14/F KAM HENG BUILDING  ,46,23/11/2020,4.44,406,-,10936,-,5159,551
31,FLAT E 30/F TOWER 1 THE APEX ,13,23/11/2020,6,450,663,13333,9050,4141,178
32,FLAT 6 2/F BLOCK A NEW KWAI FONG GARDENS ,37,20/11/2020,6.04,408,519,14804,11638,2124,44
33,FLAT M 5/F TOWER 1 THE APEX ,13,20/11/2020,5.65,468,670,12073,8433,1310,9
34,FLAT B 14/F HOI CHEONG BUILDING  ,44,20/11/2020,3.4,329,-,10334,-,1468,26
35,FLAT E 37/F TOWER 2 THE APEX ,13,19/11/2020,8.76,628,879,13949,9966,5161,205
36,FLAT 1 4/F BLOCK D PO SING CENTRE ,36,19/11/2020,4.6,362,496,12707,9274,3481,161
37,FLAT H 7/F BLOCK 1 KWAI CHUNG PLAZA ,30,18/11/2020,8,516,702,15504,11396,8645,119
38,FLAT 6 18/F BLOCK C PO SING CENTRE ,36,17/11/2020,4.68,329,452,14225,10354,5123,465
39,FLAT D 14/F BLOCK 1 GREENKNOLL COURT ,28,17/11/2020,6.4,546,674,11722,9496,-,
40,FLAT H 6/F MING YIN BUILDING  ,52,17/11/2020,2,347,-,5764,-,3113,63
41,FLAT C 24/F KWAI CHUNG FA YUEN  ,38,16/11/2020,4.92,377,509,13050,9666,-,
42,FLAT D 23/F CHEONG WANG MANSION   (with flat roof),42,13/11/2020,3.9,364,522,10714,7471,-,
43,FLAT B1 18/F BLOCK B HUTCHISON ESTATE ,44,12/11/2020,3.5,372,-,9409,-,-,
44,FLAT I 3/F TAK TAI BUILDING  ,49,12/11/2020,3.75,375,-,10000,-,3551,99
45,FLAT 7 2/F KWAI HIM HOUSE (BLOCK B) KWAI YIN COURT ,27,12/11/2020,5,554,710,9025,7042,-,
46,FLAT 3 9/F KWAI HIM HOUSE (BLOCK B) KWAI YIN COURT ,27,12/11/2020,5.42,401,514,13516,10545,-,
47,FLAT K 14/F TAK TAI BUILDING  ,49,12/11/2020,4.8,471,-,10191,-,-,
