,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 22 1/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,23/12/2020,4.67,-,-,-,-,-,-
1,FLAT 3 18/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,23/12/2020,4.04,-,-,-,-,-,-
2,FLAT 15 5/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,23/12/2020,7.2,-,-,-,-,-,-
3,FLAT 10 15/F TOWER 1 PHASE 2 STARFRONT ROYALE THE ROYALE,0,23/12/2020,5.89,-,-,-,-,-,-
4,FLAT 21 8/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,23/12/2020,4.94,-,-,-,-,-,-
5,FLAT C 5/F BLOCK 1 VERDANT VILLA ,21,23/12/2020,8.1,825,1070,9818,7570,8100,165
6,FLAT 22 15/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,23/12/2020,4.77,-,-,-,-,-,-
7,FLAT B 10/F TOWER 3A PHASE 2 EMERALD BAY,0,23/12/2020,5.12,310,-,16516,-,-,-
8,FLAT D 45/F TOWER 3 OCEAN POINTE ,20,23/12/2020,9.3,753,1085,12351,8571,6774,184
9,FLAT F 27/F TOWER 2 PHASE 2 BELLAGIO,14,23/12/2020,7,515,669,13592,10463,5912,212
10,FLAT F 10/F TOWER 3A PHASE 2 EMERALD BAY,0,23/12/2020,4.36,228,-,19101,-,-,-
11,FLAT F 20/F BLOCK 7 PHASE 3 SEA CREST VILLA,25,23/12/2020,5.55,412,544,13471,10202,1263,21
12,FLAT 1 15/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,23/12/2020,7.58,-,-,-,-,-,-
13,FLAT A 20/F BLOCK 26 PHASE 3 HONG KONG GARDEN,31,23/12/2020,10,-,1883,-,5311,-,
14,FLAT E 17/F BLOCK 1 L'AQUATIQUE ,1,22/12/2020,5.23,300,-,17423,-,-,-
15,FLAT B 10/F TOWER 1 ANGLERS' BAY ,16,22/12/2020,6.7,469,661,14286,10136,1184,15
16,FLAT A G/F TOWER 5 PHASE 2 EMERALD BAY,0,22/12/2020,5.87,301,-,19502,-,-,-
17,FLAT F 18/F TOWER 5A PHASE 2 EMERALD BAY,0,22/12/2020,5.98,305,-,19600,-,-,-
18,FLAT F G/F TOWER 6 NAPA  (with garden),3,21/12/2020,6.18,453,-,13642,-,1136,-11
19,FLAT A 13/F BLOCK 2 SEAVIEW GARDEN ,33,21/12/2020,5.28,582,820,9072,6439,2794,70
20,FLAT 10 7/F TOWER 1 PHASE 2 STARFRONT ROYALE THE ROYALE,0,21/12/2020,5.76,-,-,-,-,-,-
21,FLAT 3 8/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,21/12/2020,4.09,-,-,-,-,-,-
22,FLAT B 15/F TOWER 5 PHASE 2 EMERALD BAY,0,21/12/2020,5.32,310,-,17148,-,-,-
23,FLAT 22 18/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,21/12/2020,4.51,-,-,-,-,-,-
24,FLAT 22 2/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,18/12/2020,4.68,-,-,-,-,-,-
25,FLAT 19 2/F TOWER 1 PHASE 2 STARFRONT ROYALE THE ROYALE,0,18/12/2020,3.66,-,-,-,-,-,-
26,FLAT B 10/F TOWER 5 PHASE 2 EMERALD BAY,0,18/12/2020,5.45,310,-,17581,-,-,-
27,FLAT C 6/F BLOCK 4 LIDO GARDEN ,31,18/12/2020,6.33,617,763,10259,8296,-,
28,FLAT 22 16/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,18/12/2020,4.48,-,-,-,-,-,-
29,FLAT G G/F TOWER 5 PHASE 2 EMERALD BAY,0,18/12/2020,6.1,328,-,18601,-,-,-
30,FLAT G 16/F TOWER 2A OMA OMA ,0,18/12/2020,8.92,603,-,14791,-,-,-
31,FLAT A 18/F BLOCK 2 PHASE 1 SEA CREST VILLA,28,18/12/2020,5.18,467,587,11092,8825,2964,89
32,FLAT B 23/F BLOCK 2 SEAVIEW GARDEN ,33,18/12/2020,7.15,823,1144,8688,6250,1564,24
33,FLAT B 1/F BLOCK 6 GRAND PACIFIC VIEW PALATIAL COAST,21,17/12/2020,9.45,1213,1511,7791,6254,4005,130
34,FLAT F 19/F BLOCK 2 LIDO GARDEN ,31,17/12/2020,6.52,657,800,9924,8150,3042,83
35,FLAT E 7/F TOWER 1 AVIGNON ,9,17/12/2020,12.3,1182,1510,10406,8146,3501,28
36,FLAT 3 UG/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,17/12/2020,3.88,-,-,-,-,-,-
37,FLAT B 28/F BLOCK 4 HONG KONG GOLD COAST  (with roof),30,17/12/2020,7.37,576,738,12792,9984,5101,292
38,FLAT 22 5/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,17/12/2020,4.7,-,-,-,-,-,-
39,FLAT 20 17/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,17/12/2020,4.91,-,-,-,-,-,-
40,FLAT 22 9/F TOWER 2 PHASE 2 STARFRONT ROYALE THE ROYALE,0,17/12/2020,4.54,-,-,-,-,-,-
