,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B 23/F BLOCK 11 PHASE 1 LOCWOOD COURT KINGSWOOD VILLAS,28,23/12/2020,6.33,633,814,10000,7776,9047,238
1,FLAT D 5/F BLOCK 9 PHASE 1 LOCWOOD COURT KINGSWOOD VILLAS,28,23/12/2020,5.43,551,708,9855,7669,2891,81
2,FLAT D 9/F BLOCK 1 PHASE 1 LOCWOOD COURT KINGSWOOD VILLAS,29,23/12/2020,5.05,551,708,9165,7133,3225,166
3,FLAT E 38/F BLOCK 5 PHASE 2 SHERWOOD COURT KINGSWOOD VILLAS,27,22/12/2020,5.06,448,586,11295,8635,8585,107
4,FLAT A 12/F BLOCK 6 PHASE 1 LOCWOOD COURT KINGSWOOD VILLAS,29,22/12/2020,6.2,636,824,9748,7524,6761,377
5,FLAT G 15/F TOWER 2 PHASE 1 CENTRAL PARK TOWERS,13,21/12/2020,5.98,502,666,11912,8979,4535,234
6,FLAT 3 1/F OI CHIU HOUSE (BLOCK A) TIN OI COURT ,27,21/12/2020,5.05,606,830,8333,6084,-,
7,FLAT F 37/F BLOCK 6 PHASE 2 SHERWOOD COURT KINGSWOOD VILLAS,27,18/12/2020,5.32,449,576,11849,9236,6762,412
8,FLAT 4 3/F YAT FU HOUSE (BLOCK P) TIN FU COURT ,20,18/12/2020,3.34,506,-,6597,-,-,
9,FLAT C 20/F BLOCK 8 PHASE 1 LOCWOOD COURT KINGSWOOD VILLAS,28,18/12/2020,5.75,551,708,10436,8121,-,
10,FLAT D 25/F BLOCK 2 PHASE 6 MAYWOOD COURT KINGSWOOD VILLAS,23,18/12/2020,6.08,540,714,11259,8515,2499,97
11,FLAT G 4/F BLOCK 13 PHASE 7 KENSWOOD COURT KINGSWOOD VILLAS,25,18/12/2020,5.43,547,709,9927,7659,1983,39
12,FLAT D 15/F TOWER 8 PHASE 2 CENTRAL PARK TOWERS II CENTRAL PARK TOWERS,10,18/12/2020,5.86,512,676,11445,8669,4165,282
13,FLAT 1 35/F HANG FU HOUSE (BLOCK B) TIN FU COURT ,19,17/12/2020,4.9,650,-,7538,-,-,
14,FLAT G 30/F BLOCK 9 PHASE 7 KENSWOOD COURT KINGSWOOD VILLAS,25,17/12/2020,5.98,547,709,10932,8434,2756,87
15,FLAT C 42/F TOWER 3 PHASE 1 CENTRAL PARK TOWERS,13,17/12/2020,6.19,493,658,12552,9404,3843,185
16,FLAT F 5/F BLOCK 8 PHASE 1 LOCWOOD COURT KINGSWOOD VILLAS,28,16/12/2020,5,449,576,11136,8681,2023,42
17,FLAT C 25/F TOWER 3 PHASE 1 CENTRAL PARK TOWERS,13,16/12/2020,6.1,493,658,12373,9271,3115,112
18,FLAT H 37/F TOWER 1 PHASE 1 CENTRAL PARK TOWERS,13,16/12/2020,7,597,797,11725,8783,3790,172
19,FLAT D 12/F BLOCK 8 PHASE 1 LOCWOOD COURT KINGSWOOD VILLAS,28,16/12/2020,5,551,714,9074,7003,7870,189
20,FLAT G 1/F BLOCK 4 PHASE 1 LOCWOOD COURT KINGSWOOD VILLAS,29,14/12/2020,5.3,548,708,9672,7486,3775,215
21,FLAT H 27/F TOWER 1 VIANNI COVE ,16,14/12/2020,8.95,842,1109,10629,8070,6472,337
22,FLAT A 32/F BLOCK 8 PHASE 7 KENSWOOD COURT KINGSWOOD VILLAS,25,14/12/2020,6.75,635,820,10630,8232,1431,27
23,FLAT G 16/F BLOCK 3 PHASE 5 LYNWOOD COURT KINGSWOOD VILLAS,24,14/12/2020,5.88,547,709,10750,8293,3574,150
24,FLAT G 47/F TOWER 2 VIANNI COVE ,16,14/12/2020,5.92,544,724,10882,8177,6272,366
25,FLAT 4 16/F HING FU HOUSE (BLOCK G) TIN FU COURT ,19,14/12/2020,4.85,650,-,7462,-,-,
26,FLAT C 6/F BLOCK 2 PHASE 3 CHESTWOOD COURT KINGSWOOD VILLAS,27,14/12/2020,5,551,705,9074,7092,3986,238
27,FLAT 5 40/F SHING CHUEN HOUSE (BLOCK O) TIN SHING COURT ,20,14/12/2020,5.43,650,847,8351,6409,-,
28,FLAT 14 36/F OI CHIU HOUSE (BLOCK A) TIN OI COURT ,27,11/12/2020,4.38,433,593,10115,7386,-,
29,FLAT A 33/F BLOCK 8 PHASE 5 LYNWOOD COURT KINGSWOOD VILLAS,24,11/12/2020,6.15,635,820,9685,7500,3323,131
30,FLAT G 2/F BLOCK 4 PHASE 6 MAYWOOD COURT KINGSWOOD VILLAS,23,11/12/2020,5.8,544,710,10662,8169,5465,361
31,FLAT 4 36/F SHING YU HOUSE (BLOCK P) TIN SHING COURT ,20,11/12/2020,4.46,506,664,8814,6717,-,
32,FLAT H 30/F BLOCK 2 PHASE 3 CHESTWOOD COURT KINGSWOOD VILLAS,27,11/12/2020,6.4,549,705,11658,9078,1372,35
33,FLAT A 50/F TOWER 8 PHASE 2 CENTRAL PARK TOWERS II CENTRAL PARK TOWERS,10,11/12/2020,6.37,510,668,12486,9533,1711,63
34,FLAT H 38/F TOWER 6 PHASE 1 CENTRAL PARK TOWERS,13,11/12/2020,6.05,494,648,12247,9336,1136,26
35,FLAT F 49/F TOWER 8 PHASE 2 CENTRAL PARK TOWERS II CENTRAL PARK TOWERS,10,11/12/2020,6.23,502,654,12410,9526,1275,20
36,FLAT D 3/F BLOCK 9 PHASE 1 LOCWOOD COURT KINGSWOOD VILLAS,28,11/12/2020,7.48,551,708,13575,10565,-,
37,FLAT D 26/F BLOCK 3 PHASE 5 LYNWOOD COURT KINGSWOOD VILLAS,24,10/12/2020,6.08,544,709,11176,8575,1590,61
38,FLAT 8 14/F YIN FU HOUSE (BLOCK K) TIN FU COURT ,19,9/12/2020,3.58,506,665,7075,5383,-,
39,FLAT E 10/F TOWER 5 PHASE 1 CENTRAL PARK TOWERS,13,9/12/2020,5.88,498,656,11807,8963,2133,57
40,FLAT B 14/F BLOCK 6 PHASE 3 CHESTWOOD COURT KINGSWOOD VILLAS,27,9/12/2020,6,633,807,9479,7435,1266,13
41,FLAT 7 3/F CHUNG PO HOUSE (BLOCK K) TIN CHUNG COURT ,21,9/12/2020,3.45,506,665,6818,5188,-,
42,FLAT E 30/F BLOCK 4 PHASE 2 SHERWOOD COURT KINGSWOOD VILLAS,27,8/12/2020,4.7,448,586,10491,8020,3270,154
43,FLAT D 3/F BLOCK 1 PHASE 2 SHERWOOD COURT KINGSWOOD VILLAS,27,8/12/2020,5.4,551,714,9800,7563,3946,278
44,FLAT B 49/F TOWER 1 PHASE 1 CENTRAL PARK TOWERS,13,8/12/2020,6.32,496,659,12742,9590,1668,53
45,FLAT A 28/F TOWER 1 PHASE 1 CENTRAL PARK TOWERS,13,7/12/2020,7.1,597,797,11893,8908,1159,17
46,FLAT E 13/F BLOCK 10 PHASE 5 LYNWOOD COURT KINGSWOOD VILLAS,24,7/12/2020,5.34,446,581,11973,9191,1305,28
47,FLAT D 29/F TOWER 2 PHASE 1 CENTRAL PARK TOWERS,13,7/12/2020,6.02,498,656,12088,9177,4836,252
48,FLAT 4 8/F CHUNG PIK HOUSE (BLOCK E) TIN CHUNG COURT ,21,7/12/2020,4.18,650,829,6431,5042,-,
49,FLAT E 46/F TOWER 7 PHASE 2 CENTRAL PARK TOWERS II CENTRAL PARK TOWERS,10,7/12/2020,8.75,803,1052,10897,8317,1866,12
50,FLAT C 57/F TOWER 3 PHASE 1 CENTRAL PARK TOWERS,13,7/12/2020,6.38,493,658,12941,9696,4818,209
51,FLAT 4 11/F YAT FU HOUSE (BLOCK P) TIN FU COURT ,20,4/12/2020,3.82,506,664,7549,5753,-,
52,FLAT G 31/F BLOCK 3 PHASE 2 SHERWOOD COURT KINGSWOOD VILLAS,27,4/12/2020,5.9,548,708,10766,8333,3667,185
53,FLAT C 26/F BLOCK 6 PHASE 6 MAYWOOD COURT KINGSWOOD VILLAS,23,4/12/2020,6,544,710,11029,8451,3587,153
54,FLAT D 6/F BLOCK 9 PHASE 5 LYNWOOD COURT KINGSWOOD VILLAS,24,4/12/2020,5,547,704,9141,7102,4396,324
55,FLAT A 32/F TOWER 3 VIANNI COVE ,16,3/12/2020,6.38,548,725,11642,8800,2733,83
56,FLAT E 6/F BLOCK 13 PHASE 7 KENSWOOD COURT KINGSWOOD VILLAS,25,3/12/2020,5.08,446,581,11390,8744,1645,65
57,FLAT 1 1/F CHAI FU HOUSE (BLOCK N) TIN FU COURT ,20,2/12/2020,4,650,854,6154,4684,-,
58,FLAT A 23/F BLOCK 3 PHASE 5 LYNWOOD COURT KINGSWOOD VILLAS,24,2/12/2020,6.2,635,820,9764,7561,8759,140
59,FLAT F 26/F BLOCK 3 PHASE 7 KENSWOOD COURT KINGSWOOD VILLAS,26,1/12/2020,5.26,442,576,11896,9128,1565,50
