,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT E 25/F BLOCK 1 HARMONY GARDEN ,21,23/12/2020,6.8,467,595,14561,11429,2377,64
1,FLAT C 9/F TAK PO BUILDING  ,47,23/12/2020,4.7,418,495,11244,9495,3682,180
2,FLAT H 9/F HOI TSUI MANSION (BLOCK 16) RIVIERA GARDENS ,31,23/12/2020,7.7,-,773,-,9961,5456,277
3,FLAT F 65/F TOWER WEST (B1) CHELSEA COURT ,15,23/12/2020,7.8,454,614,17181,12704,1107,16
4,FLAT B 22/F HOI FAI MANSION (BLOCK 18) RIVIERA GARDENS ,31,23/12/2020,8.11,700,829,11586,9783,8856,155
5,FLAT A 7/F TOWER 8 PARC CITY ,2,23/12/2020,9.6,538,-,17844,-,1188,30
6,FLAT G 8/F BLOCK 1 (KWANGCHOW HOUSE) TSUEN WAN CENTRE ,40,23/12/2020,4.49,354,455,12684,9868,2863,62
7,FLAT 1 3/F BLOCK G LUK YEUNG SUN CHUEN ,37,23/12/2020,7,-,671,-,10432,4898,240
8,FLAT RD 7/F THE RISE  ,6,23/12/2020,6.6,527,-,12524,-,1355,14
9,FLAT 7 13/F BLOCK N ALLWAY GARDEN ,40,23/12/2020,4.7,-,543,-,8652,-,
10,FLAT 7 (NO. 321A) 5/F KWONG YICK BUILDING  ,55,23/12/2020,3.6,308,-,11688,-,3894,177
11,FLAT G 26/F BLOCK 3 VISION CITY ,13,23/12/2020,9,522,690,17241,13043,5320,159
12,FLAT E 16/F BLOCK 5 (ANKING HOUSE) TSUEN WAN CENTRE ,40,22/12/2020,4.44,324,413,13698,10746,2064,34
13,FLAT A 10/F CHEONG WAH COURT WEALTHY GARDEN ,36,22/12/2020,5,318,420,15723,11905,-,
14,FLAT H 27/F BLOCK 5 PHASE 1 TSUEN KING GARDEN,33,22/12/2020,6.52,495,619,13172,10533,-,
15,FLAT 3 10/F BLOCK Q LUK YEUNG SUN CHUEN ,37,22/12/2020,7.07,451,527,15676,13416,1424,34
16,FLAT 3 4/F BLOCK S LUK YEUNG SUN CHUEN ,37,22/12/2020,6.7,451,527,14856,12713,2996,91
17,FLAT A4 20/F BLOCK A FOO YU BUILDING ,47,22/12/2020,5.04,374,493,13471,10219,1486,24
18,NO. 27 5/F MAN SHING BUILDING   (with roof),51,22/12/2020,4.95,-,-,-,-,-,
19,FLAT C 27/F BLOCK 9 PHASE 2 TSUEN KING GARDEN,32,22/12/2020,6.38,431,511,14803,12485,2282,60
20,FLAT 5 9/F INDI HOME  ,15,22/12/2020,7.6,420,586,18095,12969,2113,58
21,FLAT B 26/F TOWER 2B PHASE 3A OCEAN SUPREME OCEAN PRIDE,2,22/12/2020,10,518,-,19305,-,1223,20
22,FLAT D 43/F TOWER 2A THE PAVILIA BAY ,2,21/12/2020,18.18,903,-,20133,-,1398,8
23,FLAT D 18/F BLOCK 8 CITY POINT ,6,21/12/2020,7.5,482,-,15560,-,87,9
24,FLAT E 36/F TOWER 1B THE PAVILIA BAY ,2,21/12/2020,6.08,318,-,19119,-,1403,25
25,FLAT A 15/F BLOCK A JOYFUL BUILDING ,32,21/12/2020,6.45,588,730,10969,8836,-,
26,FLAT A 9/F BLOCK 16 (NANNING HOUSE) TSUEN WAN CENTRE ,39,21/12/2020,5.26,374,490,14064,10735,1456,38
27,FLAT C 52/F BLOCK 5 VISION CITY ,13,21/12/2020,16.1,827,1085,19468,14839,2143,34
28,FLAT E 3/F HOI NGAN MANSION (BLOCK 4) RIVIERA GARDENS ,32,21/12/2020,5.4,419,529,12888,10208,8626,100
29,FLAT B 23/F TOWER 5 PARC CITY ,2,21/12/2020,7.5,-,-,-,-,1181,15
30,FLAT 8 6/F BLOCK B (CHUI HO HOUSE) SHEUNG CHUI COURT ,0,18/12/2020,5.27,438,-,12027,-,-,
31,FLAT D 8/F BLOCK 9 PHASE 3 DISCOVERY PARK,22,18/12/2020,8.88,602,748,14751,11872,2878,85
32,FLAT A 20/F CHEONG FU COURT WEALTHY GARDEN ,36,18/12/2020,5.12,318,420,16101,12190,2206,51
33,FLAT C 46/F TOWER 1 PRIMROSE HILL ,10,18/12/2020,7.7,522,693,14751,11111,2061,32
34,FLAT C 28/F BLOCK 1 KAM FUNG GARDEN ,31,18/12/2020,6.6,560,779,11786,8472,8369,120
35,FLAT D 38/F TOWER 6 PARC CITY ,2,18/12/2020,9.98,522,-,19119,-,1099,3
36,FLAT C 7/F BLOCK 2 CITY POINT ,6,18/12/2020,9.97,716,-,13922,-,1239,20
37,FLAT B 38/F TOWER 6 PHASE 3 OCEAN PRIDE,2,17/12/2020,17.6,793,-,22194,-,1282,17
38,FLAT A 8/F BLOCK 5 CITY POINT ,6,17/12/2020,8.05,-,-,-,-,2350,40
39,FLAT C 45/F TOWER 3C PHASE 3A OCEAN SUPREME OCEAN PRIDE,2,17/12/2020,9.5,531,-,17891,-,1203,5
40,FLAT E 20/F BLOCK 4 WATERSIDE PLAZA ,29,17/12/2020,7.45,566,728,13163,10234,2394,66
41,FLAT 3 11/F BLOCK A LUK YEUNG SUN CHUEN ,36,17/12/2020,6.08,451,518,13481,11737,-,
42,FLAT B 22/F TOWER 7 PHASE 3 OCEAN PRIDE,2,16/12/2020,10,512,-,19531,-,-,-
43,FLAT 4 17/F BLOCK K LUK YEUNG SUN CHUEN ,37,16/12/2020,8.38,582,667,14399,12564,-,
44,FLAT D 11/F TOWER NORTH (B2) CHELSEA COURT ,15,16/12/2020,7.08,471,646,15032,10960,3605,116
45,FLAT C 18/F TOWER 2A THE PAVILIA BAY ,2,16/12/2020,8.61,421,-,20447,-,1381,15
46,FLAT B 12/F TSUEN KING BUILDING  ,47,16/12/2020,4.95,369,491,13415,10081,1964,30
47,FLAT 1 51/F INDI HOME  ,15,16/12/2020,7.49,424,591,17665,12673,1112,15
48,FLAT A 9/F TOWER 1 THE DYNASTY ,11,16/12/2020,27.38,1290,1739,21225,15745,3840,119
49,FLAT H 21/F TOWER EAST (A1) CHELSEA COURT ,15,16/12/2020,6.55,384,510,17057,12843,1670,53
50,FLAT H 2/F BLOCK 10 PHASE 2 TSUEN KING GARDEN,32,16/12/2020,6.4,551,679,11615,9426,7799,195
51,FLAT B 11/F BLOCK 2 CITY POINT ,6,16/12/2020,10.18,750,-,13573,-,2361,44
52,FLAT C 36/F TOWER 7 PHASE 3 OCEAN PRIDE,2,16/12/2020,8.3,-,-,-,-,1261,17
53,FLAT B 25/F THE BLUE YARD  ,18,15/12/2020,8.6,605,787,14215,10928,4702,228
54,FLAT C 5/F BLOCK 15 (KUNMING HOUSE) TSUEN WAN CENTRE ,39,15/12/2020,4.25,329,404,12918,10520,2689,74
55,FLAT J 28/F TOWER NORTH (B2) CHELSEA COURT ,15,15/12/2020,7.1,450,612,15778,11601,4432,201
56,FLAT B 4/F BLOCK 2 KAM FUNG GARDEN ,31,15/12/2020,5.4,434,602,12438,8967,1906,32
57,FLAT B 21/F BLOCK 7 (SHANGHAI HOUSE) TSUEN WAN CENTRE ,40,15/12/2020,5.5,460,573,11957,9599,1106,10
58,FLAT 5 20/F BLOCK R LUK YEUNG SUN CHUEN ,37,15/12/2020,7.2,475,555,15158,12973,5589,267
59,FLAT A 25/F TOWER 3C PHASE 3A OCEAN SUPREME OCEAN PRIDE,2,15/12/2020,10,524,-,19084,-,1221,20
60,FLAT E 30/F TOWER 1B THE PAVILIA BAY ,2,15/12/2020,6.05,318,-,19025,-,1389,28
61,FLAT B 15/F TOWER 2 PARC CITY ,2,15/12/2020,9.88,531,-,18606,-,1171,25
62,FLAT E 5/F BLOCK 1 (KWANGCHOW HOUSE) TSUEN WAN CENTRE ,40,15/12/2020,4,377,481,10610,8316,1032,-6
63,FLAT A4 21/F BLOCK A FOO YU BUILDING ,47,15/12/2020,5,374,493,13369,10142,1796,33
64,FLAT B 15/F ON FOO BUILDING   (with flat roof),46,15/12/2020,4.3,316,424,13608,10142,1084,9
65,FLAT H 15/F BLOCK C TSUEN TAK GARDENS ,34,14/12/2020,4.45,306,439,14542,10137,1201,20
66,FLAT C 17/F TOWER 3B PHASE 3A OCEAN SUPREME OCEAN PRIDE,2,14/12/2020,9.8,534,-,18352,-,1220,17
67,FLAT 4 12/F BLOCK B LUK YEUNG SUN CHUEN ,36,14/12/2020,8.48,582,667,14570,12714,3348,105
68,FLAT F (NO. 10) 11/F CHEN HSIN MANSION  ,57,14/12/2020,4.88,509,-,9587,-,-,
69,FLAT LD 18/F THE RISE  ,6,14/12/2020,6.87,522,-,13157,-,1505,14
70,FLAT 7 8/F BLOCK J ALLWAY GARDEN ,40,14/12/2020,4.87,468,530,10402,9185,3799,185
71,FLAT E 25/F BLOCK 4 PHASE 1 TSUEN KING GARDEN,33,14/12/2020,5.62,362,450,15525,12489,7160,364
72,FLAT B 20/F TOWER 8 PHASE 3 OCEAN PRIDE,2,14/12/2020,1.86,-,-,-,-,175,3
73,FLAT F 39/F BLOCK 7 CITY POINT ,6,11/12/2020,9,663,-,13575,-,2361,24
74,FLAT E 17/F BLOCK A TSUEN TAK GARDENS ,34,11/12/2020,4.52,287,427,15749,10585,3500,154
75,FLAT A 8/F CARSON MANSION  ,46,11/12/2020,5.5,459,600,11983,9167,8813,224
76,FLAT B 24/F CHEONG WAH COURT WEALTHY GARDEN  (with roof),36,11/12/2020,5.15,313,412,16454,12500,1413,24
77,FLAT 6 27/F BLOCK R LUK YEUNG SUN CHUEN ,37,11/12/2020,6.9,445,519,15506,13295,7491,319
78,FLAT B 36/F TOWER 1B THE PAVILIA BAY ,2,11/12/2020,10.88,525,-,20724,-,1385,37
79,FLAT E 14/F BLOCK 2 TSUEN WAN PLAZA ,29,11/12/2020,6,433,542,13857,11070,8275,114
80,FLAT G 12/F TOWER NORTH (B2) CHELSEA COURT ,15,11/12/2020,8.3,561,776,14795,10696,1280,6
81,FLAT C 17/F TOWER 5 PARC CITY ,2,11/12/2020,8.5,470,-,18085,-,1164,22
82,FLAT B 40/F TOWER 1 NEW HAVEN ,18,10/12/2020,8.35,551,725,15154,11517,1531,28
83,FLAT 5 35/F BLOCK K ALLWAY GARDEN ,41,10/12/2020,6.1,533,607,11445,10049,1642,49
84,FLAT A 23/F TOWER 8 PHASE 3 OCEAN PRIDE,2,10/12/2020,11,777,-,14157,-,1262,-8
85,FLAT 2 4/F BLOCK B (CHUI HO HOUSE) SHEUNG CHUI COURT ,0,10/12/2020,5.13,439,-,11686,-,-,
86,FLAT D 35/F BLOCK 2 CITY POINT ,6,10/12/2020,8.28,487,-,17002,-,2338,59
87,FLAT 3 5/F BLOCK A TSUEN WAN TOWN SQUARE ,31,10/12/2020,6.45,608,787,10613,8199,1714,14
88,FLAT RA 27/F THE RISE  ,6,10/12/2020,3.5,-,-,-,-,2622,-46
89,FLAT D 8/F BLOCK 4 PHASE 1 TSUEN KING GARDEN,33,9/12/2020,5.3,362,450,14641,11778,1096,16
