,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT A 28/F BLOCK B GRANDEUR GARDENS ,33,23/12/2020,3.96,378,472,10471,8386,4057,330
1,FLAT F 5/F TOWER A ELDO COURT ,33,23/12/2020,4.5,426,534,10563,8427,2333,52
2,FLAT C 22/F TOWER 11 PHASE 2 TAI HING GARDENS,26,23/12/2020,5,464,607,10776,8237,4771,368
3,FLAT 1 15/F TOWER 5 GOODVIEW GARDEN ,30,23/12/2020,4.3,301,435,14286,9885,3762,274
4,FLAT F 4/F BLOCK 4 RICHLAND GARDEN ,28,23/12/2020,4.25,325,467,13077,9101,2255,50
5,FLAT D 32/F TOWER 1A PHASE 1 MOUNT REGENCY,1,23/12/2020,7.56,455,-,16615,-,-,-
6,FLAT 3 3/F BLOCK B HONG KING GARDEN ,31,23/12/2020,3.6,318,436,11321,8257,7913,334
7,FLAT D 15/F BLOCK 1 NERINE COVE ,20,23/12/2020,6.3,522,709,12069,8886,1617,42
8,FLAT 6 8/F SIU YAN HOUSE (BLOCK G) SIU HONG COURT ,38,23/12/2020,4.85,483,588,10041,8248,-,
9,FLAT A 14/F VICTORY BUILDING  ,36,23/12/2020,3.38,283,421,11943,8029,1094,9
10,FLAT D 11/F BLOCK 4 LUNG MUN OASIS ,22,23/12/2020,3.6,-,576,-,6250,-,
11,FLAT H 35/F BLOCK 1 KINGSTON TERRACE ,18,23/12/2020,4.58,527,662,8691,6918,-,
12,FLAT B 33/F PROSPERLAND HOUSE (BLOCK 1) AFFLUENCE GARDEN ,31,23/12/2020,4.53,462,515,9805,8796,-,
13,FLAT F 27/F TOWER 11 PHASE 2 TAI HING GARDENS,26,23/12/2020,6.3,544,704,11581,8949,6761,445
14,FLAT A 16/F BLOCK 1 MARINA GARDEN ,29,23/12/2020,5.78,474,640,12194,9031,3654,186
15,FLAT H 16/F BLOCK 2 NERINE COVE ,20,23/12/2020,9.78,840,1123,11643,8709,7219,221
16,FLAT C 33/F TOWER 1 PHASE 2 TAI HING GARDENS,26,23/12/2020,5.41,447,583,12103,9280,2300,66
17,FLAT H 23/F BLOCK 2 WALDORF GARDEN ,38,22/12/2020,4.76,414,507,11498,9389,5695,453
18,FLAT F 26/F BLOCK 12 GLORIOUS GARDEN ,21,22/12/2020,4.08,484,567,8430,7196,-,
19,FLAT G 23/F TOWER 2 MIAMI BEACH TOWERS ,29,22/12/2020,5.62,450,580,12484,9686,1938,32
20,BLOCK 6 1/F BLOCK 6 FORTRESS GARDEN ,0,22/12/2020,4,-,-,-,-,-,
21,FLAT SE 6/F 2GETHER  ,3,22/12/2020,4.68,263,-,17795,-,1496,27
22,FLAT E 28/F BLOCK 2 VENICE GARDENS ,27,22/12/2020,5.23,457,603,11444,8673,4239,305
23,FLAT E 18/F TOWER 1 MIAMI BEACH TOWERS ,29,22/12/2020,6.2,438,567,14155,10935,1203,24
24,FLAT G 24/F BLOCK 7 PARKLAND VILLAS  (with roof),20,22/12/2020,5.58,381,555,14646,10054,7168,336
25,FLAT F 6/F BLOCK 3 WALDORF GARDEN ,38,22/12/2020,4.42,408,502,10833,8805,2296,51
26,FLAT C 22/F TOWER 1 PHASE 1 CENTURY GATEWAY,8,22/12/2020,10,619,817,16155,12240,1238,17
27,FLAT B 9/F LOK HANG YUEN (BLOCK 4) CHI LOK FA YUEN ,39,22/12/2020,4.33,449,517,9644,8375,-,
28,FLAT H 11/F BLOCK 1 PHASE 2 TUEN MUN TOWN PLAZA,32,21/12/2020,4.6,342,456,13450,10088,1979,26
29,FLAT H 24/F BLOCK 1 BLOSSOM GARDEN ,27,21/12/2020,5.6,480,590,11667,9492,3979,269
30,FLAT 9 6/F SIU PONG COURT  ,29,21/12/2020,3.74,375,494,9968,7567,-,
31,FLAT C 15/F BLOCK 6 PHASE 2 CHELSEA HEIGHTS,20,21/12/2020,9.38,706,925,13286,10141,7926,190
32,FLAT E 21/F TOWER 4 PHASE 2 TAI HING GARDENS,26,21/12/2020,5.45,475,625,11474,8720,6476,506
33,FLAT K 19/F BLOCK 3 PHASE 1 TUEN MUN TOWN PLAZA,33,21/12/2020,5.35,393,549,13613,9745,1978,19
34,FLAT G 7/F BLOCK 1 PARKLAND VILLAS ,20,21/12/2020,6.11,499,715,12240,8543,5302,373
35,FLAT J 21/F BLOCK 3 PRIME VIEW GARDEN ,35,21/12/2020,4.35,405,466,10741,9335,-,
36,FLAT D 9/F LAI BO BUILDING  ,38,21/12/2020,3.35,238,333,14076,10060,2565,93
37,FLAT B 18/F BLOCK 5 BENEVILLE ,16,21/12/2020,7.6,614,796,12378,9548,3090,112
38,FLAT F 18/F BLOCK 9 SUN TUEN MUN CENTRE ,30,21/12/2020,5.4,455,547,11868,9872,1542,59
39,FLAT H 36/F BLOCK 6 NERINE COVE ,20,21/12/2020,6.75,524,706,12882,9561,2120,32
40,FLAT 5 33/F SAN SHUN HOUSE (BLOCK B) SAN WAI COURT ,31,21/12/2020,4,401,514,9975,7782,-,
41,FLAT D 8/F BLOCK 4 PHASE 1 TUEN MUN TOWN PLAZA,33,18/12/2020,5.05,349,492,14470,10264,1137,11
42,FLAT B 26/F BLOCK 2 MARINA GARDEN ,29,18/12/2020,6.9,646,865,10681,7977,4858,295
43,FLAT 9 16/F SIU PONG COURT  ,29,18/12/2020,3.8,375,494,10133,7692,-,
44,FLAT E 17/F BLOCK 4 PARKLAND VILLAS ,20,18/12/2020,5.3,389,572,13625,9266,3104,124
45,FLAT C 11/F BLOCK 6 VILLA TIARA ,23,18/12/2020,7.94,660,783,12027,10138,1498,32
46,FLAT 6 1/F ON HEI HOUSE (BLOCK A) SIU HEI COURT ,35,18/12/2020,3.9,415,567,9398,6878,-,
47,FLAT A 29/F BLOCK 6 PHASE 2 CHELSEA HEIGHTS,20,18/12/2020,7.1,525,680,13524,10441,1260,18
48,FLAT B 7/F TOWER 11 THE SHERWOOD ,15,18/12/2020,5.21,450,599,11578,8698,4991,224
49,FLAT 8 2/F TING YAU HOUSE (BLOCK B) SIU ON COURT ,38,18/12/2020,4.54,563,672,8060,6753,-,
