,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT G 65/F TOWER 15 PHASE 4 CRYSTAL COVE CARIBBEAN COAST,14,23/12/2020,8.88,757,1025,11731,8663,4808,188
1,FLAT H 21/F TOWER 11 PHASE 3 CARMEL COVE CARIBBEAN COAST,15,23/12/2020,9.57,927,1228,10324,7793,5809,134
2,FLAT 7 12/F TOWER 5B PHASE 1 CENTURY LINK,4,23/12/2020,5.45,378,-,14418,-,2146,34
3,FLAT C 47/F TOWER 1 PHASE 1 MONTEREY COVE CARIBBEAN COAST,18,23/12/2020,6.54,520,690,12573,9475,3097,74
4,FLAT F 36/F TOWER 16 PHASE 4 CRYSTAL COVE CARIBBEAN COAST,14,22/12/2020,6.99,563,749,12416,9332,4134,191
5,FLAT A 21/F TOWER 15 PHASE 4 CRYSTAL COVE CARIBBEAN COAST,14,22/12/2020,9.35,912,1220,10254,7666,1348,15
6,FLAT 5 19/F BLOCK B YU TAI COURT ,0,22/12/2020,1.39,-,-,-,-,-,-
7,FLAT 4 39/F BLOCK A YU TAI COURT ,0,22/12/2020,1.53,-,-,-,-,-,-
8,FLAT 3 28/F BLOCK A YU TAI COURT ,0,22/12/2020,1.5,-,-,-,-,-,-
9,FLAT E 46/F BLOCK 5 PHASE 1 COASTAL SKYLINE,18,21/12/2020,6.9,492,648,14024,10648,1723,35
10,FLAT F 28/F TOWER 10 THE VISIONARY ,5,21/12/2020,6.41,-,-,-,-,2554,76
11,FLAT E 31/F BLOCK 2 SEAVIEW CRESCENT ,18,21/12/2020,6.77,516,689,13120,9826,1873,33
12,FLAT 2 10/F TIN LEE COURT  ,0,21/12/2020,2.71,485,-,5594,-,-,
13,FLAT B 16/F BLOCK 2 PHASE 1 TUNG CHUNG CRESCENT,21,21/12/2020,6.8,536,734,12687,9264,7897,200
14,FLAT C 22/F BLOCK 5 SEAVIEW CRESCENT ,18,18/12/2020,6.8,531,738,12806,9214,4281,235
15,FLAT 3 22/F TOWER 3B PHASE 1 CENTURY LINK,4,18/12/2020,6.37,471,-,13524,-,2156,28
16,FLAT B 37/F BLOCK 1 PHASE 1 COASTAL SKYLINE,18,18/12/2020,11,911,1220,12075,9016,3050,43
17,FLAT 10 5/F TOWER 1B PHASE 2 CENTURY LINK,4,18/12/2020,5.45,379,-,14380,-,1907,28
18,FLAT C 36/F TOWER 8 PHASE 2 ALBANY COVE CARIBBEAN COAST,16,18/12/2020,6.73,548,729,12281,9232,4791,251
19,FLAT G 26/F LA ROSSA A (TOWER 7) PHASE 3 LA ROSSA COASTAL SKYLINE,14,18/12/2020,6.35,441,595,14399,10672,4692,195
20,FLAT E 6/F BLOCK 2 PHASE 4 LE BLEU DEUX COASTAL SKYLINE,13,18/12/2020,7.42,547,720,13561,10303,1329,12
21,FLAT C 21/F TOWER 9 THE VISIONARY ,5,18/12/2020,8.43,670,-,12582,-,2086,48
22,FLAT 4 17/F BLOCK A YU TAI COURT ,0,18/12/2020,1.45,-,-,-,-,-,-
23,FLAT 16 23/F BLOCK A YU TAI COURT ,0,18/12/2020,2.01,-,-,-,-,-,
24,FLAT 7 17/F TOWER 6A PHASE 1 CENTURY LINK,4,17/12/2020,6.86,483,-,14203,-,2142,25
25,FLAT H 48/F TOWER 2 PHASE 1 MONTEREY COVE CARIBBEAN COAST,18,17/12/2020,9.7,987,1295,9828,7490,6982,205
26,FLAT F 63/F TOWER 9 PHASE 3 CARMEL COVE CARIBBEAN COAST,15,17/12/2020,6.88,565,749,12177,9186,1326,15
27,FLAT F 37/F BLOCK 6 PHASE 2 TUNG CHUNG CRESCENT,21,17/12/2020,7.4,607,822,12191,9002,7142,211
28,FLAT 8 18/F BLOCK B YU TAI COURT ,0,17/12/2020,2.25,-,-,-,-,-,-
29,HOUSE 3 NO. 3 HOUSE 3 BOTANICA BAY ,7,16/12/2020,100,4465,-,22396,-,1746,-7
30,FLAT C 55/F LA ROSSA B (TOWER 8) PHASE 3 LA ROSSA COASTAL SKYLINE,14,16/12/2020,10.85,879,1173,12344,9250,5108,135
31,FLAT F 26/F BLOCK 3 SEAVIEW CRESCENT ,18,16/12/2020,6.86,531,738,12919,9295,2104,37
32,FLAT 7 1/F TOWER 2B PHASE 2 CENTURY LINK,4,16/12/2020,6.45,432,-,14931,-,1907,22
33,FLAT 3 7/F TOWER 5B PHASE 1 CENTURY LINK,4,16/12/2020,5.65,408,-,13848,-,2156,35
34,FLAT E 29/F TOWER 2 PHASE 1 MONTEREY COVE CARIBBEAN COAST,18,16/12/2020,6.28,520,716,12077,8771,3971,185
35,FLAT C 33/F BLOCK 1 PHASE 1 TUNG CHUNG CRESCENT,22,16/12/2020,8.4,803,1090,10461,7706,6185,286
36,FLAT E 17/F TOWER 10 PHASE 3 CARMEL COVE CARIBBEAN COAST,15,15/12/2020,6.5,544,735,11949,8844,3810,151
37,FLAT F 19/F BLOCK 2 SEAVIEW CRESCENT ,18,15/12/2020,6.57,508,698,12933,9413,1145,10
