,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT D 22/F BLOCK 2 SUN YUEN LONG CENTRE ,27,23/12/2020,6.9,485,599,14227,11519,2708,61
1,FLAT F 27/F TOWER 1 THE REACH ,7,23/12/2020,5.3,356,493,14888,10751,1675,41
2,FLAT D 9/F TOWER 5 PHASE 2 GRAND YOHO,3,23/12/2020,13.46,788,-,17083,-,-,-
3,FLAT G 21/F TOWER 3 PHASE 2 GRAND YOHO,3,23/12/2020,9.23,538,-,17162,-,-,-
4,FLAT A 16/F TOWER 19 PHASE 2A PARK YOHO GENOVA PARK VISTA (with roof),3,23/12/2020,28.35,1492,-,19003,-,-,-
5,FLAT E 3/F ON GA BUILDING  ,41,23/12/2020,3.62,300,-,12067,-,1210,29
6,FLAT H 25/F TOWER 1 THE SPECTRA ,3,23/12/2020,7.28,481,-,15135,-,1533,10
7,FLAT G 1/F TOWER 3 YUCCIE SQUARE ,4,23/12/2020,6.63,429,-,15455,-,1819,30
8,FLAT C 12/F TOWER 2 TWIN REGENCY ,3,23/12/2020,7,488,-,14344,-,1706,18
9,FLAT A 3/F YEE HONG BUILDING  ,28,23/12/2020,4.25,358,429,11872,9907,4385,372
10,FLAT F 43/F TOWER 2 PHASE 1 GRAND YOHO,4,23/12/2020,9,616,-,14610,-,1522,-12
11,FLAT 1 17/F BLOCK B HOP YICK PLAZA ,23,23/12/2020,7.5,844,1183,8886,6340,4031,84
12,FLAT G 15/F TOWER 10 PARK SIGNATURE ,6,22/12/2020,4.45,307,-,14495,-,1113,4
13,FLAT C 21/F FORTUNE CENTRE  ,37,22/12/2020,4.28,341,485,12551,8825,-,
14,FLAT I 4/F SHUN FAT BUILDING (MANSION)  ,46,22/12/2020,3.32,492,-,6748,-,2288,25
15,FLAT G 11/F TOWER 3 THE SPECTRA ,3,22/12/2020,9.52,719,-,13241,-,1548,12
16,FLAT D 19/F TOWER 8 PHASE 2 GRAND YOHO,3,22/12/2020,8.98,534,-,16821,-,-,-
17,FLAT D 7/F TOWER 5 PHASE 2 GRAND YOHO,3,22/12/2020,13.44,788,-,17053,-,-,-
18,FLAT D 8/F TOWER 5 PHASE 2 GRAND YOHO,3,22/12/2020,13.22,788,-,16781,-,-,-
19,FLAT D 40/F TOWER 8 PHASE 2 GRAND YOHO,3,22/12/2020,9.38,532,-,17632,-,1411,14
20,FLAT F 12/F KAM FAI BUILDING  ,39,22/12/2020,3.9,411,461,9489,8460,-,
21,FLAT B 16/F TOWER 7 PARK SIGNATURE ,6,22/12/2020,5.85,460,-,12717,-,2146,67
22,FLAT M 11/F TOWER 1 TWIN REGENCY ,3,22/12/2020,5.65,398,-,14196,-,1694,30
23,FLAT A 2/F FERENTINO BOULEVARD TOWER 5 RIVA ,7,22/12/2020,10,864,1113,11574,8985,2368,19
24,FLAT H 9/F TOWER 7 THE PARCVILLE ,18,22/12/2020,5.7,460,609,12391,9360,2173,31
25,FLAT 15 21/F HOR PING HOUSE LONG PING ESTATE ,32,21/12/2020,1.74,349,-,4980,-,-,
26,FLAT G 25/F TOWER 11 THE REACH ,7,21/12/2020,7.28,659,899,11047,8098,2873,13
27,HOUSE 2 2/F HOUSE 2 PRESTIGE  (with roof),0,21/12/2020,7,-,-,-,-,-,
28,FLAT D 12/F BLOCK 5 VILLA BY THE PARK ,18,21/12/2020,5.68,424,565,13396,10053,1174,12
29,FLAT D 4/F HO CHOI BUILDING  ,40,21/12/2020,3.1,268,374,11567,8289,-,
30,FLAT F 10/F BLOCK 2 CRYSTAL PARK ,25,21/12/2020,5.8,479,609,12109,9524,4149,287
31,FLAT D 9/F TOWER 17 PHASE 2A PARK YOHO GENOVA PARK VISTA,3,21/12/2020,7.65,587,-,13032,-,1147,5
32,FLAT A 11/F HELORUS BOULEVARD TOWER 6B RIVA ,7,21/12/2020,8.95,765,965,11699,9275,2437,35
33,FLAT H 8/F TOWER 7 THE PARCVILLE ,18,18/12/2020,6.18,460,609,13435,10148,2459,72
34,FLAT C 8/F TOWER 5 UPTOWN ,9,18/12/2020,6.58,757,992,8692,6633,3508,39
35,FLAT D 6/F TOWER 1B PHASE 1C PARK YOHO SICILIA PARK VISTA,5,18/12/2020,4.37,326,-,13390,-,1593,28
36,FLAT B 15/F TOWER 3 PHASE 2 GRAND YOHO,3,18/12/2020,10.81,634,-,17050,-,-,-
37,FLAT F 7/F TOWER 1 LAI HUNG GARDEN ,26,18/12/2020,4,339,430,11799,9302,1192,14
38,FLAT A 37/F TOWER 8 PHASE 2 GRAND YOHO,3,18/12/2020,13.43,713,-,18836,-,-,-
39,FLAT A 18/F TOWER 12 PHASE 2A PARK YOHO GENOVA PARK VISTA (with roof),3,18/12/2020,22.46,1207,-,18606,-,-,-
40,FLAT F 17/F TOWER 9 PARK SIGNATURE ,6,18/12/2020,4.35,301,-,14452,-,1921,9
41,FLAT E 6/F TOWER 15 THE PARCVILLE ,18,18/12/2020,5.97,460,609,12978,9803,4116,232
42,FLAT J 29/F TOWER 5 YUCCIE SQUARE ,4,18/12/2020,6.64,422,-,15730,-,1827,16
43,FLAT F 31/F BLOCK M7 PHASE 2 YOHO MIDTOWN YOHO TOWN,10,18/12/2020,10.5,691,897,15195,11706,3931,103
44,FLAT G 17/F HO SHUN FUK (FOOK) BUILDING  ,32,18/12/2020,3.85,274,365,14051,10548,1224,24
45,FLAT D 12/F TOWER 8 PHASE 2 GRAND YOHO,3,18/12/2020,8.82,534,-,16521,-,-,-
46,FLAT D 2/F BLOCK 6 GRAND DEL SOL ,23,18/12/2020,6.25,573,682,10908,9164,1294,20
47,FLAT B 26/F TOWER 5 PHASE 2 GRAND YOHO,3,18/12/2020,14.91,723,-,20616,-,-,-
48,FLAT E 27/F TOWER 3 THE REACH ,7,18/12/2020,5.1,356,492,14326,10366,1485,31
49,FLAT G 13/F BLOCK 8 PHASE 1 YOHO TOWN,16,18/12/2020,8.22,545,704,15079,11673,6351,458
50,FLAT A1 1/F PHASE 2 HING FOOK (HANG FUK) BUILDING ,44,18/12/2020,2.97,313,-,9482,-,4697,371
51,FLAT D 3/F BLOCK 10 JASPER COURT ,24,18/12/2020,6.8,820,888,8293,7658,3269,134
52,FLAT F 32/F BLOCK M9 PHASE 2 YOHO MIDTOWN YOHO TOWN,10,18/12/2020,8,534,687,14981,11645,3929,109
53,FLAT E 19/F TOWER 9 PHASE 1 GRAND YOHO,4,18/12/2020,9.65,592,-,16301,-,1527,18
