Year,Month ,Composite_Consumer_Price_Index
2017,Jan,103.8
,Feb,103.7
,Mar,103.9
,Apr,104.5
,May,104.3
,Jun,104.3
,Jul,104.7
,Aug,104.8
,Sep,104.6
,Oct,104.9
,Nov,105.2
,Dec,105.6
2018,Jan,105.5
,Feb,106.9
,Mar,106.6
,Apr,106.5
,May,106.5
,Jun,106.8
,Jul,107.2
,Aug,107.2
,Sep,107.4
,Oct,107.7
,Nov,107.9
,Dec,108.3
2019,Jan,108.1
,Feb,109.1
,Mar,108.8
,Apr,109.6
,May,109.5
,Jun,110.2
,Jul,110.7
,Aug,110.9
,Sep,110.9
,Oct,111
,Nov,111.1
,Dec,111.4
2020,Jan,109.6
,Feb,111.5
,Mar,111.3
,Apr,111.6
,May,111.1
,Jun,111
,Jul,108.2
,Aug,110.4
,Sep,108.4
,Oct,110.9
,Nov,110.9
