Year,Month ,Imports,Total_exports
2017,Jan,308643,296299
,Feb,297978,241707
,Mar,364163,321895
,Apr,339520,305389
,May,338753,303105
,Jun,377684,329406
,Jul,356190,326589
,Aug,368190,332663
,Sep,403413,358705
,Oct,378694,334735
,Nov,407129,367423
,Dec,420586,360688
2018,Jan,381971,350046
,Feb,288476,245744
,Mar,403236,347732
,Apr,377173,330224
,May,394618,351368
,Jun,394471,340334
,Jul,406234,359125
,Aug,428452,376303
,Sep,422676,374961
,Oct,428142,383651
,Nov,409284,364320
,Dec,391187,339938
2019,Jan,359000,348701
,Feb,277508,228674
,Mar,402883,343641
,Apr,356609,321517
,May,377774,343065
,Jun,364794,309607
,Jul,370790,338618
,Aug,380777,352727
,Sep,379325,347685
,Oct,379118,348528
,Nov,385438,359270
,Dec,383773,351276
2020,Jan,299991,269396
,Feb,277108,238558
,Mar,358354,323647
,Apr,332799,309462
,May,331341,317610
,Jun,338949,305608
,Jul,358282,328466
,Aug,359110,344484
,Sep,392042,379348
,Oct,381413,344657
,Nov,405177,379568
