Year,Month ,12_months ,Savings_deposit_rate ,Best_Lending_Rate
2017,Jan,0.15,0.01,5
,Feb,0.15,0.01,5
,Mar,0.15,0.01,5
,Apr,0.15,0.01,5
,May,0.15,0.01,5
,Jun,0.15,0.01,5
,Jul,0.15,0.01,5
,Aug,0.15,0.01,5
,Sep,0.15,0.01,5
,Oct,0.15,0.01,5
,Nov,0.15,0.01,5
,Dec,0.15,0.01,5
2018,Jan,0.15,0.01,5
,Feb,0.15,0.01,5
,Mar,0.15,0.01,5
,Apr,0.15,0.01,5
,May,0.15,0.01,5
,Jun,0.15,0.01,5
,Jul,0.16,0.01,5
,Aug,0.17,0.01,5
,Sep,0.17,0.02,5.01
,Oct,0.33,0.12,5.13
,Nov,0.33,0.13,5.13
,Dec,0.33,0.13,5.13
2019,Jan,0.33,0.13,5.13
,Feb,0.33,0.13,5.13
,Mar,0.33,0.13,5.13
,Apr,0.33,0.13,5.13
,May,0.33,0.13,5.13
,Jun,0.33,0.13,5.13
,Jul,0.33,0.13,5.13
,Aug,0.33,0.13,5.13
,Sep,0.33,0.13,5.13
,Oct,0.33,0.13,5.13
,Nov,0.33,0.02,5
,Dec,0.31,0.002,5
2020,Jan,0.31,0.001,5
,Feb,0.31,0.001,5
,Mar,0.29,0.001,5
,Apr,0.23,0.001,5
,May,0.21,0.001,5
,Jun,0.18,0.001,5
,Jul,0.17,0.001,5
,Aug,0.16,0.001,5
,Sep,0.16,0.001,5
,Oct,0.16,0.001,5
,Nov,0.14,0.001,5
