,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,South Coast,South Coast,2016-11-04,H,1,,23,C,0,254,5330000,2021-01-06,2016-11-14,5208000,2.34,22.249364999999997,114.14948
1,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Jumbo Building,Jumbo Building,1988-05-14,M,2,,,B,442,310,4800000,2021-01-06,2007-07-16,1320000,263.64,22.249475,114.154884
2,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Jumbo Court,Jumbo Court,1979-05-28,L,2,,6,J,0,413,6650000,2021-01-06,2010-01-05,2000000,232.5,22.24591,114.16466
3,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Aberdeen Centre,Kong Hing Court (Block J),1981-12-01,M,2,2,17,6,534,448,6580000,2021-01-05,1996-12-05,1965000,234.86,22.249229,114.153749
4,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Aberdeen Centre,Hoi Chu Court (Block B),1979-12-15,H,2,2,23,1,529,438,6900000,2021-01-05,2008-07-25,2488000,177.33,22.248476999999998,114.154547
5,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Kam Fung Building,Kam Fung Building,1986-04-30,,2,,31,B,569,450,7080000,2021-01-05,1997-02-11,2600000,172.31,22.248493,114.15546
6,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Aberdeen Centre,Mei Fai Court (Block Q),1981-05-01,H,3,2,27,2,823,662,9500000,2021-01-04,2010-08-04,5043000,88.38,22.24833,114.153216
7,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Aberdeen Centre,Hoi Wu Court,1979-12-15,,2,2,,2,529,438,5780000,2020-12-31,,0,0.0,22.248768,114.15443
8,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,May Court,May Court,1996-11-09,L,2,,5,A,485,278,4920000,2020-12-31,2012-03-15,2520000,95.24,22.247571999999998,114.156193
9,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Marinella,Carpark,,,,,,CP11,1383,4432,36000000,2020-12-30,,0,0.0,22.245919999999998,114.16424
10,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Sze Hei Building,Sze Hei Building,1975-05-06,,,,,B,0,316,4950000,2020-12-30,,0,0.0,22.248901,114.148926
11,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Aberdeen Centre,Hoi Chu Court,1979-12-15,H,2,2,,2,529,438,6620000,2020-12-30,,0,0.0,22.248476999999998,114.154547
12,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Jumbo Building,Jumbo Building,1988-05-14,L,3,,6,D,0,396,5690000,2020-12-30,,0,0.0,22.249475,114.154884
13,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Ocean House,Ocean House,1984-01-31,L,,,5,A,0,377,5300000,2020-12-29,,0,0.0,22.247906,114.15622
14,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Jing Hui Garden,Block 1 (Mid),1989-02-24,M,3,,10,D,0,478,6780000,2020-12-29,2016-11-04,5400000,25.560000000000002,22.248085,114.15924
15,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Comfort Centre,Comfort Centre,1992-08-07,L,2,,4,F,519,386,5980000,2020-12-29,,0,0.0,22.248713,114.156154
16,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,World Fair Court,World Fair Court,1978-03-21,M,,,17,A,0,563,6650000,2020-12-28,,0,0.0,22.252602,114.139046
17,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Aberdeen Centre,Kong Shing Court,1982-01-07,H,2,2,,6,547,448,6500000,2020-12-24,2005-04-23,1850000,251.35,22.249378,114.154034
18,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Wah Kwai Estate,Wah Lim House ( Block 3 ),1990-11-01,M,,,,6,702,544,3650000,2020-12-23,,0,0.0,22.250576,114.13976
19,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Jing Hui Garden,Block 1 (Mid),1989-02-24,H,2,,20,C,0,406,5700000,2020-12-23,,0,0.0,22.248085,114.15924
20,Hong Kong Island,Southern,Aberdeen / Wong Chuk Hang,Broadview Court,Block 1,2001-07-27,M,,,21,F,505,422,5600000,2020-12-23,2001-03-31,1088600,414.42,22.2431849,114.164671
