,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 33A,1995-03-28,L,2,2,9,B,679,543,8300000,2021-01-06,2007-07-12,2480000,234.68,22.242949,114.149127
1,Hong Kong Island,Southern,Ap Lei Chau,Larvotto,Block 5,2010-12-07,L,1,,16,B,1453,1161,25000000,2021-01-06,2013-01-15,22800000,9.65,22.2401056,114.1598194
2,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 11,1992-10-30,M,3,2,16,B,804,642,9000000,2021-01-06,,0,0.0,22.2443977,114.1458484
3,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 1,1991-11-22,M,3,2,17,D,773,636,9980000,2021-01-06,,0,0.0,22.2450645,114.1479085
4,Hong Kong Island,Southern,Ap Lei Chau,Sham Wan Towers,Tower 1,2004-03-31,L,2,,17,E,643,480,8800000,2021-01-05,2004-02-20,2480000,254.84,22.243688,114.1585426
5,Hong Kong Island,Southern,Ap Lei Chau,132 Main Street Ap Lei Chau,132 Main Street Ap Lei Chau,1966-06-07,L,,,3,C,0,443,4800000,2021-01-05,,0,0.0,22.243616,114.154076
6,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 13A,1993-07-27,L,3,2,6,G,1105,882,16850000,2021-01-05,2014-01-16,12200000,38.11,22.2432673,114.1457484
7,Hong Kong Island,Southern,Ap Lei Chau,Sham Wan Towers,Tower 2,2004-03-31,,3,,,H,782,586,12300000,2021-01-04,,0,0.0,22.243838999999998,114.1588344
8,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 12,1992-10-30,M,3,2,22,B,769,630,9880000,2020-12-31,2011-07-04,6198000,59.410000000000004,22.2440057,114.1457408
9,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 23,1994-02-02,H,2,2,39,A,746,590,9800000,2020-12-30,2001-03-27,2720000,260.29,22.2420376,114.1486005
10,Hong Kong Island,Southern,Ap Lei Chau,Larvotto,Block 10,2010-12-07,M,1,,17,C,591,462,8838000,2020-12-30,2010-09-06,6765000,30.64,22.241021,114.1588924
11,Hong Kong Island,Southern,Ap Lei Chau,Yue On Court,Shan On Huse,1988-10-27,H,2,2,,6,575,469,6900000,2020-12-30,,0,0.0,22.242988,114.1574865
12,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 22,1994-02-02,L,3,2,4,C,747,581,9590000,2020-12-30,1997-07-12,5450000,75.96000000000001,22.2419755,114.1481886
13,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 13,1992-10-30,H,3,2,30,C,769,630,9800000,2020-12-30,2005-07-02,3330000,194.29,22.2436579,114.1456696
14,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 26,1995-03-28,H,3,2,,E,922,736,12500000,2020-12-30,2006-02-16,4250000,194.12,22.242691999999998,114.149747
15,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 13A,1993-07-27,L,3,2,6,D,776,623,9920000,2020-12-29,1997-09-27,5185000,91.32000000000001,22.2432673,114.1457484
16,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 7,1992-10-30,H,3,2,38,C,823,656,10000000,2020-12-29,2007-08-20,3260000,206.75,22.244659,114.1453452
17,Hong Kong Island,Southern,Ap Lei Chau,Marina South,Tower 2,2016-06-06,M,4,,20,A,0,1907,68000000,2020-12-29,,0,0.0,22.243147,114.15893
18,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 30,1994-12-19,M,3,2,,H,856,687,10000000,2020-12-28,2001-02-01,2930000,241.3,22.2438984,114.149745
19,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 17,1993-12-20,M,3,2,17,F,1121,888,16000000,2020-12-24,2007-12-04,7430000,115.34,22.2427771,114.1475341
20,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 17,1993-12-20,H,3,2,37,A,808,633,10565000,2020-12-24,2002-09-02,2430000,334.77,22.2427771,114.1475341
21,Hong Kong Island,Southern,Ap Lei Chau,Hoi Lee Building,Hoi Lee Building,1991-09-20,L,2,,8,D,402,290,5380000,2020-12-24,,0,0.0,22.244148,114.15621
22,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 21,1993-12-20,M,4,2,24,H,1107,879,16200000,2020-12-23,2007-05-02,6050000,167.77,22.2420466,114.1477794
23,Hong Kong Island,Southern,Ap Lei Chau,Lei Tung Estate,Tung Yip House,1987-01-01,M,,,23,7,531,381,2900000,2020-12-23,,0,0.0,22.241032,114.15448
24,Hong Kong Island,Southern,Ap Lei Chau,Yue On Court,Block B ( Choi On House ),1988-08-11,H,2,2,35,5,604,493,6750000,2020-12-22,,0,0.0,22.2429925,114.156682
25,Hong Kong Island,Southern,Ap Lei Chau,Lei Tung Estate,Tung Yat House,1988-07-01,H,,,27,7,531,381,3450000,2020-12-22,,0,0.0,22.240880999999998,114.15788
26,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 1,1991-11-22,L,2,2,11,F,636,532,8700000,2020-12-21,2006-09-06,2200000,295.45,22.2450645,114.1479085
27,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 12,1992-10-30,M,3,2,,D,798,633,9980000,2020-12-21,,0,0.0,22.2440057,114.1457408
28,Hong Kong Island,Southern,Ap Lei Chau,Hung Fook Court,Hung Fook Court,1992-03-20,M,2,,9,B,464,300,5200000,2020-12-21,2016-09-29,3980000,30.650000000000002,22.244448,114.15614
29,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 31,1994-12-19,L,3,2,4,G,855,686,10000000,2020-12-18,2010-03-23,4500000,122.22,22.243979,114.149366
30,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 1,1991-11-22,M,2,2,20,H,652,529,9000000,2020-12-18,2012-07-13,5350000,68.22,22.2450645,114.1479085
31,Hong Kong Island,Southern,Ap Lei Chau,Billion Court,Billion Court,1990-10-25,M,2,,16,E,486,386,6000000,2020-12-18,2011-08-03,2000000,200.0,22.243327999999998,114.15398
32,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 21,1993-12-20,H,4,2,27,H,1107,879,16680000,2020-12-18,2014-03-14,5900000,182.71,22.2420466,114.1477794
33,Hong Kong Island,Southern,Ap Lei Chau,Lei Tung Estate,Tung On House,1988-06-01,L,,,8,13,682,490,3668000,2020-12-17,,0,0.0,22.24074,114.15705
34,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 29,1994-12-19,M,2,2,15,A,679,545,8400000,2020-12-17,2015-03-03,6780000,23.89,22.2438285,114.150134
35,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 21,1993-12-20,H,4,2,28,G,1100,886,16600000,2020-12-17,2008-07-11,8200000,102.44,22.2420466,114.1477794
36,Hong Kong Island,Southern,Ap Lei Chau,Larvotto,Block 8,2010-12-07,H,2,,32,C,771,596,13000000,2020-12-17,2017-09-01,11500000,13.040000000000001,22.2407035,114.159235
37,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 5,1991-11-22,H,3,2,27,F,748,610,10000000,2020-12-16,1997-09-06,5390000,85.53,22.244802,114.14662799999999
38,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 1,1991-11-22,M,3,2,27,B,776,629,11000000,2020-12-16,2010-01-07,4688000,134.64000000000001,22.2450645,114.1479085
39,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 12,1992-10-30,M,3,2,14,A,798,633,10300000,2020-12-16,2003-12-01,2300000,347.83,22.2440057,114.1457408
40,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 1,1991-11-22,M,3,2,19,A,787,631,10950000,2020-12-15,2014-10-06,8070000,35.69,22.2450645,114.1479085
41,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 1,1991-11-22,M,3,2,21,C,776,629,10000000,2020-12-15,2003-02-12,1980000,405.05,22.2450645,114.1479085
42,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 23A,1994-02-02,H,4,2,29,G,982,771,14600000,2020-12-15,,0,0.0,22.2421665,114.148985
43,Hong Kong Island,Southern,Ap Lei Chau,Sham Wan Towers,Tower 3,2004-03-31,L,2,,8,C,670,511,9480000,2020-12-14,2007-08-27,3390000,179.65,22.2439984,114.159126
44,Hong Kong Island,Southern,Ap Lei Chau,Sham Wan Towers,Tower 1,2004-03-31,H,2,,39,E,643,483,8980000,2020-12-14,2012-03-26,5150000,74.37,22.243688,114.1585426
45,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 27,1995-03-28,H,2,2,26,D,654,519,8700000,2020-12-11,2010-10-25,4000000,117.5,22.24298,114.150113
46,Hong Kong Island,Southern,Ap Lei Chau,Sham Wan Towers,Tower 1,2004-03-31,L,2,,12,H,649,479,6600000,2020-12-11,2017-12-14,5800000,13.790000000000001,22.243688,114.1585426
47,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 26,1995-03-28,H,2,2,29,B,667,516,8760000,2020-12-10,2000-12-14,2450000,257.55,22.242691999999998,114.149747
48,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 15,1993-07-27,M,3,2,26,A,776,623,10338000,2020-12-10,2009-06-16,3780000,173.49,22.2431821,114.1461238
49,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 33A,1995-03-28,H,2,2,28,C,679,543,7500000,2020-12-10,1999-10-06,3108000,141.31,22.242949,114.149127
50,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 13,1992-10-30,H,3,2,25,B,769,630,10600000,2020-12-10,2007-10-29,3520000,201.14000000000001,22.2436579,114.1456696
51,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 6,1992-03-31,H,4,2,26,D,866,721,11200000,2020-12-10,,0,0.0,22.244736,114.146274
52,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 13,1992-10-30,H,3,2,32,E,798,633,9800000,2020-12-09,2008-01-21,4150000,136.14000000000001,22.2436579,114.1456696
53,Hong Kong Island,Southern,Ap Lei Chau,Sunny Court,Sunny Court,1989-06-02,L,2,,7,B,485,340,5060000,2020-12-09,2006-07-03,880000,475.0,22.243859999999998,114.15550999999999
54,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 17,1993-12-20,L,3,2,5,C,794,618,9250000,2020-12-09,,0,0.0,22.2427771,114.1475341
55,Hong Kong Island,Southern,Ap Lei Chau,Marina Habitat,Block 3,1998-05-12,M,,,25,G,561,427,7220000,2020-12-08,2012-02-09,3300000,118.79,22.244400000000002,114.15472
56,Hong Kong Island,Southern,Ap Lei Chau,Larvotto,Block 7,2010-12-07,H,3,,35,C,1013,784,17500000,2020-12-07,2016-11-14,15928000,9.870000000000001,22.240463,114.15959
57,Hong Kong Island,Southern,Ap Lei Chau,Marina Habitat,Block 3,1998-05-12,H,,,42,H,803,605,9780000,2020-12-07,2009-08-06,3450000,183.48,22.244400000000002,114.15472
58,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 19,1994-02-02,M,3,2,17,E,785,632,10550000,2020-12-07,2007-03-06,3180000,231.76,22.2427108,114.1482476
59,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 20,1994-02-02,H,3,2,33,H,785,632,11080000,2020-12-07,,0,0.0,22.2426402,114.1486364
60,Hong Kong Island,Southern,Ap Lei Chau,South Horizons,Block 17,1993-12-20,L,3,2,13,D,785,632,9880000,2020-12-07,2010-09-01,4550000,117.14,22.2427771,114.1475341
61,Hong Kong Island,Southern,Ap Lei Chau,HBonaire,HBonaire,2016-10-06,M,1,,18,B,0,320,7230000,2020-12-04,2015-06-05,6834080,5.79,22.244263,114.15565
