,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Pacific Palisades,Block 2,1991-04-08,L,0,1,3,B,712,565,10000000,2021-01-04,1996-10-23,4400000,127.27,22.287618,114.20251999999999
1,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Tempo Court,Block B,1971-03-03,M,2,2,10,F,870,753,13500000,2021-01-04,,0,0.0,22.28851,114.202263
2,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Pacific Palisades,Block 2,1991-04-08,,3,2,21,B,1016,803,15600000,2020-12-29,2015-02-17,12500000,24.8,22.287618,114.20251999999999
3,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Beverley Heights,Block 3,1979-10-02,M,3,2,10,A,870,718,10900000,2020-12-18,2003-12-18,2450000,344.90000000000003,22.286772,114.197948
4,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Braemar Hill Mansions,Block 1,1978-02-13,H,3,2,20,A,1260,1124,29000000,2020-12-18,2017-06-14,24500000,18.37,22.285356,114.200322
5,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Pacific Palisades,Block 10,1991-04-08,H,3,2,20,A,1070,843,9200000,2020-12-09,1998-02-05,9180000,0.22,22.287651999999998,114.203819
6,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Braemar Hill Mansions,Block 9,1978-02-13,M,3,2,11,A,1490,1297,32880000,2020-12-07,2000-02-10,9200000,257.39,22.286032,114.202226
7,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Braemar Hill Mansions,Block 5,1978-02-13,L,3,2,4,A,1490,1297,28300000,2020-11-30,2000-02-22,8180000,245.97,22.285134,114.201307
8,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Seaview Garden,Seaview Garden,1977-12-09,M,2,2,16,D,1037,730,15750000,2020-11-27,2015-03-10,12680000,24.21,22.285401999999998,114.19602
9,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Kingsford Gardens,Block D,1969-07-04,L,3,,1,D1,0,958,21500000,2020-11-25,,0,0.0,22.2881335,114.206034
10,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Maiden Court,Block A,1980-10-29,L,,,1,A3,0,992,15280000,2020-11-25,2012-03-28,9380000,62.9,22.286281,114.196962
11,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Sky Horizon,Block 1,2002-12-16,M,3,,28,B,1365,982,30000000,2020-11-24,2004-08-20,11800000,154.24,22.286345,114.196438
12,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Evelyn Towers,Evelyn Towers,1975-10-02,M,3,,13,J,1196,1065,22100000,2020-11-24,,0,0.0,22.284931,114.19666
13,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Braemar Hill Mansions,,,,,,,LG32,1490,1297,28300000,2020-11-24,,0,0.0,22.285673,114.20249
14,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Maiden Court,Block B,1980-10-29,M,3,,13,6,0,663,12800000,2020-11-17,,0,0.0,22.28653,114.19723
15,Hong Kong Island,Eastern,Braemar Hill / North Point Midlevel,Pacific Palisades,Block 9,1991-04-08,L,1,1,6,C,740,588,11000000,2020-11-16,2015-02-04,8600000,27.91,22.287613999999998,114.203622
