,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Yee Fung Building,Yee Fung Building,1972-09-22,L,0,,4,A,0,475,8750000,2021-01-06,2013-09-30,6400000,36.72,22.26956,114.18358
1,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Central Peak,Alpex II,,M,,,5,OR A,0,0,188000000,2021-01-05,,0,0.0,22.267329999999998,114.17961
2,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Central Peak,Alpex II,,M,,,5,OR B,0,0,176000000,2021-01-05,,0,0.0,22.267329999999998,114.17961
3,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Celeste Court,Celeste Court,1992-10-02,M,2,,,E,0,617,13950000,2021-01-05,1996-11-09,6230000,123.92,22.2675829,114.18312
4,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Central Peak,Everex II,,M,,,3,OR B,0,0,129200000,2021-01-05,,0,0.0,22.26857,114.17887999999999
5,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Winfield Gardens,Winfield Gardens,1966-11-12,L,3,,5,D,0,1169,20000000,2020-12-30,2008-06-30,10550000,89.57000000000001,22.266614999999998,114.18502
6,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Panny Court,Panny Court,1992-08-14,L,2,,5,B,582,412,7800000,2020-12-29,2007-11-09,3270000,138.53,22.268884999999997,114.1838
7,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Stubbs Villa,Stubbs Villa,1981-12-30,M,,,7,B,0,2137,42000000,2020-12-29,2012-10-10,31800000,32.08,22.2731369,114.1770315
8,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Wing On Lodge,Wing On Lodge,1984-05-02,M,3,2,3,74,1308,1170,28700000,2020-12-29,,0,0.0,22.267405999999998,114.18799
9,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Shan Kwong Towers,Shan Kwong Towers,1976-03-08,M,3,,14,F,0,615,12180000,2020-12-24,2017-09-19,10000000,21.8,22.26693,114.18486
10,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Woodland Heights,Woodland Heights,1965-06-29,L,,,4,D4,0,2547,85000000,2020-12-23,,0,0.0,22.26298,114.1848972
11,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Malibu Garden,Malibu Garden,1991-11-19,L,2,2,10,C,683,524,9800000,2020-12-21,2016-10-26,8450000,15.98,22.2675194,114.1857254
12,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,1 Happy View Terrace,1 Happy View Terrace,1956-06-25,,,,G,-,0,1340,12000000,2020-12-21,2012-11-01,26000000,-53.85,22.27471,114.18555
13,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Village Court,Block A,1985-07-31,,2,2,4,2,739,685,11950000,2020-12-18,2017-11-28,10500000,13.81,22.267014,114.18345
14,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,3 Happy View Terrace,3 Happy View Terrace,1956-07-11,,,,G,,0,1150,20732000,2020-12-17,,0,0.0,,
15,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Villa Lotto,Block D,1987-12-24,L,3,2,5,12,1211,1103,28038000,2020-12-16,2011-02-01,17000000,64.93,22.2717975,114.1866406
16,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Arts Mansion,Arts Mansion,1979-01-11,L,,,10,A,1222,1051,25000000,2020-12-15,,0,0.0,22.270563,114.185204
17,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,The Leighton Hill,Block 5,2002-03-22,M,,,22,A,2238,1724,91800000,2020-12-15,2013-04-12,63880000,43.71,22.2758419,114.1843665
18,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,The Valley View,The Valley View,1992-08-13,M,2,2,14,A,673,426,7800000,2020-12-15,1999-06-21,2680000,191.04,22.2676985,114.1862055
19,Hong Kong Island,Wan Chai,Happy Valley / Mid Level East,Greenway Terrace,Block 1,1993-01-14,L,2,2,6,B,769,532,10280000,2020-12-11,2015-02-26,8900000,15.51,22.275093,114.18528
