,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 31,1988-03-19,L,2,,,6,597,498,8250000,2021-01-07,2003-01-17,1700000,385.29,22.2786355,114.239373
1,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 17,1987-01-16,H,2,2,17,7,559,454,7790000,2021-01-06,2013-05-30,4900000,58.980000000000004,22.27698,114.237742
2,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 2,1986-09-08,H,3,2,19,3,1356,955,13350000,2021-01-05,2008-09-02,4500000,196.67000000000002,22.276747999999998,114.239164
3,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 9,1987-01-16,L,3,2,6,3,732,595,9428000,2020-12-30,2011-02-18,4000000,135.7,22.2779701,114.2381095
4,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 06,1986-09-08,H,3,2,,4,583,475,8300000,2020-12-29,2015-01-05,6350000,30.71,22.276263999999998,114.238988
5,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 26,1988-06-16,M,2,,13,3,603,499,8950000,2020-12-29,,0,0.0,22.2787285,114.239854
6,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 30,1988-03-19,H,3,,,1,739,614,9980000,2020-12-29,1997-07-17,7300000,36.71,22.279076,114.239262
7,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 11,1987-01-16,M,2,2,12,7,556,453,8000000,2020-12-28,2011-02-02,3928000,103.67,22.2784131,114.2377376
8,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 39,1988-09-30,M,2,,7,3,598,499,8200000,2020-12-21,1999-04-17,2938000,179.1,22.2774114,114.240347
9,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 34,1988-03-19,H,3,,19,6,764,653,8730000,2020-12-21,2012-07-04,6500000,34.31,22.2780835,114.239498
10,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 30,1988-03-19,H,2,,18,7,604,499,8600000,2020-12-18,2014-05-20,5900000,45.76,22.279076,114.239262
11,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 40,1989-03-07,L,2,,6,4,648,547,8238000,2020-12-18,,0,0.0,22.2778745,114.240843
12,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 47,1989-06-06,L,3,,3,2,779,659,10000000,2020-12-16,2011-11-09,6680000,49.7,22.276169,114.241293
13,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 34,1988-03-19,L,3,,6,6,751,619,9600000,2020-12-16,,0,0.0,22.2780835,114.239498
14,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 21,1987-12-02,M,2,2,12,5,578,474,7900000,2020-12-15,2003-08-21,1340000,489.55,22.278154,114.238767
15,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 13,1987-01-16,H,2,2,15,7,556,453,7600000,2020-12-10,1999-12-30,2280000,233.33,22.277703,114.2377515
16,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 37,1988-09-30,H,2,,15,2,598,499,8628000,2020-12-08,2006-11-15,2820000,205.96,22.277638,114.239943
17,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 26,1988-06-16,H,2,,18,3,603,499,8838000,2020-12-07,2017-09-08,7850000,12.59,22.2787285,114.239854
18,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 28,1988-06-16,L,3,,1,1,722,614,9960000,2020-12-07,2004-03-09,2330000,327.47,22.27917,114.23975899999999
19,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 3,1986-09-08,M,2,2,13,4,583,471,8000000,2020-12-04,2017-09-22,7310000,9.44,22.276956,114.2389824
20,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 25,1988-06-16,M,2,,10,7,597,499,8380000,2020-12-03,2009-11-24,3460000,142.20000000000002,22.2788076,114.240167
21,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 13,1987-01-16,H,2,2,15,1,583,475,7780000,2020-12-02,2011-05-27,4230000,83.92,22.277703,114.2377515
22,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 34,1988-03-19,H,3,,18,1,722,614,9930000,2020-12-02,2016-04-05,7300000,36.03,22.2780835,114.239498
23,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 1,1986-09-08,L,2,2,6,8,577,473,7880000,2020-12-01,2017-05-15,6800000,15.88,22.276035,114.2397475
24,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 3,1986-09-08,H,3,2,17,2,732,595,9880000,2020-12-01,2006-02-27,3380000,192.31,22.276956,114.2389824
25,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 33,1988-03-19,L,2,,1,6,597,499,7680000,2020-11-30,2009-08-25,2935000,161.67000000000002,22.2783604,114.23944
26,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 34,1988-03-19,H,3,,15,8,722,614,9980000,2020-11-25,2005-01-11,3080000,224.03,22.2780835,114.239498
27,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 39,1988-09-30,L,2,,2,6,609,499,7780000,2020-11-24,2016-06-01,5920000,31.42,22.2774114,114.240347
28,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 49,1989-11-10,M,3,,12,3,776,645,9930000,2020-11-23,2009-04-17,3888000,155.4,22.2754354,114.241642
29,Hong Kong Island,Eastern,Heng Fa Chuen (Chai Wan),Heng Fa Chuen,Block 49,1989-11-10,M,2,,8,5,647,547,8030000,2020-11-20,2010-11-01,3800000,111.32000000000001,22.2754354,114.241642
