,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Central And Western,Hong Kong West,Connaught Garden,Block 3,1985-11-14,L,2,,9,H,450,340,6000000,2021-01-06,1999-02-24,1750000.0,242.86,22.288424,114.14196
1,Hong Kong Island,Central And Western,Hong Kong West,TwoArtlane,TwoArtlane,,M,1,,19,E,0,252,7552710,2021-01-06,,0.0,0.0,22.287428,114.141365
2,Hong Kong Island,Central And Western,Hong Kong West,Manhattan Heights,Manhattan Heights,2000-02-03,,2,,51,J,610,450,10280000,2021-01-06,2010-04-23,4600000.0,123.48,22.283708999999998,114.127162
3,Hong Kong Island,Central And Western,Hong Kong West,Ka Fu Building,Ka Fu Building,1987-11-09,M,3,,11,C,1095,783,13579999,2021-01-06,,0.0,0.0,22.28462,114.142525
4,Hong Kong Island,Central And Western,Hong Kong West,Rex Building,Rex Building,1990-02-09,M,,,12,A,0,244,4160000,2021-01-06,2012-03-16,2200000.0,89.09,22.2854064,114.1397546
5,Hong Kong Island,Central And Western,Hong Kong West,Cadogan,Cadogan,2014-08-08,H,1,,42,C,486,378,9680000,2021-01-05,2015-11-20,10622000.0,-8.870000000000001,22.282106,114.126515
6,Hong Kong Island,Central And Western,Hong Kong West,Fook Moon Building,Fook Moon Building,1981-08-13,,,,20,D,0,313,5380000,2021-01-05,2020-10-20,5380000.0,0.0,22.285605999999998,114.14197
7,Hong Kong Island,Central And Western,Hong Kong West,Bohemian House,Bohemian House,2017-04-03,H,2,,25,G,0,523,11880000,2021-01-05,2016-06-03,11049000.0,7.5200000000000005,22.287717999999998,114.13907
8,Hong Kong Island,Central And Western,Hong Kong West,Harbour View Garden,Block 2,1994-01-14,L,2,,11,3,532,378,7900000,2021-01-05,2012-05-10,4000000.0,97.5,22.283428,114.12934
9,Hong Kong Island,Central And Western,Hong Kong West,Manhattan Heights,Manhattan Heights,2000-02-03,H,2,,,E,619,438,10880000,2021-01-04,2000-07-14,3400000.0,220.0,22.283708999999998,114.127162
