,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Gold Ning Mansion,Gold Ning Mansion,1967-03-16,M,2,1,13,G,780,555,10000000,2021-01-06,,0,0.0,22.273954,114.19316
1,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Yukon Heights,Yukon Heights,1982-09-23,L,3,2,,A,0,1001,21000000,2021-01-05,,0,0.0,22.275202999999998,114.193462
2,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Illumination Terrace,Block 1,1993-05-06,H,2,2,32,H,769,616,12400000,2020-12-30,,0,0.0,22.2775714,114.192768
3,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Linden Height,Linden Height,1975-01-09,L,3,2,5,A,1117,973,22000000,2020-12-24,,0,0.0,22.2689776,114.195104
4,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Cherry Court,Cherry Court,1965-12-09,M,3,2,5,12,1600,1355,21080000,2020-12-21,2018-11-15,23300000,-9.53,22.277067,114.19277
5,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Illumination Terrace,Block 1,1993-05-06,L,2,2,2,F,696,568,10500000,2020-12-15,2013-01-07,6730000,56.02,22.2775714,114.192768
6,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,The Legend At Jardine's Lookout,Block V,2006-11-24,L,3,2,23,B,1168,871,20000000,2020-12-14,2005-07-26,14216000,40.69,22.2747091,114.194808
7,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Illumination Terrace,Block 1,1993-05-06,L,4,2,14,C,979,800,16900000,2020-12-09,,0,0.0,22.2775714,114.192768
8,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,4A-4D Wang Fung Terrace,4C Wang Fung Terrace,1960-11-10,,,,3,,0,1445,24750000,2020-12-07,2010-04-27,14100000,75.53,22.276166999999997,114.19215
9,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Gold King Mansion,Gold King Mansion,1967-03-16,M,2,1,12,D,800,567,10500000,2020-12-04,,0,0.0,22.274122,114.19319
10,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Gold Ning Mansion,Gold Ning Mansion,1967-03-16,M,2,1,10,G,780,555,10000000,2020-12-04,2009-07-27,5200000,92.31,22.273954,114.19316
11,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Ronsdale Garden,Block 1,1986-07-07,M,3,2,15,E,886,694,14880000,2020-12-04,2000-04-17,4000000,272.0,22.2747515,114.195512
12,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Illumination Terrace,Block 1,1993-05-06,L,3,2,1,D,903,731,13200000,2020-12-03,2007-11-20,5150000,156.31,22.2775714,114.192768
13,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Flora Garden,Block 1,1987-10-14,M,3,2,8,C,1302,1011,27300000,2020-12-03,2009-11-12,14280000,91.18,22.273547999999998,114.19442
14,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Cavendish Heights,Block 5,1986-12-23,H,3,2,19,B,1819,1439,48000000,2020-12-03,1997-03-19,21000000,128.57,22.270149,114.1928709
15,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Cavendish Heights,,1988-04-06,,,,,CP13,1819,1439,48000000,2020-11-26,,0,0.0,22.27057,114.19303
16,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,1 Tai Hang Road,1 Tai Hang Road,1990-10-08,L,2,,5,D,715,559,8000000,2020-11-25,2008-03-11,5400000,48.15,22.27804,114.191457
17,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Morengo Court,Morengo Court,1976-05-20,H,3,2,9,D,1155,956,19180000,2020-11-25,,0,0.0,22.275441999999998,114.19331
18,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Flora Garden,Block 2,1987-10-14,L,3,2,4,B,1518,1182,31380000,2020-11-25,,0,0.0,22.273274999999998,114.194397
19,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,The Legend At Jardine's Lookout,Block III,2006-11-24,L,4,2,29,B,2048,1538,38500000,2020-11-24,2020-08-26,38500000,0.0,22.274818999999997,114.195022
20,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Illumination Terrace,Block 2,1993-05-06,L,2,2,6,H,769,616,10800000,2020-11-23,,0,0.0,22.2774344,114.193138
21,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Serenade,Tower 2,2009-11-24,H,4,,60,B,1563,1171,35200000,2020-11-20,2012-07-16,36105000,-2.5100000000000002,22.2765839,114.1954889
22,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Gold Ning Mansion,Gold Ning Mansion,1967-03-16,H,2,1,18,F,800,567,10000000,2020-11-19,,0,0.0,22.273954,114.19316
23,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,The Legend At Jardine's Lookout,Block I,2006-11-24,M,3,2,43,A,1542,1104,33880000,2020-11-18,2011-03-29,27500000,23.2,22.2751864,114.195526
24,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Illumination Terrace,Block 1,1993-05-06,H,3,2,42,A,910,731,15500000,2020-11-18,2007-07-10,7280000,112.91,22.2775714,114.192768
25,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Illumination Terrace,Block 2,1993-05-06,M,2,2,24,H,769,616,11150000,2020-11-17,2009-06-19,5300000,110.38,22.2774344,114.193138
26,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,The Legend At Jardine's Lookout,Block V,2006-11-24,L,3,2,,D,1176,871,22000000,2020-11-11,2005-08-02,13133000,67.52,22.2747091,114.194808
27,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Butler Towers,Butler Towers,1974-12-20,M,4,2,12,D,1650,1492,40600000,2020-11-05,2016-11-09,36500000,11.23,22.270304,114.19571
28,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Ronsdale Garden,Block 1,1986-07-07,L,3,2,2,D,1209,962,18000000,2020-11-03,1999-11-17,5100000,252.94,22.2747515,114.195512
29,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Illumination Terrace,Block 1,1993-05-06,L,2,2,8,F,696,568,10100000,2020-11-02,2007-04-14,3680000,174.46,22.2775714,114.192768
30,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Illumination Terrace,Block 2,1993-05-06,M,2,2,25,H,769,616,12280000,2020-11-02,2010-06-28,6180000,98.71000000000001,22.2774344,114.193138
31,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Butler Towers,Butler Towers,1974-12-20,M,4,2,12,C,1650,1492,41380000,2020-10-30,2009-10-09,24500000,68.9,22.270304,114.19571
32,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Illumination Terrace,Block 2,1993-05-06,H,3,2,,E,1080,823,21000000,2020-10-23,,0,0.0,22.2774344,114.193138
33,Hong Kong Island,Wan Chai,Jardine's Lookout / Tai Hang,Gold King Mansion,Gold King Mansion,1967-03-16,H,2,1,17,B,800,567,9238000,2020-10-23,,0,0.0,22.274122,114.19319
