,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Eastern,North Point / Fortress Hill,City Garden,Block 3,1983-04-28,M,3,,13,F,896,807,13500000,2021-01-06,2011-02-11,8300000,62.65,22.290665,114.19445999999999
1,Hong Kong Island,Eastern,North Point / Fortress Hill,Lime Habitat,Lime Habitat,2011-05-31,L,1,,5,G,667,513,9500000,2021-01-06,2009-07-14,6336500,49.93,22.288959,114.199089
2,Hong Kong Island,Eastern,North Point / Fortress Hill,Full Wealth Gardens,Block II ( Golden Cedar Court ),1984-08-14,H,2,,22,E,542,463,7580000,2021-01-06,1996-12-16,2725000,178.17000000000002,22.29048,114.203868
3,Hong Kong Island,Eastern,North Point / Fortress Hill,Java Mansion,Java Mansion,1981-08-25,M,,,11,29,0,299,5110000,2021-01-06,2015-04-29,3960000,29.04,22.291838,114.197021
4,Hong Kong Island,Eastern,North Point / Fortress Hill,Novum Point,Novum Point,,H,1,,27,J,0,258,7329600,2021-01-06,,0,0.0,22.291887,114.19986
5,Hong Kong Island,Eastern,North Point / Fortress Hill,Bo Shing Court,Bo Shing Court,1994-01-06,H,1,,22,,570,318,5800000,2021-01-06,2015-06-15,4650000,24.73,22.290588,114.20122
6,Hong Kong Island,Eastern,North Point / Fortress Hill,Healthy Village,Hong Wang Court(Block 4),1993-09-01,L,3,,4,C,688,592,6550000,2021-01-05,2012-07-03,1900000,244.74,22.291041999999997,114.20648
7,Hong Kong Island,Eastern,North Point / Fortress Hill,Ming Yuen Mansions,Ming Yuen Mansions,1970-03-20,M,,,9,1,0,662,9450000,2021-01-05,2011-06-02,5000000,89.0,22.28898,114.19987
8,Hong Kong Island,Eastern,North Point / Fortress Hill,Metropole Building,Metropole Building,1974-08-08,,,,19,44,0,450,5080000,2021-01-05,,0,0.0,22.290644,114.19947
9,Hong Kong Island,Eastern,North Point / Fortress Hill,City Garden,Block 7,1986-05-28,M,2,,11,F,723,626,12880000,2020-12-31,2012-04-13,7950000,62.01,22.29129,114.19362699999999
10,Hong Kong Island,Eastern,North Point / Fortress Hill,Fu Lee Loy Mansion,Fu Lee Loy Mansion,1982-04-08,M,2,,12,B3,0,238,4080000,2020-12-31,2017-05-02,3820000,6.8100000000000005,22.28858,114.19183
11,Hong Kong Island,Eastern,North Point / Fortress Hill,City Garden,Block 1,1983-04-28,H,3,,21,B,896,807,12700000,2020-12-30,2012-11-20,9350000,35.83,22.2912,114.1950265
12,Hong Kong Island,Eastern,North Point / Fortress Hill,Healthy Gardens,Block E,1979-12-11,H,2,,21,3,514,456,7560000,2020-12-30,2014-12-11,5320000,42.11,22.2914444,114.203798
13,Hong Kong Island,Eastern,North Point / Fortress Hill,City Garden,Block 8,1986-05-28,L,2,,2,C,655,569,9900000,2020-12-30,2011-03-16,6130000,61.5,22.291097,114.193453
14,Hong Kong Island,Eastern,North Point / Fortress Hill,Ming Fai Building,Ming Fai Building,1983-02-02,M,2,,13,A4,339,229,4780000,2020-12-30,2007-12-14,1400000,241.43,22.291632,114.195656
15,Hong Kong Island,Eastern,North Point / Fortress Hill,Island Place,Block 3,1996-10-02,M,1,,16,F,681,532,10000000,2020-12-29,2008-01-14,4080000,145.1,22.290962999999998,114.202646
16,Hong Kong Island,Eastern,North Point / Fortress Hill,Maple Gardens (Npe),Maple Gardens (Npe),1988-08-08,L,3,,7,C,0,638,9600000,2020-12-29,,0,0.0,22.289602,114.19772
17,Hong Kong Island,Eastern,North Point / Fortress Hill,Ming Yuen Centre,Ming Yuen Centre,1988-10-12,H,,,24,E,0,396,6350000,2020-12-28,2014-10-13,4880000,30.12,22.290300000000002,114.19874
18,Hong Kong Island,Eastern,North Point / Fortress Hill,Tanner Garden,Block 5,1991-04-09,M,2,,17,G,633,527,9480000,2020-12-28,2006-04-13,2960000,220.27,22.29046,114.202481
19,Hong Kong Island,Eastern,North Point / Fortress Hill,City Garden,Block 14,1986-05-30,L,3,,4,B,674,568,9150000,2020-12-28,2011-01-18,5170000,76.98,22.2898546,114.1937925
20,Hong Kong Island,Eastern,North Point / Fortress Hill,New Wealth Mansion,New Wealth Mansion,1991-09-11,H,2,,19,B,488,351,6030000,2020-12-24,2017-09-21,5780000,4.33,22.291997,114.196895
21,Hong Kong Island,Eastern,North Point / Fortress Hill,Siu Wah Building,Siu Wah Building,1985-08-05,L,2,,4,F,350,271,4700000,2020-12-24,2012-10-16,2800000,67.86,22.291135999999998,114.203943
22,Hong Kong Island,Eastern,North Point / Fortress Hill,Elgar Mansion,Elgar Mansion,1983-03-01,H,2,,21,C,0,269,4468000,2020-12-24,2014-03-21,3200000,39.63,22.290129,114.197685
23,Hong Kong Island,Eastern,North Point / Fortress Hill,Siu Wah Building,Siu Wah Building,1985-08-05,H,2,,21,D,350,271,5400000,2020-12-24,2017-12-19,2000000,170.0,22.291135999999998,114.203943
24,Hong Kong Island,Eastern,North Point / Fortress Hill,Novum Point,Novum Point,,H,1,,27,L,0,250,6999360,2020-12-24,,0,0.0,22.291887,114.19986
25,Hong Kong Island,Eastern,North Point / Fortress Hill,Mount East,Mount East,2011-02-02,M,2,,25,B,718,549,11000000,2020-12-23,2016-04-26,8300000,32.53,22.289523,114.198894
26,Hong Kong Island,Eastern,North Point / Fortress Hill,Siu Wah Building,Siu Wah Building,1985-08-05,H,,,21,A,350,271,5390000,2020-12-23,2016-11-08,4390000,22.78,22.291135999999998,114.203943
27,Hong Kong Island,Eastern,North Point / Fortress Hill,Carson Mansion,Block B,1979-06-28,H,,,22,B1,0,435,8080000,2020-12-23,2014-06-11,4980000,62.25,22.287675999999998,114.19241
28,Hong Kong Island,Eastern,North Point / Fortress Hill,Novum Point,Novum Point,,M,1,,11,G,0,288,7385580,2020-12-23,,0,0.0,22.291887,114.19986
29,Hong Kong Island,Eastern,North Point / Fortress Hill,Novum Point,Novum Point,,L,1,,6,G,0,288,7023360,2020-12-23,,0,0.0,22.291887,114.19986
30,Hong Kong Island,Eastern,North Point / Fortress Hill,Metropole Building,Metropole Building,1974-08-08,M,,,12,41,0,450,4000000,2020-12-22,2010-09-06,2380000,68.07000000000001,22.290644,114.19947
31,Hong Kong Island,Eastern,North Point / Fortress Hill,Provident Centre,Block 4,1982-11-08,M,3,,12,B,1246,1073,18480000,2020-12-21,2007-03-07,6600000,180.0,22.292009999999998,114.195871
32,Hong Kong Island,Eastern,North Point / Fortress Hill,Fortuna Building,Fortuna Building,1961-04-20,M,,,7,B4,0,553,5500000,2020-12-21,2017-05-25,5280000,4.17,22.290043999999998,114.199921
33,Hong Kong Island,Eastern,North Point / Fortress Hill,Harbour Glory,Tower 5,2019-06-11,L,3,,7,B,0,1065,25500000,2020-12-21,2017-05-08,30512000,-16.43,22.289284,114.19255
34,Hong Kong Island,Eastern,North Point / Fortress Hill,La Place De Victoria,La Place De Victoria,2005-10-27,M,2,,26,D,586,443,9880000,2020-12-21,2016-06-15,7280000,35.71,22.291781,114.2055824
35,Hong Kong Island,Eastern,North Point / Fortress Hill,Maple Gardens (Npe),Maple Gardens (Npe),1990-06-26,H,3,,19,A,778,608,9600000,2020-12-21,,0,0.0,22.289659999999998,114.19806
36,Hong Kong Island,Eastern,North Point / Fortress Hill,Aroma Court,Aroma Court,1967-01-12,L,,,3,A,0,605,8900000,2020-12-18,,0,0.0,22.2834,114.19305299999999
37,Hong Kong Island,Eastern,North Point / Fortress Hill,Full Wealth Gardens,Block IV ( Golden Peach Court ),1985-09-23,L,2,,6,E,533,450,7288000,2020-12-18,2010-08-09,3050000,138.95000000000002,22.290675,114.203611
38,Hong Kong Island,Eastern,North Point / Fortress Hill,Yen Po Court,Yen Po Court,1983-02-07,M,2,,9,C,397,305,5320000,2020-12-17,2016-05-10,3950000,34.68,22.292091,114.197174
39,Hong Kong Island,Eastern,North Point / Fortress Hill,One Prestige,One Prestige,2018-07-20,L,0,,15,C,0,170,4100000,2020-12-17,2017-03-16,4088800,0.27,22.291245999999997,114.19622
40,Hong Kong Island,Eastern,North Point / Fortress Hill,Tanner Garden,Block 4,1991-04-09,H,3,,23,H,815,674,12628000,2020-12-17,,0,0.0,22.290165,114.20228
41,Hong Kong Island,Eastern,North Point / Fortress Hill,Novum Point,Novum Point,,M,0,,19,D,0,205,5792640,2020-12-16,,0,0.0,22.291887,114.19986
42,Hong Kong Island,Eastern,North Point / Fortress Hill,Bedford Gardens,Tak Fook Court,1981-04-01,M,2,,8,F,495,410,6720000,2020-12-15,2017-09-20,5768000,16.5,22.2894565,114.204116
43,Hong Kong Island,Eastern,North Point / Fortress Hill,Healthy Village,Hong Wang Court(Block 4),1993-09-01,L,2,,7,D,525,452,6000000,2020-12-15,,0,0.0,22.291041999999997,114.20648
44,Hong Kong Island,Eastern,North Point / Fortress Hill,City Garden,Block 13,1986-05-30,H,3,,26,F,869,775,14020000,2020-12-14,2016-09-26,11380000,23.2,22.290160999999998,114.193477
45,Hong Kong Island,Eastern,North Point / Fortress Hill,Tanner Garden,Block 2,1991-04-09,H,3,,24,A,779,658,11590000,2020-12-14,2011-01-10,5880000,97.11,22.289877,114.201701
46,Hong Kong Island,Eastern,North Point / Fortress Hill,Kwong Chiu Terrace,Block A,1978-07-17,M,3,,14,3,1037,811,13000000,2020-12-14,,0,0.0,22.288994,114.194866
47,Hong Kong Island,Eastern,North Point / Fortress Hill,Glory Rise,Glory Rise,2003-01-09,,2,1,22,A,479,316,5930000,2020-12-14,2012-04-26,3130000,89.46000000000001,22.291247,114.198453
48,Hong Kong Island,Eastern,North Point / Fortress Hill,Yue Yick Building,Yue Yick Building,1989-12-04,L,,,7,A,0,377,5380000,2020-12-14,2008-04-16,1860000,189.25,22.290877,114.197694
49,Hong Kong Island,Eastern,North Point / Fortress Hill,Victoria Harbour,Tower 5A,2018-07-31,L,0,,7,F,0,286,10534800,2020-12-14,,0,0.0,22.292849999999998,114.20169
50,Hong Kong Island,Eastern,North Point / Fortress Hill,Provident Centre,Block 6,1982-11-08,H,3,,21,A,1537,1308,27500000,2020-12-11,2008-02-18,13000000,111.54,22.292479999999998,114.195885
51,Hong Kong Island,Eastern,North Point / Fortress Hill,Provident Centre,Block 6,1982-11-08,H,3,,21,B,1537,1308,27500000,2020-12-11,2012-06-29,21800000,26.150000000000002,22.292479999999998,114.195885
52,Hong Kong Island,Eastern,North Point / Fortress Hill,Kin Yip Mansion,Kin Yip Mansion,1986-01-16,L,,,2,D,302,229,4450000,2020-12-11,2017-06-21,3580000,24.3,22.291441,114.19633
53,Hong Kong Island,Eastern,North Point / Fortress Hill,Full Wealth Gardens,Block I ( Golden Pine Court ),1984-08-14,L,2,,6,D,532,446,7300000,2020-12-10,2014-05-07,4860000,50.21,22.290706,114.203823
54,Hong Kong Island,Eastern,North Point / Fortress Hill,Healthy Gardens,Block F,1979-12-11,L,,,5,6,514,456,7200000,2020-12-10,2013-01-29,4280000,68.22,22.291332999999998,114.203365
55,Hong Kong Island,Eastern,North Point / Fortress Hill,Kiu Kwan Mansion,Block A,1966-07-05,M,1,,16,14,0,401,4550000,2020-12-10,2017-01-17,4200000,8.33,22.291294,114.19937
56,Hong Kong Island,Eastern,North Point / Fortress Hill,Bedford Gardens,Pak Tak Court,1981-04-01,H,,,18,D,975,769,12000000,2020-12-10,2010-04-23,5180000,131.66,22.2900346,114.2042784
57,Hong Kong Island,Eastern,North Point / Fortress Hill,Po Fung Building,Po Fung Building,1991-09-19,L,,,4,C,498,413,6200000,2020-12-10,1999-11-15,2080000,198.08,22.290207,114.19810000000001
58,Hong Kong Island,Eastern,North Point / Fortress Hill,King's Centre,King's Centre,1978-01-11,H,2,,18,E,359,292,4600000,2020-12-10,,0,0.0,22.289503,114.194214
59,Hong Kong Island,Eastern,North Point / Fortress Hill,Yen Dack Building,Yen Dack Building,1964-10-07,H,,,18,K,0,460,5000000,2020-12-09,2016-10-17,3300000,51.52,22.291657999999998,114.19854
60,Hong Kong Island,Eastern,North Point / Fortress Hill,King's Way Mansion,King's Way Mansion,1974-03-22,L,2,,1,B,749,620,9680000,2020-12-09,2012-05-18,6180000,56.63,22.290775999999997,114.204055
61,Hong Kong Island,Eastern,North Point / Fortress Hill,La Place De Victoria,La Place De Victoria,2005-10-27,H,3,,32,A,980,744,16300000,2020-12-09,2008-03-13,9700000,68.04,22.291781,114.2055824
62,Hong Kong Island,Eastern,North Point / Fortress Hill,Provident Centre,Block 1,1982-11-08,M,3,,10,A,1431,1249,23900000,2020-12-08,2015-06-01,7512750,218.13,22.29217,114.195274
63,Hong Kong Island,Eastern,North Point / Fortress Hill,Kiu Kwan Mansion,Block B,1966-07-05,M,4,,12,1,0,485,5400000,2020-12-08,1996-07-13,1300000,315.38,22.291296,114.19937
64,Hong Kong Island,Eastern,North Point / Fortress Hill,Provident Centre,Block 15,1984-05-09,L,3,,1,D,846,733,11180000,2020-12-07,2009-12-08,4930000,126.77,22.292471,114.197576
65,Hong Kong Island,Eastern,North Point / Fortress Hill,Maple Gardens (Npe),Maple Gardens (Npe),1988-08-08,M,3,,11,A,0,638,10380000,2020-12-07,2007-12-20,3690000,181.3,22.289602,114.19772
66,Hong Kong Island,Eastern,North Point / Fortress Hill,Fu King Court,Fu King Court,1985-07-17,M,2,,10,E,339,274,4800000,2020-12-07,2016-09-13,3800000,26.32,22.288788,114.19765
67,Hong Kong Island,Eastern,North Point / Fortress Hill,Provident Centre,Block 2,1982-11-08,L,3,,7,A,942,834,14700000,2020-12-07,,0,0.0,22.291987,114.195461
68,Hong Kong Island,Eastern,North Point / Fortress Hill,Harbour Glory,Tower 6,2019-06-11,M,1,,27,B,0,433,11600000,2020-12-07,2017-05-08,11873000,-2.3000000000000003,22.289597,114.19295
69,Hong Kong Island,Eastern,North Point / Fortress Hill,Harbour Heights,Nam Fung Court,1988-08-31,M,3,,26,A,926,814,16800000,2020-12-07,2005-04-08,5080000,230.71,22.2881055,114.1915703
70,Hong Kong Island,Eastern,North Point / Fortress Hill,Island Lodge,Island Lodge,2008-12-17,M,,,21,D,1039,802,19100000,2020-12-04,2007-11-12,7405000,157.93,22.292483999999998,114.20150000000001
71,Hong Kong Island,Eastern,North Point / Fortress Hill,Nam Tin Building,Nam Tin Building,1964-03-04,H,,,17,E,0,537,6800000,2020-12-04,2014-07-03,4860000,39.92,22.290228,114.19493
72,Hong Kong Island,Eastern,North Point / Fortress Hill,Healthy Gardens,Block E,1979-12-11,M,2,,18,2,514,456,7580000,2020-12-03,2011-01-07,3020000,150.99,22.2914444,114.203798
73,Hong Kong Island,Eastern,North Point / Fortress Hill,Sunny House,Sunny House,1966-04-02,M,,,7,A,0,531,6120000,2020-12-02,,0,0.0,22.289189999999998,114.19469
