,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Eastern,Quarry Bay,Ka Wing Building,Ka Wing Building,1982-08-20,H,2,2,22,D,458,382,6490000,2021-01-06,2010-05-28,2520000.0,157.54,22.28793,114.21141
1,Hong Kong Island,Eastern,Quarry Bay,Park Vale,Hong Pak Mansion ( Hopa ),1989-12-04,M,2,2,22,E,677,549,9100000,2021-01-06,2011-03-23,5330000.0,70.73,22.283953999999998,114.213167
2,Hong Kong Island,Eastern,Quarry Bay,Kornhill,Block A,1986-04-09,H,3,2,30,9,902,710,13800000,2021-01-06,2016-09-26,11508000.0,19.92,22.279681999999998,114.2137946
3,Hong Kong Island,Eastern,Quarry Bay,Kornhill,Block L,1987-05-14,H,2,2,19,4,680,555,10380000,2021-01-06,,0.0,0.0,22.2838491,114.217217
4,Hong Kong Island,Eastern,Quarry Bay,Westlands Court,Gee Lan Mansion ( Gela ),1985-06-26,L,2,2,7,B,508,396,7050000,2021-01-06,2010-06-10,2880000.0,144.79,22.286012,114.2126695
5,Hong Kong Island,Eastern,Quarry Bay,Kornhill,Block E,1986-06-12,M,2,2,11,6,635,522,8350000,2021-01-05,2011-06-03,4620000.0,80.74,22.280483999999998,114.215812
6,Hong Kong Island,Eastern,Quarry Bay,Nan Fung Sun Chuen,Block 11,1978-09-08,L,2,2,10,B,474,391,6720000,2021-01-05,2012-09-25,4090000.0,64.3,22.282650999999998,114.2147266
7,Hong Kong Island,Eastern,Quarry Bay,Kornhill,Block R,1987-06-23,H,2,2,26,11,583,466,8630000,2021-01-04,2010-02-23,3580000.0,141.06,22.2841549,114.2151976
8,Hong Kong Island,Eastern,Quarry Bay,Dragon View House,Dragon View House,1977-08-26,L,3,1,8,1,497,408,6700000,2021-01-04,2009-05-14,2000000.0,235.0,22.288368,114.21106
9,Hong Kong Island,Eastern,Quarry Bay,Westlands Court,Tsui Lan Mansion ( Tsla ),1985-06-26,H,2,2,24,E,507,390,7320000,2021-01-04,2017-03-29,6200000.0,18.06,22.2858299,114.2126014
10,Hong Kong Island,Eastern,Quarry Bay,Kornhill,Block N,1987-05-18,H,2,2,,15,588,466,8715000,2020-12-31,,0.0,0.0,22.2830085,114.215598
11,Hong Kong Island,Eastern,Quarry Bay,Tai Kut House,Tai Kut House,1966-01-19,H,,,11,I,0,380,5000000,2020-12-31,2010-08-26,2000000.0,150.0,22.284015999999998,114.214402
12,Hong Kong Island,Eastern,Quarry Bay,Tak Lee Building,Tak Lee Building,1971-10-26,M,,,15,12,0,273,2680000,2020-12-31,2005-10-26,670000.0,300.0,22.28546,114.21188
