,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,Repulse Bay Garden,Block 9,1973-11-06,L,3,2,6,,2288,2049,60300000,2020-12-10,2003-10-29,13000000,363.85,22.238184,114.19273
1,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,Manderly Garden,House 5,1986-11-05,,4,2,,,3504,3160,168000000,2020-12-04,,0,0.0,22.249872,114.184204
2,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,Ridge Court,Block C,1962-08-11,L,3,2,4,,2300,1780,50800000,2020-12-02,2004-12-13,20700000,145.41,22.250866,114.19282
3,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,South Bay Towers,South Bay Towers,1984-11-05,L,2,,7,A,1433,1112,28200000,2020-11-30,,0,0.0,22.228181,114.200407
4,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,8 Deep Water Bay Drive,Tower 2,2018-01-26,L,,,7,D,0,2764,180495000,2020-11-27,,0,0.0,22.252679999999998,114.18279
5,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,Pinecrest,Pinecrest,1982-11-12,H,4,,16,B,2250,1917,75500000,2020-11-25,,0,0.0,22.239114999999998,114.18959
6,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,South Bay Palace,Block II,2000-07-14,M,3,,5,A,2636,1947,45580000,2020-11-19,2010-02-03,34000000,34.06,22.2382174,114.2009685
7,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,8 Deep Water Bay Drive,Tower 2,2018-01-26,L,,,5,D,0,2764,174765000,2020-11-16,,0,0.0,22.252679999999998,114.18279
8,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,South Bay Garden,Block B,1985-09-27,L,2,1,1,2,1542,1296,32000000,2020-11-13,2015-06-16,24500000,30.61,22.237617,114.20058
9,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,Grand Garden,Block 2,1986-12-10,M,3,2,18,B,1463,1089,31500000,2020-11-11,,0,0.0,22.227726,114.20097200000001
10,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,Ruby Court,Block 2,1987-05-21,L,3,2,6,B,1780,1390,36900000,2020-11-10,,0,0.0,22.229184999999998,114.1992
11,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,Ruby Court,Block 2,1987-05-21,H,3,2,16,A,1780,1390,43000000,2020-10-15,,0,0.0,22.229184999999998,114.1992
12,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,8 Deep Water Bay Drive,Tower 2,2018-01-26,L,,,8,D,0,2764,179600000,2020-09-08,,0,0.0,22.252679999999998,114.18279
13,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,Island Grove,House B,2004-02-26,,,,,,0,3148,285000000,2020-09-08,2005-11-02,148000000,92.57000000000001,,
14,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,Pinecrest,Pinecrest,1982-11-12,M,3,,8,A,2250,1917,75000000,2020-08-28,1997-06-26,36500000,105.48,22.239114999999998,114.18959
15,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,The Beachside,Block A,1993-12-24,,,,1,F,0,692,21500000,2020-08-07,2009-09-29,10300000,108.74000000000001,22.238014,114.198482
16,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,Repulse Bay Garden,Block 3,1973-11-06,L,4,2,6,,2810,2576,81300000,2020-08-07,2013-11-04,400000,20225.0,22.239904,114.19273
17,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,South Bay Palace,Block I,2000-01-14,M,3,,5,C,0,1367,27000000,2020-07-31,2015-07-10,24380000,10.75,22.238574,114.201602
18,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,8 Deep Water Bay Drive,Tower 2,2018-01-26,L,,,6,D,0,2764,175000000,2020-07-20,,0,0.0,22.252679999999998,114.18279
19,Hong Kong Island,Southern,Repulse Bay / Shouson Hill,South Bay Palace,Block II,2000-07-14,L,3,,2,B,1698,1273,26500000,2020-07-15,2011-03-25,20000000,32.5,22.2382174,114.2009685
