,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Pokfulam Gardens,Block 6,1979-12-12,M,2,2,10,C,535,466,7480000,2021-01-06,2012-04-02,4100000,82.44,22.257299,114.13735
1,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Wing Yuen ( Block - 19 ),1981-06-11,L,3,,4,G,694,588,8200000,2021-01-06,2006-08-26,2300000,256.52,22.258761,114.137166
2,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Ho Yuen ( Block - 5 ),1978-12-06,M,3,2,19,C,694,588,9000000,2021-01-05,2006-07-10,2450000,267.35,22.256411,114.13887
3,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Fai Yuen ( Block - 2 ),1978-12-28,L,2,2,2,A,518,439,5930000,2021-01-04,2005-04-26,1960000,202.55,22.255536,114.139284
4,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Heng Yuen ( Block - 11 ),1980-04-18,M,2,2,,H,518,439,7120000,2020-12-31,,0,0.0,22.257987999999997,114.139554
5,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Residence Bel-Air,Tower 3 ( St3 ),2004-12-10,M,3,,35,B,1480,1213,18900000,2020-12-30,2011-06-07,22000000,-14.09,22.256787,114.132132
6,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Heng Yuen ( Block - 11 ),1980-04-18,L,3,2,2,C,694,588,7960000,2020-12-30,2001-06-15,1880000,323.40000000000003,22.257987999999997,114.139554
7,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Pokfulam Gardens,Block 3,1979-12-12,M,3,2,16,D,820,702,10000000,2020-12-29,2003-08-06,1500000,566.67,22.258101,114.137504
8,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Residence Bel-Air,Tower 1 ( St1 ),2004-12-10,H,2,,40,B,1128,908,21000000,2020-12-29,2005-08-23,8630000,143.34,22.2571325,114.1320014
9,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Residence Bel-Air,Block 1,2008-08-01,H,1,2,36,C,595,463,12350000,2020-12-28,2015-05-11,9500000,30.0,22.256151,114.1329195
10,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Baguio Villa,Block 24,1979-09-04,M,2,2,,B,1020,906,15680000,2020-12-28,,0,0.0,22.262211999999998,114.13409
11,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Baguio Villa,Block 24,1979-09-04,H,3,2,25,D,1520,1363,33000000,2020-12-24,2004-05-04,7390000,346.55,22.262211999999998,114.13409
12,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Wing Yuen ( Block - 19 ),1981-06-11,L,2,2,8,D,518,439,6000000,2020-12-23,,0,0.0,22.258761,114.137166
13,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Lai Yuen ( Block - 1 ),1978-09-22,L,2,2,7,A,518,439,6550000,2020-12-21,2012-08-27,3832000,70.93,22.255381999999997,114.139635
14,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Baguio Villa,Block 31,1975-01-24,L,4,2,,,2332,2119,37380000,2020-12-21,,0,0.0,22.262449,114.132018
15,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu King Yuen ( Block - 4 ),1978-12-06,M,3,2,18,F,694,588,9100000,2020-12-18,2010-03-18,4000000,127.5,22.256062,114.138835
16,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Pokfulam Gardens,Block 5,1979-12-12,L,3,2,5,A,833,705,10000000,2020-12-18,2015-07-06,9400000,6.38,22.257541,114.1374675
17,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Pokfulam Gardens,Block 5,1979-12-12,H,3,2,20,D,833,705,11000000,2020-12-16,2012-10-25,7600000,44.74,22.257541,114.1374675
18,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Chak Yuen ( Block H - 18 ),1981-06-11,L,2,2,9,H,518,439,5680000,2020-12-16,,0,0.0,22.2586495,114.13752
19,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Baguio Villa,Block 19,1979-09-04,H,3,2,18,D,1520,1363,23500000,2020-12-14,2003-11-07,5350000,339.25,22.263074,114.132749
20,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Yi Yuen ( Block - 7 ),1978-12-29,M,3,2,16,F,694,588,8300000,2020-12-14,,0,0.0,22.256642,114.139587
21,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Residence Bel-Air,Block 3,2008-08-01,M,2,2,25,B,908,698,18500000,2020-12-11,2009-06-19,8898400,107.9,22.255651,114.1332596
22,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Chak Yuen ( Block H - 18 ),1981-06-11,L,3,,9,G,694,588,7500000,2020-12-11,2010-05-20,3900000,92.31,22.2586495,114.13752
23,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Baguio Villa,Block 21,1979-09-04,H,2,2,19,B,1020,906,16350000,2020-12-07,1996-12-07,5180000,215.64000000000001,22.262908,114.133408
24,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Yip Yuen ( Block - 9 ),1979-06-06,H,2,2,25,A,518,439,6750000,2020-12-07,2005-02-19,1900000,255.26000000000002,22.257203999999998,114.139396
25,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Lai Yuen ( Block - 1 ),1978-09-22,H,2,2,24,H,518,439,6920000,2020-12-04,2011-07-11,4018000,72.22,22.255381999999997,114.139635
26,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu On Yuen ( Block - 3 ),1978-12-06,M,2,2,15,H,518,439,6780000,2020-12-02,2014-06-06,4800000,41.25,22.255772,114.13899
27,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Pokfulam Gardens,Block 5,1979-12-12,H,2,2,25,G,526,456,8800000,2020-11-27,2016-10-12,6470000,36.01,22.257541,114.1374675
28,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Yi Yuen ( Block - 7 ),1978-12-29,L,2,2,5,A,518,439,6680000,2020-11-26,2014-10-21,5260000,27.0,22.256642,114.139587
29,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Yar Yuen ( Block - 12 ),1980-04-03,H,2,2,26,D,518,439,7120000,2020-11-25,2012-11-27,4765000,49.42,22.258304,114.139422
30,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Lai Yuen ( Block - 1 ),1978-09-22,H,2,2,20,A,518,439,7050000,2020-11-24,,0,0.0,22.255381999999997,114.139635
31,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Pokfulam Gardens,Block 2,1979-12-12,M,2,2,17,F,526,456,7120000,2020-11-24,2013-10-16,5480000,29.93,22.258188999999998,114.1370814
32,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu On Yuen ( Block - 3 ),1978-12-06,H,2,2,23,D,518,439,6800000,2020-11-23,2006-10-04,1900000,257.89,22.255772,114.13899
33,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Pokfulam Gardens,Block 6,1979-12-12,H,2,2,22,C,535,466,7880000,2020-11-20,2013-09-30,5380000,46.47,22.257299,114.13735
34,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu On Yuen ( Block - 3 ),1978-12-06,H,2,2,22,E,518,439,6750000,2020-11-18,2001-08-02,1650000,309.09000000000003,22.255772,114.13899
35,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Fai Yuen ( Block - 2 ),1978-12-28,H,2,2,23,E,518,439,6600000,2020-11-17,,0,0.0,22.255536,114.139284
36,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Chi Fu Fa Yuen,Fu Yi Yuen ( Block - 7 ),1978-12-29,L,2,2,6,D,518,439,6880000,2020-11-17,2006-12-29,1720000,300.0,22.256642,114.139587
37,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Bisney View,House 3,1984-03-16,,,,,,0,1779,22500000,2020-11-16,2009-09-18,32500000,-30.77,,
38,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Baguio Villa,Block 24,1979-09-04,H,2,2,22,A,1020,906,16000000,2020-11-12,,0,0.0,22.262211999999998,114.13409
39,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Pokfulam Gardens,Block 2,1979-12-12,M,3,2,12,H,828,703,10550000,2020-11-12,2013-01-07,7380000,42.95,22.258188999999998,114.1370814
40,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Residence Bel-Air,Block 6,2008-08-01,L,3,,9,C,1473,1042,29000000,2020-11-11,2009-07-29,18117900,60.06,22.255073,114.1333285
41,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Baguio Villa,Block 24,1979-09-04,H,2,2,20,B,1020,906,14800000,2020-11-10,1999-01-08,3880000,281.44,22.262211999999998,114.13409
42,Hong Kong Island,Southern,Residence Bel-Air / Pokfulam,Residence Bel-Air,Block 6 ( T6 ),2004-06-17,H,3,,36,A,1687,1383,42000000,2020-11-10,2004-12-29,14000000,200.0,22.257804999999998,114.132645
