,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Grand Promenade,Block 2,2005-06-21,L,2,,25,E,687,490,10280000,2021-01-06,2009-07-08,4250000,141.88,22.285235,114.22436
1,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Marigold Mansion,1985-05-16,L,4,2,8,F,983,897,16500000,2021-01-06,2012-12-24,10800000,52.78,22.287654,114.218587
2,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Grand Promenade,Block 3,2005-06-21,L,3,,9,C,1325,947,21800000,2021-01-06,2009-06-03,10600000,105.66,22.285444,114.224619
3,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Marigold Mansion,1985-05-16,H,4,2,,E,1029,922,18200000,2021-01-06,,0,0.0,22.287654,114.218587
4,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Tien Shan Mansion,1977-11-15,L,2,1,5,H,675,582,10280000,2021-01-05,2009-12-14,4760000,115.97,22.285569,114.220411
5,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Grand Promenade,Block 5,2005-06-21,L,2,,25,G,675,498,10000000,2021-01-05,2015-03-16,8020000,24.69,22.285241,114.224873
6,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Po Shan Mansion,1981-12-04,M,2,1,12,B,675,582,11000000,2021-01-05,2017-10-18,9690000,13.52,22.2852856,114.219425
7,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Poyang Mansion,1977-06-16,L,2,1,8,C,585,489,9080000,2020-12-31,2013-07-12,5620000,61.57,22.284727999999998,114.220861
8,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Grand Promenade,Block 5,2005-06-21,L,3,,26,D,928,675,14990000,2020-12-31,2010-08-12,8760000,71.12,22.285241,114.224873
9,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Lei King Wan,On Ming Mansion,1988-05-27,H,3,2,,G,727,635,11000000,2020-12-30,,0,0.0,22.2833,114.223105
10,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Pine Mansion,1983-06-22,,4,2,26,F,983,897,15280000,2020-12-30,,0,0.0,22.287656,114.214026
11,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Grand Promenade,Block 1,2005-08-19,H,2,,52,F,674,499,11230000,2020-12-30,2015-08-17,9100000,23.41,22.285028,114.224126
12,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,King Tien Mansion,1989-05-25,M,3,2,13,B,756,649,13300000,2020-12-30,2006-12-22,4548000,192.44,22.286424999999998,114.216846
13,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Yiu Sing Mansion,1983-06-17,M,2,2,14,E,600,503,8750000,2020-12-30,2010-12-20,4990000,75.35000000000001,22.286424999999998,114.21879
14,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Ming Kung Mansion,1980-01-11,L,3,2,11,E,800,702,12298000,2020-12-29,1997-10-28,5950000,106.69,22.286414999999998,114.215954
15,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Grand Promenade,Block 2,2005-06-21,M,2,,32,C,639,467,11900000,2020-12-29,2004-09-07,4336020,174.45000000000002,22.285235,114.22436
16,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Lei King Wan,Yee Yun Mansion,1989-02-20,M,3,2,8,G,751,666,9000000,2020-12-29,,0,0.0,22.284767,114.223139
17,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Choi Tien Mansion,1989-05-25,M,4,2,16,C,907,792,15800000,2020-12-29,2020-07-08,18500000,-14.59,22.287084,114.217834
18,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Yee Shan Mansion,1979-05-17,L,2,1,9,H,691,593,10100000,2020-12-29,2011-03-10,5500000,83.64,22.285239999999998,114.218436
19,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Lei King Wan,Yat Wah Mansion,1988-06-21,L,2,2,2,D,612,527,9400000,2020-12-29,1996-10-09,3280000,186.59,22.285756,114.224185
20,Hong Kong Island,Eastern,Sai Wan Ho / Taikoo,Taikoo Shing,Yuan Kung Mansion,1980-01-11,M,2,2,18,F,675,580,10000000,2020-12-29,1999-08-14,1600000,525.0,22.286409,114.216283
