,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Eastern,Shau Kei Wan,Sun Sing Centre,Block B,1983-04-20,H,2,1,18,B5,423,353,5750000,2021-01-06,2016-06-10,3999900,43.75,22.279474999999998,114.224892
1,Hong Kong Island,Eastern,Shau Kei Wan,Sun Sing Centre,Block B,1983-04-20,M,2,1,9,B4,422,367,5100000,2021-01-05,2013-06-13,3500000,45.71,22.279474999999998,114.224892
2,Hong Kong Island,Eastern,Shau Kei Wan,Lime Gala,Tower 2,2018-08-14,M,0,,18,D,0,318,6350000,2021-01-05,2017-03-24,6594900,-3.71,22.277141999999998,114.228645
3,Hong Kong Island,Eastern,Shau Kei Wan,Parker33,Parker33,2017-03-01,L,0,,8,J,0,211,4380000,2021-01-05,2015-09-07,4255980,2.91,22.281503999999998,114.22101
4,Hong Kong Island,Eastern,Shau Kei Wan,Shui Hing Court,Shui Hing Court,1989-01-26,M,2,,,B,350,212,3188000,2021-01-05,2009-05-07,860000,270.7,22.277378,114.23023
5,Hong Kong Island,Eastern,Shau Kei Wan,Island Garden,Block 3,2018-07-12,L,2,,12,D,0,692,13500000,2021-01-04,2017-04-03,13865950,-2.64,22.274189999999997,114.23164
6,Hong Kong Island,Eastern,Shau Kei Wan,Tung Lam Court,Tung Lam Court,1997-04-07,,1,,31,4,801,603,5938000,2021-01-04,2003-05-02,1180000,403.22,22.280313,114.220526
7,Hong Kong Island,Eastern,Shau Kei Wan,On Yip Building,On Yip Building,1981-01-20,L,1,1,4,A,376,269,4430000,2020-12-31,2016-10-13,3050000,45.25,22.280984999999998,114.22237
8,Hong Kong Island,Eastern,Shau Kei Wan,Fu Yan Court,Fu Yan Court,1998-05-14,H,2,,22,C,414,267,5400000,2020-12-31,2016-09-12,4000000,35.0,22.279846,114.224236
9,Hong Kong Island,Eastern,Shau Kei Wan,Felicity Garden,Block 2,1990-02-22,M,3,2,14,D,867,732,9800000,2020-12-31,2014-07-02,7500000,30.67,22.2818355,114.222556
10,Hong Kong Island,Eastern,Shau Kei Wan,Shaukeiwan Plaza,Block 3 ( Lai Yar Court ),1992-04-06,M,2,1,14,D,523,376,6400000,2020-12-31,2017-03-08,5180000,23.55,22.2779364,114.2263585
11,Hong Kong Island,Eastern,Shau Kei Wan,Le Riviera,Le Riviera,2014-07-10,L,1,,,A,0,431,7700000,2020-12-31,,0,0.0,22.2805515,114.2308694
12,Hong Kong Island,Eastern,Shau Kei Wan,Tung Chun Court,Block B ( Ngan Chun House ),1994-08-02,L,1,,,1,748,546,5980000,2020-12-30,2004-02-12,1000000,498.0,22.2771645,114.2228539
13,Hong Kong Island,Eastern,Shau Kei Wan,Fok Sing Building,Fok Sing Building,1976-02-05,M,,,12A,D,0,338,4880000,2020-12-28,2016-11-17,3900000,25.13,22.280168999999997,114.22448
14,Hong Kong Island,Eastern,Shau Kei Wan,Island Residence,Island Residence,2017-12-22,M,0,,20,B,0,238,5430000,2020-12-28,2015-10-28,4955000,9.59,22.280849999999997,114.22380000000001
15,Hong Kong Island,Eastern,Shau Kei Wan,Heung Yuen Gardens,Heung Yuen Gardens,1974-10-10,M,2,,,C,0,385,5100000,2020-12-28,2004-04-08,820000,521.95,22.275081999999998,114.231186
16,Hong Kong Island,Eastern,Shau Kei Wan,Felicity Garden,Block 3,1990-02-22,M,3,2,18,D,907,767,11350000,2020-12-28,2001-08-31,2930000,287.37,22.2823315,114.2228015
17,Hong Kong Island,Eastern,Shau Kei Wan,Tung Chun Court,Block A,1994-08-02,L,1,1,12,11,830,606,5390000,2020-12-24,,0,0.0,22.277358,114.222295
18,Hong Kong Island,Eastern,Shau Kei Wan,Tung Tao Court,Block A (Hiu Tao House),2005-05-23,M,2,,22,10,518,400,5430000,2020-12-24,,0,0.0,22.282372,114.225923
19,Hong Kong Island,Eastern,Shau Kei Wan,Shaukeiwan Plaza,Block 1 ( Lai Man Court ),1992-04-06,H,2,1,18,C,458,344,5850000,2020-12-24,2001-11-16,1288000,354.19,22.2775355,114.2262734
20,Hong Kong Island,Eastern,Shau Kei Wan,Monti,Monti,2019-10-28,M,0,,20,D,0,285,6241800,2020-12-23,,0,0.0,22.279722,114.224724
21,Hong Kong Island,Eastern,Shau Kei Wan,Millennium Court,Millennium Court,2000-11-10,M,,,15,B,439,253,5160000,2020-12-23,2017-11-09,4050000,27.41,22.282712999999998,114.22116
22,Hong Kong Island,Eastern,Shau Kei Wan,Monti,Monti,2019-10-28,H,1,,22,A,0,385,8461100,2020-12-22,,0,0.0,22.279722,114.224724
23,Hong Kong Island,Eastern,Shau Kei Wan,Felicity Garden,Block 1,1990-02-22,H,3,2,24,B,773,652,10000000,2020-12-22,2014-07-21,7220000,38.5,22.282069,114.222354
24,Hong Kong Island,Eastern,Shau Kei Wan,Monti,Monti,2019-10-28,H,0,,28,B,0,285,6805300,2020-12-22,,0,0.0,22.279722,114.224724
