,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Central And Western,Sheung Wan / Central,Manhattan Avenue,Manhattan Avenue,2004-01-16,M,,,20,1,571,419,8920000,2021-01-06,2005-01-06,2560000,248.44,22.28465,114.15128
1,Hong Kong Island,Central And Western,Sheung Wan / Central,Centrestage,Block 1,2006-06-29,M,2,,29,B,540,400,9810000,2021-01-06,2010-12-21,7000000,40.14,22.2837024,114.1510624
2,Hong Kong Island,Central And Western,Sheung Wan / Central,34-36 Aberdeen Street,34-36 Aberdeen Street,1972-05-05,H,,,5,36A,0,348,9000000,2021-01-04,2008-09-23,4500000,100.0,22.28298,114.15204
3,Hong Kong Island,Central And Western,Sheung Wan / Central,The Bellevue Place,The Bellevue Place,1999-08-30,L,2,,9,D,530,377,7800000,2020-12-31,2005-05-03,2600000,200.0,22.283396,114.149254
4,Hong Kong Island,Central And Western,Sheung Wan / Central,Centrestage,Block 1,2006-06-29,L,2,,17,A,540,400,9550000,2020-12-31,2012-03-19,7700000,24.03,22.2837024,114.1510624
5,Hong Kong Island,Central And Western,Sheung Wan / Central,Queen's Terrace,Block 3,2002-08-16,L,2,,,E,687,478,9568000,2020-12-30,2003-01-03,2235000,328.1,22.2870496,114.1476634
6,Hong Kong Island,Central And Western,Sheung Wan / Central,Wing Yu Building,Wing Yu Building,1988-03-30,M,,,8,B,0,435,7175000,2020-12-24,2009-09-02,2600000,175.96,22.286994999999997,114.148735
7,Hong Kong Island,Central And Western,Sheung Wan / Central,Centrestage,Block 2,2006-06-29,M,2,,27,B,540,400,11000000,2020-12-23,,0,0.0,22.2837445,114.150796
8,Hong Kong Island,Central And Western,Sheung Wan / Central,Queen's Terrace,Block 2,2003-02-05,L,3,,9,G,757,516,11000000,2020-12-23,2015-01-13,8300000,32.53,22.286815,114.1469809
9,Hong Kong Island,Central And Western,Sheung Wan / Central,Cordial Mansion,Cordial Mansion,1973-10-23,L,,,3,C,0,480,7428000,2020-12-23,2004-02-19,1100000,575.27,22.27987,114.15426
10,Hong Kong Island,Central And Western,Sheung Wan / Central,Winsing Building,Winsing Building,1973-01-17,M,,,7,A,0,386,4000000,2020-12-23,,0,0.0,22.287437,114.146805
11,Hong Kong Island,Central And Western,Sheung Wan / Central,Greenville,Greenville,1988-12-03,L,,,2,,953,618,5200000,2020-12-22,2010-06-23,7040000,-26.14,22.279761999999998,114.15505999999999
12,Hong Kong Island,Central And Western,Sheung Wan / Central,Centre Place,Centre Place,2006-05-19,M,3,2,19,B,0,579,15000000,2020-12-22,2007-01-12,6717750,123.29,22.284948,114.14609
13,Hong Kong Island,Central And Western,Sheung Wan / Central,15-17 Burd Street,15-17 Burd Street,1969-05-01,,,,5,15,0,340,4500000,2020-12-22,,0,0.0,22.285211999999998,114.15145
14,Hong Kong Island,Central And Western,Sheung Wan / Central,Princeton Tower,Princeton Tower,2003-11-14,L,2,,17,C,677,488,9280000,2020-12-21,2015-08-25,7450000,24.560000000000002,22.28763,114.14613
15,Hong Kong Island,Central And Western,Sheung Wan / Central,Talon Tower,Talon Tower,2002-09-20,L,,,7,A,722,488,8550000,2020-12-21,2012-09-10,6000000,42.5,22.28792,114.14861
16,Hong Kong Island,Central And Western,Sheung Wan / Central,Wo On Building,Wo On Building,1972-11-30,H,,,14,C,0,308,5300000,2020-12-18,,0,0.0,22.281622,114.15522
17,Hong Kong Island,Central And Western,Sheung Wan / Central,46-50 Elgin Street,50 Elgin Street,1968-08-10,,,,2,50,0,455,9000000,2020-12-18,2018-09-19,8500000,5.88,22.280962,114.15290999999999
18,Hong Kong Island,Central And Western,Sheung Wan / Central,2-4 Shin Hing Street,2-4 Shin Hing Street,1970-02-04,,,,2,4,0,386,8000000,2020-12-18,2015-07-02,5660000,41.34,22.284200000000002,114.15226
19,Hong Kong Island,Central And Western,Sheung Wan / Central,Hollywood Terrace,Block A,1999-10-22,H,3,,28,D,938,764,15020000,2020-12-18,2010-02-22,8320000,80.53,22.284191,114.151349
20,Hong Kong Island,Central And Western,Sheung Wan / Central,Manhattan Avenue,Manhattan Avenue,2004-01-16,L,,,10,2,553,403,8180000,2020-12-17,2009-04-27,3250000,151.69,22.28465,114.15128
21,Hong Kong Island,Central And Western,Sheung Wan / Central,Honor Villa,Honor Villa,1999-11-19,H,2,,21,B,745,485,10000000,2020-12-17,1999-07-26,3616000,176.55,22.281623,114.15190799999999
22,Hong Kong Island,Central And Western,Sheung Wan / Central,Carbo Mansion,Carbo Mansion,1988-12-13,L,3,,1,B,488,343,6300000,2020-12-16,,0,0.0,22.285639,114.15012
23,Hong Kong Island,Central And Western,Sheung Wan / Central,Bonham Ville,Bonham Ville,1986-02-06,M,,,7,,677,478,8600000,2020-12-16,2006-08-09,2600000,230.77,22.28396,114.14628
24,Hong Kong Island,Central And Western,Sheung Wan / Central,Medal Court,Medal Court,2004-12-30,H,2,1,25,A,601,372,7320000,2020-12-15,2012-10-18,4880000,50.0,22.286655,114.147865
25,Hong Kong Island,Central And Western,Sheung Wan / Central,The Pierre,The Pierre,2014-05-09,L,1,,,A,551,401,10500000,2020-12-14,,0,0.0,22.282345,114.151449
26,Hong Kong Island,Central And Western,Sheung Wan / Central,Hollywood Terrace,Block A,1999-10-22,L,2,,2,B,755,615,10000000,2020-12-11,1999-12-03,2498000,300.32,22.284191,114.151349
27,Hong Kong Island,Central And Western,Sheung Wan / Central,Lai Yan Lau,Lai Yan Lau,1980-12-22,H,,,18,A,0,320,5500000,2020-12-11,2015-05-15,5000000,10.0,22.286554,114.14760000000001
28,Hong Kong Island,Central And Western,Sheung Wan / Central,Carbo Mansion,Carbo Mansion,1988-12-13,M,2,,10,C,420,281,5250000,2020-12-11,2007-02-27,1385000,279.06,22.285639,114.15012
29,Hong Kong Island,Central And Western,Sheung Wan / Central,Arbuthnot House,Arbuthnot House,1979-07-09,H,2,,19,C,0,533,10000000,2020-12-11,2007-11-02,4750000,110.53,22.280034999999998,114.15475
30,Hong Kong Island,Central And Western,Sheung Wan / Central,Princeton Tower,Princeton Tower,2003-11-14,H,2,,43,B,716,489,10000000,2020-12-10,2014-07-14,8380000,19.330000000000002,22.28763,114.14613
31,Hong Kong Island,Central And Western,Sheung Wan / Central,22-24 Eastern Street,22-24 Eastern Street,1973-01-16,,,,2,22,0,321,5150000,2020-12-10,,0,0.0,22.287257999999998,114.14376
32,Hong Kong Island,Central And Western,Sheung Wan / Central,Centrepoint,Centrepoint,2011-12-19,L,1,,8,D,486,339,8400000,2020-12-10,2017-05-29,7650000,9.8,22.2830267,114.1515093
33,Hong Kong Island,Central And Western,Sheung Wan / Central,Queen's Terrace,Block 3,2002-08-16,M,2,,25,E,687,478,10600000,2020-12-09,2016-12-13,8000000,32.5,22.2870496,114.1476634
34,Hong Kong Island,Central And Western,Sheung Wan / Central,Garley Building,Garley Building,1985-10-31,L,,,7,F,0,296,5230000,2020-12-09,,0,0.0,22.282494,114.15268
35,Hong Kong Island,Central And Western,Sheung Wan / Central,Queen's Terrace,Block 2,2003-02-05,L,3,,3,G,757,516,10300000,2020-12-08,2003-01-06,2152000,378.62,22.286815,114.1469809
36,Hong Kong Island,Central And Western,Sheung Wan / Central,Queen's Terrace,Block 3,2002-08-16,H,3,,37,B,871,612,13300000,2020-12-08,2018-12-17,13300000,0.0,22.2870496,114.1476634
37,Hong Kong Island,Central And Western,Sheung Wan / Central,Queen's Terrace,Block 2,2003-02-05,L,1,,8,H,468,322,7000000,2020-12-08,2016-05-30,4900000,42.86,22.286815,114.1469809
38,Hong Kong Island,Central And Western,Sheung Wan / Central,58-60 Queen's Road West,60 Queen's Road West,1970-08-24,,,,5,,0,307,4600000,2020-12-08,,0,0.0,,
39,Hong Kong Island,Central And Western,Sheung Wan / Central,Queen's Terrace,Block 3,2002-08-16,H,2,,37,C,695,490,11200000,2020-12-08,2005-11-08,3735000,199.87,22.2870496,114.1476634
40,Hong Kong Island,Central And Western,Sheung Wan / Central,58-60 Queen's Road West,58 Queen's Road West,1970-08-24,,,,5,,0,307,5080000,2020-12-08,,0,0.0,,
41,Hong Kong Island,Central And Western,Sheung Wan / Central,138-142 Hollywood Road,138-142 Hollywood Road,1973-02-15,L,,,3,C,0,297,4500000,2020-12-04,2017-03-09,3550000,26.76,22.284195,114.15009
42,Hong Kong Island,Central And Western,Sheung Wan / Central,Princeton Tower,Princeton Tower,2003-11-14,M,2,,26,D,677,488,9680000,2020-12-02,2012-07-17,6450000,50.08,22.28763,114.14613
43,Hong Kong Island,Central And Western,Sheung Wan / Central,Sun Wise Mansion,Sun Wise Mansion,1975-09-29,M,,,9,B,0,302,5200000,2020-12-01,2014-01-23,3500000,48.57,22.283248999999998,114.15418
44,Hong Kong Island,Central And Western,Sheung Wan / Central,Cordial Mansion,Cordial Mansion,1973-10-23,M,,,13,B,0,480,8000000,2020-12-01,2009-12-22,3900000,105.13,22.27987,114.15426
45,Hong Kong Island,Central And Western,Sheung Wan / Central,Macro Garden,Macro Garden,1995-02-22,M,2,,16,A,493,298,5800000,2020-12-01,2005-06-08,1380000,320.29,22.286258999999998,114.145645
46,Hong Kong Island,Central And Western,Sheung Wan / Central,On Shun Building,On Shun Building,1977-03-03,H,,,9,,0,307,5500000,2020-11-30,2014-12-05,3700000,48.65,22.288356999999998,114.14398
47,Hong Kong Island,Central And Western,Sheung Wan / Central,Rich Court,Rich Court,1991-07-06,M,,,12,,0,344,5400000,2020-11-27,2014-12-16,1200000,350.0,22.287022,114.14427
48,Hong Kong Island,Central And Western,Sheung Wan / Central,Macro Garden,Macro Garden,1995-02-22,,,,26,B,541,315,6260000,2020-11-27,2015-02-16,5050000,23.96,22.286258999999998,114.145645
49,Hong Kong Island,Central And Western,Sheung Wan / Central,Centrestage,Block 1,2006-06-29,M,2,,25,E,613,443,11500000,2020-11-27,2007-01-18,5200000,121.15,22.2837024,114.1510624
50,Hong Kong Island,Central And Western,Sheung Wan / Central,Carbo Mansion,Carbo Mansion,1988-12-13,H,2,,22,C,420,281,6600000,2020-11-26,2010-02-09,2600000,153.85,22.285639,114.15012
51,Hong Kong Island,Central And Western,Sheung Wan / Central,Tim Po Court,43 Caine Road,1993-08-12,L,,,1,,786,493,10200000,2020-11-26,2008-03-17,5500000,85.45,22.28063,114.15326999999999
52,Hong Kong Island,Central And Western,Sheung Wan / Central,Ying Pont Building,Ying Pont Building,1985-09-18,M,2,,9,B,458,321,5900000,2020-11-26,,0,0.0,22.282196,114.15190000000001
53,Hong Kong Island,Central And Western,Sheung Wan / Central,Mandarin Court,Mandarin Court,1987-06-12,H,,,8,A,0,447,7700000,2020-11-25,,0,0.0,22.27987,114.15475
54,Hong Kong Island,Central And Western,Sheung Wan / Central,Flora Court,Flora Court,1994-12-31,H,,,23,A,0,320,7200000,2020-11-25,2017-03-21,5500000,30.91,22.2822044,114.1514496
55,Hong Kong Island,Central And Western,Sheung Wan / Central,Winsome House,Winsome House,1973-11-02,M,,,14,B,0,412,6050000,2020-11-24,2014-03-21,800000,656.25,22.287397,114.14914
56,Hong Kong Island,Central And Western,Sheung Wan / Central,Hongway Garden,Block B,1987-10-06,,2,,34,4,574,425,7800000,2020-11-23,1997-08-12,3600000,116.67,22.287291999999997,114.14974
57,Hong Kong Island,Central And Western,Sheung Wan / Central,Centrestage,Block 2,2006-06-29,M,2,,20,A,540,400,9850000,2020-11-23,2011-03-31,7400000,33.11,22.2837445,114.150796
58,Hong Kong Island,Central And Western,Sheung Wan / Central,Grandview Garden (Sw),Block 2,1994-03-14,L,3,,9,C,550,376,8000000,2020-11-20,2010-10-19,4200000,90.48,22.283417,114.150475
59,Hong Kong Island,Central And Western,Sheung Wan / Central,Winner Building,Winner Building (Block B),1972-01-27,L,,,4,J,0,295,6080000,2020-11-19,2007-02-14,1500000,305.33,22.281354999999998,114.155174
60,Hong Kong Island,Central And Western,Sheung Wan / Central,Winly Building,Winly Building,1980-12-18,M,,,9,C,0,309,5680000,2020-11-18,2007-12-10,2420000,134.71,22.283077,114.15245
61,Hong Kong Island,Central And Western,Sheung Wan / Central,5-6A Tai On Terrace,5-6A Tai On Terrace,1972-12-05,L,,,1,,0,346,5280000,2020-11-18,2012-11-08,4860000,8.64,22.284337999999998,114.14738
62,Hong Kong Island,Central And Western,Sheung Wan / Central,Hollywood Terrace,Block A,1999-10-22,H,2,,33,B,769,626,14800000,2020-11-17,2004-08-03,3780000,291.53000000000003,22.284191,114.151349
